nm,Intensity
791.588,4928.4
791.862,4913.0
792.136,4887.7
792.411,4834.1
792.685,4810.1
792.959,4788.7
793.233,4798.0
793.507,4779.3
793.781,4762.5
794.056,4734.2
794.33,4759.3
794.604,4756.2
794.878,4738.4
795.152,4753.2
795.426,4785.3
795.701,4791.9
795.975,4780.2
796.249,4769.6
796.523,4764.2
796.797,4773.0
797.071,4766.4
797.345,4752.2
797.619,4732.1
797.894,4752.6
798.168,4735.6
798.442,4713.2
798.716,4739.8
798.99,4737.2
799.264,4727.7
799.538,4722.4
799.812,4740.1
800.086,4738.8
800.36,4737.4
800.634,4740.7
800.908,4747.7
801.182,4745.1
801.456,4720.2
801.73,4713.6
802.004,4724.4
802.278,4714.4
802.552,4706.3
802.826,4677.7
803.1,4699.9
803.374,4702.9
803.648,4690.8
803.922,4668.7
804.196,4668.2
804.47,4669.0
804.744,4699.4
805.018,4711.7
805.292,4690.6
805.566,4676.2
805.84,4684.1
806.114,4687.4
806.388,4673.5
806.662,4662.3
806.936,4651.1
807.209,4650.2
807.483,4639.8
807.757,4626.8
808.031,4619.7
808.305,4647.3
808.579,4644.2
808.853,4636.0
809.127,4635.3
809.4,4624.3
809.674,4638.1
809.948,4654.3
810.222,4690.4
810.496,4715.7
810.77,4690.9
811.043,4641.8
811.317,4599.2
811.591,4611.6
811.865,4576.5
812.139,4593.8
812.412,4597.7
812.686,4597.7
812.96,4574.2
813.234,4588.4
813.507,4583.1
813.781,4574.3
814.055,4589.8
814.329,4561.1
814.602,4572.4
814.876,4561.1
815.15,4554.2
815.424,4525.0
815.697,4517.2
815.971,4552.0
816.245,4522.0
816.518,4493.0
816.792,4498.8
817.066,4505.7
817.34,4501.3
817.613,4480.6
817.887,4489.7
818.161,4492.6
818.434,4497.0
818.708,4504.5
818.981,4504.0
819.255,4491.6
819.529,4485.3
819.802,4487.3
820.076,4465.3
820.35,4458.6
820.623,4456.0
820.897,4468.2
821.17,4469.1
821.444,4458.5
821.718,4461.3
821.991,4454.1
822.265,4441.2
822.538,4437.2
822.812,4452.1
823.085,4443.2
823.359,4436.0
823.632,4426.0
823.906,4434.5
824.179,4432.3
824.453,4442.4
824.727,4434.9
825.0,4448.5
825.274,4423.4
825.547,4430.4
825.821,4429.4
826.094,4423.4
826.367,4413.8
826.641,4411.0
826.914,4408.0
827.188,4401.9
827.461,4404.4
827.735,4408.2
828.008,4389.0
828.282,4381.0
828.555,4381.9
828.828,4385.6
829.102,4389.1
829.375,4396.0
829.649,4409.6
829.922,4387.0
830.195,4379.7
830.469,4378.6
830.742,4369.8
831.016,4365.6
831.289,4383.7
831.562,4379.1
831.836,4359.4
832.109,4351.9
832.382,4369.2
832.656,4375.6
832.929,4368.4
833.202,4370.8
833.476,4381.9
833.749,4357.7
834.022,4356.6
834.295,4355.9
834.569,4365.1
834.842,4348.1
835.115,4347.8
835.388,4347.5
835.662,4351.1
835.935,4341.6
836.208,4357.7
836.481,4354.8
836.755,4354.7
837.028,4348.3
837.301,4366.6
837.574,4405.3
837.848,4437.5
838.121,4461.3
838.394,4446.1
838.667,4404.0
838.94,4370.3
839.213,4357.9
839.487,4357.7
839.76,4379.1
840.033,4397.1
840.306,4402.9
840.579,4414.2
840.852,4400.0
841.125,4358.5
841.399,4352.4
841.672,4326.4
841.945,4315.9
842.218,4300.6
842.491,4319.0
842.764,4318.3
843.037,4304.4
843.31,4300.7
843.583,4300.5
843.856,4303.7
844.129,4302.1
844.402,4300.6
844.675,4313.4
844.948,4293.3
845.221,4292.9
845.495,4290.6
845.768,4288.1
846.041,4288.5
846.314,4279.9
846.586,4280.0
846.859,4292.5
847.132,4305.9
847.405,4300.0
847.678,4282.1
847.951,4280.7
848.224,4279.4
848.497,4287.7
848.77,4284.0
849.043,4288.6
849.316,4301.7
849.589,4300.0
849.862,4287.4
850.135,4286.6
850.408,4278.4
850.68,4282.4
850.953,4275.2
851.226,4289.2
851.499,4290.5
851.772,4298.7
852.045,4273.5
852.318,4271.4
852.591,4269.1
852.863,4260.2
853.136,4244.1
853.409,4259.8
853.682,4268.0
853.955,4287.5
854.227,4277.2
854.5,4268.6
854.773,4260.1
855.046,4253.0
855.318,4253.7
855.591,4251.7
855.864,4244.4
856.137,4245.8
856.409,4244.6
856.682,4233.7
856.955,4225.8
857.228,4237.6
857.5,4241.7
857.773,4233.7
858.046,4233.6
858.318,4228.7
858.591,4223.0
858.864,4235.6
859.136,4232.1
859.409,4235.5
859.682,4232.5
859.954,4230.3
860.227,4230.5
860.5,4239.7
860.772,4230.9
861.045,4224.1
861.318,4226.3
861.59,4223.8
861.863,4237.5
862.135,4255.5
862.408,4261.9
862.681,4260.3
862.953,4262.0
863.226,4283.3
863.498,4280.5
863.771,4273.1
864.043,4248.5
864.316,4243.7
864.588,4221.0
864.861,4217.5
865.133,4225.5
865.406,4201.5
865.678,4216.1
865.951,4210.4
866.223,4210.8
866.496,4222.6
866.768,4217.9
867.041,4212.8
867.313,4228.8
867.586,4232.3
867.858,4225.8
868.131,4223.4
868.403,4211.8
868.675,4206.4
868.948,4202.0
869.22,4200.2
869.493,4200.1
869.765,4210.9
870.037,4198.8
870.31,4197.8
870.582,4202.9
870.854,4200.8
871.127,4200.7
871.399,4202.3
871.672,4203.3
871.944,4196.1
872.216,4203.9
872.488,4205.1
872.761,4208.1
873.033,4210.4
873.305,4196.8
873.578,4201.5
873.85,4197.4
874.122,4206.0
874.394,4199.9
874.667,4200.9
874.939,4201.2
875.211,4212.5
875.483,4210.8
875.756,4236.6
876.028,4241.8
876.3,4226.6
876.572,4221.9
876.845,4222.9
877.117,4217.9
877.389,4219.4
877.661,4196.4
877.933,4204.4
878.205,4199.2
878.478,4177.8
878.75,4181.3
879.022,4180.7
879.294,4188.1
879.566,4176.9
879.838,4170.9
880.11,4168.6
880.382,4165.0
880.654,4155.6
880.927,4154.5
881.199,4143.8
881.471,4140.6
881.743,4149.0
882.015,4144.2
882.287,4143.5
882.559,4154.4
882.831,4148.8
883.103,4147.6
883.375,4151.4
883.647,4164.0
883.919,4155.1
884.191,4173.0
884.463,4177.2
884.735,4182.3
885.007,4184.8
885.279,4203.5
885.551,4202.6
885.823,4200.7
886.095,4214.0
886.367,4196.3
886.639,4188.5
886.91,4176.7
887.182,4174.2
887.454,4150.9
887.726,4139.5
887.998,4128.7
888.27,4119.5
888.542,4112.4
888.814,4108.3
889.085,4113.7
889.357,4096.0
889.629,4100.5
889.901,4107.4
890.173,4104.3
890.445,4119.8
890.716,4105.6
890.988,4100.4
891.26,4104.3
891.532,4107.4
891.804,4102.1
892.075,4103.6
892.347,4092.5
892.619,4098.1
892.891,4087.8
893.162,4095.3
893.434,4087.2
893.706,4094.6
893.978,4086.5
894.249,4083.8
894.521,4076.5
894.793,4070.1
895.064,4072.6
895.336,4068.9
895.608,4071.8
895.879,4069.7
896.151,4065.9
896.423,4061.9
896.694,4068.8
896.966,4061.0
897.237,4063.0
897.509,4060.4
897.781,4059.6
898.052,4051.0
898.324,4059.0
898.595,4062.7
898.867,4043.2
899.139,4046.4
899.41,4050.3
899.682,4041.0
899.953,4035.6
900.225,4043.3
900.496,4043.6
900.768,4050.7
901.039,4039.4
901.311,4033.1
901.582,4023.1
901.854,4024.7
902.125,4023.6
902.397,4025.3
902.668,4020.0
902.94,4024.5
903.211,4023.6
903.482,4025.8
903.754,4016.9
904.025,4020.1
904.297,4010.6
904.568,4013.7
904.839,4005.9
905.111,4007.9
905.382,4015.4
905.654,4009.6
905.925,4004.7
906.196,4008.6
906.468,3999.5
906.739,4000.1
907.01,4002.4
907.282,3991.8
907.553,4000.2
907.824,3988.9
908.096,3985.7
908.367,3980.5
908.638,3993.4
908.909,3984.7
909.181,3987.1
909.452,3981.0
909.723,3980.5
909.994,3979.6
910.266,3976.7
910.537,3973.7
910.808,3966.6
911.079,3972.7
911.35,3969.5
911.622,3964.9
911.893,3964.8
912.164,3971.7
912.435,3970.0
912.706,3966.7
912.977,3960.3
913.249,3970.3
913.52,3961.1
913.791,3962.4
914.062,3964.1
914.333,3959.8
914.604,3945.8
914.875,3949.0
915.146,3948.7
915.417,3955.3
915.688,3952.2
915.959,3946.5
916.231,3944.9
916.502,3943.5
916.773,3945.0
917.044,3941.2
917.315,3936.9
917.586,3936.9
917.857,3939.7
918.128,3936.1
918.399,3936.7
918.67,3936.7
918.941,3932.8
919.211,3925.9
919.482,3932.1
919.753,3926.4
920.024,3929.4
920.295,3926.6
920.566,3924.3
920.837,3922.2
921.108,3917.0
921.379,3921.2
921.65,3922.9
921.921,3921.2
922.191,3919.4
922.462,3914.5
922.733,3917.2
923.004,3917.5
923.275,3916.2
923.546,3907.7
923.816,3906.1
924.087,3902.0
924.358,3909.1
924.629,3902.2
924.9,3901.9
925.17,3897.5
925.441,3900.0
925.712,3897.0
925.983,3894.0
926.253,3893.8
926.524,3893.9
926.795,3902.7
927.065,3896.6
927.336,3892.2
927.607,3889.1
927.877,3886.0
928.148,3887.2
928.419,3884.8
928.689,3881.6
928.96,3880.1
929.231,3885.8
929.501,3880.1
929.772,3877.8
930.043,3881.2
930.313,3877.4
930.584,3877.6
930.854,3878.8
931.125,3870.4
931.396,3870.9
931.666,3874.1
931.937,3875.3
932.207,3873.7
932.478,3870.8
932.748,3864.6
933.019,3863.7
933.289,3868.6
933.56,3862.5
933.83,3868.5
934.101,3871.5
934.371,3864.8
934.642,3859.7
934.912,3862.0
935.183,3866.1
935.453,3854.3
935.723,3851.2
935.994,3862.6
936.264,3855.3
936.535,3853.8
936.805,3853.8
937.075,3857.4
937.346,3850.0
937.616,3853.5
937.886,3849.3
938.157,3843.9
938.427,3843.6
938.697,3841.5
938.968,3849.1
939.238,3853.9
939.508,3846.4
939.779,3848.6
940.049,3848.8
940.319,3840.9
940.59,3843.4
940.86,3845.9
941.13,3846.3
941.4,3841.8
941.671,3838.1
941.941,3840.6
942.211,3837.5
942.481,3840.5
942.751,3837.5
943.022,3833.4
943.292,3834.4
943.562,3833.1
943.832,3834.7
944.102,3832.3
944.372,3828.6
944.642,3828.9
944.913,3834.2
945.183,3834.4
945.453,3830.0
945.723,3833.1
945.993,3830.4
946.263,3827.5
946.533,3829.1
946.803,3827.3
947.073,3824.3
947.343,3824.0
947.613,3826.8
947.883,3824.6
948.153,3822.5
948.423,3823.2
948.693,3824.3
948.963,3819.8
