nm,Intensity
791.75,9497.4
792.024,9488.45
792.298,9380.7
792.572,9302.5
792.846,9252.05
793.12,9198.2
793.394,9052.1
793.668,9047.9
793.942,9018.0
794.215,8797.45
794.489,8694.85
794.763,8645.3
795.037,8529.1
795.311,8350.6
795.585,8321.2
795.859,8332.1
796.133,8045.35
796.407,8016.05
796.681,7929.05
796.955,7939.15
797.228,7940.7
797.502,7872.7
797.776,7766.35
798.05,7782.4
798.324,7792.9
798.598,7593.6
798.871,7640.0
799.145,7670.75
799.419,7606.8
799.693,7564.6
799.967,7644.55
800.241,7615.45
800.514,7579.05
800.788,7527.1
801.062,7452.9
801.336,7446.05
801.61,7492.35
801.883,7470.55
802.157,7404.45
802.431,7321.2
802.705,7385.95
802.978,7488.35
803.252,7402.3
803.526,7462.75
803.8,7431.7
804.073,7337.55
804.347,7299.65
804.621,7413.4
804.894,7298.35
805.168,7386.15
805.442,7363.85
805.715,7387.15
805.989,7325.0
806.263,7329.6
806.536,7357.2
806.81,7426.5
807.084,7483.35
807.357,7403.2
807.631,7386.35
807.905,7460.3
808.178,7396.85
808.452,7381.9
808.726,7502.05
808.999,7466.85
809.273,7473.25
809.546,7497.5
809.82,7574.05
810.094,7576.15
810.367,7615.4
810.641,7561.65
810.914,7569.9
811.188,7507.4
811.461,7435.05
811.735,7543.05
812.008,7724.15
812.282,7680.2
812.556,7555.45
812.829,7539.85
813.103,7552.4
813.376,7587.3
813.65,7594.3
813.923,7565.7
814.197,7578.7
814.47,7574.15
814.744,7551.2
815.017,7600.55
815.29,7637.65
815.564,7699.45
815.837,7564.55
816.111,7564.85
816.384,7490.5
816.658,7585.75
816.931,7669.2
817.205,7668.8
817.478,7679.95
817.751,7574.75
818.025,7640.45
818.298,7598.0
818.572,7662.5
818.845,7749.2
819.118,7792.85
819.392,7703.65
819.665,7626.8
819.938,7781.75
820.212,7641.65
820.485,7723.75
820.758,7800.75
821.032,7779.0
821.305,7624.2
821.578,7553.4
821.852,7738.1
822.125,7714.9
822.398,7713.2
822.672,7562.3
822.945,7539.3
823.218,7474.3
823.491,7633.8
823.765,7700.05
824.038,7595.85
824.311,7523.8
824.585,7429.2
824.858,7606.75
825.131,7462.8
825.404,7421.25
825.677,7483.5
825.951,7469.35
826.224,7378.7
826.497,7391.95
826.77,7377.9
827.043,7416.45
827.317,7357.4
827.59,7339.4
827.863,7360.55
828.136,7404.85
828.409,7260.6
828.682,7249.7
828.956,7298.4
829.229,7428.8
829.502,7393.55
829.775,7353.2
830.048,7320.65
830.321,7313.95
830.594,7244.9
830.867,7250.95
831.14,7257.9
831.413,7299.5
831.687,7346.15
831.96,7296.4
832.233,7197.25
832.506,7225.65
832.779,7235.5
833.052,7301.55
833.325,7268.35
833.598,7363.45
833.871,7193.4
834.144,7142.3
834.417,7245.65
834.69,7315.15
