nm,Intensity
791.588,4288.5
791.862,4287.1
792.136,4274.9
792.411,4281.8
792.685,4250.0
792.959,4253.9
793.233,4251.2
793.507,4272.6
793.781,4269.8
794.056,4278.1
794.33,4253.3
794.604,4253.5
794.878,4250.7
795.152,4257.2
795.426,4275.7
795.701,4270.4
795.975,4256.8
796.249,4245.2
796.523,4234.7
796.797,4241.8
797.071,4246.4
797.345,4251.4
797.619,4264.8
797.894,4254.9
798.168,4255.0
798.442,4254.2
798.716,4246.8
798.99,4248.7
799.264,4248.4
799.538,4247.2
799.812,4239.8
800.086,4229.3
800.36,4235.0
800.634,4250.5
800.908,4235.7
801.182,4228.3
801.456,4228.5
801.73,4225.1
802.004,4228.3
802.278,4233.8
802.552,4220.5
802.826,4226.6
803.1,4231.7
803.374,4219.0
803.648,4205.3
803.922,4206.5
804.196,4217.9
804.47,4228.3
804.744,4210.0
805.018,4224.5
805.292,4236.6
805.566,4238.4
805.84,4226.9
806.114,4227.4
806.388,4217.7
806.662,4210.7
806.936,4213.6
807.209,4217.4
807.483,4220.4
807.757,4214.2
808.031,4221.3
808.305,4193.4
808.579,4202.5
808.853,4198.6
809.127,4199.2
809.4,4192.7
809.674,4184.3
809.948,4201.7
810.222,4212.9
810.496,4206.3
810.77,4215.7
811.043,4190.3
811.317,4187.2
811.591,4178.6
811.865,4170.3
812.139,4168.9
812.412,4157.1
812.686,4152.1
812.96,4147.7
813.234,4136.1
813.507,4118.4
813.781,4119.3
814.055,4124.9
814.329,4124.7
814.602,4116.1
814.876,4105.3
815.15,4093.2
815.424,4108.9
815.697,4098.9
815.971,4097.2
816.245,4098.2
816.518,4100.3
816.792,4105.9
817.066,4107.5
817.34,4102.4
817.613,4100.1
817.887,4082.1
818.161,4079.8
818.434,4077.0
818.708,4088.2
818.981,4102.1
819.255,4081.0
819.529,4082.1
819.802,4075.9
820.076,4086.9
820.35,4101.2
820.623,4122.1
820.897,4116.2
821.17,4105.7
821.444,4095.7
821.718,4089.4
821.991,4092.1
822.265,4078.5
822.538,4050.8
822.812,4028.6
823.085,4026.1
823.359,4033.2
823.632,4063.3
823.906,4071.0
824.179,4083.4
824.453,4098.4
824.727,4116.1
825.0,4099.9
825.274,4097.2
825.547,4081.7
825.821,4082.4
826.094,4068.9
826.367,4074.0
826.641,4074.5
826.914,4087.7
827.188,4069.9
827.461,4056.9
827.735,4044.5
828.008,4039.7
828.282,4058.4
828.555,4059.7
828.828,4058.7
829.102,4060.9
829.375,4049.2
829.649,4052.3
829.922,4051.1
830.195,4048.6
830.469,4049.4
830.742,4060.5
831.016,4049.9
831.289,4044.1
831.562,4046.4
831.836,4044.4
832.109,4041.5
832.382,4048.1
832.656,4050.0
832.929,4054.9
833.202,4039.6
833.476,4037.5
833.749,4042.7
834.022,4047.2
834.295,4051.0
834.569,4058.6
834.842,4056.8
835.115,4056.9
835.388,4061.8
835.662,4056.2
835.935,4052.6
836.208,4058.9
836.481,4062.6
836.755,4061.1
837.028,4057.1
837.301,4064.7
837.574,4078.1
837.848,4083.3
838.121,4087.3
838.394,4084.4
838.667,4073.9
838.94,4066.3
839.213,4066.3
839.487,4069.9
839.76,4070.4
840.033,4084.6
840.306,4073.7
840.579,4074.7
840.852,4071.2
841.125,4055.5
841.399,4057.9
841.672,4057.3
841.945,4055.3
842.218,4059.5
842.491,4049.4
842.764,4049.9
843.037,4051.6
843.31,4038.0
843.583,4043.0
843.856,4047.1
844.129,4047.6
844.402,4052.7
844.675,4050.6
844.948,4053.3
845.221,4058.8
845.495,4039.3
845.768,4047.2
846.041,4052.1
846.314,4050.3
846.586,4055.7
846.859,4039.9
847.132,4042.4
847.405,4042.8
847.678,4039.0
847.951,4047.2
848.224,4040.9
848.497,4040.8
848.77,4037.3
849.043,4033.8
849.316,4035.4
849.589,4031.3
849.862,4042.3
850.135,4035.7
850.408,4044.8
850.68,4023.0
850.953,4042.8
851.226,4033.8
851.499,4055.4
851.772,4064.9
852.045,4082.0
852.318,4092.4
852.591,4088.4
852.863,4068.7
853.136,4044.0
853.409,4021.4
853.682,4007.2
853.955,3993.1
854.227,4002.7
854.5,4006.8
854.773,4004.7
855.046,4019.9
855.318,4017.6
855.591,4019.2
855.864,4019.5
856.137,4020.3
856.409,4018.6
856.682,4014.4
856.955,4020.2
857.228,4016.8
857.5,4014.7
857.773,4016.3
858.046,4013.6
858.318,4016.0
858.591,4023.6
858.864,4014.9
859.136,4016.8
859.409,4010.6
859.682,4017.2
859.954,4018.2
860.227,4013.6
860.5,4011.7
860.772,4019.7
861.045,4014.0
861.318,4022.4
861.59,4015.6
861.863,4023.2
862.135,4027.6
862.408,4032.9
862.681,4026.6
862.953,4035.7
863.226,4032.5
863.498,4036.9
863.771,4032.5
864.043,4025.7
864.316,4021.3
864.588,4015.8
864.861,4008.0
865.133,4000.9
865.406,3999.4
865.678,3996.2
865.951,3983.5
866.223,3995.3
866.496,3986.3
866.768,3990.4
867.041,3989.5
867.313,3998.2
867.586,3998.7
867.858,3995.8
868.131,3994.3
868.403,3997.9
868.675,3998.2
868.948,3998.7
869.22,3999.4
869.493,3996.8
869.765,3996.9
870.037,4000.1
870.31,3994.4
870.582,3996.6
870.854,3998.7
871.127,3999.9
871.399,3996.7
871.672,3985.3
871.944,3988.2
872.216,3988.6
872.488,3991.8
872.761,3990.0
873.033,3987.8
873.305,3988.2
873.578,3986.6
873.85,3993.7
874.122,3985.1
874.394,3988.9
874.667,3987.8
874.939,3991.4
875.211,3994.9
875.483,3982.0
875.756,4001.5
876.028,3992.6
876.3,3995.8
876.572,4002.1
876.845,3993.9
877.117,3983.0
877.389,3991.7
877.661,3982.8
877.933,3982.2
878.205,3983.8
878.478,3982.5
878.75,3987.4
879.022,3972.9
879.294,3972.6
879.566,3968.0
879.838,3967.3
880.11,3973.3
880.382,3967.2
880.654,3971.5
880.927,3956.3
881.199,3962.8
881.471,3962.2
881.743,3956.9
882.015,3958.0
882.287,3964.5
882.559,3957.6
882.831,3954.2
883.103,3957.9
883.375,3960.2
883.647,3957.4
883.919,3960.9
884.191,3960.3
884.463,3966.0
884.735,3963.8
885.007,3971.9
885.279,3971.1
885.551,3961.3
885.823,3966.7
886.095,3960.5
886.367,3966.3
886.639,3958.7
886.91,3967.7
887.182,3961.0
887.454,3950.5
887.726,3947.0
887.998,3941.1
888.27,3940.8
888.542,3936.2
888.814,3938.1
889.085,3939.8
889.357,3929.2
889.629,3930.8
889.901,3930.4
890.173,3930.3
890.445,3927.9
890.716,3931.0
890.988,3925.2
891.26,3922.3
891.532,3919.1
891.804,3919.6
892.075,3915.7
892.347,3921.2
892.619,3909.1
892.891,3913.2
893.162,3911.6
893.434,3910.7
893.706,3902.4
893.978,3902.8
894.249,3896.4
894.521,3896.4
894.793,3890.4
895.064,3884.0
895.336,3883.1
895.608,3882.5
895.879,3881.5
896.151,3882.3
896.423,3873.3
896.694,3874.8
896.966,3877.6
897.237,3875.9
897.509,3877.0
897.781,3870.8
898.052,3864.5
898.324,3864.7
898.595,3870.4
898.867,3867.1
899.139,3864.3
899.41,3865.8
899.682,3862.1
899.953,3859.6
900.225,3865.0
900.496,3860.1
900.768,3859.9
901.039,3857.8
901.311,3858.6
901.582,3855.7
901.854,3854.3
902.125,3858.6
902.397,3858.2
902.668,3864.2
902.94,3859.3
903.211,3866.8
903.482,3867.1
903.754,3864.3
904.025,3868.2
904.297,3866.4
904.568,3868.6
904.839,3866.9
905.111,3865.0
905.382,3866.4
905.654,3860.8
905.925,3853.9
906.196,3849.8
906.468,3849.8
906.739,3849.2
907.01,3846.1
907.282,3845.5
907.553,3844.6
