nm,Intensity
791.588,8075.2
791.862,8063.8
792.136,8100.8
792.411,8156.2
792.685,8155.1
792.959,8119.7
793.233,8024.9
793.507,8106.0
793.781,8026.4
794.056,8096.6
794.33,8162.1
794.604,8165.7
794.878,8071.7
795.152,7989.3
795.426,7998.5
795.701,8079.2
795.975,8074.4
796.249,7977.5
796.523,8000.1
796.797,7995.2
797.071,8046.7
797.345,8085.7
797.619,8129.1
797.894,8083.8
798.168,8071.8
798.442,8110.3
798.716,8118.2
798.99,8076.4
799.264,8069.3
799.538,7993.6
799.812,8033.4
800.086,8060.6
800.36,8092.1
800.634,8109.1
800.908,8173.2
801.182,8083.5
801.456,8122.6
801.73,8048.0
802.004,8030.9
802.278,8110.0
802.552,8066.6
802.826,8077.4
803.1,8102.1
803.374,8058.0
803.648,8030.7
803.922,8100.1
804.196,8011.0
804.47,8009.5
804.744,8062.7
805.018,8007.8
805.292,8072.9
805.566,8090.6
805.84,8057.0
806.114,8099.7
806.388,8108.0
806.662,8059.4
806.936,7964.8
807.209,7970.6
807.483,8000.3
807.757,7938.0
808.031,7897.5
808.305,7957.1
808.579,7958.2
808.853,7951.3
809.127,7993.5
809.4,7989.9
809.674,7917.1
809.948,7942.5
810.222,7869.3
810.496,7856.3
810.77,7775.9
811.043,7816.3
811.317,7858.9
811.591,7839.0
811.865,7798.0
812.139,7780.1
812.412,7760.0
812.686,7779.9
812.96,7772.8
813.234,7786.9
813.507,7750.3
813.781,7716.1
814.055,7751.4
814.329,7701.2
814.602,7608.8
814.876,7582.5
815.15,7664.8
815.424,7716.1
815.697,7667.4
815.971,7689.6
816.245,7626.3
816.518,7676.9
816.792,7591.4
817.066,7566.4
817.34,7593.6
817.613,7615.9
817.887,7534.7
818.161,7445.9
818.434,7496.0
818.708,7578.6
818.981,7480.6
819.255,7519.0
819.529,7512.1
819.802,7465.6
820.076,7490.3
820.35,7496.3
820.623,7548.5
820.897,7513.6
821.17,7525.1
821.444,7443.5
821.718,7431.2
821.991,7413.0
822.265,7440.0
822.538,7415.5
822.812,7300.3
823.085,7287.3
823.359,7345.8
823.632,7346.0
823.906,7409.4
824.179,7385.2
824.453,7404.0
824.727,7389.5
825.0,7346.7
825.274,7376.0
825.547,7393.4
825.821,7351.4
826.094,7340.1
826.367,7289.7
826.641,7367.1
826.914,7248.0
827.188,7271.0
827.461,7246.4
827.735,7297.9
828.008,7249.9
828.282,7203.9
828.555,7256.2
828.828,7269.2
829.102,7238.9
829.375,7179.3
829.649,7186.3
829.922,7140.0
830.195,7169.0
830.469,7125.1
830.742,7226.1
831.016,7195.9
831.289,7167.1
831.562,7197.5
831.836,7133.4
832.109,7086.4
832.382,7102.9
832.656,7109.9
832.929,7095.4
833.202,7092.7
833.476,7061.8
833.749,7066.5
834.022,7082.8
834.295,7087.5
834.569,7042.9
834.842,7033.1
835.115,7018.3
835.388,7025.7
835.662,7015.1
835.935,7017.9
836.208,7000.7
836.481,6976.2
836.755,6977.5
837.028,7003.4
837.301,7000.1
837.574,6973.8
837.848,6993.5
838.121,7020.2
838.394,6913.8
838.667,6873.2
838.94,6963.9
839.213,6975.2
839.487,6971.2
839.76,6876.4
840.033,6891.4
840.306,6817.1
840.579,6853.4
840.852,6887.6
841.125,6829.4
841.399,6857.2
841.672,6879.9
841.945,6809.4
842.218,6819.7
842.491,6836.3
842.764,6732.5
843.037,6764.4
843.31,6761.0
843.583,6754.4
843.856,6762.6
844.129,6752.2
844.402,6721.2
844.675,6753.2
844.948,6739.9
845.221,6679.3
845.495,6710.5
845.768,6686.7
846.041,6687.7
846.314,6702.1
846.586,6625.2
846.859,6663.0
847.132,6598.0
847.405,6633.7
847.678,6620.9
847.951,6583.7
848.224,6573.4
848.497,6576.7
848.77,6574.1
849.043,6512.8
849.316,6540.4
849.589,6532.6
849.862,6476.6
850.135,6465.7
850.408,6501.5
850.68,6537.6
850.953,6486.0
851.226,6458.2
851.499,6490.4
851.772,6506.1
852.045,6509.2
852.318,6449.4
852.591,6433.2
852.863,6456.7
853.136,6440.1
853.409,6464.4
853.682,6385.6
853.955,6325.0
854.227,6317.8
854.5,6350.5
854.773,6392.8
855.046,6353.9
855.318,6293.3
855.591,6303.6
855.864,6348.0
856.137,6372.4
856.409,6349.1
856.682,6284.5
856.955,6280.1
857.228,6290.0
857.5,6346.5
857.773,6352.0
858.046,6341.2
858.318,6271.8
858.591,6211.1
858.864,6203.3
859.136,6263.9
859.409,6308.2
859.682,6301.3
859.954,6290.0
860.227,6262.7
860.5,6263.9
860.772,6288.1
861.045,6279.0
861.318,6338.1
861.59,6318.2
861.863,6294.4
862.135,6289.1
862.408,6282.5
862.681,6255.4
862.953,6231.1
863.226,6241.5
863.498,6241.6
863.771,6207.3
864.043,6170.8
864.316,6138.7
864.588,6144.0
864.861,6141.1
865.133,6129.6
865.406,6109.5
865.678,6081.8
865.951,6107.5
866.223,6125.7
866.496,6106.8
866.768,6105.5
867.041,6068.4
867.313,6056.6
867.586,6090.9
867.858,6101.3
868.131,6049.0
868.403,6047.8
868.675,6009.6
868.948,6012.7
869.22,5983.1
869.493,6002.0
869.765,6059.2
870.037,6007.0
870.31,5985.8
870.582,5981.0
870.854,5999.8
871.127,6001.9
871.399,6034.2
871.672,6070.9
871.944,6044.9
872.216,6058.6
872.488,6024.6
872.761,6007.3
873.033,5984.6
873.305,5984.3
873.578,5934.4
873.85,5851.4
874.122,5885.6
874.394,5856.5
874.667,5869.0
874.939,5843.9
875.211,5838.4
875.483,5814.4
875.756,5841.3
876.028,5854.2
876.3,5845.7
876.572,5860.7
876.845,5844.0
877.117,5853.7
877.389,5830.2
877.661,5835.1
877.933,5873.8
878.205,5787.4
878.478,5708.8
878.75,5746.2
879.022,5721.6
879.294,5734.3
879.566,5734.4
879.838,5686.3
880.11,5653.6
880.382,5635.1
880.654,5668.7
880.927,5655.5
881.199,5650.2
881.471,5624.4
881.743,5609.9
882.015,5642.0
882.287,5589.9
882.559,5565.2
882.831,5607.1
883.103,5602.2
883.375,5624.5
883.647,5643.1
883.919,5632.7
884.191,5580.0
884.463,5497.6
884.735,5510.6
885.007,5474.0
885.279,5487.3
885.551,5540.4
885.823,5524.6
886.095,5505.7
886.367,5522.6
886.639,5513.9
886.91,5457.6
887.182,5434.2
887.454,5415.0
887.726,5425.4
887.998,5403.3
888.27,5373.5
888.542,5388.7
888.814,5394.2
889.085,5389.1
889.357,5389.4
889.629,5415.0
889.901,5448.7
890.173,5420.5
890.445,5375.6
890.716,5351.9
890.988,5332.9
891.26,5314.7
891.532,5284.0
891.804,5308.9
892.075,5339.4
892.347,5358.0
892.619,5324.2
892.891,5354.1
893.162,5264.4
893.434,5254.8
893.706,5261.0
893.978,5262.4
894.249,5285.2
894.521,5266.8
894.793,5232.2
895.064,5253.6
895.336,5238.7
895.608,5261.2
895.879,5259.4
896.151,5240.5
896.423,5206.6
896.694,5186.6
896.966,5161.6
897.237,5157.7
897.509,5151.8
897.781,5153.3
898.052,5151.7
898.324,5127.7
898.595,5090.7
898.867,5089.8
899.139,5077.5
899.41,5087.2
899.682,5053.8
899.953,5065.6
900.225,5033.2
900.496,5011.6
900.768,5031.2
901.039,5019.0
901.311,5006.8
901.582,4995.6
901.854,4992.5
902.125,4989.1
902.397,5023.6
902.668,5011.0
902.94,4968.8
903.211,4949.2
903.482,4971.2
903.754,4991.1
904.025,4987.5
904.297,4956.7
904.568,4959.9
904.839,4948.1
905.111,4933.3
905.382,4921.9
905.654,4909.2
905.925,4900.8
906.196,4869.2
906.468,4908.5
906.739,4903.2
907.01,4856.2
907.282,4855.1
907.553,4882.3
907.824,4890.1
908.096,4854.1
908.367,4862.3
908.638,4850.4
908.909,4831.3
909.181,4814.7
909.452,4804.3
909.723,4819.3
909.994,4841.0
910.266,4807.9
910.537,4789.8
910.808,4795.2
911.079,4823.4
911.35,4797.6
911.622,4790.2
911.893,4772.2
912.164,4768.5
912.435,4746.2
912.706,4732.7
912.977,4736.5
913.249,4745.2
913.52,4750.2
913.791,4772.0
914.062,4714.4
914.333,4699.3
914.604,4710.0
914.875,4695.4
915.146,4671.7
915.417,4675.2
915.688,4656.8
915.959,4677.4
916.231,4660.1
916.502,4673.3
916.773,4685.7
917.044,4666.6
917.315,4679.8
917.586,4690.3
917.857,4643.8
918.128,4645.8
918.399,4631.3
918.67,4644.5
918.941,4634.5
919.211,4607.8
919.482,4587.9
919.753,4626.7
920.024,4606.1
920.295,4586.1
920.566,4575.5
920.837,4592.8
921.108,4600.7
921.379,4584.9
921.65,4545.7
921.921,4572.4
922.191,4553.9
922.462,4543.6
922.733,4529.6
923.004,4530.5
923.275,4516.4
923.546,4530.1
923.816,4514.6
924.087,4515.3
924.358,4521.0
924.629,4503.3
924.9,4494.2
925.17,4507.0
925.441,4486.3
925.712,4490.8
925.983,4485.6
926.253,4474.8
926.524,4459.7
926.795,4467.8
927.065,4445.3
927.336,4438.6
927.607,4459.7
927.877,4451.7
928.148,4427.1
928.419,4413.1
928.689,4417.5
928.96,4397.3
929.231,4400.1
929.501,4390.7
929.772,4382.6
930.043,4393.5
930.313,4372.4
930.584,4361.1
930.854,4371.3
931.125,4377.6
931.396,4353.4
931.666,4358.1
931.937,4355.2
932.207,4329.6
932.478,4307.5
932.748,4306.3
933.019,4314.4
933.289,4326.1
933.56,4312.7
933.83,4305.1
934.101,4312.3
934.371,4300.5
934.642,4302.6
934.912,4303.0
935.183,4299.1
935.453,4294.0
935.723,4277.1
935.994,4290.1
936.264,4285.6
936.535,4262.1
936.805,4256.2
937.075,4260.3
937.346,4244.1
937.616,4254.8
937.886,4254.1
938.157,4250.8
938.427,4240.8
938.697,4234.2
938.968,4226.8
