nm,Intensity
791.75,4973.15
792.024,4911.9
792.298,4841.05
792.572,4815.4
792.846,4800.75
793.12,4787.7
793.394,4793.3
793.668,4769.15
793.942,4764.05
794.215,4768.4
794.489,4791.25
794.763,4814.0
795.037,4780.9
795.311,4790.85
795.585,4803.8
795.859,4790.6
796.133,4774.35
796.407,4762.25
796.681,4763.3
796.955,4725.55
797.228,4711.7
797.502,4705.85
797.776,4714.4
798.05,4697.2
798.324,4687.65
798.598,4717.85
798.871,4695.65
799.145,4691.45
799.419,4712.3
799.693,4691.65
799.967,4683.95
800.241,4681.25
800.514,4698.1
800.788,4710.3
801.062,4689.7
801.336,4655.8
801.61,4645.4
801.883,4653.8
802.157,4697.3
802.431,4708.75
802.705,4686.85
802.978,4644.45
803.252,4652.45
803.526,4642.6
803.8,4608.45
804.073,4617.25
804.347,4631.4
804.621,4641.15
804.894,4635.1
805.168,4618.4
805.442,4622.4
805.715,4630.5
805.989,4595.05
806.263,4598.9
806.536,4591.7
806.81,4567.3
807.084,4562.4
807.357,4561.35
807.631,4577.9
807.905,4582.05
808.178,4589.05
808.452,4553.8
808.726,4559.2
808.999,4547.2
809.273,4590.45
809.546,4633.95
809.82,4648.95
810.094,4680.7
810.367,4669.7
810.641,4605.85
810.914,4566.45
811.188,4554.95
811.461,4524.15
811.735,4515.9
812.008,4525.2
812.282,4532.3
812.556,4521.55
812.829,4527.2
813.103,4513.5
813.376,4522.95
813.65,4525.85
813.923,4518.75
814.197,4512.55
814.47,4501.9
814.744,4480.0
815.017,4467.55
815.29,4447.4
815.564,4454.4
815.837,4453.5
816.111,4452.7
816.384,4445.8
816.658,4443.65
816.931,4427.75
817.205,4431.05
817.478,4424.1
817.751,4439.6
818.025,4455.75
818.298,4446.5
818.572,4438.55
818.845,4427.1
819.118,4429.5
819.392,4421.4
819.665,4398.7
819.938,4398.15
820.212,4412.85
820.485,4403.05
820.758,4402.55
821.032,4397.0
821.305,4384.65
821.578,4368.5
821.852,4363.5
822.125,4354.75
822.398,4358.25
822.672,4358.35
822.945,4345.15
823.218,4373.0
823.491,4359.35
823.765,4358.15
824.038,4355.05
824.311,4348.85
824.585,4353.95
824.858,4359.5
825.131,4332.75
825.404,4316.6
825.677,4330.4
825.951,4356.8
826.224,4350.05
826.497,4323.4
826.77,4323.95
827.043,4312.85
827.317,4306.15
827.59,4302.65
827.863,4312.0
828.136,4310.25
828.409,4311.55
828.682,4319.95
828.956,4322.1
829.229,4307.05
829.502,4299.15
829.775,4291.1
830.048,4286.2
830.321,4292.8
830.594,4303.6
830.867,4295.9
831.14,4315.2
831.413,4295.0
831.687,4288.05
831.96,4284.5
832.233,4285.5
832.506,4278.45
832.779,4275.9
833.052,4297.45
833.325,4287.5
833.598,4281.65
833.871,4273.4
834.144,4278.2
834.417,4280.9
834.69,4263.75
834.963,4265.85
835.236,4275.65
835.509,4260.15
835.782,4270.2
836.055,4270.6
836.328,4283.6
836.601,4276.0
836.874,4291.35
837.147,4341.1
837.419,4389.4
837.692,4420.55
837.965,4397.85
838.238,4372.7
838.511,4334.25
838.784,4305.4
839.057,4299.75
839.33,4323.85
839.603,4347.95
839.876,4368.65
840.148,4369.55
840.421,4346.3
840.694,4310.45
840.967,4269.05
841.24,4255.0
841.513,4245.65
841.785,4262.45
842.058,4241.75
842.331,4235.3
842.604,4239.65
842.877,4231.05
843.149,4234.95
843.422,4220.95
843.695,4230.05
843.968,4241.6
844.24,4238.6
844.513,4233.85
844.786,4217.6
845.059,4207.75
845.331,4222.0
845.604,4213.75
845.877,4211.6
846.15,4211.25
846.422,4200.9
846.695,4213.85
846.968,4217.8
847.24,4225.75
847.513,4221.25
847.786,4217.2
848.058,4218.0
848.331,4218.45
848.604,4224.15
848.876,4229.35
849.149,4240.4
849.421,4250.05
849.694,4245.8
849.967,4228.2
850.239,4206.2
850.512,4215.0
850.784,4216.75
851.057,4223.7
851.33,4233.2
851.602,4219.9
851.875,4222.3
852.147,4197.85
852.42,4195.35
852.692,4199.2
852.965,4196.2
853.237,4199.1
853.51,4205.6
853.782,4210.15
854.055,4215.75
854.327,4189.9
854.6,4185.8
854.872,4191.6
855.145,4186.2
855.417,4184.2
855.69,4163.15
855.962,4159.05
856.235,4167.6
856.507,4173.75
856.779,4189.6
857.052,4224.05
857.324,4235.45
857.597,4241.4
857.869,4236.6
858.142,4201.5
858.414,4183.25
858.686,4174.55
858.959,4158.35
859.231,4163.45
859.503,4159.75
859.776,4150.05
860.048,4148.0
860.32,4145.05
860.593,4153.5
860.865,4154.3
861.137,4162.9
861.41,4159.6
861.682,4186.45
861.954,4222.95
862.226,4229.6
862.499,4225.25
862.771,4228.65
863.043,4234.6
863.315,4225.65
863.588,4208.05
863.86,4168.7
864.132,4162.65
864.404,4161.5
864.677,4162.1
864.949,4150.75
865.221,4135.2
865.493,4132.7
865.765,4134.65
866.038,4124.4
866.31,4126.25
866.582,4142.15
866.854,4155.85
867.126,4156.2
867.398,4159.9
867.67,4149.9
867.943,4152.15
868.215,4131.1
868.487,4129.0
868.759,4119.3
869.031,4111.05
869.303,4117.75
869.575,4122.8
869.847,4129.5
870.119,4124.0
870.391,4114.8
870.663,4125.95
870.935,4120.35
871.207,4114.7
871.479,4119.0
871.751,4128.3
872.023,4115.95
872.295,4103.0
872.567,4120.6
872.839,4124.95
873.111,4130.4
873.383,4113.65
873.655,4133.5
873.927,4131.75
874.199,4124.1
874.471,4134.4
874.743,4141.3
875.015,4145.85
875.287,4157.0
875.559,4170.7
875.831,4186.15
876.103,4182.55
876.374,4172.95
876.646,4148.7
876.918,4140.7
877.19,4120.05
877.462,4116.65
877.734,4125.05
878.006,4122.55
878.277,4110.1
878.549,4113.0
878.821,4109.25
879.093,4103.15
879.365,4102.85
879.636,4083.9
879.908,4077.05
880.18,4066.1
880.452,4063.7
880.723,4067.85
880.995,4063.85
881.267,4055.55
881.539,4054.15
881.81,4058.55
882.082,4061.05
882.354,4057.65
882.626,4059.15
882.897,4054.3
883.169,4072.75
883.441,4079.65
883.712,4085.0
883.984,4086.9
884.256,4102.5
884.527,4105.95
884.799,4126.6
885.07,4140.05
885.342,4160.35
885.614,4172.9
885.885,4158.55
886.157,4132.2
886.428,4111.25
886.7,4097.05
886.972,4077.25
887.243,4060.1
887.515,4050.45
887.786,4046.9
888.058,4036.7
888.329,4022.25
888.601,4014.45
888.872,4008.75
889.144,4012.5
889.415,4008.75
889.687,4010.5
889.958,4011.75
890.23,4009.45
890.501,4011.75
890.773,4016.9
891.044,4019.6
891.316,4018.2
891.587,4021.45
891.859,4015.95
892.13,4017.65
892.401,4006.55
892.673,3996.65
892.944,3990.8
893.216,3994.5
893.487,3987.25
893.758,3988.75
894.03,3978.7
894.301,3976.4
894.572,3975.4
894.844,3988.0
895.115,3980.35
895.386,3976.35
895.658,3971.1
895.929,3970.5
896.2,3966.25
896.472,3968.25
896.743,3967.15
897.014,3968.95
897.285,3964.75
897.557,3965.3
897.828,3966.3
898.099,3954.75
898.37,3954.0
898.642,3952.55
898.913,3950.45
899.184,3953.05
899.455,3951.9
899.726,3947.5
899.998,3946.7
900.269,3946.75
900.54,3950.35
900.811,3940.7
901.082,3940.1
901.353,3939.8
