nm,Intensity
791.377,5812.26
791.652,5760.34
791.927,5750.06
792.202,5690.9
792.477,5637.46
792.752,5611.68
793.027,5562.34
793.301,5538.4
793.576,5511.92
793.851,5508.2
794.126,5478.76
794.401,5508.34
794.676,5564.4
794.951,5521.84
795.225,5519.52
795.5,5552.58
795.775,5600.26
796.05,5604.56
796.325,5553.08
796.599,5502.94
796.874,5503.22
797.149,5468.98
797.424,5456.94
797.698,5429.0
797.973,5466.54
798.248,5491.8
798.523,5467.08
798.797,5422.7
799.072,5435.44
799.347,5449.58
799.622,5447.68
799.896,5443.04
800.171,5397.7
800.446,5426.02
800.72,5448.2
800.995,5401.38
801.27,5381.56
801.544,5394.46
801.819,5358.74
802.094,5363.58
802.368,5345.94
802.643,5321.78
802.918,5333.24
803.192,5301.26
803.467,5303.44
803.742,5288.96
804.016,5288.8
804.291,5322.94
804.565,5325.36
804.84,5308.62
805.114,5288.82
805.389,5301.5
805.664,5258.12
805.938,5257.48
806.213,5246.08
806.487,5229.38
806.762,5260.24
807.036,5250.56
807.311,5226.86
807.585,5205.56
807.86,5191.36
808.134,5229.4
808.409,5217.82
808.683,5189.12
808.958,5198.68
809.232,5180.76
809.507,5202.76
809.781,5242.88
810.056,5309.3
810.33,5349.9
810.605,5282.7
810.879,5212.56
811.153,5203.54
811.428,5157.98
811.702,5162.78
811.977,5166.46
812.251,5161.36
812.525,5161.0
812.8,5135.5
813.074,5113.3
813.349,5156.36
813.623,5144.4
813.897,5144.84
814.172,5165.62
814.446,5115.18
814.72,5089.78
814.995,5040.06
815.269,5057.38
815.543,5091.42
815.818,5094.34
816.092,5036.08
816.366,5027.22
816.64,5017.32
816.915,5048.92
817.189,5028.12
817.463,4995.74
817.737,4974.8
818.012,4991.04
818.286,5032.86
818.56,5027.2
818.834,5033.62
819.109,5013.26
819.383,5005.84
819.657,4970.08
819.931,4957.16
820.205,4940.92
820.48,4949.48
820.754,4960.04
821.028,4916.84
821.302,4914.6
821.576,4917.32
821.85,4914.86
822.125,4921.06
822.399,4921.24
822.673,4926.5
822.947,4905.9
823.221,4915.58
823.495,4909.36
823.769,4890.36
824.043,4872.28
824.317,4866.06
824.591,4884.1
824.865,4863.22
825.14,4885.54
825.414,4894.0
825.688,4833.58
825.962,4825.56
826.236,4842.94
826.51,4840.46
826.784,4824.86
827.058,4833.4
827.332,4837.58
827.606,4828.7
827.88,4813.94
828.154,4811.4
828.428,4778.74
828.702,4782.18
828.976,4803.34
829.249,4816.58
829.523,4806.78
829.797,4793.2
830.071,4775.28
830.345,4757.96
830.619,4764.62
830.893,4760.88
831.167,4740.9
831.441,4761.58
831.715,4775.38
831.988,4745.86
832.262,4737.62
832.536,4746.32
832.81,4736.38
833.084,4719.94
833.358,4761.12
833.632,4756.22
833.905,4724.46
834.179,4721.88
834.453,4717.08
834.727,4704.44
835.001,4725.58
835.274,4703.9
835.548,4703.36
835.822,4712.72
836.096,4713.88
836.369,4692.5
836.643,4693.62
836.917,4695.54
837.191,4741.96
837.464,4798.12
837.738,4837.94
838.012,4897.34
838.285,4891.58
838.559,4824.1
838.833,4775.92
839.106,4733.08
839.38,4707.04
839.654,4730.76
839.927,4770.28
840.201,4810.36
840.475,4825.94
840.748,4799.5
841.022,4750.84
841.295,4704.0
841.569,4679.38
841.843,4658.3
842.116,4632.5
842.39,4648.64
842.663,4640.58
842.937,4637.58
843.211,4622.82
843.484,4627.36
843.758,4628.58
844.031,4629.16
844.305,4646.34
844.578,4657.24
844.852,4656.48
845.125,4611.78
845.399,4589.2
845.672,4592.64
845.946,4602.92
846.219,4571.98
846.493,4577.02
846.766,4604.38
847.039,4617.92
847.313,4633.26
847.586,4620.24
847.86,4597.78
848.133,4623.36
848.407,4615.26
848.68,4594.14
848.953,4598.22
849.227,4612.26
849.5,4632.84
849.773,4651.42
850.047,4620.02
850.32,4610.64
850.593,4592.58
850.867,4603.44
851.14,4622.88
851.413,4612.68
851.687,4626.9
851.96,4626.26
852.233,4606.86
852.507,4573.46
852.78,4559.78
853.053,4563.76
853.326,4577.34
853.6,4565.38
853.873,4561.0
854.146,4583.02
854.419,4604.34
854.693,4602.72
854.966,4573.32
855.239,4567.78
855.512,4558.34
855.785,4546.02
856.059,4548.44
856.332,4537.0
856.605,4540.0
856.878,4521.52
857.151,4515.76
857.424,4529.02
857.698,4534.78
857.971,4525.5
858.244,4533.0
858.517,4525.3
858.79,4522.52
859.063,4546.2
859.336,4549.08
859.609,4544.14
859.882,4524.08
860.155,4503.24
860.428,4494.6
860.701,4511.92
860.974,4511.44
861.247,4507.14
861.52,4514.22
861.793,4532.3
862.066,4541.08
862.339,4562.2
862.612,4597.62
862.885,4621.86
863.158,4586.36
863.431,4582.88
863.704,4581.78
863.977,4580.3
864.25,4561.54
864.523,4550.14
864.796,4528.56
865.069,4504.36
865.342,4509.84
865.615,4496.3
865.888,4487.8
866.16,4482.3
866.433,4460.6
866.706,4477.4
866.979,4490.14
867.252,4502.4
867.525,4493.34
867.798,4500.4
868.07,4494.26
868.343,4480.6
868.616,4460.9
868.889,4474.6
869.162,4464.02
869.434,4461.3
869.707,4475.34
869.98,4462.8
870.253,4446.58
870.525,4461.42
870.798,4456.82
871.071,4464.54
871.344,4471.5
871.616,4465.16
871.889,4454.84
872.162,4457.12
872.434,4455.68
872.707,4448.24
872.98,4454.02
873.252,4449.42
873.525,4457.14
873.798,4455.74
874.07,4478.68
874.343,4475.84
874.615,4466.18
874.888,4458.16
875.161,4460.9
875.433,4476.16
875.706,4496.0
875.978,4498.88
876.251,4505.56
876.524,4502.54
876.796,4502.56
877.069,4516.5
877.341,4498.04
877.614,4451.78
877.886,4427.5
878.159,4439.9
878.431,4439.26
878.704,4430.18
878.976,4430.12
879.249,4431.18
879.521,4401.78
879.794,4401.58
880.066,4400.34
880.338,4392.22
880.611,4379.58
880.883,4381.9
881.156,4376.28
881.428,4363.84
881.7,4342.0
881.973,4334.68
882.245,4342.5
882.518,4351.82
882.79,4366.88
883.062,4370.58
883.335,4365.42
883.607,4354.34
883.879,4375.22
884.152,4384.08
884.424,4397.34
884.696,4410.94
884.968,4417.3
885.241,4417.54
885.513,4435.32
885.785,4456.72
886.058,4467.98
886.33,4472.76
886.602,4458.62
886.874,4426.54
887.146,4399.52
887.419,4366.76
887.691,4356.44
887.963,4335.02
888.235,4300.26
888.507,4293.62
888.78,4296.4
889.052,4295.92
889.324,4287.2
889.596,4280.92
889.868,4270.34
890.14,4283.68
890.412,4288.42
890.684,4280.18
890.957,4294.16
891.229,4285.36
891.501,4285.34
891.773,4277.56
892.045,4265.22
892.317,4251.96
892.589,4252.78
892.861,4258.16
893.133,4258.16
893.405,4251.06
893.677,4253.22
893.949,4255.02
894.221,4239.06
894.493,4227.78
894.765,4230.2
895.037,4225.68
895.309,4216.5
895.581,4221.48
895.853,4219.8
896.125,4222.74
896.397,4213.86
896.668,4206.88
896.94,4203.98
897.212,4205.66
897.484,4193.7
897.756,4216.2
898.028,4210.6
898.3,4193.32
898.571,4185.54
898.843,4194.84
899.115,4191.06
899.387,4182.24
899.659,4181.64
899.931,4179.16
900.202,4173.92
900.474,4173.56
900.746,4180.76
901.018,4171.04
901.289,4166.72
901.561,4162.62
901.833,4148.14
902.105,4149.68
902.376,4157.98
902.648,4161.06
902.92,4147.42
903.191,4140.76
903.463,4144.88
903.735,4142.48
904.006,4132.16
904.278,4131.4
904.55,4143.48
904.821,4139.18
905.093,4130.16
905.365,4126.96
905.636,4118.06
905.908,4110.8
906.179,4110.46
906.451,4116.06
906.722,4112.34
906.994,4110.4
907.266,4110.3
907.537,4103.72
907.809,4109.96
908.08,4106.58
908.352,4100.16
908.623,4098.2
908.895,4093.86
909.166,4088.44
909.438,4088.22
909.709,4083.18
909.981,4091.0
910.252,4086.04
910.523,4085.44
910.795,4075.44
911.066,4073.24
911.338,4079.04
911.609,4076.66
911.881,4079.66
912.152,4073.04
912.423,4074.96
912.695,4067.0
912.966,4058.4
913.237,4053.74
913.509,4046.58
913.78,4050.04
914.051,4065.26
914.323,4055.04
914.594,4041.66
914.865,4037.98
915.136,4046.4
915.408,4042.66
915.679,4040.8
915.95,4040.36
916.221,4037.78
916.493,4028.34
916.764,4036.16
917.035,4036.98
917.306,4032.66
917.578,4025.22
917.849,4023.3
918.12,4020.6
918.391,4024.1
918.662,4014.94
918.933,4012.28
919.204,4015.98
919.476,4011.66
919.747,4022.0
920.018,4021.14
920.289,4010.04
920.56,4010.92
920.831,4007.02
921.102,3999.46
921.373,4001.6
921.644,3996.44
921.915,3993.36
922.186,3992.94
922.457,3992.26
922.728,3990.46
922.999,3988.0
923.27,3987.3
923.541,3990.18
923.812,3988.28
924.083,3981.12
924.354,3970.48
924.625,3968.88
924.896,3969.54
925.167,3973.32
925.438,3974.32
925.709,3971.06
925.98,3963.9
926.251,3962.86
926.522,3964.6
926.792,3961.44
927.063,3960.98
927.334,3961.34
927.605,3958.7
927.876,3959.26
928.147,3951.96
928.417,3951.32
928.688,3949.8
928.959,3944.54
929.23,3944.72
929.501,3941.16
929.771,3945.28
930.042,3945.88
930.313,3940.96
930.584,3940.96
930.854,3938.04
931.125,3933.36
931.396,3935.94
931.666,3933.14
931.937,3931.38
932.208,3926.04
932.478,3927.54
932.749,3930.08
933.02,3923.86
933.29,3926.34
933.561,3925.5
933.832,3925.26
934.102,3920.72
934.373,3918.32
934.643,3914.9
934.914,3912.0
935.184,3911.44
935.455,3911.3
935.726,3911.04
935.996,3910.6
936.267,3913.2
936.537,3908.92
936.808,3907.16
937.078,3906.22
937.349,3905.52
937.619,3901.64
937.89,3901.44
938.16,3900.66
938.43,3895.16
938.701,3895.5
938.971,3893.4
