nm,Intensity
791.75,6175.5
792.024,6209.65
792.298,6094.25
792.572,5997.15
792.846,5927.3
793.12,5982.2
793.394,5969.45
793.668,5964.7
793.942,5953.3
794.215,5899.85
794.489,5894.6
794.763,5941.35
795.037,6013.3
795.311,6022.05
795.585,6024.2
795.859,5962.15
796.133,5940.95
796.407,5961.15
796.681,5926.1
796.955,5920.95
797.228,5935.65
797.502,5909.95
797.776,5845.35
798.05,5874.9
798.324,5901.55
798.598,5871.35
798.871,5813.85
799.145,5855.55
799.419,5927.55
799.693,5910.85
799.967,5893.25
800.241,5841.7
800.514,5851.95
800.788,5883.7
801.062,5824.35
801.336,5798.0
801.61,5793.9
801.883,5781.6
802.157,5786.6
802.431,5763.5
802.705,5743.25
802.978,5739.15
803.252,5769.35
803.526,5733.85
803.8,5717.55
804.073,5740.7
804.347,5711.8
804.621,5743.55
804.894,5750.0
805.168,5715.45
805.442,5721.25
805.715,5703.3
805.989,5651.3
806.263,5659.95
806.536,5620.1
806.81,5648.25
807.084,5638.4
807.357,5620.1
807.631,5592.65
807.905,5593.0
808.178,5580.25
808.452,5597.45
808.726,5612.75
808.999,5619.6
809.273,5640.85
809.546,5694.2
809.82,5773.6
810.094,5793.5
810.367,5717.0
810.641,5637.9
810.914,5610.05
811.188,5557.0
811.461,5571.75
811.735,5526.8
812.008,5544.45
812.282,5530.2
812.556,5492.55
812.829,5505.45
813.103,5506.1
813.376,5543.2
813.65,5551.3
813.923,5551.2
814.197,5502.85
814.47,5473.0
814.744,5484.85
815.017,5430.9
815.29,5456.95
815.564,5419.15
815.837,5430.35
816.111,5399.45
816.384,5404.2
816.658,5403.05
816.931,5370.9
817.205,5379.25
817.478,5395.2
817.751,5387.75
818.025,5399.6
818.298,5409.55
818.572,5442.8
818.845,5399.5
819.118,5374.2
819.392,5345.4
819.665,5353.2
819.938,5350.9
820.212,5330.0
820.485,5279.9
820.758,5292.55
821.032,5322.65
821.305,5323.5
821.578,5298.0
821.852,5265.3
822.125,5257.35
822.398,5283.9
822.672,5285.6
822.945,5320.7
823.218,5267.9
823.491,5249.95
823.765,5228.25
824.038,5233.25
824.311,5244.95
824.585,5273.65
824.858,5244.3
825.131,5232.55
825.404,5230.05
825.677,5198.8
825.951,5230.55
826.224,5203.95
826.497,5193.0
826.77,5183.35
827.043,5168.2
827.317,5168.2
827.59,5157.75
827.863,5188.9
828.136,5180.8
828.409,5216.2
828.682,5206.2
828.956,5210.4
829.229,5187.75
829.502,5148.35
829.775,5142.65
830.048,5132.2
830.321,5125.1
830.594,5139.1
830.867,5131.3
