nm,Intensity
791.588,4645.3
791.862,4638.4
792.136,4612.9
792.411,4572.9
792.685,4552.5
792.959,4524.9
793.233,4509.9
793.507,4503.3
793.781,4509.5
794.056,4517.6
794.33,4506.5
794.604,4479.3
794.878,4510.2
795.152,4512.0
795.426,4508.9
795.701,4514.0
795.975,4500.2
796.249,4508.2
796.523,4503.8
796.797,4498.5
797.071,4484.7
797.345,4475.3
797.619,4486.4
797.894,4463.1
798.168,4465.7
798.442,4475.8
798.716,4462.5
798.99,4468.0
799.264,4472.5
799.538,4452.1
799.812,4475.6
800.086,4449.3
800.36,4467.7
800.634,4488.5
800.908,4461.1
801.182,4458.8
801.456,4454.5
801.73,4438.9
802.004,4434.9
802.278,4425.9
802.552,4434.6
802.826,4418.4
803.1,4415.7
803.374,4421.4
803.648,4420.0
803.922,4410.1
804.196,4407.7
804.47,4411.0
804.744,4418.1
805.018,4417.0
805.292,4422.9
805.566,4438.5
805.84,4414.6
806.114,4406.2
806.388,4394.9
806.662,4392.7
806.936,4394.5
807.209,4379.9
807.483,4380.6
807.757,4396.8
808.031,4388.7
808.305,4391.0
808.579,4397.7
808.853,4389.7
809.127,4398.3
809.4,4388.8
809.674,4411.8
809.948,4434.1
810.222,4471.3
810.496,4485.9
810.77,4459.1
811.043,4418.6
811.317,4403.0
811.591,4383.7
811.865,4375.4
812.139,4382.9
812.412,4381.3
812.686,4375.0
812.96,4366.9
813.234,4374.3
813.507,4382.8
813.781,4379.0
814.055,4384.0
814.329,4389.4
814.602,4369.7
814.876,4362.5
815.15,4339.6
815.424,4327.3
815.697,4331.8
815.971,4320.3
816.245,4315.5
816.518,4318.5
816.792,4331.2
817.066,4310.2
817.34,4314.6
817.613,4313.5
817.887,4314.0
818.161,4306.6
818.434,4318.3
818.708,4321.8
818.981,4331.9
819.255,4316.4
819.529,4310.7
819.802,4302.9
820.076,4309.9
820.35,4292.3
820.623,4288.7
820.897,4287.0
821.17,4284.6
821.444,4269.7
821.718,4283.6
821.991,4268.3
822.265,4275.3
822.538,4281.5
822.812,4271.4
823.085,4263.1
823.359,4261.8
823.632,4257.3
823.906,4280.9
824.18,4276.9
824.453,4258.1
824.727,4275.2
825.0,4265.5
825.274,4258.5
825.547,4252.6
825.821,4240.4
826.094,4254.4
826.367,4250.3
826.641,4260.4
826.914,4240.0
827.188,4233.8
827.461,4229.9
827.735,4230.9
