nm,Intensity
791.588,4539.4
791.862,4528.8
792.136,4503.4
792.411,4470.6
792.685,4473.6
792.959,4480.6
793.233,4454.3
793.507,4447.4
793.781,4452.2
794.056,4446.4
794.33,4432.9
794.604,4451.3
794.878,4449.3
795.152,4452.5
795.426,4453.8
795.701,4453.2
795.975,4444.7
796.249,4446.9
796.523,4450.9
796.797,4413.6
797.071,4425.7
797.345,4440.5
797.619,4445.1
797.894,4429.9
798.168,4414.5
798.442,4416.0
798.716,4408.5
798.99,4411.0
799.264,4414.8
799.538,4418.0
799.812,4415.9
800.086,4418.4
800.36,4412.2
800.634,4421.9
800.908,4416.7
801.182,4412.4
801.456,4415.6
801.73,4403.6
802.004,4407.0
802.278,4394.1
802.552,4400.7
802.826,4410.2
803.1,4373.6
803.374,4385.5
803.648,4394.5
803.922,4395.4
804.196,4369.8
804.47,4392.4
804.744,4383.3
805.018,4368.9
805.292,4382.1
805.566,4386.7
805.84,4382.4
806.114,4371.2
806.388,4382.3
806.662,4370.4
806.936,4359.8
807.209,4359.8
807.483,4337.2
807.757,4354.9
808.031,4354.4
808.305,4347.8
808.579,4351.3
808.853,4334.0
809.127,4347.8
809.4,4357.2
809.674,4365.8
809.948,4344.6
810.222,4354.3
810.496,4356.7
810.77,4357.3
811.043,4346.0
811.317,4323.9
811.591,4328.1
811.865,4310.6
812.139,4309.3
812.412,4314.9
812.686,4316.5
812.96,4323.6
813.234,4300.6
813.507,4304.7
813.781,4291.8
814.055,4301.0
814.329,4302.1
814.602,4310.4
814.876,4288.2
815.15,4281.6
815.424,4271.9
815.697,4272.3
815.971,4280.2
816.245,4278.3
816.518,4260.9
816.792,4265.1
817.066,4267.6
817.34,4255.2
817.613,4248.6
817.887,4250.1
818.161,4258.5
818.434,4250.9
818.708,4265.3
818.981,4253.2
819.255,4252.0
819.529,4250.1
819.802,4246.8
820.076,4243.5
820.35,4237.7
820.623,4244.4
820.897,4228.3
821.17,4220.9
821.444,4234.9
821.718,4223.9
821.991,4222.1
822.265,4215.9
822.538,4215.8
822.812,4218.2
823.085,4201.1
823.359,4214.6
823.632,4208.8
823.906,4199.8
824.18,4210.0
824.453,4216.5
824.727,4209.4
825.0,4202.1
825.274,4198.8
825.547,4200.5
825.821,4190.8
826.094,4192.3
826.367,4189.4
826.641,4195.7
826.914,4181.8
827.188,4182.8
827.461,4197.9
827.735,4197.7
828.008,4193.0
828.282,4169.4
828.555,4186.0
828.828,4188.7
829.102,4195.4
829.375,4177.4
829.649,4175.1
829.922,4172.6
830.195,4174.1
830.469,4168.0
830.742,4166.8
831.016,4173.5
831.289,4159.6
831.562,4162.7
831.836,4154.0
832.109,4166.5
832.382,4166.1
832.656,4166.2
832.929,4159.7
833.202,4163.8
833.476,4148.3
833.749,4162.5
834.022,4149.6
834.295,4155.4
834.569,4145.3
834.842,4140.2
835.115,4145.7
835.388,4137.7
835.662,4149.9
835.935,4143.8
836.208,4136.1
836.481,4145.1
836.755,4141.1
837.028,4142.3
837.301,4148.4
837.574,4170.7
837.848,4173.6
838.121,4184.2
838.394,4180.7
838.667,4155.9
838.94,4151.0
839.213,4148.1
839.487,4141.3
839.76,4152.1
840.033,4159.4
840.306,4163.8
840.579,4168.1
840.852,4152.4
841.125,4145.8
841.399,4133.2
841.672,4127.3
841.945,4125.6
842.218,4114.3
842.491,4114.9
842.764,4108.8
843.037,4110.8
843.31,4107.3
843.583,4117.7
843.856,4120.6
844.129,4102.5
844.402,4100.9
844.675,4102.3
844.948,4103.5
845.221,4109.0
845.495,4091.2
845.768,4097.9
846.041,4087.9
846.314,4102.8
846.586,4102.1
846.859,4095.6
847.132,4096.4
847.405,4098.8
847.678,4102.9
847.951,4101.7
848.224,4090.6
848.497,4091.3
848.77,4093.0
849.043,4087.8
849.316,4105.9
849.589,4099.4
849.862,4111.1
850.135,4100.2
850.408,4088.3
850.681,4083.3
850.953,4085.7
851.226,4100.7
851.499,4102.6
851.772,4096.9
852.045,4093.2
852.318,4084.1
852.591,4080.4
852.863,4082.8
853.136,4073.0
853.409,4073.3
853.682,4076.7
853.955,4081.1
854.227,4091.3
854.5,4079.3
854.773,4078.5
855.046,4076.4
855.318,4079.8
855.591,4069.6
855.864,4058.9
856.137,4071.8
856.409,4082.5
856.682,4066.8
856.955,4074.6
857.228,4056.8
857.5,4052.2
857.773,4062.5
858.046,4073.0
858.318,4066.5
858.591,4061.9
858.864,4060.9
859.137,4068.8
859.409,4059.1
859.682,4054.4
859.954,4062.6
860.227,4065.6
860.5,4054.6
860.772,4055.4
861.045,4055.7
861.318,4056.6
861.59,4054.6
861.863,4069.6
862.135,4068.0
862.408,4078.8
862.681,4070.9
862.953,4078.1
863.226,4078.5
863.498,4075.8
863.771,4081.7
864.043,4075.9
864.316,4076.5
864.588,4064.1
864.861,4051.6
865.133,4046.9
865.406,4051.8
865.678,4044.7
865.951,4047.7
866.223,4048.7
866.496,4056.0
866.768,4041.6
867.041,4043.0
867.313,4047.1
867.586,4044.4
867.858,4051.8
868.131,4038.3
868.403,4045.5
868.675,4050.4
868.948,4039.4
869.22,4035.9
869.493,4039.6
869.765,4035.4
870.037,4037.0
870.31,4034.2
870.582,4039.6
870.854,4042.0
871.127,4035.2
871.399,4030.5
871.672,4043.1
871.944,4029.4
872.216,4029.2
