nm,Intensity
791.588,4833.4
791.862,4804.3
792.136,4775.0
792.411,4731.7
792.685,4704.0
792.959,4677.5
793.233,4665.8
793.507,4640.9
793.781,4652.3
794.056,4639.8
794.33,4631.9
794.604,4628.0
794.878,4640.8
795.152,4635.4
795.426,4646.8
795.701,4674.4
795.975,4662.1
796.249,4662.2
796.523,4644.0
796.797,4631.0
797.071,4638.8
797.345,4632.8
797.619,4613.4
797.894,4603.8
798.168,4590.3
798.442,4615.1
798.716,4600.0
798.99,4602.8
799.264,4610.1
799.538,4590.0
799.812,4607.8
800.086,4602.9
800.36,4599.8
800.634,4599.1
800.908,4597.5
801.182,4583.1
801.456,4592.0
801.73,4575.1
802.004,4583.1
802.278,4572.8
802.552,4560.1
802.826,4556.5
803.1,4538.0
803.374,4524.3
803.648,4538.5
803.922,4547.7
804.196,4528.7
804.47,4532.9
804.744,4527.0
805.018,4558.1
805.292,4548.2
805.566,4532.7
805.84,4514.7
806.114,4526.8
806.388,4521.2
806.662,4503.3
806.936,4501.2
807.209,4498.7
807.483,4483.1
807.757,4486.3
808.031,4477.0
808.305,4485.0
808.579,4477.7
808.853,4465.2
809.127,4479.4
809.4,4489.4
809.674,4504.4
809.948,4534.0
810.222,4570.9
810.496,4579.0
810.77,4578.0
811.043,4533.7
811.317,4480.9
811.591,4474.3
811.865,4477.0
812.139,4467.5
812.412,4459.9
812.686,4470.8
812.96,4481.9
813.234,4469.2
813.507,4477.9
813.781,4493.5
814.055,4497.3
814.329,4492.7
814.602,4462.9
814.876,4433.3
815.15,4427.0
815.424,4403.1
815.697,4424.2
815.971,4401.0
816.245,4414.0
816.518,4407.5
816.792,4394.0
817.066,4376.6
817.34,4377.3
817.613,4398.9
817.887,4388.3
818.161,4401.2
818.434,4391.1
818.708,4403.6
818.981,4383.6
819.255,4402.6
819.529,4398.2
819.802,4385.4
820.076,4392.5
820.35,4374.0
820.623,4354.6
820.897,4355.2
821.17,4364.2
821.444,4373.6
821.718,4348.8
821.991,4350.1
822.265,4341.6
822.538,4330.2
822.812,4333.5
823.085,4354.1
823.359,4349.9
823.632,4358.6
823.906,4352.2
824.18,4353.8
824.453,4350.8
824.727,4364.6
825.0,4348.6
825.274,4349.0
825.547,4330.5
825.821,4324.5
826.094,4319.6
826.367,4333.1
826.641,4331.4
826.914,4315.8
827.188,4295.2
827.461,4305.9
827.735,4311.1
828.008,4300.0
828.282,4303.5
828.555,4309.0
828.828,4310.4
829.102,4323.6
829.375,4310.2
829.649,4305.2
829.922,4295.1
830.195,4297.0
830.469,4287.4
830.742,4281.7
831.016,4283.7
831.289,4297.0
831.562,4283.6
831.836,4270.2
832.109,4284.8
832.382,4287.0
832.656,4274.9
832.929,4269.4
833.202,4281.7
833.476,4303.2
833.749,4306.9
834.022,4278.1
834.295,4283.7
834.569,4270.8
834.842,4275.7
835.115,4276.6
835.388,4259.9
835.662,4263.5
835.935,4258.8
836.208,4269.9
836.481,4275.5
836.755,4255.6
837.028,4273.1
837.301,4311.7
837.574,4360.3
837.848,4406.9
838.121,4449.4
838.394,4421.3
838.667,4364.5
838.94,4319.2
839.213,4301.7
839.487,4307.0
839.76,4332.1
840.033,4357.8
840.306,4371.6
840.579,4362.6
840.852,4313.2
841.125,4285.6
841.399,4271.0
841.672,4244.3
841.945,4252.3
842.218,4250.9
842.491,4238.2
842.764,4239.3
843.037,4243.0
843.31,4232.8
843.583,4235.3
843.856,4230.5
844.129,4222.7
844.402,4226.8
844.675,4227.8
844.948,4229.6
845.221,4232.4
845.495,4222.7
845.768,4209.8
846.041,4215.7
846.314,4209.7
846.586,4208.1
846.859,4222.5
847.132,4240.5
847.405,4236.9
847.678,4231.8
847.951,4238.1
848.224,4219.4
848.497,4230.4
848.77,4222.7
849.043,4235.6
849.316,4250.4
849.589,4266.1
849.862,4263.9
850.135,4261.4
850.408,4245.8
850.681,4231.3
850.953,4225.0
851.226,4243.9
851.499,4232.1
851.772,4237.0
852.045,4223.9
852.318,4240.1
852.591,4225.5
852.863,4208.9
853.136,4210.4
853.409,4215.8
853.682,4216.1
853.955,4227.1
854.227,4224.2
854.5,4216.1
854.773,4218.8
855.046,4202.3
855.318,4212.5
855.591,4213.7
855.864,4198.3
856.137,4199.1
856.409,4203.9
856.682,4183.1
856.955,4185.2
857.228,4186.2
857.5,4185.9
857.773,4193.2
858.046,4196.7
858.318,4194.4
858.591,4184.5
858.864,4187.1
859.137,4179.8
859.409,4188.9
859.682,4199.7
859.954,4191.0
860.227,4192.7
860.5,4167.8
860.772,4195.8
861.045,4202.8
861.318,4193.1
861.59,4185.9
861.863,4209.4
862.135,4231.5
862.408,4254.0
862.681,4251.1
862.953,4263.6
863.226,4275.0
863.498,4261.5
863.771,4258.1
864.043,4250.6
864.316,4228.6
864.588,4205.0
864.861,4208.1
865.133,4198.8
865.406,4186.9
865.678,4177.1
865.951,4179.6
866.223,4180.2
866.496,4181.7
866.768,4191.6
867.041,4185.5
867.313,4197.7
867.586,4201.7
867.858,4202.4
868.131,4183.7
868.403,4173.7
868.675,4176.1
868.948,4180.6
869.22,4166.5
869.493,4173.0
869.765,4173.3
870.037,4165.4
870.31,4167.9
870.582,4160.0
870.854,4163.7
871.127,4159.0
871.399,4165.3
871.672,4170.9
871.944,4167.0
872.216,4167.7
872.488,4170.6
872.761,4162.3
873.033,4175.8
873.305,4190.3
873.578,4181.0
873.85,4193.2
874.122,4185.5
874.394,4192.3
874.667,4186.0
874.939,4180.1
875.211,4188.6
875.483,4210.2
875.756,4238.4
876.028,4253.2
876.3,4238.7
876.572,4243.4
876.845,4232.9
877.117,4207.4
877.389,4203.4
877.661,4181.4
877.933,4171.0
878.205,4175.6
878.478,4175.0
878.75,4171.3
879.022,4169.5
879.294,4154.6
879.566,4157.0
879.838,4143.8
880.11,4135.4
880.382,4131.8
880.654,4125.2
880.927,4116.0
881.199,4115.6
881.471,4114.0
881.743,4110.4
882.015,4105.1
882.287,4113.2
882.559,4111.9
882.831,4110.4
883.103,4123.8
883.375,4124.0
883.647,4139.6
883.919,4143.6
884.191,4150.1
884.463,4161.5
884.735,4157.8
885.007,4183.5
885.279,4194.8
885.551,4228.9
885.823,4230.2
886.095,4226.6
886.367,4221.8
886.639,4202.7
886.91,4186.6
887.182,4167.9
887.454,4146.9
887.726,4128.7
887.998,4119.6
888.27,4104.2
888.542,4092.0
888.814,4077.0
889.085,4067.3
889.357,4071.6
889.629,4071.5
889.901,4072.1
890.173,4069.2
890.445,4077.3
890.716,4079.4
890.988,4091.0
891.26,4096.3
891.532,4092.3
891.804,4086.6
892.075,4091.9
892.347,4096.4
892.619,4085.3
892.891,4072.3
893.162,4064.4
893.434,4054.4
893.706,4044.9
893.978,4041.0
894.249,4045.7
894.521,4049.4
894.793,4041.6
895.064,4035.2
895.336,4029.9
895.608,4037.8
895.879,4036.0
896.151,4036.8
896.423,4037.4
896.694,4039.7
896.966,4031.3
897.237,4026.9
897.509,4025.6
897.781,4031.0
898.052,4027.4
898.324,4031.1
898.595,4023.1
898.867,4029.2
899.139,4010.7
899.41,4009.9
