nm,Intensity
791.588,4835.4
791.862,4818.0
792.136,4802.0
792.411,4771.6
792.685,4754.8
792.959,4724.2
793.233,4702.1
793.507,4714.2
793.781,4687.9
794.056,4682.4
794.33,4677.4
794.604,4678.3
794.878,4690.6
795.152,4679.0
795.426,4687.3
795.701,4695.7
795.975,4711.3
796.249,4684.0
796.523,4687.5
796.797,4667.2
797.071,4682.2
797.345,4665.7
797.619,4657.7
797.894,4660.8
798.168,4643.1
798.442,4645.9
798.716,4638.2
798.99,4640.1
799.264,4634.4
799.538,4656.0
799.812,4640.8
800.086,4661.1
800.36,4662.9
800.634,4675.8
800.908,4656.2
801.182,4638.2
801.456,4631.8
801.73,4630.2
802.004,4608.6
802.278,4596.0
802.552,4581.2
802.826,4603.8
803.1,4601.8
803.374,4583.9
803.648,4579.9
803.922,4566.4
804.196,4558.6
804.47,4576.6
804.744,4586.2
805.018,4593.3
805.292,4580.6
805.566,4589.9
805.84,4579.0
806.114,4571.9
806.388,4568.1
806.662,4567.0
806.936,4559.9
807.209,4560.5
807.483,4552.5
807.757,4555.5
808.031,4557.0
808.305,4551.4
808.579,4536.7
808.853,4551.8
809.127,4561.0
809.4,4539.7
809.674,4576.7
809.948,4627.6
810.222,4669.1
810.496,4652.8
810.77,4619.6
811.043,4585.3
811.317,4554.0
811.591,4543.6
811.865,4550.9
812.139,4558.1
812.412,4550.0
812.686,4545.2
812.96,4533.7
813.234,4538.9
813.507,4564.5
813.781,4555.9
814.055,4563.4
814.329,4555.3
814.602,4518.5
814.876,4510.8
815.15,4483.2
815.424,4481.5
815.697,4477.0
815.971,4468.8
816.245,4467.0
816.518,4459.2
816.792,4442.1
817.066,4449.7
817.34,4451.7
817.613,4448.1
817.887,4448.3
818.161,4445.3
818.434,4448.2
818.708,4456.3
818.981,4453.4
819.255,4442.1
819.529,4451.9
819.802,4411.0
820.076,4423.8
820.35,4428.3
820.623,4424.2
820.897,4430.3
821.17,4421.7
821.444,4405.4
821.718,4401.2
821.991,4405.9
822.265,4409.3
822.538,4398.6
822.812,4409.0
823.085,4419.0
823.359,4406.8
823.632,4421.8
823.906,4408.1
824.18,4418.0
824.453,4413.0
824.727,4408.6
825.0,4410.3
825.274,4408.9
825.547,4385.8
825.821,4379.5
826.094,4386.9
826.367,4372.4
826.641,4375.5
826.914,4363.1
827.188,4347.0
827.461,4339.6
827.735,4335.3
828.008,4354.1
828.282,4340.9
828.555,4350.1
828.828,4339.5
829.102,4343.7
829.375,4344.2
829.649,4350.8
829.922,4339.8
830.195,4325.0
830.469,4315.9
830.742,4326.0
831.016,4326.8
831.289,4315.3
831.562,4306.3
831.836,4303.9
832.109,4312.1
832.382,4306.1
832.656,4311.6
832.929,4307.3
833.202,4319.0
833.476,4303.3
833.749,4313.9
834.022,4314.9
834.295,4301.1
