cm-1,A
4000.0,0.0286
3999.0,0.0287
3998.0,0.0287
3997.0,0.0286
3996.0,0.0286
3995.0,0.0286
3994.0,0.0286
3993.0,0.0287
3992.0,0.0287
3991.0,0.0287
3990.0,0.0287
3989.0,0.0286
3988.0,0.0286
3987.0,0.0286
3986.0,0.0286
3985.0,0.0287
3984.0,0.0288
3983.0,0.0288
3982.0,0.0288
3981.0,0.0287
3980.0,0.0287
3979.0,0.0287
3978.0,0.0287
3977.0,0.0288
3976.0,0.0288
3975.0,0.0289
3974.0,0.0289
3973.0,0.0288
3972.0,0.0288
3971.0,0.0287
3970.0,0.0287
3969.0,0.0286
3968.0,0.0286
3967.0,0.0286
3966.0,0.0286
3965.0,0.0286
3964.0,0.0286
3963.0,0.0287
3962.0,0.0288
3961.0,0.0289
3960.0,0.0289
3959.0,0.0289
3958.0,0.0289
3957.0,0.0289
3956.0,0.0289
3955.0,0.029
3954.0,0.0291
3953.0,0.0291
3952.0,0.0291
3951.0,0.029
3950.0,0.0289
3949.0,0.029
3948.0,0.0291
3947.0,0.0293
3946.0,0.0293
3945.0,0.0293
3944.0,0.0292
3943.0,0.0292
3942.0,0.0291
3941.0,0.0291
3940.0,0.0291
3939.0,0.029
3938.0,0.029
3937.0,0.029
3936.0,0.0292
3935.0,0.0293
3934.0,0.0294
3933.0,0.0295
3932.0,0.0295
3931.0,0.0296
3930.0,0.0296
3929.0,0.0297
3928.0,0.0297
3927.0,0.0296
3926.0,0.0295
3925.0,0.0295
3924.0,0.0295
3923.0,0.0295
3922.0,0.0296
3921.0,0.0295
3920.0,0.0295
3919.0,0.0295
3918.0,0.0295
3917.0,0.0295
3916.0,0.0295
3915.0,0.0295
3914.0,0.0294
3913.0,0.0293
3912.0,0.0293
3911.0,0.0293
3910.0,0.0294
3909.0,0.0296
3908.0,0.0298
3907.0,0.0299
3906.0,0.03
3905.0,0.0301
3904.0,0.0302
3903.0,0.0304
3902.0,0.0304
3901.0,0.0302
3900.0,0.03
3899.0,0.0297
3898.0,0.0296
3897.0,0.0296
3896.0,0.0297
3895.0,0.0298
3894.0,0.0298
3893.0,0.0297
3892.0,0.0296
3891.0,0.0295
3890.0,0.0296
3889.0,0.0298
3888.0,0.0297
3887.0,0.0295
3886.0,0.0294
3885.0,0.0298
3884.0,0.0302
3883.0,0.0303
3882.0,0.0301
