cm-1,A
4000.0,0.0303
3999.0,0.0304
3998.0,0.0304
3997.0,0.0304
3996.0,0.0304
3995.0,0.0304
3994.0,0.0304
3993.0,0.0304
3992.0,0.0304
3991.0,0.0304
3990.0,0.0305
3989.0,0.0306
3988.0,0.0306
3987.0,0.0307
3986.0,0.0307
3985.0,0.0307
3984.0,0.0307
3983.0,0.0307
3982.0,0.0306
3981.0,0.0306
3980.0,0.0306
3979.0,0.0306
3978.0,0.0306
3977.0,0.0305
3976.0,0.0305
3975.0,0.0304
3974.0,0.0304
3973.0,0.0303
3972.0,0.0303
3971.0,0.0304
3970.0,0.0304
3969.0,0.0305
3968.0,0.0306
3967.0,0.0306
3966.0,0.0305
3965.0,0.0305
3964.0,0.0305
3963.0,0.0305
3962.0,0.0306
3961.0,0.0306
3960.0,0.0306
3959.0,0.0305
3958.0,0.0304
3957.0,0.0304
3956.0,0.0305
3955.0,0.0306
3954.0,0.0306
3953.0,0.0307
3952.0,0.0306
3951.0,0.0306
3950.0,0.0305
3949.0,0.0304
3948.0,0.0303
3947.0,0.0302
3946.0,0.0302
3945.0,0.0302
3944.0,0.0303
3943.0,0.0305
3942.0,0.0306
3941.0,0.0306
3940.0,0.0307
3939.0,0.0308
3938.0,0.0309
3937.0,0.0308
3936.0,0.0307
3935.0,0.0305
3934.0,0.0304
3933.0,0.0304
3932.0,0.0303
3931.0,0.0304
3930.0,0.0304
3929.0,0.0305
3928.0,0.0306
3927.0,0.0307
3926.0,0.0308
3925.0,0.0308
3924.0,0.0307
3923.0,0.0305
3922.0,0.0304
3921.0,0.0304
3920.0,0.0304
3919.0,0.0305
3918.0,0.0306
3917.0,0.0307
3916.0,0.0308
3915.0,0.0309
3914.0,0.031
3913.0,0.0311
3912.0,0.0311
3911.0,0.0311
3910.0,0.031
3909.0,0.0308
3908.0,0.0306
3907.0,0.0304
3906.0,0.0302
3905.0,0.0302
3904.0,0.03
3903.0,0.0298
3902.0,0.0298
3901.0,0.0299
3900.0,0.0301
3899.0,0.0302
3898.0,0.0303
3897.0,0.0304
3896.0,0.0305
3895.0,0.0305
3894.0,0.0304
3893.0,0.0304
3892.0,0.0305
3891.0,0.0305
3890.0,0.0304
3889.0,0.0303
3888.0,0.0305
3887.0,0.0307
3886.0,0.0308
3885.0,0.0307
3884.0,0.0304
3883.0,0.0303
3882.0,0.0305
3881.0,0.0307
3880.0,0.0308
3879.0,0.0306
3878.0,0.0304
3877.0,0.0305
3876.0,0.0306
3875.0,0.0307
3874.0,0.0306
3873.0,0.0303
3872.0,0.0302
3871.0,0.0303
3870.0,0.0304
3869.0,0.0302
3868.0,0.0299
3867.0,0.0299
3866.0,0.0301
3865.0,0.0303
3864.0,0.0304
3863.0,0.0304
3862.0,0.0304
3861.0,0.0305
3860.0,0.0305
3859.0,0.0304
3858.0,0.0302
3857.0,0.0299
3856.0,0.0296
3855.0,0.0298
3854.0,0.0303
3853.0,0.0302
3852.0,0.0298
3851.0,0.03
3850.0,0.0306
3849.0,0.0311
3848.0,0.0313
3847.0,0.0313
3846.0,0.0312
3845.0,0.031
3844.0,0.0307
3843.0,0.0304
3842.0,0.03
3841.0,0.0297
3840.0,0.0297
3839.0,0.0298
3838.0,0.0299
3837.0,0.0299
3836.0,0.0299
3835.0,0.0301
3834.0,0.0303
3833.0,0.0306
3832.0,0.0308
3831.0,0.031
3830.0,0.031
3829.0,0.0311
3828.0,0.0311
3827.0,0.0311
3826.0,0.0308
3825.0,0.0304
3824.0,0.03
3823.0,0.0299
3822.0,0.0302
3821.0,0.0305
3820.0,0.0303
3819.0,0.0301
3818.0,0.0303
3817.0,0.0308
3816.0,0.0312
3815.0,0.0313
3814.0,0.0313
3813.0,0.0315
3812.0,0.0316
3811.0,0.0315
3810.0,0.0312
3809.0,0.031
3808.0,0.031
3807.0,0.031
3806.0,0.0308
3805.0,0.0305
3804.0,0.0304
3803.0,0.0306
3802.0,0.031
3801.0,0.031
3800.0,0.0307
3799.0,0.0306
3798.0,0.031
3797.0,0.0315
3796.0,0.0318
3795.0,0.0318
3794.0,0.0318
3793.0,0.032
3792.0,0.0321
3791.0,0.0322
3790.0,0.0322
3789.0,0.0322
3788.0,0.0322
3787.0,0.0321
3786.0,0.0321
3785.0,0.032
3784.0,0.0318
3783.0,0.0316
3782.0,0.0316
3781.0,0.0317
3780.0,0.032
3779.0,0.0321
3778.0,0.0321
3777.0,0.0321
3776.0,0.0323
3775.0,0.0324
3774.0,0.0323
3773.0,0.0321
3772.0,0.032
3771.0,0.032
3770.0,0.032
3769.0,0.0319
3768.0,0.0317
3767.0,0.0318
3766.0,0.032
3765.0,0.0321
3764.0,0.0321
3763.0,0.032
3762.0,0.032
3761.0,0.032
3760.0,0.032
3759.0,0.0319
3758.0,0.0316
3757.0,0.0314
3756.0,0.0311
3755.0,0.0308
3754.0,0.0306
3753.0,0.0304
3752.0,0.0305
3751.0,0.0306
3750.0,0.0304
3749.0,0.03
3748.0,0.0299
3747.0,0.0301
3746.0,0.0305
3745.0,0.031
3744.0,0.0311
3743.0,0.0309
3742.0,0.031
3741.0,0.0314
3740.0,0.0314
3739.0,0.0311
3738.0,0.0306
3737.0,0.0303
3736.0,0.0301
3735.0,0.0301
