cm-1,A
4000.0,-0.0017
3999.0,-0.0018
3998.0,-0.0018
3997.0,-0.0017
3996.0,-0.0017
3995.0,-0.0017
3994.0,-0.0017
3993.0,-0.0017
3992.0,-0.0017
3991.0,-0.0016
3990.0,-0.0015
3989.0,-0.0015
3988.0,-0.0015
3987.0,-0.0015
3986.0,-0.0015
3985.0,-0.0015
3984.0,-0.0016
3983.0,-0.0017
3982.0,-0.0017
3981.0,-0.0018
3980.0,-0.0018
3979.0,-0.0018
3978.0,-0.0018
3977.0,-0.0018
3976.0,-0.0017
3975.0,-0.0017
3974.0,-0.0018
3973.0,-0.0018
3972.0,-0.0018
3971.0,-0.0018
3970.0,-0.0018
3969.0,-0.0018
3968.0,-0.0018
3967.0,-0.0018
3966.0,-0.0019
3965.0,-0.0019
3964.0,-0.0018
3963.0,-0.0017
3962.0,-0.0017
3961.0,-0.0017
3960.0,-0.0017
3959.0,-0.0018
3958.0,-0.0018
3957.0,-0.0018
3956.0,-0.0019
3955.0,-0.0019
3954.0,-0.0019
3953.0,-0.0019
3952.0,-0.0019
3951.0,-0.0018
3950.0,-0.0017
3949.0,-0.0016
3948.0,-0.0016
3947.0,-0.0017
3946.0,-0.0017
3945.0,-0.0017
3944.0,-0.0018
3943.0,-0.0017
3942.0,-0.0017
3941.0,-0.0017
3940.0,-0.0016
3939.0,-0.0016
3938.0,-0.0016
3937.0,-0.0017
3936.0,-0.0018
3935.0,-0.0018
3934.0,-0.0018
3933.0,-0.0019
3932.0,-0.002
3931.0,-0.0021
3930.0,-0.0021
3929.0,-0.002
3928.0,-0.0019
3927.0,-0.0018
3926.0,-0.0017
3925.0,-0.0017
3924.0,-0.0017
3923.0,-0.0017
3922.0,-0.0017
3921.0,-0.0017
3920.0,-0.0016
3919.0,-0.0016
3918.0,-0.0016
3917.0,-0.0017
3916.0,-0.0017
3915.0,-0.0018
3914.0,-0.0018
3913.0,-0.0017
3912.0,-0.0016
3911.0,-0.0016
3910.0,-0.0016
3909.0,-0.0018
3908.0,-0.0019
3907.0,-0.0021
3906.0,-0.0021
3905.0,-0.0022
3904.0,-0.0022
3903.0,-0.0022
3902.0,-0.0022
3901.0,-0.0022
3900.0,-0.0022
3899.0,-0.0021
3898.0,-0.0021
3897.0,-0.002
3896.0,-0.0019
3895.0,-0.0018
3894.0,-0.0018
3893.0,-0.0018
3892.0,-0.0018
3891.0,-0.002
3890.0,-0.0022
3889.0,-0.0022
3888.0,-0.0022
3887.0,-0.0021
3886.0,-0.0021
3885.0,-0.0021
3884.0,-0.0021
3883.0,-0.0021
3882.0,-0.002
3881.0,-0.002
3880.0,-0.002
3879.0,-0.0021
3878.0,-0.0021
3877.0,-0.0021
3876.0,-0.002
3875.0,-0.002
3874.0,-0.0021
3873.0,-0.0021
3872.0,-0.0021
3871.0,-0.0019
3870.0,-0.0019
3869.0,-0.002
3868.0,-0.0021
3867.0,-0.002
3866.0,-0.0018
3865.0,-0.0018
3864.0,-0.0018
3863.0,-0.0019
3862.0,-0.0019
3861.0,-0.0019
3860.0,-0.0019
3859.0,-0.002
3858.0,-0.0022
3857.0,-0.0024
3856.0,-0.0026
3855.0,-0.0027
3854.0,-0.0026
3853.0,-0.0025
3852.0,-0.0025
3851.0,-0.0023
3850.0,-0.0022
3849.0,-0.0021
3848.0,-0.002
3847.0,-0.002
3846.0,-0.002
3845.0,-0.002
3844.0,-0.002
3843.0,-0.0022
3842.0,-0.0025
3841.0,-0.0027
3840.0,-0.0028
3839.0,-0.0028
3838.0,-0.0027
3837.0,-0.0026
3836.0,-0.0025
3835.0,-0.0025
3834.0,-0.0024
3833.0,-0.0022
3832.0,-0.0021
3831.0,-0.0021
3830.0,-0.0021
3829.0,-0.002
3828.0,-0.002
3827.0,-0.002
3826.0,-0.0021
3825.0,-0.0022
3824.0,-0.0022
3823.0,-0.0022
3822.0,-0.0022
3821.0,-0.0024
3820.0,-0.0026
3819.0,-0.0026
3818.0,-0.0024
3817.0,-0.0023
3816.0,-0.0022
3815.0,-0.0023
3814.0,-0.0023
3813.0,-0.0022
3812.0,-0.0021
3811.0,-0.002
3810.0,-0.002
3809.0,-0.002
3808.0,-0.0021
3807.0,-0.0022
3806.0,-0.0024
3805.0,-0.0025
3804.0,-0.0024
3803.0,-0.0023
3802.0,-0.0021
3801.0,-0.0022
3800.0,-0.0023
3799.0,-0.0022
3798.0,-0.0021
3797.0,-0.002
3796.0,-0.0019
3795.0,-0.0019
3794.0,-0.0018
3793.0,-0.0018
3792.0,-0.0018
3791.0,-0.0018
3790.0,-0.0019
3789.0,-0.0018
3788.0,-0.0018
3787.0,-0.0017
3786.0,-0.0017
3785.0,-0.0018
3784.0,-0.0019
3783.0,-0.0019
3782.0,-0.0018
3781.0,-0.0018
3780.0,-0.0019
3779.0,-0.002
3778.0,-0.0021
3777.0,-0.0021
3776.0,-0.0021
3775.0,-0.002
3774.0,-0.0021
3773.0,-0.0021
3772.0,-0.0021
3771.0,-0.002
3770.0,-0.002
3769.0,-0.0021
3768.0,-0.0022
3767.0,-0.0022
3766.0,-0.0022
3765.0,-0.0022
3764.0,-0.0023
3763.0,-0.0022
3762.0,-0.0021
3761.0,-0.002
3760.0,-0.0019
3759.0,-0.0019
3758.0,-0.002
3757.0,-0.0021
3756.0,-0.0022
3755.0,-0.0024
3754.0,-0.0025
3753.0,-0.0028
3752.0,-0.003
3751.0,-0.003
3750.0,-0.003
3749.0,-0.003
3748.0,-0.003
3747.0,-0.0029
3746.0,-0.0026
3745.0,-0.0026
3744.0,-0.0027
3743.0,-0.0028
3742.0,-0.0027
3741.0,-0.0025
3740.0,-0.0024
3739.0,-0.0025
3738.0,-0.0027
3737.0,-0.0029
3736.0,-0.0029
3735.0,-0.0028
3734.0,-0.0027
3733.0,-0.0025
3732.0,-0.0024
3731.0,-0.0023
3730.0,-0.0023
3729.0,-0.0022
3728.0,-0.0022
3727.0,-0.0022
3726.0,-0.0022
3725.0,-0.0022
3724.0,-0.0021
3723.0,-0.002
3722.0,-0.002
3721.0,-0.0021
3720.0,-0.0021
3719.0,-0.0021
3718.0,-0.0021
3717.0,-0.002
3716.0,-0.002
3715.0,-0.0019
3714.0,-0.0019
3713.0,-0.002
3712.0,-0.0021
3711.0,-0.0022
3710.0,-0.0022
3709.0,-0.0022
3708.0,-0.0021
3707.0,-0.0021
3706.0,-0.0021
3705.0,-0.0022
3704.0,-0.0022
3703.0,-0.0022
3702.0,-0.0021
3701.0,-0.0021
3700.0,-0.0021
3699.0,-0.0021
3698.0,-0.0022
3697.0,-0.0022
3696.0,-0.0023
3695.0,-0.0024
3694.0,-0.0024
3693.0,-0.0024
3692.0,-0.0024
3691.0,-0.0024
3690.0,-0.0024
3689.0,-0.0024
3688.0,-0.0025
3687.0,-0.0026
3686.0,-0.0027
3685.0,-0.0027
3684.0,-0.0027
3683.0,-0.0027
3682.0,-0.0027
3681.0,-0.0026
3680.0,-0.0026
3679.0,-0.0028
3678.0,-0.0029
3677.0,-0.0029
3676.0,-0.0029
3675.0,-0.0031
