cm-1,A
4000.0,0.0003910410285830057
3999.0,0.00021720154586435392
3998.0,8.686758342868472e-05
3997.0,-4.3427276862573194e-05
3996.0,-8.685021164911433e-05
3995.0,-4.3427276862573194e-05
3994.0,4.343161980746579e-05
3993.0,8.686758342868472e-05
3992.0,8.686758342868472e-05
3991.0,4.343161980746579e-05
3990.0,-4.3427276862573194e-05
3989.0,-0.00013026880522692963
3988.0,-0.00017368305846510168
3987.0,-0.00017368305846510168
3986.0,-0.00021709297223004853
3985.0,-0.00021709297223004853
3984.0,-0.00013026880522692963
3983.0,0.0
3982.0,0.00017375254558760211
3981.0,0.00021720154586435392
3980.0,0.00017375254558760211
3979.0,8.686758342868472e-05
3978.0,4.343161980746579e-05
3977.0,0.0
3976.0,4.343161980746579e-05
3975.0,4.343161980746579e-05
3974.0,8.686758342868472e-05
3973.0,8.686758342868472e-05
3972.0,0.0001303078917322953
3971.0,0.00017375254558760211
3970.0,0.00017375254558760211
3969.0,0.0001303078917322953
3968.0,8.686758342868472e-05
3967.0,-4.3427276862573194e-05
3966.0,-8.685021164911433e-05
3965.0,-0.00013026880522692963
3964.0,-0.00013026880522692963
3963.0,-0.00013026880522692963
3962.0,-0.00013026880522692963
3961.0,-0.00013026880522692963
3960.0,-0.00013026880522692963
3959.0,-0.00013026880522692963
3958.0,-0.00013026880522692963
3957.0,-0.00021709297223004853
3956.0,-0.00030389978481260016
3955.0,-0.0003906892499099257
3954.0,-0.0003906892499099257
3953.0,-0.0003472966853634851
3952.0,-0.0002604985473904087
3951.0,-0.00021709297223004853
3950.0,-0.00017368305846510168
3949.0,-0.00021709297223004853
3948.0,-0.00021709297223004853
3947.0,-0.00021709297223004853
3946.0,-0.00021709297223004853
3945.0,-0.00017368305846510168
3944.0,-0.00021709297223004853
3943.0,-0.0003472966853634851
3942.0,-0.0005208409361854294
3941.0,-0.0006075870628903246
3940.0,-0.0005642161653756084
3939.0,-0.0003906892499099257
3938.0,-0.00017368305846510168
3937.0,0.0
3936.0,0.0001303078917322953
3935.0,0.00017375254558760211
3934.0,0.0001303078917322953
3933.0,4.343161980746579e-05
3932.0,4.343161980746579e-05
3931.0,4.343161980746579e-05
3930.0,4.343161980746579e-05
3929.0,4.343161980746579e-05
3928.0,-4.3427276862573194e-05
3927.0,-0.00017368305846510168
3926.0,-0.00030389978481260016
3925.0,-0.0003906892499099257
3924.0,-0.0003472966853634851
3923.0,-0.00021709297223004853
3922.0,-8.685021164911433e-05
3921.0,-8.685021164911433e-05
3920.0,-0.00013026880522692963
3919.0,-0.00021709297223004853
3918.0,-0.0002604985473904087
3917.0,-0.0002604985473904087
3916.0,-0.00021709297223004853
3915.0,-8.685021164911433e-05
3914.0,0.0
3913.0,8.686758342868472e-05
3912.0,0.00017375254558760211
3911.0,0.00017375254558760211
3910.0,0.00017375254558760211
3909.0,8.686758342868472e-05
3908.0,-4.3427276862573194e-05
3907.0,-0.00017368305846510168
3906.0,-0.00021709297223004853
3905.0,-0.0002604985473904087
3904.0,-0.0002604985473904087
3903.0,-0.0003472966853634851
3902.0,-0.0003906892499099257
3901.0,-0.0003906892499099257
3900.0,-0.00030389978481260016
3899.0,-0.00021709297223004853
3898.0,-0.00013026880522692963
3897.0,-8.685021164911433e-05
3896.0,-8.685021164911433e-05
3895.0,-0.00013026880522692963
3894.0,-0.00017368305846510168
3893.0,-0.00013026880522692963
3892.0,-8.685021164911433e-05
3891.0,-0.00017368305846510168
3890.0,-0.00030389978481260016
3889.0,-0.0004774613744551459
3888.0,-0.0006075870628903246
3887.0,-0.0006943158663546001
3886.0,-0.0006943158663546001
3885.0,-0.0006509536295951079
3884.0,-0.0005642161653756084
3883.0,-0.00043407747931878404
3882.0,-0.0002604985473904087
3881.0,-0.00013026880522692963
3880.0,-4.3427276862573194e-05
3879.0,-4.3427276862573194e-05
