cm-1,A
4000.0,0.0017
3999.0,0.0016
3998.0,0.0015
3997.0,0.0014
3996.0,0.0013
3995.0,0.0014
3994.0,0.0014
3993.0,0.0015
3992.0,0.0015
3991.0,0.0015
3990.0,0.0015
3989.0,0.0015
3988.0,0.0015
3987.0,0.0016
3986.0,0.0016
3985.0,0.0016
3984.0,0.0016
3983.0,0.0016
3982.0,0.0015
3981.0,0.0015
3980.0,0.0014
3979.0,0.0015
3978.0,0.0015
3977.0,0.0014
3976.0,0.0014
3975.0,0.0013
3974.0,0.0012
3973.0,0.0012
3972.0,0.0013
3971.0,0.0014
3970.0,0.0015
3969.0,0.0016
3968.0,0.0016
3967.0,0.0017
3966.0,0.0017
3965.0,0.0016
3964.0,0.0016
3963.0,0.0016
3962.0,0.0016
3961.0,0.0016
3960.0,0.0016
3959.0,0.0016
3958.0,0.0016
3957.0,0.0016
3956.0,0.0016
3955.0,0.0016
3954.0,0.0016
3953.0,0.0015
3952.0,0.0015
3951.0,0.0015
3950.0,0.0015
3949.0,0.0015
3948.0,0.0015
3947.0,0.0015
3946.0,0.0015
3945.0,0.0015
3944.0,0.0014
3943.0,0.0013
3942.0,0.0013
3941.0,0.0014
3940.0,0.0016
3939.0,0.0017
3938.0,0.0017
3937.0,0.0017
3936.0,0.0016
3935.0,0.0015
3934.0,0.0014
3933.0,0.0013
3932.0,0.0014
3931.0,0.0015
3930.0,0.0015
3929.0,0.0015
3928.0,0.0014
3927.0,0.0012
3926.0,0.0012
3925.0,0.0011
3924.0,0.0012
3923.0,0.0012
3922.0,0.0012
3921.0,0.0013
3920.0,0.0014
3919.0,0.0015
3918.0,0.0015
3917.0,0.0015
3916.0,0.0014
3915.0,0.0014
3914.0,0.0014
3913.0,0.0014
3912.0,0.0015
3911.0,0.0015
3910.0,0.0016
3909.0,0.0016
3908.0,0.0016
3907.0,0.0016
3906.0,0.0016
3905.0,0.0016
3904.0,0.0016
3903.0,0.0016
3902.0,0.0016
3901.0,0.0015
3900.0,0.0014
3899.0,0.0014
3898.0,0.0014
3897.0,0.0014
3896.0,0.0015
3895.0,0.0016
3894.0,0.0017
3893.0,0.0017
3892.0,0.0016
3891.0,0.0015
3890.0,0.0015
3889.0,0.0015
3888.0,0.0014
3887.0,0.0014
3886.0,0.0014
3885.0,0.0014
3884.0,0.0013
3883.0,0.0012
3882.0,0.0013
3881.0,0.0014
3880.0,0.0015
3879.0,0.0016
3878.0,0.0016
3877.0,0.0015
3876.0,0.0015
3875.0,0.0016
3874.0,0.0017
3873.0,0.0017
3872.0,0.0015
3871.0,0.0014
3870.0,0.0013
3869.0,0.0014
3868.0,0.0015
3867.0,0.0015
3866.0,0.0016
3865.0,0.0017
3864.0,0.0017
3863.0,0.0016
3862.0,0.0016
3861.0,0.0016
3860.0,0.0016
3859.0,0.0016
3858.0,0.0017
3857.0,0.0018
3856.0,0.0019
3855.0,0.0019
3854.0,0.0018
3853.0,0.0018
3852.0,0.0019
3851.0,0.0019
3850.0,0.0018
3849.0,0.0017
3848.0,0.0016
3847.0,0.0015
3846.0,0.0014
3845.0,0.0013
3844.0,0.0012
3843.0,0.0012
3842.0,0.0011
3841.0,0.001
3840.0,0.001
3839.0,0.0012
3838.0,0.0014
3837.0,0.0016
3836.0,0.0017
3835.0,0.0017
3834.0,0.0017
3833.0,0.0016
3832.0,0.0016
3831.0,0.0016
3830.0,0.0016
3829.0,0.0016
3828.0,0.0017
3827.0,0.0017
3826.0,0.0018
3825.0,0.0018
3824.0,0.0018
3823.0,0.0017
3822.0,0.0017
3821.0,0.0016
3820.0,0.0016
3819.0,0.0015
3818.0,0.0014
3817.0,0.0014
3816.0,0.0015
3815.0,0.0016
3814.0,0.0017
3813.0,0.0017
3812.0,0.0018
3811.0,0.0018
3810.0,0.0018
3809.0,0.0017
3808.0,0.0016
3807.0,0.0015
