cm-1,A
4000.0,0.026
3999.0,0.026
3998.0,0.026
3997.0,0.0261
3996.0,0.0261
3995.0,0.0261
3994.0,0.0261
3993.0,0.0261
3992.0,0.0261
3991.0,0.026
3990.0,0.026
3989.0,0.0259
3988.0,0.0259
3987.0,0.0259
3986.0,0.0258
3985.0,0.0257
3984.0,0.0257
3983.0,0.0258
3982.0,0.0258
3981.0,0.0258
3980.0,0.0259
3979.0,0.026
3978.0,0.0261
3977.0,0.0262
3976.0,0.0263
3975.0,0.0263
3974.0,0.0263
3973.0,0.0262
3972.0,0.0261
3971.0,0.026
3970.0,0.026
3969.0,0.026
3968.0,0.026
3967.0,0.026
3966.0,0.0261
3965.0,0.0262
3964.0,0.0262
3963.0,0.0263
3962.0,0.0263
3961.0,0.0262
3960.0,0.0262
3959.0,0.0262
3958.0,0.0261
3957.0,0.0261
3956.0,0.0261
3955.0,0.0262
3954.0,0.0263
3953.0,0.0264
3952.0,0.0264
3951.0,0.0263
3950.0,0.0262
3949.0,0.0261
3948.0,0.0261
3947.0,0.0261
3946.0,0.0262
3945.0,0.0264
3944.0,0.0265
3943.0,0.0265
3942.0,0.0266
3941.0,0.0265
3940.0,0.0265
3939.0,0.0263
3938.0,0.0262
3937.0,0.0262
3936.0,0.0263
3935.0,0.0263
3934.0,0.0264
3933.0,0.0265
3932.0,0.0266
3931.0,0.0266
3930.0,0.0266
3929.0,0.0266
3928.0,0.0267
3927.0,0.0268
3926.0,0.0268
3925.0,0.0268
3924.0,0.0267
3923.0,0.0267
3922.0,0.0266
3921.0,0.0267
3920.0,0.0268
3919.0,0.0269
3918.0,0.0269
3917.0,0.0269
3916.0,0.0268
3915.0,0.0267
3914.0,0.0267
3913.0,0.0267
3912.0,0.0266
3911.0,0.0266
3910.0,0.0266
3909.0,0.0267
3908.0,0.0268
3907.0,0.0269
3906.0,0.027
3905.0,0.0269
3904.0,0.0267
3903.0,0.0266
3902.0,0.0266
3901.0,0.0267
3900.0,0.0268
3899.0,0.0269
3898.0,0.0271
3897.0,0.0272
3896.0,0.0272
3895.0,0.0272
3894.0,0.0272
3893.0,0.0272
3892.0,0.0272
3891.0,0.0271
3890.0,0.0272
3889.0,0.0273
3888.0,0.0273
3887.0,0.0271
3886.0,0.0269
3885.0,0.0269
3884.0,0.0269
3883.0,0.027
3882.0,0.027
3881.0,0.0269
3880.0,0.0269
3879.0,0.027
3878.0,0.0271
3877.0,0.0272
3876.0,0.0272
3875.0,0.0271
3874.0,0.027
3873.0,0.0271
3872.0,0.0271
3871.0,0.0269
3870.0,0.0266
3869.0,0.0266
3868.0,0.0268
3867.0,0.0269
3866.0,0.0268
3865.0,0.0268
3864.0,0.0269
3863.0,0.027
3862.0,0.0271
3861.0,0.027
3860.0,0.0269
3859.0,0.0268
3858.0,0.0267
3857.0,0.0267
3856.0,0.0267
3855.0,0.0266
3854.0,0.0265
3853.0,0.0266
3852.0,0.0267
3851.0,0.0268
3850.0,0.0269
3849.0,0.027
3848.0,0.0271
3847.0,0.0272
3846.0,0.0274
3845.0,0.0274
3844.0,0.0274
3843.0,0.0274
3842.0,0.0273
3841.0,0.0273
3840.0,0.0272
3839.0,0.0271
3838.0,0.027
3837.0,0.027
3836.0,0.027
3835.0,0.0272
3834.0,0.0273
3833.0,0.0275
3832.0,0.0276
3831.0,0.0277
3830.0,0.0278
3829.0,0.0278
3828.0,0.0276
3827.0,0.0274
3826.0,0.0274
3825.0,0.0275
3824.0,0.0276
3823.0,0.0277
3822.0,0.0277
3821.0,0.0277
3820.0,0.0277
3819.0,0.0278
3818.0,0.0278
3817.0,0.0277
3816.0,0.0276
3815.0,0.0276
3814.0,0.0277
3813.0,0.0277
3812.0,0.0276
3811.0,0.0275
3810.0,0.0274
3809.0,0.0274
3808.0,0.0273
3807.0,0.0272
3806.0,0.0274
3805.0,0.0276
3804.0,0.0278
3803.0,0.0277
3802.0,0.0276
3801.0,0.0277
3800.0,0.0278
3799.0,0.028
3798.0,0.0281
3797.0,0.028
3796.0,0.028
3795.0,0.028
3794.0,0.0281
3793.0,0.0281
3792.0,0.0281
3791.0,0.0282
3790.0,0.0282
3789.0,0.0282
3788.0,0.0281
3787.0,0.0281
3786.0,0.0281
3785.0,0.0281
3784.0,0.0281
3783.0,0.0282
3782.0,0.0282
3781.0,0.0281
3780.0,0.028
3779.0,0.028
3778.0,0.0281
3777.0,0.028
3776.0,0.028
3775.0,0.0279
3774.0,0.028
3773.0,0.0281
3772.0,0.0282
3771.0,0.0282
3770.0,0.0282
3769.0,0.0282
3768.0,0.0283
3767.0,0.0283
3766.0,0.0283
3765.0,0.0283
3764.0,0.0283
3763.0,0.0284
3762.0,0.0284
3761.0,0.0284
3760.0,0.0284
3759.0,0.0285
3758.0,0.0285
3757.0,0.0284
3756.0,0.0283
3755.0,0.0281
3754.0,0.0278
3753.0,0.0274
3752.0,0.0273
3751.0,0.0274
3750.0,0.0276
3749.0,0.0277
3748.0,0.028
3747.0,0.0282
3746.0,0.0281
3745.0,0.028
3744.0,0.028
3743.0,0.0281
3742.0,0.0282
3741.0,0.0282
3740.0,0.0282
3739.0,0.0282
3738.0,0.0283
3737.0,0.0283
3736.0,0.0284
3735.0,0.0285
3734.0,0.0285
3733.0,0.0285
3732.0,0.0283
3731.0,0.0281
3730.0,0.028
3729.0,0.028
3728.0,0.028
3727.0,0.0281
3726.0,0.0283
3725.0,0.0285
3724.0,0.0286
3723.0,0.0285
3722.0,0.0285
3721.0,0.0286
3720.0,0.0287
3719.0,0.0288
3718.0,0.0288
3717.0,0.0286
3716.0,0.0286
3715.0,0.0285
3714.0,0.0285
3713.0,0.0284
3712.0,0.0284
3711.0,0.0285
3710.0,0.0285
3709.0,0.0285
3708.0,0.0286
3707.0,0.0287
3706.0,0.0288
3705.0,0.0289
3704.0,0.0289
3703.0,0.0289
3702.0,0.0289
3701.0,0.0291
3700.0,0.0293
3699.0,0.0295
3698.0,0.0296
3697.0,0.0297
3696.0,0.0297
3695.0,0.0297
3694.0,0.0297
3693.0,0.0297
3692.0,0.0296
3691.0,0.0297
3690.0,0.0297
3689.0,0.0298
3688.0,0.0298
3687.0,0.0298
3686.0,0.03
3685.0,0.0301
3684.0,0.0301
3683.0,0.0302
3682.0,0.0301
3681.0,0.03
3680.0,0.03
3679.0,0.0301
3678.0,0.0303
3677.0,0.0305
3676.0,0.0306
3675.0,0.0308
3674.0,0.031
3673.0,0.0312
3672.0,0.0312
3671.0,0.0312
3670.0,0.0312
3669.0,0.0312
3668.0,0.0312
3667.0,0.0312
3666.0,0.0312
3665.0,0.0312
3664.0,0.0312
3663.0,0.0312
3662.0,0.0312
3661.0,0.0312
3660.0,0.0312
3659.0,0.0313
3658.0,0.0315
3657.0,0.0316
3656.0,0.0317
3655.0,0.0317
3654.0,0.0318
3653.0,0.0317
3652.0,0.0313
3651.0,0.0309
3650.0,0.031
3649.0,0.0316
3648.0,0.0321
3647.0,0.0324
3646.0,0.0324
3645.0,0.0325
3644.0,0.0324
3643.0,0.0323
3642.0,0.0323
3641.0,0.0323
3640.0,0.0323
3639.0,0.0323
3638.0,0.0323
3637.0,0.0324
3636.0,0.0325
3635.0,0.0325
3634.0,0.0325
3633.0,0.0326
3632.0,0.0329
3631.0,0.0331
3630.0,0.0332
3629.0,0.0332
3628.0,0.0332
3627.0,0.0331
3626.0,0.0331
3625.0,0.0331
3624.0,0.0331
3623.0,0.0331
3622.0,0.0332
3621.0,0.0333
3620.0,0.0335
3619.0,0.0338
3618.0,0.0341
3617.0,0.0343
3616.0,0.0343
3615.0,0.0342
3614.0,0.0341
3613.0,0.0341
3612.0,0.0343
3611.0,0.0344
3610.0,0.0344
3609.0,0.0345
3608.0,0.0347
3607.0,0.0349
3606.0,0.0351
3605.0,0.0353
3604.0,0.0353
3603.0,0.0354
3602.0,0.0354
3601.0,0.0354
3600.0,0.0354
3599.0,0.0355
3598.0,0.0356
3597.0,0.0357
3596.0,0.0359
3595.0,0.0361
3594.0,0.0363
3593.0,0.0365
3592.0,0.0367
3591.0,0.0369
3590.0,0.0371
3589.0,0.0373
3588.0,0.0373
3587.0,0.0374
3586.0,0.0375
3585.0,0.0376
3584.0,0.0377
3583.0,0.0379
3582.0,0.0379
3581.0,0.038
3580.0,0.038
3579.0,0.038
3578.0,0.0381
3577.0,0.0382
3576.0,0.0383
3575.0,0.0385
3574.0,0.0386
3573.0,0.0387
3572.0,0.0389
3571.0,0.039
3570.0,0.0392
3569.0,0.0393
3568.0,0.0395
3567.0,0.0397
3566.0,0.0398
3565.0,0.0399
3564.0,0.0399
3563.0,0.04
3562.0,0.0401
3561.0,0.0403
3560.0,0.0403
3559.0,0.0404
3558.0,0.0405
3557.0,0.0406
3556.0,0.0408
3555.0,0.0409
3554.0,0.0409
3553.0,0.041
3552.0,0.041
3551.0,0.0412
3550.0,0.0414
3549.0,0.0416
3548.0,0.0416
3547.0,0.0417
3546.0,0.0417
3545.0,0.0418
3544.0,0.0419
3543.0,0.0419
3542.0,0.042
3541.0,0.0421
3540.0,0.0423
3539.0,0.0424
3538.0,0.0424
3537.0,0.0424
3536.0,0.0423
3535.0,0.0423
3534.0,0.0424
3533.0,0.0425
3532.0,0.0426
3531.0,0.0428
3530.0,0.0429
3529.0,0.0429
3528.0,0.0429
3527.0,0.0429
3526.0,0.043
3525.0,0.0431
3524.0,0.0433
3523.0,0.0434
3522.0,0.0434
3521.0,0.0435
3520.0,0.0436
3519.0,0.0438
3518.0,0.0439
3517.0,0.0441
3516.0,0.0441
3515.0,0.0441
3514.0,0.0442
3513.0,0.0444
3512.0,0.0445
3511.0,0.0445
3510.0,0.0445
3509.0,0.0445
3508.0,0.0446
3507.0,0.0447
3506.0,0.0448
3505.0,0.0449
3504.0,0.045
3503.0,0.0451
3502.0,0.0452
3501.0,0.0454
3500.0,0.0455
3499.0,0.0457
3498.0,0.0458
3497.0,0.0458
3496.0,0.0459
3495.0,0.046
3494.0,0.0461
3493.0,0.0462
3492.0,0.0464
3491.0,0.0466
3490.0,0.0469
3489.0,0.047
3488.0,0.0472
3487.0,0.0472
3486.0,0.0473
3485.0,0.0473
3484.0,0.0474
3483.0,0.0474
3482.0,0.0476
3481.0,0.0477
3480.0,0.0479
3479.0,0.048
3478.0,0.0481
3477.0,0.0481
3476.0,0.0481
3475.0,0.0481
3474.0,0.0482
3473.0,0.0484
3472.0,0.0485
3471.0,0.0487
3470.0,0.0487
3469.0,0.0487
3468.0,0.0487
3467.0,0.0488
3466.0,0.0488
3465.0,0.049
3464.0,0.0491
3463.0,0.0493
3462.0,0.0495
3461.0,0.0496
3460.0,0.0497
3459.0,0.0497
3458.0,0.0498
3457.0,0.0499
3456.0,0.05
3455.0,0.0501
3454.0,0.0502
3453.0,0.0503
3452.0,0.0504
3451.0,0.0506
3450.0,0.0508
3449.0,0.051
3448.0,0.0511
3447.0,0.0513
3446.0,0.0515
3445.0,0.0517
3444.0,0.0518
3443.0,0.0519
3442.0,0.0519
3441.0,0.0519
3440.0,0.0519
3439.0,0.0519
3438.0,0.052
3437.0,0.0521
3436.0,0.0522
3435.0,0.0523
3434.0,0.0525
3433.0,0.0526
3432.0,0.0526
3431.0,0.0526
3430.0,0.0527
