nm,Intensity
528.626,1862.7
528.711,1863.3
528.795,1864.0
528.879,1863.8
528.963,1863.5
529.048,1862.8
529.132,1864.8
529.216,1863.8
529.3,1863.7
529.385,1865.1
529.469,1862.5
529.553,1863.4
529.637,1864.3
529.721,1865.2
529.806,1865.8
529.89,1866.0
529.974,1865.6
530.058,1863.9
530.143,1864.2
530.227,1865.7
530.311,1864.2
530.395,1866.4
530.48,1866.3
530.564,1865.5
530.648,1864.9
530.732,1863.5
530.816,1864.5
530.901,1865.3
530.985,1865.6
531.069,1865.3
531.153,1867.9
531.237,1870.0
531.322,1870.2
531.406,1873.6
531.49,1873.0
531.574,1879.6
531.658,1907.9
531.743,2003.9
531.827,2370.6
531.911,3213.1
531.995,4874.5
532.079,5450.9
532.164,4768.5
532.248,3383.3
532.332,2276.5
532.416,1909.4
532.5,1872.7
532.585,1870.9
532.669,1866.9
532.753,1865.9
532.837,1867.3
532.921,1867.8
533.006,1867.6
533.09,1866.6
533.174,1866.9
533.258,1868.4
533.342,1873.0
533.426,1880.4
533.511,1901.8
533.595,1969.2
533.679,2109.2
533.763,2323.9
533.847,2524.6
533.931,2705.8
534.016,2860.1
534.1,2958.0
534.184,2942.4
534.268,2953.8
534.352,2918.6
534.436,2952.1
534.521,2926.0
534.605,2908.0
534.689,2917.1
534.773,2904.8
534.857,2939.8
534.941,2925.4
535.025,2925.9
535.11,2906.3
535.194,2933.9
535.278,2968.1
535.362,2945.4
535.446,2906.9
535.53,2910.3
535.614,2909.2
535.699,2906.6
535.783,2903.1
535.867,2883.9
535.951,2867.7
536.035,2872.3
536.119,2904.5
536.203,2888.0
536.287,2909.8
536.372,2881.3
536.456,2903.1
536.54,2876.3
536.624,2873.9
536.708,2915.0
536.792,2895.3
536.876,2879.9
536.96,2901.8
537.044,2925.7
537.129,2913.9
537.213,2902.9
537.297,2922.0
537.381,2922.0
537.465,2944.3
537.549,2937.2
537.633,2961.0
537.717,2949.7
537.801,2977.7
537.885,2983.5
537.97,2967.4
538.054,2971.0
538.138,2991.3
538.222,2985.1
538.306,2969.2
538.39,2954.5
538.474,2943.9
538.558,2950.9
538.642,2992.2
538.726,2970.2
538.81,3000.7
538.894,3005.3
538.979,2984.2
