nm,Intensity
526.547,832.6
526.684,831.9
526.821,832.4
526.958,831.05
527.095,832.55
527.232,831.6
527.368,832.7
527.505,832.6
527.642,832.7
527.779,831.95
527.916,832.0
528.052,832.55
528.189,831.15
528.326,832.5
528.463,832.15
528.599,833.55
528.736,832.55
528.873,832.85
529.009,831.5
529.146,831.7
529.283,832.25
529.419,832.5
529.556,833.3
529.693,831.45
529.829,831.95
529.966,832.95
530.103,833.4
530.239,831.95
530.376,831.9
530.512,832.8
530.649,833.1
530.785,832.55
530.922,832.1
531.059,832.1
531.195,832.9
531.332,831.65
531.468,832.5
531.605,831.25
531.741,832.5
531.878,833.9
532.014,839.25
532.151,866.0
532.287,858.95
532.423,835.45
532.56,832.4
532.696,833.0
532.833,833.3
532.969,832.1
533.106,831.7
533.242,833.75
533.378,832.25
533.515,835.95
533.651,866.25
533.787,1110.6
533.924,2005.25
534.06,3033.9
534.196,3339.3
534.333,3243.25
534.469,3050.85
534.605,2889.1
534.742,2712.0
534.878,2501.3
535.014,2244.5
535.15,2021.65
535.287,1837.45
535.423,1686.55
535.559,1544.6
535.695,1434.95
535.832,1346.3
535.968,1275.8
536.104,1214.0
536.24,1176.9
536.376,1145.5
536.513,1126.3
536.649,1108.4
536.785,1102.5
536.921,1090.05
537.057,1084.9
537.193,1067.35
537.329,1061.05
537.465,1052.2
537.602,1042.65
537.738,1041.45
537.874,1045.9
538.01,1051.05
538.146,1066.75
538.282,1077.75
538.418,1087.45
538.554,1089.9
538.69,1080.05
538.826,1052.85
538.962,1016.9
539.098,982.1
539.234,950.85
539.37,934.45
539.506,921.9
539.642,919.55
539.778,916.7
539.914,915.45
540.05,913.9
540.186,909.6
540.322,906.8
540.458,903.3
540.594,897.35
540.729,897.7
540.865,894.7
541.001,892.65
541.137,894.25
541.273,892.55
541.409,894.0
541.545,896.1
541.68,894.35
541.816,895.75
541.952,893.25
542.088,893.35
542.224,892.1
542.36,889.8
542.495,888.75
542.631,887.05
542.767,889.0
542.903,891.85
543.038,896.3
543.174,896.6
543.31,901.45
543.446,904.2
543.581,907.5
543.717,911.8
