nm,Intensity
526.508,830.2
526.645,829.7
526.782,829.0
526.919,831.0
527.055,831.1
527.192,828.5
527.329,830.3
527.465,829.3
527.602,829.1
527.739,830.1
527.875,829.9
528.012,831.2
528.149,832.1
528.285,830.3
528.422,829.8
528.558,829.5
528.695,830.0
528.832,827.8
528.968,830.5
529.105,829.8
529.241,830.0
529.378,828.6
529.514,829.7
529.651,830.9
529.787,830.3
529.924,831.2
530.061,829.9
530.197,829.8
530.334,830.3
530.47,829.3
530.606,829.8
530.743,830.4
530.879,829.0
531.016,829.8
531.152,830.5
531.289,829.8
531.425,828.9
531.562,830.7
531.698,830.0
531.834,831.2
531.971,833.5
532.107,862.1
532.244,877.5
532.38,842.0
532.516,830.4
532.653,831.0
532.789,828.8
532.925,830.0
533.062,830.4
533.198,828.9
533.334,830.5
533.471,831.0
533.607,839.3
533.743,929.9
533.879,1381.9
534.016,2148.0
534.152,2512.8
534.288,2514.2
534.424,2362.3
534.561,2249.8
534.697,2141.1
534.833,1982.6
534.969,1832.3
535.106,1677.1
535.242,1542.1
535.378,1428.3
535.514,1339.5
535.65,1260.2
535.786,1197.9
535.923,1145.0
536.059,1105.1
536.195,1080.8
536.331,1050.8
536.467,1041.1
536.603,1035.5
536.739,1021.1
536.876,1017.9
537.012,1013.4
537.148,1002.1
537.284,997.1
537.42,991.1
537.556,983.6
537.692,984.2
537.828,984.2
537.964,984.2
538.1,992.3
538.236,1004.3
538.372,1012.3
538.508,1019.8
538.644,1015.8
538.78,996.6
538.916,982.3
539.052,954.5
539.188,926.7
539.324,917.6
539.46,908.3
539.596,900.5
539.732,901.0
539.868,898.7
540.004,899.1
540.14,892.1
540.275,892.2
540.411,890.5
540.547,889.8
540.683,889.6
540.819,885.1
540.955,884.8
541.091,887.0
541.227,883.3
541.362,883.9
541.498,883.8
541.634,884.2
541.77,882.9
541.906,884.1
542.041,880.6
542.177,883.0
542.313,878.9
542.449,880.4
542.585,881.4
542.72,881.8
542.856,881.1
542.992,883.7
543.128,885.1
543.263,887.0
543.399,890.1
543.535,892.1
543.67,892.7
543.806,896.8
543.942,899.5
544.078,897.0
544.213,893.6
