nm,Intensity
526.508,830.4
526.645,830.0
526.782,830.2
526.919,830.6
527.055,831.5
527.192,830.9
527.329,829.2
527.465,830.8
527.602,827.8
527.739,830.0
527.875,830.1
528.012,831.4
528.149,830.9
528.285,830.0
528.422,831.5
528.558,831.4
528.695,831.6
528.832,830.5
528.968,830.9
529.105,829.7
529.241,830.6
529.378,830.3
529.514,830.6
529.651,830.9
529.787,830.6
529.924,830.2
530.061,830.3
530.197,829.6
530.334,831.0
530.47,829.5
530.606,829.3
530.743,829.1
530.879,831.7
531.016,830.2
531.152,829.8
531.289,830.0
531.425,829.9
531.562,830.2
531.698,830.5
531.834,829.6
531.971,834.6
532.107,873.5
532.244,885.4
532.38,842.5
532.516,831.3
532.653,830.0
532.789,830.6
532.925,831.6
533.062,831.4
533.198,830.0
533.334,830.2
533.471,830.3
533.607,834.3
533.743,869.7
533.879,1038.3
534.016,1319.7
534.152,1430.2
534.288,1426.8
534.424,1387.1
534.561,1346.0
534.697,1321.0
534.833,1268.3
534.969,1207.4
535.106,1158.9
535.242,1117.6
535.378,1075.5
535.514,1051.6
535.65,1019.9
535.786,1001.5
535.923,986.8
536.059,974.1
536.195,959.5
536.331,956.1
536.467,951.5
536.603,950.3
536.739,944.6
536.876,943.7
537.012,940.9
537.148,937.3
537.284,934.9
537.42,930.8
537.556,926.8
537.692,930.3
537.828,933.1
537.964,929.5
538.1,935.7
538.236,937.3
538.372,937.3
538.508,936.1
538.644,937.7
538.78,940.0
538.916,924.7
539.052,914.3
539.188,907.5
539.324,909.6
539.46,906.1
539.596,904.8
539.732,897.3
539.868,899.4
540.004,900.1
540.14,897.2
540.275,896.6
540.411,896.3
540.547,891.9
540.683,890.0
540.819,895.7
540.955,893.8
541.091,893.3
541.227,891.4
541.362,893.2
541.498,893.7
541.634,892.4
541.77,893.0
541.906,892.1
542.041,893.3
542.177,893.2
542.313,890.8
542.449,888.5
542.585,891.4
542.72,888.5
542.856,889.1
542.992,889.8
543.128,895.0
543.263,895.4
543.399,892.5
543.535,894.9
543.67,892.2
543.806,895.6
543.942,893.1
544.078,891.6
544.213,892.2
544.349,888.2
544.485,887.8
544.62,890.2
544.756,882.3
544.892,887.4
545.027,887.4
545.163,884.9
545.298,884.3
545.434,888.4
545.57,882.5
545.705,883.4
545.841,881.9
545.976,885.6
546.112,881.3
546.248,882.7
546.383,884.1
546.519,880.0
546.654,883.1
546.79,878.5
546.925,881.6
547.061,881.8
547.196,878.7
547.332,879.2
547.467,881.3
547.603,881.7
547.738,880.8
547.874,883.9
548.009,886.6
548.145,882.2
548.28,882.1
548.416,880.3
548.551,880.8
548.686,880.8
548.822,883.3
548.957,879.7
549.093,879.5
549.228,879.2
549.363,880.4
549.499,879.9
549.634,877.5
549.77,879.3
549.905,878.4
550.04,878.6
550.176,886.6
550.311,909.8
550.446,907.4
550.582,891.0
550.717,879.0
550.852,878.3
550.988,878.1
551.123,874.6
551.258,878.6
551.394,874.0
551.529,875.2
551.664,873.4
551.799,872.9
551.935,875.6
552.07,875.8
552.205,874.0
552.34,873.3
552.476,874.1
552.611,875.2
552.746,873.9
552.881,873.8
553.016,876.2
553.152,872.1
553.287,874.2
553.422,873.4
553.557,874.2
553.692,875.8
553.827,877.8
553.963,878.2
554.098,882.8
554.233,882.8
554.368,886.6
554.503,888.1
554.638,887.0
554.773,887.5
554.908,884.3
555.043,883.1
555.179,883.9
555.314,886.0
555.449,893.1
555.584,899.4
555.719,904.2
555.854,899.0
555.989,888.9
556.124,883.9
556.259,881.8
556.394,879.5
556.529,875.3
556.664,877.6
556.799,875.8
556.934,875.8
557.069,879.8
557.204,881.0
557.339,879.5
557.474,878.4
557.609,874.6
557.744,876.5
557.879,877.1
558.014,873.2
558.149,873.7
558.284,873.7
558.419,873.4
558.553,874.4
558.688,876.5
558.823,875.7
558.958,877.1
559.093,880.6
559.228,879.8
559.363,879.0
559.498,874.1
559.632,873.0
559.767,876.2
559.902,873.7
560.037,876.2
560.172,877.0
560.307,876.0
560.441,874.4
560.576,876.1
560.711,873.6
560.846,878.1
560.981,878.4
561.115,877.1
561.25,877.8
561.385,882.8
561.52,884.6
561.654,894.6
561.789,907.4
561.924,951.9
562.059,1098.7
562.193,1179.1
562.328,1006.5
562.463,910.9
562.598,887.0
562.732,890.4
562.867,907.3
563.002,947.5
563.136,961.8
563.271,933.4
563.406,906.8
563.54,891.9
563.675,885.8
563.81,886.4
563.944,885.3
564.079,886.1
564.213,888.7
564.348,890.4
564.483,888.1
564.617,888.2
564.752,887.7
564.887,884.8
565.021,890.9
565.156,885.9
565.29,886.5
565.425,884.2
565.559,884.3
565.694,879.4
565.828,877.2
565.963,879.1
566.098,878.5
566.232,877.1
566.367,879.6
566.501,881.8
566.636,883.8
566.77,889.0
566.905,899.1
567.039,912.4
567.174,906.8
567.308,894.7
567.443,893.6
567.577,895.9
567.711,904.2
567.846,917.8
567.98,924.3
568.115,923.1
568.249,928.6
568.384,931.3
568.518,932.1
568.652,923.4
568.787,915.4
568.921,903.9
569.056,898.1
569.19,896.8
569.324,895.4
569.459,892.9
569.593,891.1
569.727,891.6
569.862,890.1
569.996,887.5
570.131,890.0
570.265,889.6
570.399,886.7
570.534,886.9
570.668,891.5
570.802,888.9
570.936,887.5
571.071,888.7
571.205,891.4
571.339,891.4
571.474,888.2
571.608,892.4
571.742,896.6
571.876,894.8
572.011,898.4
572.145,896.8
572.279,897.2
572.413,901.4
572.548,903.1
572.682,901.5
572.816,905.7
572.95,900.6
573.084,900.0
573.219,901.5
573.353,896.4
573.487,897.8
573.621,899.6
573.755,900.1
573.889,897.4
574.024,897.5
574.158,896.8
574.292,893.4
574.426,895.1
574.56,890.5
574.694,893.6
574.828,895.2
574.963,889.6
575.097,892.0
575.231,889.0
575.365,895.0
575.499,890.2
575.633,892.1
575.767,891.2
575.901,891.5
576.035,892.3
576.169,896.8
576.303,901.4
576.437,904.0
576.571,913.4
576.706,912.4
576.84,907.5
576.974,906.3
577.108,896.1
577.242,895.0
577.376,891.8
577.51,892.8
577.644,893.7
577.778,896.8
577.912,893.3
578.046,893.8
578.179,893.6
578.313,892.3
578.447,891.5
578.581,893.7
578.715,892.3
578.849,895.3
578.983,894.0
579.117,893.4
579.251,895.9
579.385,890.3
579.519,894.2
579.653,892.3
579.787,894.0
579.921,892.5
580.054,893.7
580.188,894.5
580.322,893.1
580.456,900.5
580.59,896.6
580.724,897.7
580.858,904.3
580.991,907.4
581.125,924.3
581.259,921.5
581.393,913.3
581.527,919.6
581.661,949.8
581.794,978.0
581.928,966.3
582.062,925.7
582.196,907.8
582.33,898.7
582.463,899.2
582.597,895.8
582.731,893.1
582.865,895.2
582.998,895.4
583.132,894.3
583.266,896.6
583.4,894.9
583.533,891.5
583.667,892.8
583.801,894.6
583.935,894.3
584.068,892.1
584.202,892.2
584.336,893.9
584.469,891.5
584.603,895.4
584.737,892.7
584.87,890.8
585.004,895.1
585.138,892.6
585.271,892.0
585.405,892.4
585.539,892.1
585.672,894.0
585.806,893.7
585.94,891.0
586.073,891.3
586.207,893.5
586.34,892.7
586.474,890.0
586.608,891.8
586.741,894.7
586.875,891.6
587.008,893.0
587.142,893.2
587.276,893.1
587.409,892.7
587.543,891.3
587.676,893.2
587.81,891.0
587.943,893.5
588.077,890.2
588.21,889.2
588.344,891.6
588.478,890.3
588.611,889.8
588.745,891.0
588.878,885.8
589.012,890.7
589.145,889.9
589.279,888.0
589.412,888.8
589.546,888.9
589.679,892.1
589.812,889.8
589.946,890.5
590.079,891.8
590.213,891.9
590.346,892.9
590.48,890.3
590.613,888.7
590.747,887.2
590.88,890.3
591.013,888.0
591.147,890.5
591.28,890.3
591.414,887.2
591.547,889.5
591.68,889.2
591.814,889.4
591.947,890.4
592.081,890.1
592.214,886.6
592.347,886.9
592.481,890.2
592.614,888.0
592.747,890.3
592.881,889.0
593.014,888.5
593.147,887.3
593.281,888.3
593.414,887.9
