nm,Intensity
526.493,828.45
526.629,829.35
526.766,828.45
526.903,828.1
527.039,828.65
527.176,828.4
527.313,829.35
527.449,828.75
527.586,830.55
527.723,829.6
527.859,828.3
527.996,829.45
528.133,829.3
528.269,829.0
528.406,828.9
528.542,829.25
528.679,830.3
528.816,828.8
528.952,829.1
529.089,829.4
529.225,829.15
529.362,829.95
529.498,830.25
529.635,829.05
529.771,829.45
529.908,829.2
530.044,829.95
530.181,829.0
530.317,829.6
530.454,829.8
530.59,828.75
530.727,829.5
530.863,830.0
531.0,829.6
531.136,829.4
531.273,829.85
531.409,829.4
531.546,828.3
531.682,829.3
531.818,828.9
531.955,832.15
532.091,851.35
532.227,861.5
532.364,836.2
532.5,829.25
532.637,829.4
532.773,828.5
532.909,829.15
533.046,828.55
533.182,829.9
533.318,828.8
533.455,829.25
533.591,829.8
533.727,842.1
533.863,899.35
534.0,996.35
534.136,1042.25
534.272,1044.55
534.408,1040.45
534.545,1040.55
534.681,1044.5
534.817,1049.05
534.953,1039.75
535.09,1039.45
535.226,1037.4
535.362,1040.65
535.498,1042.1
535.634,1052.35
535.771,1044.7
535.907,1050.25
536.043,1044.5
536.179,1047.05
536.315,1047.35
536.451,1049.1
536.588,1051.55
536.724,1053.4
536.86,1057.5
536.996,1053.95
537.132,1055.5
537.268,1056.8
537.404,1060.95
537.54,1063.45
537.676,1060.25
537.812,1064.65
537.948,1066.6
538.084,1065.1
538.22,1061.8
538.357,1070.5
538.493,1065.85
538.629,1069.55
538.765,1069.85
538.901,1072.5
539.037,1068.2
539.173,1070.1
539.309,1069.15
539.444,1077.55
539.58,1075.0
539.716,1070.4
539.852,1074.35
539.988,1072.75
540.124,1079.35
540.26,1080.3
540.396,1081.1
540.532,1077.25
540.668,1080.65
540.804,1079.6
540.94,1076.05
541.076,1082.9
541.211,1085.65
541.347,1083.35
541.483,1082.9
541.619,1086.0
541.755,1089.15
541.891,1087.75
542.026,1084.15
542.162,1087.05
542.298,1090.75
542.434,1091.3
542.57,1095.85
542.705,1093.95
542.841,1094.9
542.977,1100.9
543.113,1098.1
543.249,1101.8
543.384,1099.75
543.52,1100.65
543.656,1101.95
543.791,1102.75
543.927,1106.35
544.063,1105.5
544.199,1102.4
544.334,1108.5
544.47,1114.4
544.606,1116.05
544.741,1109.95
544.877,1115.45
545.013,1115.15
545.148,1115.1
545.284,1117.15
545.42,1118.0
545.555,1116.0
545.691,1117.5
545.827,1122.95
545.962,1121.95
546.098,1124.55
546.233,1126.2
546.369,1127.15
546.504,1127.65
546.64,1128.45
546.776,1128.6
546.911,1131.2
547.047,1127.2
547.182,1134.6
547.318,1133.4
547.453,1134.35
547.589,1133.1
547.724,1132.1
547.86,1127.9
547.995,1135.0
548.131,1136.0
548.266,1133.75
548.402,1132.15
548.537,1141.95
548.673,1138.15
548.808,1144.8
548.944,1142.25
549.079,1141.75
549.214,1144.85
549.35,1145.95
549.485,1146.3
549.621,1147.35
549.756,1150.65
549.892,1155.15
550.027,1150.95
550.162,1148.15
550.298,1149.45
550.433,1151.65
550.568,1150.6
550.704,1151.5
550.839,1155.55
550.974,1154.9
551.11,1155.2
551.245,1156.15
551.38,1157.9
551.516,1161.55
551.651,1158.85
551.786,1162.35
551.922,1164.05
552.057,1165.3
552.192,1161.6
552.327,1162.65
552.463,1166.85
552.598,1160.4
552.733,1161.9
552.868,1161.2
553.004,1161.85
553.139,1164.45
553.274,1166.4
553.409,1171.1
553.544,1173.85
553.68,1170.45
553.815,1172.25
553.95,1174.35
554.085,1175.4
554.22,1174.9
554.356,1175.7
554.491,1170.35
554.626,1179.6
554.761,1180.6
554.896,1174.9
555.031,1173.35
555.166,1176.0
555.301,1178.2
555.437,1174.8
555.572,1179.3
555.707,1182.45
555.842,1179.3
555.977,1180.05
556.112,1180.8
556.247,1185.65
556.382,1182.65
556.517,1182.1
556.652,1186.85
556.787,1185.5
556.922,1187.35
557.057,1192.1
557.192,1189.9
557.327,1190.85
557.462,1192.35
557.597,1192.7
557.732,1192.5
557.867,1190.65
558.002,1195.65
558.137,1193.7
558.272,1198.1
558.407,1189.3
558.542,1185.95
558.677,1193.75
558.812,1193.55
558.947,1196.0
559.082,1201.8
559.217,1196.65
559.351,1196.3
559.486,1202.6
559.621,1200.15
559.756,1197.1
559.891,1202.3
560.026,1208.55
560.161,1205.1
560.295,1208.2
560.43,1211.75
560.565,1216.8
560.7,1209.1
560.835,1210.0
560.97,1216.0
561.104,1211.35
561.239,1214.85
561.374,1212.1
561.509,1212.85
561.644,1215.15
561.778,1216.8
561.913,1219.6
562.048,1219.4
562.183,1230.9
562.317,1221.9
562.452,1220.2
562.587,1223.55
562.722,1226.35
562.856,1228.9
562.991,1233.15
563.126,1236.05
563.26,1233.55
563.395,1230.3
563.53,1240.0
563.665,1239.6
563.799,1238.35
563.934,1237.05
564.069,1238.55
564.203,1243.7
564.338,1241.15
564.472,1247.2
564.607,1249.2
564.742,1264.95
564.876,1276.6
565.011,1264.05
565.146,1252.75
565.28,1254.9
565.415,1256.3
565.549,1253.2
565.684,1255.5
565.818,1260.4
565.953,1258.5
566.088,1258.8
566.222,1261.35
566.357,1270.1
566.491,1260.05
566.626,1264.65
566.76,1264.9
566.895,1261.15
567.029,1263.2
567.164,1267.85
567.298,1265.45
567.433,1267.8
567.567,1265.15
567.702,1269.3
567.836,1270.55
567.971,1270.45
568.105,1273.6
568.24,1267.8
568.374,1276.05
568.509,1281.7
568.643,1282.25
568.777,1280.2
568.912,1281.55
569.046,1290.15
569.181,1281.9
569.315,1283.3
569.449,1286.0
569.584,1289.5
569.718,1296.95
569.853,1293.0
569.987,1297.3
570.121,1294.95
570.256,1294.6
570.39,1299.2
570.524,1297.2
570.659,1291.4
570.793,1299.0
570.927,1292.55
571.062,1299.95
571.196,1300.75
571.33,1305.5
571.465,1301.3
571.599,1299.05
571.733,1300.55
571.867,1307.85
572.002,1314.55
572.136,1308.7
572.27,1313.2
572.404,1315.1
572.539,1320.5
572.673,1318.6
572.807,1324.65
572.941,1324.15
573.076,1328.1
573.21,1324.25
573.344,1331.25
573.478,1332.7
573.612,1327.35
573.747,1323.85
573.881,1332.0
574.015,1333.3
574.149,1326.6
574.283,1334.25
574.417,1333.75
574.552,1332.15
574.686,1330.25
574.82,1327.5
574.954,1334.95
575.088,1332.35
575.222,1335.2
575.356,1334.6
575.491,1329.7
575.625,1336.0
575.759,1333.75
575.893,1333.85
576.027,1337.35
576.161,1335.75
576.295,1341.55
576.429,1336.15
576.563,1338.55
576.697,1338.85
576.831,1338.5
576.965,1345.95
577.099,1349.25
577.233,1340.8
577.367,1346.2
577.501,1347.35
577.635,1343.45
577.769,1342.15
577.903,1349.4
578.037,1349.05
578.171,1349.15
578.305,1355.5
578.439,1348.0
578.573,1361.55
578.707,1360.65
578.841,1362.65
578.975,1366.45
579.109,1360.45
579.243,1362.6
579.377,1362.05
579.511,1359.75
579.645,1360.1
579.779,1365.9
579.913,1359.45
580.046,1362.65
580.18,1359.25
580.314,1365.65
580.448,1364.5
580.582,1367.85
580.716,1365.1
580.85,1369.15
580.984,1369.15
581.117,1369.7
581.251,1369.65
581.385,1364.65
581.519,1375.15
581.653,1376.65
581.787,1383.8
581.92,1379.4
582.054,1376.55
582.188,1378.9
582.322,1380.75
582.456,1377.9
582.589,1385.8
582.723,1374.65
582.857,1385.85
582.991,1369.75
583.124,1370.45
583.258,1376.1
583.392,1368.8
583.526,1374.25
583.659,1378.95
583.793,1375.3
583.927,1378.45
584.061,1376.5
584.194,1375.65
584.328,1375.25
584.462,1377.9
584.595,1377.4
584.729,1373.55
584.863,1380.65
584.997,1379.25
585.13,1383.65
585.264,1379.1
585.398,1381.75
585.531,1386.1
585.665,1380.9
585.798,1387.6
585.932,1387.4
586.066,1384.4
586.199,1389.1
586.333,1390.4
586.467,1391.0
586.6,1391.6
586.734,1391.1
586.867,1392.45
587.001,1390.35
587.135,1395.85
587.268,1389.5
587.402,1395.45
587.535,1394.6
587.669,1394.45
587.802,1399.95
587.936,1391.3
588.07,1393.45
588.203,1389.6
588.337,1395.9
588.47,1395.5
588.604,1396.9
588.737,1395.3
588.871,1389.3
589.004,1393.3
589.138,1392.1
589.271,1392.0
589.405,1386.0
589.538,1388.55
589.672,1390.7
589.805,1388.9
589.939,1393.35
590.072,1392.25
590.206,1399.2
590.339,1392.8
590.472,1398.25
590.606,1400.15
590.739,1400.2
590.873,1397.5
591.006,1399.3
591.14,1402.8
591.273,1406.4
591.406,1402.5
591.54,1401.45
591.673,1397.25
591.807,1400.7
591.94,1403.2
592.073,1401.55
592.207,1398.3
592.34,1399.45
592.473,1397.4
592.607,1405.5
592.74,1402.25
592.873,1402.6
593.007,1390.95
593.14,1399.8
593.273,1403.65
593.407,1399.7
593.54,1402.75
593.673,1406.4
593.807,1406.35
593.94,1401.55
594.073,1399.7
594.207,1401.95
594.34,1402.5
594.473,1404.55
594.606,1405.65
594.74,1409.0
594.873,1411.05
595.006,1407.6
595.14,1414.4
595.273,1411.55
595.406,1419.65
595.539,1416.95
595.673,1412.1
595.806,1411.85
595.939,1416.8
596.072,1416.95
596.205,1415.95
596.339,1415.85
596.472,1416.15
596.605,1417.85
596.738,1422.6
596.871,1419.85
597.005,1423.45
597.138,1420.05
597.271,1420.2
597.404,1424.25
597.537,1417.95
597.67,1417.7
597.804,1426.45
597.937,1431.45
598.07,1429.3
598.203,1435.0
598.336,1430.8
598.469,1429.0
598.602,1434.1
598.735,1434.85
598.869,1431.35
599.002,1441.7
599.135,1432.35
599.268,1433.7
599.401,1437.85
599.534,1437.6
599.667,1432.2
599.8,1433.85
599.933,1435.7
600.066,1441.0
600.199,1430.65
600.332,1430.2
600.465,1434.15
600.598,1436.8
600.731,1431.85
600.865,1428.15
600.998,1428.8
601.131,1425.0
601.264,1431.2
601.397,1437.95
601.53,1428.4
601.663,1433.1
601.796,1427.85
601.929,1431.55
602.062,1440.8
602.195,1423.15
602.328,1431.75
602.46,1433.25
602.593,1435.25
602.726,1435.4
602.859,1444.6
602.992,1440.1
603.125,1440.15
603.258,1441.4
603.391,1437.3
603.524,1443.95
603.657,1442.0
603.79,1442.85
603.923,1438.35
604.056,1444.1
604.189,1442.35
604.322,1435.6
604.454,1433.6
604.587,1439.35
604.72,1442.25
604.853,1428.0
604.986,1438.0
605.119,1432.6
605.252,1427.35
605.385,1432.25
605.517,1429.55
605.65,1426.65
605.783,1422.85
605.916,1422.45
606.049,1427.0
606.182,1432.3
606.315,1422.0
606.447,1427.05
606.58,1425.4
606.713,1420.95
606.846,1424.05
606.979,1419.95
607.111,1427.5
607.244,1428.1
607.377,1427.95
607.51,1433.8
607.643,1432.65
607.775,1428.35
607.908,1432.75
608.041,1431.6
608.174,1431.6
608.306,1431.25
608.439,1432.15
608.572,1438.7
608.705,1429.7
608.837,1436.55
608.97,1436.65
609.103,1441.65
609.236,1432.05
609.368,1437.6
609.501,1430.5
609.634,1427.7
609.766,1434.45
609.899,1432.45
610.032,1433.75
610.164,1436.05
610.297,1424.25
610.43,1424.25
610.563,1426.6
610.695,1427.75
610.828,1427.25
610.961,1430.75
611.093,1429.6
611.226,1421.65
611.359,1423.8
611.491,1434.6
611.624,1427.5
611.756,1430.85
611.889,1426.1
612.022,1425.05
612.154,1435.05
612.287,1439.85
612.42,1438.45
612.552,1434.2
612.685,1439.35
612.817,1444.2
612.95,1446.8
613.083,1447.5
613.215,1449.6
613.348,1445.05
613.48,1448.45
613.613,1447.75
613.745,1452.4
613.878,1445.8
614.011,1448.2
614.143,1449.95
614.276,1444.0
614.408,1452.55
614.541,1439.55
614.673,1438.95
614.806,1444.2
614.938,1440.45
615.071,1444.25
615.203,1441.85
615.336,1438.75
615.469,1443.05
615.601,1437.6
615.734,1443.9
615.866,1439.1
615.999,1441.8
616.131,1439.05
616.263,1438.5
616.396,1434.05
616.528,1438.0
616.661,1439.35
616.793,1444.35
616.926,1443.0
617.058,1443.65
617.191,1446.6
617.323,1438.2
617.456,1445.5
617.588,1439.75
617.721,1433.0
617.853,1441.0
617.985,1442.45
618.118,1438.15
618.25,1442.2
618.383,1448.8
618.515,1447.55
618.648,1446.7
618.78,1443.55
618.912,1435.4
619.045,1440.65
619.177,1436.05
619.31,1439.0
619.442,1440.5
619.574,1443.35
619.707,1445.7
619.839,1445.3
619.971,1436.45
620.104,1437.95
620.236,1435.4
620.369,1431.0
620.501,1439.4
620.633,1435.2
620.766,1430.95
620.898,1438.3
621.03,1435.1
621.163,1440.6
621.295,1435.65
621.427,1441.95
621.56,1431.6
621.692,1439.05
621.824,1434.3
621.957,1438.2
622.089,1434.65
622.221,1434.55
622.353,1436.05
622.486,1444.9
622.618,1441.0
622.75,1445.1
622.883,1439.95
623.015,1440.75
623.147,1441.05
623.279,1443.1
623.412,1448.35
623.544,1443.85
623.676,1441.65
623.808,1448.9
623.941,1442.35
624.073,1443.0
624.205,1446.55
624.337,1443.8
624.47,1446.5
624.602,1445.9
624.734,1444.25
624.866,1447.6
624.999,1444.95
625.131,1444.35
625.263,1442.25
625.395,1444.15
625.527,1447.65
625.66,1443.55
625.792,1438.6
625.924,1441.4
626.056,1445.05
626.188,1445.85
626.321,1438.0
626.453,1439.3
626.585,1446.15
626.717,1444.85
626.849,1441.75
626.981,1445.2
627.114,1442.2
627.246,1439.05
627.378,1435.45
627.51,1438.8
627.642,1437.65
627.774,1438.1
627.906,1438.05
628.039,1443.05
628.171,1436.7
628.303,1436.3
628.435,1440.95
628.567,1438.8
628.699,1442.75
628.831,1437.6
628.963,1443.05
629.095,1439.0
629.228,1438.7
629.36,1440.75
629.492,1440.4
629.624,1437.85
629.756,1443.9
629.888,1435.35
630.02,1438.5
630.152,1441.75
630.284,1443.65
630.416,1438.85
630.548,1441.25
630.68,1444.55
630.813,1441.7
630.945,1440.0
631.077,1441.95
631.209,1441.35
631.341,1443.65
631.473,1441.25
631.605,1447.6
631.737,1435.8
631.869,1438.15
632.001,1438.05
632.133,1432.95
632.265,1438.2
632.397,1427.15
632.529,1434.15
632.661,1432.1
632.793,1434.2
632.925,1426.25
633.057,1430.25
633.189,1431.9
633.321,1426.0
633.453,1431.05
633.585,1423.45
633.717,1430.9
633.849,1426.6
633.981,1430.25
634.113,1423.3
634.245,1422.15
634.377,1428.3
634.509,1425.6
634.641,1423.05
634.773,1426.6
634.905,1424.75
635.036,1424.65
635.168,1415.95
635.3,1430.1
635.432,1430.55
635.564,1422.25
635.696,1422.6
635.828,1427.2
635.96,1432.85
636.092,1423.8
636.224,1424.75
636.356,1428.45
636.488,1425.15
636.62,1419.3
636.751,1428.25
636.883,1424.45
637.015,1429.2
637.147,1415.75
637.279,1425.85
637.411,1425.45
637.543,1420.75
637.675,1421.35
637.807,1424.95
637.938,1416.65
638.07,1415.0
638.202,1414.35
638.334,1418.0
638.466,1423.85
638.598,1416.45
638.73,1421.25
638.862,1419.15
638.993,1417.7
639.125,1417.05
639.257,1417.5
639.389,1416.15
639.521,1416.4
639.653,1415.35
639.784,1418.65
639.916,1414.0
640.048,1420.25
640.18,1419.1
640.312,1413.05
640.443,1418.3
640.575,1415.9
640.707,1417.85
640.839,1414.85
640.971,1417.6
641.103,1417.6
641.234,1413.3
641.366,1416.9
641.498,1421.35
641.63,1412.9
641.761,1421.65
641.893,1410.5
642.025,1415.0
642.157,1417.25
642.289,1408.2
642.42,1409.8
642.552,1406.7
642.684,1412.05
642.816,1412.2
642.947,1412.2
643.079,1407.35
643.211,1407.75
643.343,1403.95
643.474,1398.5
643.606,1410.55
643.738,1396.6
643.87,1397.95
644.001,1394.35
644.133,1401.45
