nm,Intensity
528.626,1863.0
528.711,1864.2
528.795,1864.4
528.879,1864.0
528.963,1861.9
529.048,1863.1
529.132,1863.5
529.216,1862.3
529.3,1863.0
529.385,1864.4
529.469,1863.6
529.553,1863.4
529.637,1863.3
529.721,1862.1
529.806,1864.1
529.89,1863.5
529.974,1864.8
530.058,1862.5
530.143,1863.6
530.227,1864.4
530.311,1863.6
530.395,1863.8
530.48,1864.2
530.564,1864.8
530.648,1865.7
530.732,1866.3
530.816,1865.1
530.901,1865.1
530.985,1864.4
531.069,1867.0
531.153,1869.1
531.237,1869.1
531.322,1870.5
531.406,1870.5
531.49,1880.1
531.574,1893.3
531.658,1937.9
531.743,2118.3
531.827,2743.1
531.911,4036.6
531.995,5471.4
532.079,5946.8
532.164,5073.5
532.248,3428.6
532.332,2297.8
532.416,1923.8
532.5,1876.0
532.585,1871.0
532.669,1870.8
532.753,1873.2
532.837,1871.9
532.921,1873.1
533.006,1874.2
533.09,1875.8
533.174,1885.0
533.258,1891.1
533.342,1913.6
533.426,1980.4
533.511,2195.2
533.595,2827.4
533.679,4106.9
533.763,5790.5
533.847,7566.6
533.931,9119.5
534.016,10054.8
534.1,10343.0
534.184,10157.8
534.268,10057.6
534.352,9880.2
534.436,9452.3
534.521,8825.9
534.605,8468.6
534.689,8133.9
534.773,7776.0
534.857,7328.3
534.941,6800.1
535.025,6328.9
535.11,5975.0
535.194,5637.8
535.278,5300.4
535.362,5005.8
535.446,4698.4
535.53,4421.2
535.614,4199.4
535.699,3966.3
535.783,3821.7
535.867,3667.0
535.951,3510.7
536.035,3390.7
536.119,3343.5
536.203,3256.3
536.287,3208.2
536.372,3160.8
536.456,3104.4
536.54,3085.3
536.624,3097.1
536.708,3032.4
536.792,2999.2
536.876,2999.3
536.96,2956.1
537.044,2947.6
537.129,2944.7
537.213,2916.6
537.297,2913.6
537.381,2909.1
537.465,2903.1
537.549,2867.9
537.633,2840.8
537.717,2848.6
537.801,2890.8
537.885,2937.8
537.97,2958.2
538.054,2983.2
538.138,3018.1
538.222,3085.5
538.306,3115.4
538.39,3115.7
538.474,3101.3
538.558,3050.3
538.642,2980.4
538.726,2915.0
538.81,2836.0
538.894,2734.2
538.979,2620.7
539.063,2571.8
539.147,2515.3
539.231,2462.6
539.315,2446.7
539.399,2437.4
539.483,2433.1
539.567,2420.5
539.651,2419.3
539.735,2409.9
539.819,2420.7
539.903,2393.2
539.987,2383.2
540.071,2391.5
540.155,2356.6
540.239,2358.6
540.324,2353.1
540.408,2331.9
540.492,2329.5
540.576,2311.0
540.66,2323.2
540.744,2328.6
540.828,2331.8
540.912,2336.2
540.996,2316.4
541.08,2318.8
541.164,2323.2
541.248,2329.6
541.332,2321.6
541.416,2319.9
541.5,2322.4
541.584,2320.0
541.668,2331.3
541.752,2352.9
541.836,2339.9
541.92,2332.0
542.004,2321.8
542.088,2317.3
542.172,2329.8
542.256,2312.9
542.34,2305.7
542.424,2319.9
542.508,2334.3
542.592,2321.4
542.676,2347.3
542.76,2323.9
542.844,2339.5
542.928,2337.0
543.012,2336.6
543.096,2348.6
543.18,2367.8
543.264,2382.3
543.348,2392.5
543.432,2398.5
543.516,2391.4
543.6,2410.8
543.684,2439.1
543.768,2445.5
543.852,2439.3
543.936,2456.6
544.02,2435.5
544.104,2407.4
544.188,2390.7
544.272,2376.2
544.356,2373.6
544.44,2354.5
544.524,2319.6
544.608,2319.6
544.692,2321.4
544.776,2334.3
544.86,2330.2
544.944,2332.3
545.028,2309.8
545.112,2312.0
545.196,2301.2
545.28,2282.7
545.364,2291.6
545.448,2280.3
545.532,2282.2
545.616,2291.3
545.7,2286.3
545.784,2281.3
545.867,2282.1
545.951,2268.9
546.035,2267.1
546.119,2278.1
546.203,2272.0
546.287,2256.2
546.371,2261.9
546.455,2284.3
546.539,2276.4
546.623,2279.8
546.707,2264.8
546.791,2281.8
546.875,2286.3
546.959,2283.8
547.043,2287.8
547.127,2273.2
547.21,2284.0
547.294,2289.3
547.378,2297.8
547.462,2293.2
547.546,2295.0
547.63,2304.2
547.714,2330.9
547.798,2342.8
547.882,2330.8
547.966,2350.5
548.05,2340.2
548.134,2327.7
548.217,2323.1
548.301,2317.8
548.385,2327.5
548.469,2326.1
548.553,2331.5
548.637,2303.6
548.721,2311.7
548.805,2313.8
548.889,2299.3
548.972,2288.7
549.056,2284.8
549.14,2307.3
549.224,2284.2
549.308,2268.2
549.392,2287.8
549.476,2286.8
549.56,2301.8
549.644,2287.6
549.727,2283.3
549.811,2309.0
549.895,2323.0
549.979,2365.4
550.063,2454.5
550.147,2583.0
550.231,2737.7
550.315,2772.0
550.398,2734.7
550.482,2591.5
550.566,2448.7
550.65,2334.7
550.734,2310.6
550.818,2276.0
550.902,2271.3
550.985,2276.7
551.069,2277.4
551.153,2259.4
551.237,2265.9
551.321,2267.6
551.405,2261.9
551.488,2262.0
551.572,2261.0
551.656,2274.2
551.74,2256.1
551.824,2247.0
551.908,2261.3
551.991,2258.5
552.075,2263.8
552.159,2272.9
552.243,2276.4
552.327,2268.5
552.411,2279.0
552.494,2263.6
552.578,2265.9
552.662,2265.2
552.746,2277.8
552.83,2277.3
552.914,2270.2
552.997,2270.9
553.081,2260.3
553.165,2272.2
553.249,2265.7
553.333,2274.9
553.416,2252.5
553.5,2294.1
553.584,2298.8
553.668,2317.5
553.752,2364.0
553.835,2398.6
553.919,2428.3
554.003,2434.5
554.087,2473.3
554.171,2492.1
554.254,2526.5
554.338,2541.3
554.422,2570.1
554.506,2584.5
554.589,2587.7
554.673,2579.0
554.757,2561.6
554.841,2544.7
554.925,2541.9
555.008,2538.6
555.092,2543.4
555.176,2583.3
555.26,2626.7
555.343,2676.0
555.427,2735.1
555.511,2773.1
555.595,2819.4
555.679,2795.1
555.762,2746.6
555.846,2650.1
555.93,2575.7
556.014,2540.6
556.097,2457.6
556.181,2423.7
556.265,2400.6
556.349,2370.9
556.432,2348.5
556.516,2337.1
556.6,2338.1
556.684,2354.7
556.767,2370.5
556.851,2381.0
556.935,2422.4
557.018,2463.3
557.102,2460.0
557.186,2430.7
557.27,2414.2
557.353,2393.6
557.437,2386.3
557.521,2379.5
557.605,2363.4
557.688,2381.5
557.772,2382.6
557.856,2380.6
557.939,2353.2
558.023,2359.3
558.107,2374.7
558.191,2367.7
558.274,2368.2
558.358,2359.0
558.442,2355.5
558.525,2356.8
558.609,2385.3
558.693,2384.0
558.776,2381.3
558.86,2421.4
558.944,2445.6
559.028,2438.0
559.111,2465.1
559.195,2434.2
559.279,2392.8
559.362,2376.6
559.446,2367.3
559.53,2354.0
559.613,2333.0
559.697,2346.7
559.781,2341.9
559.864,2349.6
559.948,2337.4
560.032,2346.4
560.115,2338.4
560.199,2358.0
560.283,2349.4
560.366,2351.2
560.45,2369.6
560.534,2364.2
560.617,2377.6
560.701,2392.4
560.785,2408.8
560.868,2396.5
560.952,2409.8
561.036,2426.8
561.119,2441.3
561.203,2451.4
561.287,2489.1
561.37,2553.6
561.454,2574.8
561.538,2699.2
561.621,2902.2
561.705,3184.0
561.789,3788.2
561.872,4784.9
561.956,5950.2
562.039,7092.8
562.123,7614.1
562.207,6726.1
562.29,5143.5
562.374,3744.4
562.458,3010.7
562.541,2730.1
562.625,2751.3
562.708,2880.2
562.792,3111.5
562.876,3414.4
562.959,3752.8
563.043,3926.5
563.127,3801.5
563.21,3525.3
563.294,3179.9
563.377,2868.7
563.461,2715.1
563.545,2623.1
563.628,2581.2
563.712,2581.9
563.795,2552.5
563.879,2547.3
563.963,2571.6
564.046,2584.4
564.13,2599.5
564.213,2608.8
564.297,2617.8
564.38,2608.2
564.464,2610.4
564.548,2556.3
564.631,2561.5
564.715,2573.9
564.798,2582.2
564.882,2572.4
564.966,2575.2
565.049,2592.3
565.133,2569.5
565.216,2543.5
565.3,2519.7
565.383,2504.7
565.467,2474.1
565.551,2440.6
565.634,2426.5
565.718,2423.9
565.801,2404.7
565.885,2393.3
565.968,2382.1
566.052,2363.7
566.135,2378.7
566.219,2385.8
566.302,2395.8
566.386,2411.5
566.47,2436.0
566.553,2473.7
566.637,2540.3
566.72,2630.2
566.804,2759.5
566.887,2839.5
566.971,2940.3
567.054,2956.9
567.138,2890.4
567.221,2819.5
567.305,2726.7
567.388,2716.1
567.472,2758.7
567.555,2799.6
567.639,2912.6
567.722,3083.1
567.806,3247.6
567.889,3342.2
567.973,3339.5
568.057,3325.8
