cm-1,A
4000.0,-0.44892264049683117
3999.0,-0.44881449366952353
3998.0,-0.44879904192412834
3997.0,-0.44890719259877665
3996.0,-0.4490770892633167
3995.0,-0.44916973216520084
3994.0,-0.44926235530888636
3993.0,-0.44950925382713525
3992.0,-0.44980226362665476
3991.0,-0.449910164792211
3990.0,-0.449756012062128
3989.0,-0.4495401062749802
3988.0,-0.4494321131171679
3987.0,-0.4493240930987268
3986.0,-0.4490770892633167
3985.0,-0.4488608456074408
3984.0,-0.44890719259877665
3983.0,-0.4491851707276848
3982.0,-0.4493858221133862
3981.0,-0.4493086594740374
3980.0,-0.44909253111941894
3979.0,-0.44893808784542166
3978.0,-0.448876295154121
3977.0,-0.4488917441512199
3976.0,-0.44904620390385386
3975.0,-0.44935495870279807
3974.0,-0.4496480725855183
3973.0,-0.449756012062128
3972.0,-0.449756012062128
3971.0,-0.4497251749490463
3970.0,-0.4496018045961385
3969.0,-0.4493240930987268
3968.0,-0.448984426594802
3967.0,-0.44865995147093063
3966.0,-0.4483971034577676
3965.0,-0.4482888256671216
3964.0,-0.4483971034577676
3963.0,-0.4486754081657236
3962.0,-0.44896898089436776
3961.0,-0.4492777905791563
3960.0,-0.4496172278069608
3959.0,-0.44981767972029374
3958.0,-0.4495709565312107
3957.0,-0.448984426594802
3956.0,-0.44856719974809556
3955.0,-0.44856719974809556
3954.0,-0.4488608456074408
3953.0,-0.4491851707276848
3952.0,-0.4495401062749802
3951.0,-0.4500026301731861
3950.0,-0.45054161954671734
3949.0,-0.4510338251393673
3948.0,-0.45132580848951953
3947.0,-0.4515254735245908
3946.0,-0.45220058255309237
3945.0,-0.4533489230886265
3944.0,-0.45386850555619995
3943.0,-0.45299708801597616
3942.0,-0.45160224333297894
3941.0,-0.45098770455504056
3940.0,-0.45104919757912976
3939.0,-0.45060317576125675
3938.0,-0.44890719259877665
3937.0,-0.4469253112427487
3936.0,-0.44652163408907874
3935.0,-0.4479638302267448
3934.0,-0.4496943356462175
3933.0,-0.4504800546060599
3932.0,-0.4511106818974744
3931.0,-0.4526296516220176
3930.0,-0.45415858994434366
3929.0,-0.45452473559309725
3928.0,-0.4542043750355149
3927.0,-0.4542043750355149
3926.0,-0.453883777987123
3925.0,-0.4523538701735963
3924.0,-0.4510030786273611
3923.0,-0.45154082857194844
3922.0,-0.453058297202773
3921.0,-0.4533489230886265
3920.0,-0.45203190365681234
3919.0,-0.45104919757912976
3918.0,-0.4514947618010856
3917.0,-0.45226190409393396
3916.0,-0.45207791348984605
3915.0,-0.4514486901432795
3914.0,-0.45097232993845715
3913.0,-0.45011048157501143
3912.0,-0.4481495716859465
3911.0,-0.4458376321864481
3910.0,-0.4442946776752019
3909.0,-0.4441385184264939
3908.0,-0.4455419343679199
3907.0,-0.4482888256671216
3906.0,-0.45107994082636615
3905.0,-0.4519552097682027
3904.0,-0.45154082857194844
3903.0,-0.4529511754638862
3902.0,-0.45732164367683437
3901.0,-0.4619634861249384
3900.0,-0.4630713808122473
3899.0,-0.4601307636959495
3898.0,-0.4560318318952339
3897.0,-0.45308889856143164
3896.0,-0.45129508264268514
3895.0,-0.45051083816730797
3894.0,-0.45097232993845715
3893.0,-0.4521852508148987
3892.0,-0.45174039479962547
3891.0,-0.44856719974809556
3890.0,-0.4448875712579383
3889.0,-0.4451681333275692
3888.0,-0.4504800546060599
3887.0,-0.45394486234066855
3886.0,-0.44944754235535767
3885.0,-0.443106456737266
3884.0,-0.4446848303164792
3883.0,-0.4538074104612262
3882.0,-0.46218828787016353
3881.0,-0.4626824424930076
3880.0,-0.45676066694256967
3879.0,-0.45123362442678916
3878.0,-0.44986392471814396
3877.0,-0.4524458167826704
3876.0,-0.45476866130984916
3875.0,-0.45190918693322013
3874.0,-0.44630411395192393
3873.0,-0.4462419453254136
3872.0,-0.4537157517007673
3871.0,-0.45945280224886353
3870.0,-0.4553017716570764
3869.0,-0.4475146267992627
3868.0,-0.44677009520038746
3867.0,-0.4532724614461636
3866.0,-0.457851631255608
3865.0,-0.4549210453401509
3864.0,-0.450787792072898
3863.0,-0.4526296516220176
3862.0,-0.45622934552542027
3861.0,-0.4554691855576598
3860.0,-0.45075702813706986
3859.0,-0.44561976910510426
3858.0,-0.44268354176646163
3857.0,-0.4436697034963979
3856.0,-0.4480567108862119
3855.0,-0.44788641450043
3854.0,-0.43660784900891114
3853.0,-0.4295908022233017
3852.0,-0.4378931908695134
3851.0,-0.4492160462062915
3850.0,-0.455088606040952
3849.0,-0.45498198398435985
3848.0,-0.4516329474569907
3847.0,-0.44904620390385386
3846.0,-0.4484744282121609
3845.0,-0.4487681367839693
3844.0,-0.44836616970071885
3843.0,-0.4475301243096359
3842.0,-0.4481650465556912
3841.0,-0.45115678942457116
3840.0,-0.4539754012958812
3839.0,-0.4541738521777239
3838.0,-0.4529052580575206
3837.0,-0.45224657452043715
3836.0,-0.45247646132698893
3835.0,-0.4535782272784181
3834.0,-0.4553017716570764
3833.0,-0.4556669551824011
3832.0,-0.4529205643990699
3831.0,-0.44881449366952353
3830.0,-0.4468632314825167
3829.0,-0.4485208164572949
3828.0,-0.45107994082636615
3827.0,-0.45026450855985134
3826.0,-0.44608648481333546
3825.0,-0.44438834627944823
3824.0,-0.449524680325029
3823.0,-0.45707914806032823
3822.0,-0.4563204753743739
3821.0,-0.4477160513115068
3820.0,-0.4436853388169726
3819.0,-0.4483042955758241
3818.0,-0.456305288394081
3817.0,-0.4580180652918542
3816.0,-0.449524680325029
3815.0,-0.44122367424261233
3814.0,-0.4414908985372823
3813.0,-0.44551079656673087
3812.0,-0.44580651557957784
3811.0,-0.44194637260305125
3810.0,-0.43974310553999274
3809.0,-0.4420405490063053
3808.0,-0.44304382864834047
3807.0,-0.4380516115621229
3806.0,-0.4325845054252211
3805.0,-0.4346966189246655
3804.0,-0.4446692309385245
3803.0,-0.4532112824382226
3802.0,-0.4503261040614124
3801.0,-0.4429185453698419
3800.0,-0.44335687881824404
3799.0,-0.4505262291297232
3798.0,-0.4569881772845652
3797.0,-0.45692751951263055
3796.0,-0.4516329474569907
3795.0,-0.44728209775697625
3794.0,-0.446226401778163
3793.0,-0.4458531896538749
3792.0,-0.44398230300741304
3791.0,-0.4415066124941145
3790.0,-0.4401531297735608
3789.0,-0.4400112421114537
3788.0,-0.4403895062458978
3787.0,-0.44127084342049905
3786.0,-0.4424954472826017
3785.0,-0.4432629874586951
3784.0,-0.4433881714278267
3783.0,-0.4442478357960753
3782.0,-0.44661482366426686
3781.0,-0.44862903643091867
3780.0,-0.4478709296990484
3779.0,-0.4456975898951603
3778.0,-0.44512138556750136
3777.0,-0.44607093570100487
3776.0,-0.44596207632409657
3775.0,-0.443106456737266
3774.0,-0.4394432274492468
3773.0,-0.43896931373798687
3772.0,-0.44185217577329183
3771.0,-0.44359151844894695
3770.0,-0.44222884056871825
3769.0,-0.4417579585081639
3768.0,-0.4451058018625318
3767.0,-0.4497097555713694
3766.0,-0.45072626202187527
3765.0,-0.44709598484137736
3764.0,-0.44335687881824404
3763.0,-0.44390417422135275
3762.0,-0.4470339294748502
3761.0,-0.4478709296990484
3760.0,-0.4458998587126004
3759.0,-0.4457909564400544
3758.0,-0.44802575287344615
3757.0,-0.4481650465556912
3756.0,-0.44591541395112344
3755.0,-0.4446692309385245
3754.0,-0.44445078079391775
3753.0,-0.44152232588239393
3752.0,-0.4359557908892371
3751.0,-0.43463276617414204
3750.0,-0.43877960335737765
3749.0,-0.43991662457689573
3748.0,-0.43898511919634187
3747.0,-0.44502787494877305
3746.0,-0.4542043750355149
3745.0,-0.45041848093681125
3744.0,-0.4370525950609925
3743.0,-0.43272883992322164
3742.0,-0.4394274386545276
3741.0,-0.44690979213460125
3740.0,-0.44895353464458765
3739.0,-0.4481340962647784
3738.0,-0.44915429305387855
3737.0,-0.45024910831936094
3736.0,-0.4496172278069608
3735.0,-0.4524611393251208
3734.0,-0.46058215073967146
3733.0,-0.46529360368664197
3732.0,-0.4602060274574509
3731.0,-0.44992557705624003
3730.0,-0.443090800561706
3729.0,-0.4427305526613714
3728.0,-0.4445600196012749
3727.0,-0.44362279415700456
3726.0,-0.44196207008852806
3725.0,-0.44431029051225757
3724.0,-0.44933952617496775
3723.0,-0.4522925616177291
3722.0,-0.45174039479962547
3721.0,-0.45007966962168844
3720.0,-0.4490307604004151
3719.0,-0.4481495716859465
3718.0,-0.4458998587126004
3717.0,-0.4425268020210389
3716.0,-0.44083039840128224
3715.0,-0.44211901374515916
3714.0,-0.443747874470906
3713.0,-0.442181775330861
3712.0,-0.4395221628139572
3711.0,-0.44219746431021356
3710.0,-0.4493086594740374
3709.0,-0.4534406592935589
3708.0,-0.4517864355242902
3707.0,-0.4469563477954597
3706.0,-0.44271488292848016
3705.0,-0.4413651664097724
3704.0,-0.44247976906444864
3703.0,-0.4436384311664545
3702.0,-0.4433881714278267
3701.0,-0.442307271299053
3700.0,-0.441459468917794
3699.0,-0.441428037023599
3698.0,-0.4413808849165113
3697.0,-0.4395221628139572
3696.0,-0.4367985102318035
3695.0,-0.43603536260786857
3694.0,-0.43756031919528127
3693.0,-0.439253724017898
3692.0,-0.4402319362267888
3691.0,-0.4419777670066436
3690.0,-0.44533949874279344
3689.0,-0.44835070199590366
3688.0,-0.44788641450043
3687.0,-0.4449031627954616
3686.0,-0.4434038168871255
3685.0,-0.44348203573032174
3684.0,-0.4422445278479521
3683.0,-0.43960108383434626
3682.0,-0.4382416401442919
3681.0,-0.43794072314535715
3680.0,-0.4367031900832181
3679.0,-0.43667141205064963
3678.0,-0.44216608578472005
3677.0,-0.4490616468581412
3676.0,-0.44836616970071885
3675.0,-0.44410727983760045
3674.0,-0.44351331932348526
3673.0,-0.44701841424765787
3672.0,-0.4521852508148987
3671.0,-0.4516175956663284
3670.0,-0.44557306993676926
3669.0,-0.4445600196012749
3668.0,-0.44836616970071885
3667.0,-0.44946297104541033
3666.0,-0.4467545705446496
3665.0,-0.44254247854140427
3664.0,-0.43915894128467503
3663.0,-0.437512745264804
3662.0,-0.4366555221623538
3661.0,-0.4353665066126613
3660.0,-0.4346966189246655
3659.0,-0.4362421808715622
3658.0,-0.438953507704396
3657.0,-0.43898511919634187
3656.0,-0.4359717063993407
3655.0,-0.43402569635624655
3654.0,-0.43657606399906035
3653.0,-0.4432629874586951
3652.0,-0.4487681367839693
3651.0,-0.44742163012184033
3650.0,-0.4441228994129194
3649.0,-0.4510338251393673
3648.0,-0.4640123662494142
3647.0,-0.46837687324961674
3646.0,-0.4632806649532468
3645.0,-0.4561381965502913
3644.0,-0.4505570094183291
3643.0,-0.44602428502349056
3642.0,-0.44194637260305125
3641.0,-0.4394116492857849
3640.0,-0.4388586594205619
3639.0,-0.4385107050481172
3638.0,-0.43727479741012365
3637.0,-0.4365919567947696
3636.0,-0.4374334437979712
3635.0,-0.437607887914937
3634.0,-0.435063590165067
3633.0,-0.43272883992322164
3632.0,-0.4352549303958977
3631.0,-0.4414908985372823
3630.0,-0.44257382988463423
3629.0,-0.4376395975003704
3628.0,-0.4377981107081683
3627.0,-0.44296553083467094
3626.0,-0.4456042032735974
3625.0,-0.4442478357960753
3624.0,-0.4405785148363699
3623.0,-0.4382416401442919
3622.0,-0.43969577013164773
3621.0,-0.4427775584680633
3620.0,-0.44391980110302365
3619.0,-0.4435758797502576
3618.0,-0.4440447959180762
3617.0,-0.4453706488275797
3616.0,-0.4473286135265173
3615.0,-0.44895353464458765
3614.0,-0.4483816368546605
3613.0,-0.44591541395112344
3612.0,-0.44376350697750055
3611.0,-0.4428402249638834
3610.0,-0.44196207008852806
3609.0,-0.44009007431328273
3608.0,-0.43874797690222955
3607.0,-0.43971154917435484
3606.0,-0.4412393978711475
3605.0,-0.44089334647283573
3604.0,-0.4387954157213234
3603.0,-0.43646479814161854
3602.0,-0.4352389885960646
3601.0,-0.4352549303958977
3600.0,-0.4364489006918335
3599.0,-0.4383207941864491
3598.0,-0.43991662457689573
3597.0,-0.4404052601039532
3596.0,-0.4400585431496644
3595.0,-0.4393011076284301
3594.0,-0.4383524517643256
3593.0,-0.43694145123904127
3592.0,-0.4352549303958977
3591.0,-0.4346168015195224
3590.0,-0.43547805417132457
3589.0,-0.4363694047127895
3588.0,-0.4371319660943298
3587.0,-0.43997970522363916
3586.0,-0.44359151844894695
3585.0,-0.4441385184264939
3584.0,-0.4414908985372823
3583.0,-0.43771886133623905
3582.0,-0.43448906315118974
3581.0,-0.4324561678114316
3580.0,-0.4316049718752146
3579.0,-0.43147634443155747
3578.0,-0.4315085048641776
3577.0,-0.4313959329291883
3576.0,-0.43110632818114514
3575.0,-0.430735996410303
3574.0,-0.43013958188470847
3573.0,-0.4292999908336079
3572.0,-0.4286530452620103
3571.0,-0.4292676664331685
3570.0,-0.4316853446860116
3569.0,-0.434521001265773
3568.0,-0.43651248699969303
3567.0,-0.4395221628139572
3566.0,-0.4442478357960753
3565.0,-0.4467856193011883
3564.0,-0.4450122878879581
3563.0,-0.44081465995768143
3562.0,-0.4365283821220993
3561.0,-0.43341777677003
3560.0,-0.4316371227844611
3559.0,-0.4305426544006976
3558.0,-0.42951004081313826
3557.0,-0.42836160504400267
3556.0,-0.4275347940890435
3555.0,-0.42746987955181215
3554.0,-0.4281672028554824
3553.0,-0.42907366949043846
3552.0,-0.42975228000240806
3551.0,-0.43004278879001623
3550.0,-0.43001051963059256
3549.0,-0.4298007116306466
3548.0,-0.4294454208700209
3547.0,-0.42951004081313826
3546.0,-0.430816530184321
3545.0,-0.43304941161661326
3544.0,-0.43445712268769787
3543.0,-0.43394575553802905
3542.0,-0.43187817876683976
3541.0,-0.4292838289341252
3540.0,-0.4271126760547097
3539.0,-0.42594158801889526
3538.0,-0.4257949797266938
3537.0,-0.42616954703532617
3536.0,-0.42662510641824714
3535.0,-0.4268201999633554
3534.0,-0.42659258230515595
3533.0,-0.42589272408703804
3532.0,-0.4250938339654424
3531.0,-0.42486530946394163
3530.0,-0.4255994249848212
3529.0,-0.4269177138808158
3528.0,-0.42810238278343604
3527.0,-0.42892811489332017
3526.0,-0.4295261942966868
3525.0,-0.42991369776375477
3524.0,-0.42991369776375477
3523.0,-0.4295908022233017
3522.0,-0.42908983921257304
3521.0,-0.42837780129908687
3520.0,-0.42734002136152593
3519.0,-0.42603929939216734
3518.0,-0.42486530946394163
3517.0,-0.4241790135787822
3516.0,-0.423950007067011
3515.0,-0.4238027248025804
3514.0,-0.4235735197327357
3513.0,-0.4235080103454929
3512.0,-0.4238354585114261
3511.0,-0.42444058752647695
3510.0,-0.42506119496934236
3509.0,-0.42548531070803186
3508.0,-0.4255994249848212
3507.0,-0.4254690062205069
3506.0,-0.4253222382812498
3505.0,-0.42535485766551506
3504.0,-0.42582756362451457
3503.0,-0.4270152059079919
3502.0,-0.42837780129908687
3501.0,-0.42879869206296295
3500.0,-0.427972713608209
3499.0,-0.4265437915680961
3498.0,-0.4253059276703186
3497.0,-0.4246039912765811
3496.0,-0.42435886259032873
3495.0,-0.4243098202457558
3494.0,-0.4241299509195553
3493.0,-0.4237208797347951
3492.0,-0.4232622620986146
3491.0,-0.4230655633300948
3490.0,-0.4232622620986146
3489.0,-0.42370450887017963
3488.0,-0.4241299509195553
3487.0,-0.42439155441027765
3486.0,-0.4244896151073192
3485.0,-0.42450595640440314
3484.0,-0.4245222970866327
3483.0,-0.42466933556587527
3482.0,-0.42504487455138884
3481.0,-0.42555052253771297
3480.0,-0.42576239338401045
3479.0,-0.42540378214861096
3478.0,-0.4245876536679303
3477.0,-0.42370450887017963
3476.0,-0.4231639238503484
3475.0,-0.4230655633300948
3474.0,-0.4232458739368079
3473.0,-0.42336057808497696
3472.0,-0.4232458739368079
3471.0,-0.4230327715389359
3470.0,-0.4230491677440118
3469.0,-0.4233933451350831
3468.0,-0.42393364483730567
3467.0,-0.4243098202457558
3466.0,-0.42435886259032873
3465.0,-0.4241135954680346
3464.0,-0.42376998862633863
3463.0,-0.4235080103454929
3462.0,-0.4234261097131373
3461.0,-0.4235735197327357
3460.0,-0.4238027248025804
3459.0,-0.4238845544491405
3458.0,-0.42367176528951767
3457.0,-0.4232458739368079
3456.0,-0.4227703480364666
3455.0,-0.4223928362273721
3454.0,-0.4221957431983925
3453.0,-0.4220807309448755
3452.0,-0.4219328132785085
3451.0,-0.4218670559187183
3450.0,-0.4221135946968322
3449.0,-0.42268830816205094
3448.0,-0.4233769619190597
3447.0,-0.42409723940054755
3446.0,-0.424799994656599
3445.0,-0.4252243654258394
3444.0,-0.42506119496934236
3443.0,-0.42439155441027765
3442.0,-0.4237208797347951
3441.0,-0.4234261097131373
3440.0,-0.4234261097131373
3439.0,-0.4233933451350831
3438.0,-0.4233441936327873
3437.0,-0.4234261097131373
3436.0,-0.42367176528951767
3435.0,-0.4238845544491405
3434.0,-0.4239663686802855
3433.0,-0.4239172819911228
3432.0,-0.42378635702290746
3431.0,-0.42365539257337836
3430.0,-0.4235898955356787
3429.0,-0.4235407662743014
3428.0,-0.42340972773309327
3427.0,-0.4231967057406041
3426.0,-0.4229999772716164
3425.0,-0.4229179807676622
3424.0,-0.4230163747148197
3423.0,-0.42331142287390344
3422.0,-0.42378635702290746
