nm,Intensity
526.508,829.8
526.645,830.4
526.782,830.5
526.919,830.8
527.055,828.6
527.192,831.3
527.329,830.5
527.465,829.8
527.602,830.9
527.739,830.7
527.875,829.2
528.012,830.2
528.149,829.8
528.285,830.1
528.422,828.8
528.558,831.5
528.695,828.8
528.832,831.3
528.968,830.0
529.105,829.2
529.241,830.0
529.378,831.3
529.514,830.3
529.651,830.6
529.787,831.7
529.924,829.9
530.061,829.4
530.197,829.6
530.334,831.8
530.47,829.7
530.606,830.2
530.743,831.6
530.879,830.6
531.016,829.5
531.152,830.2
531.289,830.3
531.425,830.4
531.562,830.4
531.698,830.9
531.834,831.1
531.971,833.2
532.107,862.6
532.244,876.0
532.38,841.8
532.516,831.7
532.653,833.2
532.789,830.5
532.925,830.9
533.062,830.1
533.198,830.3
533.334,831.2
533.471,832.1
533.607,835.6
533.743,880.9
533.879,1117.5
534.016,1526.3
534.152,1743.0
534.288,1779.7
534.424,1755.0
534.561,1742.6
534.697,1745.5
534.833,1732.8
534.969,1704.0
535.106,1673.8
535.242,1672.8
535.378,1664.8
535.514,1671.1
535.65,1672.8
535.786,1678.7
535.923,1674.1
536.059,1669.8
536.195,1661.8
536.331,1662.3
536.467,1664.1
536.603,1662.9
536.739,1667.1
536.876,1665.8
537.012,1666.7
537.148,1666.9
537.284,1665.8
537.42,1678.0
537.556,1671.9
537.692,1684.4
537.828,1680.8
537.964,1685.1
538.1,1686.9
538.236,1691.3
538.372,1701.8
538.508,1684.3
538.644,1686.3
538.78,1706.1
538.916,1704.8
539.052,1699.4
539.188,1699.8
539.324,1724.1
539.46,1698.3
539.596,1721.4
539.732,1704.8
539.868,1713.2
540.004,1720.9
540.14,1721.8
540.275,1716.5
540.411,1718.2
540.547,1725.6
540.683,1721.4
540.819,1732.2
540.955,1728.0
541.091,1718.1
541.227,1728.4
541.362,1728.1
541.498,1743.3
541.634,1741.1
541.77,1740.2
541.906,1745.9
542.041,1763.8
542.177,1757.3
542.313,1754.1
542.449,1763.7
542.585,1759.2
542.72,1770.9
542.856,1771.8
542.992,1781.2
543.128,1783.4
543.263,1778.6
543.399,1785.1
543.535,1786.6
543.67,1786.3
543.806,1792.9
543.942,1803.0
544.078,1812.7
544.213,1803.7
544.349,1805.7
544.485,1808.1
544.62,1806.5
544.756,1798.0
544.892,1811.7
545.027,1806.5
545.163,1826.7
545.298,1830.9
545.434,1818.8
545.57,1832.6
545.705,1835.4
545.841,1834.2
545.976,1835.6
546.112,1839.8
546.248,1844.1
546.383,1848.4
546.519,1852.7
546.654,1859.1
546.79,1865.0
546.925,1849.9
547.061,1849.4
547.196,1859.3
547.332,1867.9
547.467,1867.1
547.603,1861.1
547.738,1861.6
547.874,1866.6
548.009,1867.1
548.145,1868.8
548.28,1881.7
548.416,1878.4
548.551,1893.7
548.686,1890.0
548.822,1900.6
548.957,1885.0
549.093,1906.9
549.228,1898.3
549.363,1909.3
549.499,1913.2
549.634,1911.0
549.77,1910.3
549.905,1916.8
550.04,1912.4
550.176,1914.6
550.311,1928.4
550.446,1929.7
550.582,1918.7
550.717,1928.1
550.852,1934.1
550.988,1936.1
551.123,1919.4
551.258,1936.0
551.394,1938.9
551.529,1946.2
551.664,1943.4
551.799,1955.1
551.935,1955.5
552.07,1951.6
552.205,1962.3
552.34,1954.6
552.476,1944.0
552.611,1968.4
552.746,1951.6
552.881,1973.2
553.016,1968.9
553.152,1969.5
553.287,1961.2
553.422,1985.2
553.557,1970.3
553.692,1976.7
553.827,1979.2
553.963,1991.2
554.098,1990.2
554.233,1991.2
554.368,1981.2
554.503,2010.1
554.638,2009.3
554.773,2011.4
554.908,2002.7
555.043,2010.9
555.179,2000.3
555.314,1992.3
555.449,2011.6
555.584,2009.8
555.719,2003.7
555.854,2003.6
555.989,2010.7
556.124,2009.7
556.259,2005.3
556.394,2003.2
556.529,2017.5
556.664,2018.6
556.799,2018.3
556.934,2018.6
557.069,2028.6
557.204,2018.8
557.339,2042.8
557.474,2026.4
557.609,2027.2
557.744,2033.4
557.879,2036.5
558.014,2020.1
558.149,2032.8
558.284,2027.1
558.419,2038.5
558.553,2025.5
558.688,2030.3
558.823,2031.2
558.958,2032.2
559.093,2024.1
559.228,2027.2
559.363,2039.5
559.498,2050.3
559.632,2058.1
559.767,2064.2
559.902,2063.8
560.037,2073.8
560.172,2073.0
560.307,2077.6
560.441,2082.1
560.576,2068.0
560.711,2083.3
560.846,2081.7
560.981,2080.9
561.115,2088.4
561.25,2089.4
561.385,2077.3
561.52,2076.6
561.654,2075.5
561.789,2095.0
561.924,2103.9
562.059,2133.6
562.193,2177.0
562.328,2121.2
562.463,2100.8
562.598,2102.1
562.732,2113.2
562.867,2123.2
563.002,2133.3
563.136,2150.6
563.271,2136.0
563.406,2147.6
563.54,2148.1
563.675,2141.7
563.81,2147.7
563.944,2152.4
564.079,2146.2
564.213,2161.8
564.348,2162.5
564.483,2160.6
564.617,2172.9
564.752,2160.2
564.887,2177.4
565.021,2178.3
565.156,2185.1
565.29,2197.8
565.425,2187.3
565.559,2202.1
565.694,2187.3
565.828,2197.4
565.963,2176.8
566.098,2178.4
566.232,2193.3
566.367,2183.3
566.501,2189.0
566.636,2179.1
566.77,2203.4
566.905,2176.8
567.039,2190.5
567.174,2196.7
567.308,2186.4
567.443,2189.4
567.577,2197.5
567.711,2191.0
567.846,2201.1
567.98,2206.1
568.115,2198.7
568.249,2201.6
568.384,2216.0
568.518,2244.7
568.652,2226.2
568.787,2233.3
568.921,2230.7
569.056,2234.3
569.19,2240.9
569.324,2246.8
569.459,2242.9
569.593,2265.7
569.727,2253.5
569.862,2270.4
569.996,2262.1
570.131,2265.8
570.265,2258.8
570.399,2262.9
570.534,2256.6
570.668,2254.9
570.802,2284.7
570.936,2266.3
571.071,2280.8
571.205,2279.0
571.339,2258.5
571.474,2264.5
571.608,2266.4
571.742,2287.7
571.876,2269.7
572.011,2277.1
572.145,2285.2
572.279,2290.0
572.413,2280.6
572.548,2291.6
572.682,2298.7
572.816,2318.2
572.95,2334.1
573.084,2324.3
573.219,2321.0
573.353,2318.7
573.487,2308.4
573.621,2316.2
573.755,2324.2
573.889,2328.8
574.024,2326.7
574.158,2322.5
574.292,2331.2
574.426,2336.8
574.56,2340.6
574.694,2336.8
574.828,2327.3
574.963,2336.2
575.097,2327.8
575.231,2328.6
575.365,2338.2
575.499,2330.7
575.633,2341.2
575.767,2337.9
575.901,2333.7
576.035,2343.7
576.169,2345.0
576.303,2357.3
576.437,2340.1
576.571,2342.7
576.706,2363.9
576.84,2355.7
576.974,2335.1
577.108,2355.1
577.242,2370.5
577.376,2371.1
577.51,2361.4
577.644,2363.7
577.778,2382.3
577.912,2362.5
578.046,2358.9
578.179,2348.5
578.313,2375.9
578.447,2359.8
578.581,2383.9
578.715,2381.8
578.849,2378.9
578.983,2382.4
579.117,2376.7
579.251,2384.2
579.385,2397.9
579.519,2388.4
579.653,2393.6
579.787,2390.7
579.921,2378.5
580.054,2404.1
580.188,2378.0
580.322,2405.9
580.456,2403.0
580.59,2398.6
580.724,2383.2
580.858,2390.3
580.991,2394.0
581.125,2390.1
581.259,2395.8
581.393,2417.4
581.527,2427.0
581.661,2424.9
581.794,2450.0
581.928,2445.7
582.062,2458.3
582.196,2438.5
582.33,2421.9
582.463,2415.3
582.597,2414.0
582.731,2404.8
582.865,2404.5
582.998,2429.6
583.132,2412.4
583.266,2432.3
583.4,2412.0
583.533,2424.1
583.667,2426.4
583.801,2425.1
583.935,2415.9
584.068,2422.0
584.202,2434.6
584.336,2423.5
584.469,2438.5
584.603,2422.6
584.737,2404.5
584.87,2439.5
585.004,2429.3
585.138,2422.1
585.271,2428.3
585.405,2421.1
585.539,2447.5
585.672,2435.9
585.806,2432.5
585.94,2450.1
586.073,2461.6
586.207,2454.2
586.34,2444.7
586.474,2465.1
586.608,2464.0
586.741,2458.0
586.875,2457.5
587.008,2457.4
587.142,2463.1
587.276,2441.5
587.409,2455.3
587.543,2463.9
587.676,2443.8
587.81,2473.7
587.943,2446.8
588.077,2458.8
588.21,2458.4
588.344,2446.4
588.478,2457.0
588.611,2463.9
588.745,2448.0
588.878,2445.1
589.012,2441.4
589.145,2439.3
589.279,2452.1
589.412,2432.7
589.546,2430.3
589.679,2456.7
589.812,2451.6
589.946,2442.9
590.079,2449.6
590.213,2445.5
590.346,2452.0
590.48,2438.0
590.613,2453.1
590.747,2468.0
590.88,2475.0
591.013,2459.8
591.147,2450.2
591.28,2465.7
591.414,2465.7
591.547,2466.7
591.68,2472.5
591.814,2459.7
591.947,2464.3
592.081,2466.4
592.214,2444.2
592.347,2469.7
592.481,2456.1
592.614,2448.9
592.747,2443.0
592.881,2455.7
593.014,2447.4
593.147,2444.0
593.281,2463.2
593.414,2453.5
593.547,2436.8
593.681,2447.6
593.814,2441.9
593.947,2448.0
594.081,2448.3
594.214,2457.9
594.347,2453.5
594.48,2456.7
594.614,2458.8
594.747,2466.5
594.88,2481.5
595.014,2460.9
595.147,2476.7
595.28,2478.3
595.413,2476.8
595.547,2462.6
595.68,2480.8
595.813,2483.1
595.946,2484.3
596.079,2480.6
596.213,2491.7
596.346,2474.3
596.479,2461.5
596.612,2472.6
596.745,2466.4
596.879,2479.4
597.012,2482.6
597.145,2492.0
597.278,2467.5
597.411,2477.1
597.545,2485.7
597.678,2474.0
597.811,2470.9
597.944,2495.0
598.077,2486.6
598.21,2497.5
598.343,2499.4
598.476,2497.6
598.61,2507.8
598.743,2517.7
598.876,2506.3
599.009,2493.9
599.142,2496.0
599.275,2520.9
599.408,2506.6
599.541,2491.1
599.674,2491.8
599.807,2486.7
599.941,2494.3
600.074,2509.7
600.207,2496.6
600.34,2495.8
600.473,2488.7
600.606,2485.2
600.739,2500.6
600.872,2495.4
601.005,2492.7
601.138,2487.3
601.271,2492.2
601.404,2485.1
601.537,2470.3
601.67,2482.2
601.803,2467.0
601.936,2486.4
602.069,2486.1
602.202,2475.6
602.335,2484.4
602.468,2482.7
602.601,2487.5
602.734,2496.8
602.867,2493.6
603.0,2498.8
603.133,2490.3
603.266,2495.0
603.399,2476.8
603.532,2483.2
603.664,2498.6
603.797,2493.5
603.93,2490.7
604.063,2491.9
604.196,2480.9
604.329,2475.3
604.462,2480.7
604.595,2470.3
604.728,2474.7
604.861,2473.2
604.994,2475.5
605.126,2460.3
605.259,2472.0
605.392,2437.1
605.525,2439.8
605.658,2435.2
605.791,2433.1
605.924,2437.2
606.056,2418.8
606.189,2432.6
606.322,2433.2
606.455,2422.2
606.588,2427.9
606.721,2431.0
606.853,2420.1
606.986,2411.0
607.119,2430.8
607.252,2443.2
607.385,2445.0
607.517,2444.4
607.65,2420.4
607.783,2428.4
607.916,2443.3
608.049,2462.8
608.181,2445.6
608.314,2452.2
608.447,2450.1
608.58,2455.6
608.712,2455.2
608.845,2462.8
608.978,2465.7
609.111,2445.3
609.243,2451.3
609.376,2452.2
609.509,2457.2
609.641,2447.5
609.774,2442.3
609.907,2441.8
610.04,2440.3
610.172,2435.7
610.305,2454.8
610.438,2442.9
610.57,2446.9
610.703,2443.2
610.836,2448.0
610.968,2433.6
611.101,2449.6
611.234,2438.7
611.366,2445.6
611.499,2459.2
611.632,2437.6
611.764,2444.3
611.897,2450.4
612.03,2459.8
612.162,2456.0
612.295,2456.6
612.428,2464.7
612.56,2457.9
612.693,2462.4
612.825,2492.4
612.958,2477.3
613.091,2484.0
613.223,2493.7
613.356,2490.6
613.488,2501.2
613.621,2493.2
613.754,2493.8
613.886,2493.9
614.019,2501.3
614.151,2500.3
614.284,2488.3
614.416,2491.7
614.549,2498.3
614.681,2492.1
614.814,2481.1
614.947,2497.2
615.079,2474.3
615.212,2483.2
615.344,2478.7
615.477,2477.6
615.609,2476.7
615.742,2486.1
615.874,2495.9
616.007,2481.9
616.139,2489.0
616.272,2473.9
616.404,2488.3
616.537,2473.9
616.669,2485.8
616.802,2479.0
616.934,2486.2
617.067,2492.1
617.199,2480.4
617.332,2486.1
617.464,2484.5
617.596,2490.9
617.729,2495.0
617.861,2491.3
617.994,2487.7
618.126,2491.0
618.259,2499.7
618.391,2499.9
618.524,2480.9
618.656,2486.7
618.788,2483.0
618.921,2487.1
619.053,2479.5
619.186,2481.0
619.318,2492.1
619.45,2492.5
619.583,2470.4
619.715,2473.5
619.848,2485.0
619.98,2463.0
620.112,2467.3
620.245,2474.1
620.377,2459.7
620.509,2464.3
620.642,2475.5
620.774,2470.7
620.907,2462.1
621.039,2460.7
621.171,2476.6
621.304,2461.1
621.436,2456.9
621.568,2457.8
621.701,2463.2
621.833,2463.9
621.965,2458.4
622.097,2464.5
622.23,2460.0
622.362,2466.5
622.494,2470.7
622.627,2456.3
622.759,2462.8
622.891,2477.2
623.024,2480.5
623.156,2463.2
623.288,2470.3
623.42,2477.1
623.553,2483.5
623.685,2469.4
623.817,2468.8
623.949,2473.8
624.082,2477.6
624.214,2464.0
624.346,2476.3
624.479,2476.9
624.611,2477.9
624.743,2476.0
624.875,2462.7
625.007,2463.4
625.14,2460.7
625.272,2471.6
625.404,2465.6
625.536,2462.3
625.669,2456.4
625.801,2458.6
625.933,2452.8
626.065,2463.9
626.197,2454.2
626.33,2445.8
626.462,2462.4
626.594,2458.9
626.726,2454.7
626.858,2457.6
626.99,2446.4
627.123,2452.3
627.255,2436.5
627.387,2453.5
627.519,2457.1
627.651,2444.9
627.783,2452.5
627.916,2451.8
628.048,2452.5
628.18,2447.0
628.312,2448.9
628.444,2455.9
628.576,2462.7
628.708,2451.1
628.84,2458.3
628.973,2459.3
629.105,2454.1
629.237,2463.2
629.369,2461.1
629.501,2452.4
629.633,2458.9
629.765,2456.3
629.897,2454.9
630.029,2453.3
630.161,2453.6
630.294,2452.3
630.426,2445.1
630.558,2435.0
630.69,2434.4
630.822,2446.9
630.954,2465.9
631.086,2448.9
631.218,2432.9
631.35,2444.1
631.482,2453.9
631.614,2442.3
631.746,2442.3
631.878,2446.9
632.01,2431.1
632.142,2437.7
632.274,2432.8
632.406,2437.7
632.538,2428.6
632.67,2428.4
632.802,2416.5
632.934,2416.5
633.066,2422.6
633.198,2430.3
633.33,2418.1
633.462,2426.7
633.594,2418.6
633.726,2403.1
633.858,2402.6
633.99,2397.1
634.122,2404.7
634.254,2414.8
634.386,2411.2
634.518,2414.1
634.65,2389.4
634.782,2401.4
634.914,2410.1
635.046,2402.1
635.178,2412.7
635.31,2416.5
635.442,2416.4
635.574,2441.2
635.706,2427.5
635.838,2405.9
635.97,2427.9
636.102,2391.7
636.234,2402.4
636.365,2399.0
636.497,2393.0
636.629,2397.3
636.761,2403.2
636.893,2385.0
637.025,2398.5
637.157,2392.2
637.289,2384.5
637.421,2385.1
637.553,2364.1
637.685,2364.3
637.816,2373.7
637.948,2378.9
638.08,2381.6
638.212,2369.0
638.344,2383.5
638.476,2369.7
638.608,2365.3
638.74,2367.7
638.871,2364.1
639.003,2365.9
639.135,2379.5
639.267,2374.6
639.399,2364.2
639.531,2365.4
