nm,Intensity
526.5,830.5
526.637,830.9
526.774,829.8
526.91,830.4
527.047,829.6
527.184,829.6
527.32,828.7
527.457,829.0
527.594,829.6
527.73,829.7
527.867,829.7
528.004,829.1
528.14,828.2
528.277,828.8
528.414,829.5
528.55,831.0
528.687,828.8
528.823,828.7
528.96,828.7
529.096,828.8
529.233,828.8
529.37,829.3
529.506,828.6
529.643,827.9
529.779,831.0
529.916,829.7
530.052,829.6
530.189,830.2
530.325,829.8
530.462,831.1
530.598,829.7
530.735,828.8
530.871,830.1
531.008,829.5
531.144,828.4
531.28,829.7
531.417,828.6
531.553,829.3
531.69,830.6
531.826,830.2
531.962,833.1
532.099,858.8
532.235,863.8
532.372,836.8
532.508,829.6
532.644,831.0
532.781,828.8
532.917,829.4
533.053,829.9
533.19,830.0
533.326,828.9
533.462,831.8
533.599,842.6
533.735,947.3
533.871,1423.6
534.007,2122.7
534.144,2411.0
534.28,2351.4
534.416,2231.8
534.552,2124.0
534.689,2015.5
534.825,1884.1
534.961,1739.9
535.097,1588.4
535.234,1473.1
535.37,1375.7
535.506,1290.7
535.642,1219.4
535.778,1166.6
535.914,1116.7
536.051,1079.4
536.187,1054.3
536.323,1038.8
536.459,1024.5
536.595,1011.5
536.731,1007.8
536.867,1010.7
537.003,999.3
537.14,989.7
537.276,988.5
537.412,979.3
537.548,972.3
537.684,969.0
537.82,973.9
537.956,968.6
538.092,986.5
538.228,991.5
538.364,999.9
538.5,1003.0
538.636,997.6
538.772,980.0
538.908,961.4
539.044,934.0
539.18,916.7
539.316,905.0
539.452,897.2
539.588,894.0
539.724,894.1
539.86,896.3
539.996,890.0
540.132,889.0
540.268,887.5
540.403,886.1
540.539,884.9
540.675,879.8
540.811,879.0
540.947,878.3
541.083,877.7
541.219,877.8
541.355,880.4
541.49,877.1
541.626,882.8
541.762,875.1
541.898,878.3
542.034,878.0
542.17,877.5
542.305,875.1
542.441,876.8
542.577,874.6
542.713,874.7
542.848,875.3
542.984,879.1
543.12,881.7
543.256,881.9
543.391,882.9
543.527,886.1
543.663,883.9
543.799,892.5
543.934,895.4
544.07,890.0
544.206,887.8
544.341,881.8
544.477,880.4
544.613,876.6
544.748,878.5
544.884,877.7
545.02,873.7
545.155,875.1
545.291,870.1
545.427,870.4
545.562,867.9
545.698,867.7
545.833,867.9
545.969,866.3
546.105,868.0
546.24,865.7
546.376,867.3
546.511,864.3
546.647,867.2
546.782,865.8
546.918,865.5
547.053,866.8
547.189,867.5
547.325,869.7
547.46,870.4
547.596,870.9
547.731,871.5
547.867,873.6
548.002,874.4
548.137,874.5
548.273,873.3
548.408,875.1
548.544,872.7
548.679,869.1
548.815,869.5
548.95,868.8
549.086,867.5
549.221,865.1
549.356,864.9
549.492,864.9
549.627,866.1
549.763,865.9
549.898,866.6
550.033,872.8
550.169,892.8
550.304,952.8
550.439,949.5
550.575,893.2
550.71,876.3
550.845,869.1
550.981,861.7
551.116,861.8
551.251,859.2
551.387,860.7
551.522,859.8
551.657,860.4
551.793,861.2
551.928,860.9
552.063,860.3
552.198,860.8
552.334,859.7
552.469,860.0
552.604,861.5
552.739,862.8
552.874,864.4
553.01,861.4
553.145,860.2
553.28,861.8
553.415,860.0
553.55,858.0
553.686,863.5
553.821,873.7
553.956,878.3
554.091,886.9
554.226,890.0
554.361,892.9
554.497,902.2
554.632,903.0
554.767,902.7
554.902,895.1
