nm,Intensity
526.486,828.8
526.622,829.5
526.759,829.5
526.896,829.9
527.033,830.3
527.169,829.3
527.306,829.4
527.443,830.1
527.579,828.8
527.716,829.0
527.853,829.3
527.989,828.5
528.126,830.0
528.263,829.6
528.399,829.4
528.536,828.7
528.672,829.9
528.809,827.8
528.946,829.7
529.082,830.1
529.219,828.1
529.355,829.9
529.492,829.2
529.628,829.4
529.765,828.8
529.901,829.8
530.038,829.8
530.174,830.3
530.311,830.0
530.447,829.5
530.584,830.4
530.72,829.4
530.857,828.7
530.993,828.5
531.13,828.4
531.266,829.8
531.403,827.8
531.539,827.7
531.676,831.2
531.812,829.8
531.948,832.3
532.085,855.3
532.221,875.7
532.358,845.7
532.494,831.0
532.63,829.5
532.767,829.9
532.903,828.1
533.039,830.2
533.176,828.8
533.312,829.5
533.448,829.9
533.585,833.4
533.721,860.0
533.857,1019.9
533.993,1356.5
534.13,1572.6
534.266,1590.8
534.402,1536.3
534.539,1466.0
534.675,1436.4
534.811,1371.8
534.947,1296.4
535.083,1229.7
535.22,1173.1
535.356,1119.3
535.492,1079.8
535.628,1044.5
535.764,1027.5
535.901,993.1
536.037,983.3
536.173,968.6
536.309,955.6
536.445,949.1
536.581,940.6
536.717,940.6
536.854,939.1
536.99,936.0
537.126,934.1
537.262,929.2
537.398,924.6
537.534,921.6
537.67,924.2
537.806,919.3
537.942,926.1
538.078,926.8
538.214,929.9
538.35,934.1
538.486,933.7
538.622,935.5
538.758,929.0
538.894,919.7
539.03,910.8
539.166,903.3
539.302,893.4
539.438,891.4
539.574,887.3
539.71,886.1
539.846,885.2
539.982,884.0
540.118,883.0
540.254,881.7
540.39,879.4
540.526,879.4
540.662,878.5
540.798,875.3
540.933,876.4
541.069,875.8
541.205,876.3
541.341,877.4
541.477,875.5
541.613,878.1
541.749,876.2
541.884,876.7
542.02,874.0
542.156,876.3
542.292,873.6
542.428,872.2
542.563,875.4
542.699,872.0
542.835,873.8
542.971,877.7
543.106,874.9
543.242,876.4
543.378,876.9
543.514,878.5
543.649,878.5
543.785,878.9
543.921,878.3
544.057,880.1
544.192,876.9
544.328,876.5
544.464,875.1
544.599,870.5
544.735,873.6
544.871,869.2
545.006,868.3
545.142,869.0
545.278,866.8
545.413,870.2
545.549,866.2
545.684,865.6
545.82,865.6
545.956,867.3
546.091,866.0
546.227,867.4
546.362,865.1
546.498,864.6
546.634,864.4
546.769,861.9
546.905,865.1
547.04,863.8
547.176,865.7
547.311,864.6
547.447,866.2
547.582,866.7
547.718,865.7
547.853,870.8
547.989,866.0
548.124,864.2
548.26,866.4
548.395,867.3
548.531,866.4
548.666,865.7
548.802,865.3
548.937,866.2
549.072,861.5
549.208,864.6
549.343,864.9
549.479,862.8
549.614,862.1
549.75,861.7
549.885,864.3
550.02,867.4
550.156,870.0
550.291,895.3
550.426,904.7
550.562,878.1
550.697,862.8
550.832,864.5
550.968,863.1
551.103,861.0
551.238,861.8
551.374,859.6
551.509,861.9
551.644,861.6
551.78,861.1
551.915,861.1
552.05,859.2
552.185,858.7
552.321,857.0
552.456,859.0
552.591,859.2
552.726,861.2
552.862,858.6
552.997,860.5
553.132,858.4
553.267,858.7
553.403,856.0
553.538,856.4
553.673,858.3
553.808,861.8
553.943,864.5
554.078,868.5
554.214,872.4
554.349,872.5
554.484,874.0
554.619,874.9
554.754,878.6
554.889,873.1
555.024,873.5
555.16,873.4
555.295,876.8
555.43,880.6
555.565,892.6
555.7,896.1
555.835,890.0
555.97,880.9
556.105,874.6
556.24,867.4
556.375,863.8
556.51,863.7
556.645,862.8
556.78,863.3
556.915,865.3
557.05,867.2
557.185,869.7
557.32,866.0
557.455,864.7
557.59,864.1
557.725,860.1
557.86,862.7
557.995,860.7
558.13,861.4
558.265,862.7
558.4,862.3
558.535,860.4
558.67,862.6
558.805,861.2
558.94,863.4
559.075,869.6
559.21,866.2
559.345,865.8
559.479,864.0
559.614,859.7
559.749,859.4
559.884,859.7
560.019,861.1
560.154,861.3
560.289,860.5
560.424,861.8
