nm,Intensity
526.5,829.4
526.637,828.9
526.774,828.9
526.91,829.8
527.047,827.8
527.184,829.0
527.32,829.5
527.457,829.4
527.594,829.1
527.73,829.9
527.867,828.2
528.004,830.0
528.14,828.9
528.277,829.1
528.414,829.2
528.55,829.1
528.687,830.4
528.823,828.4
528.96,829.9
529.096,828.8
529.233,828.4
529.37,828.6
529.506,828.9
529.643,829.3
529.779,830.0
529.916,828.9
530.052,828.6
530.189,829.8
530.325,828.9
530.462,829.5
530.598,829.8
530.735,827.4
530.871,828.9
531.008,830.3
531.144,829.4
531.28,828.0
531.417,829.2
531.553,830.2
531.69,830.0
531.826,829.5
531.962,835.3
532.099,882.1
532.235,901.2
532.372,845.9
532.508,831.3
532.644,829.8
532.781,829.1
532.917,830.9
533.053,829.5
533.19,829.5
533.326,829.8
533.462,830.4
533.599,839.9
533.735,926.6
533.871,1384.2
534.007,2108.3
534.144,2457.0
534.28,2432.5
534.416,2309.3
534.552,2184.5
534.689,2086.9
534.825,1951.4
534.961,1798.8
535.097,1660.8
535.234,1520.8
535.37,1402.0
535.506,1312.8
535.642,1250.4
535.778,1194.5
535.914,1150.7
536.051,1111.8
536.187,1081.5
536.323,1059.6
536.459,1045.1
536.595,1029.6
536.731,1025.8
536.867,1016.6
537.003,1006.3
537.14,1009.3
537.276,998.5
537.412,995.8
537.548,990.9
537.684,983.9
537.82,985.8
537.956,991.5
538.092,999.6
538.228,1005.6
538.364,1009.2
538.5,1013.4
538.636,1012.1
538.772,996.9
538.908,980.2
539.044,952.0
539.18,933.3
539.316,916.7
539.452,910.8
539.588,909.6
539.724,904.0
539.86,902.2
539.996,900.4
540.132,900.4
540.268,898.7
540.403,898.3
540.539,893.8
540.675,893.5
540.811,890.5
540.947,889.5
541.083,891.5
541.219,890.4
541.355,888.3
541.49,890.3
541.626,889.9
541.762,886.9
541.898,885.0
542.034,888.8
542.17,887.1
542.305,884.9
542.441,885.2
542.577,882.4
542.713,883.2
542.848,888.3
542.984,887.2
543.12,888.6
543.256,889.4
543.391,892.3
543.527,895.8
543.663,899.9
543.799,902.7
543.934,900.3
544.07,900.1
544.206,896.1
544.341,892.0
544.477,888.7
544.613,888.0
544.748,883.6
544.884,881.7
545.02,881.3
545.155,881.1
545.291,880.0
545.427,875.2
545.562,876.2
545.698,875.5
545.833,874.8
545.969,872.9
546.105,872.2
546.24,873.2
546.376,873.2
546.511,873.1
546.647,873.0
546.782,871.6
546.918,870.8
547.053,873.8
547.189,872.9
547.325,875.4
547.46,873.3
547.596,875.9
547.731,878.9
547.867,877.6
548.002,880.3
548.137,877.5
548.273,881.2
548.408,877.3
548.544,878.8
548.679,875.1
548.815,875.4
548.95,874.0
549.086,872.1
549.221,874.9
549.356,870.4
549.492,869.7
549.627,871.7
549.763,872.1
549.898,873.9
550.033,877.2
550.169,896.5
550.304,949.4
550.439,957.4
550.575,903.2
550.71,879.1
550.845,872.1
550.981,869.5
551.116,867.0
551.251,864.7
551.387,862.6
551.522,864.8
551.657,862.7
551.793,862.9
551.928,863.9
552.063,864.9
552.198,863.9
552.334,863.7
552.469,862.5
552.604,865.5
552.739,863.9
552.874,865.2
553.01,868.0
553.145,860.6
553.28,865.6
553.415,863.3
553.55,865.9
553.686,869.8
553.821,874.1
553.956,881.4
554.091,888.8
554.226,892.8
554.361,896.0
554.497,903.8
554.632,909.5
554.767,905.9
554.902,902.6
555.037,895.3
555.172,895.3
555.307,901.4
555.442,920.6
555.577,935.7
555.712,949.6
555.848,940.1
555.983,914.5
556.118,897.5
556.253,889.5
556.388,881.8
556.523,873.5
556.658,872.2
556.793,871.8
556.928,880.1
557.063,889.9
557.198,891.6
557.333,880.6
557.468,878.6
557.603,879.0
557.738,876.0
557.873,877.5
558.008,876.0
558.142,874.3
558.277,872.9
558.412,868.3
558.547,877.3
558.682,874.1
558.817,876.7
558.952,879.8
559.087,884.6
559.222,885.1
559.357,878.7
559.492,874.1
559.626,870.7
559.761,869.3
559.896,868.2
560.031,865.8
560.166,868.7
560.301,869.6
560.435,872.9
560.57,873.5
560.705,872.9
560.84,873.7
560.975,877.7
561.109,874.1
561.244,880.8
561.379,884.3
561.514,897.0
561.649,921.0
561.783,965.4
561.918,1074.1
562.053,1508.6
562.188,1740.9
562.322,1257.9
562.457,966.9
562.592,909.6
562.726,906.2
562.861,956.7
562.996,1063.5
563.131,1110.8
563.265,1040.2
563.4,946.4
563.535,915.4
563.669,901.2
563.804,893.4
563.939,897.1
564.073,900.6
564.208,901.3
564.342,904.8
564.477,906.3
564.612,905.0
564.746,899.1
564.881,900.2
565.015,901.0
565.15,899.0
565.285,896.7
565.419,893.8
565.554,884.3
565.688,879.9
565.823,876.8
565.957,871.6
566.092,871.8
566.227,872.3
566.361,873.5
566.496,876.6
566.63,882.9
566.765,894.6
566.899,927.9
567.034,958.7
567.168,951.1
567.303,920.0
567.437,911.4
567.572,912.7
567.706,940.3
567.84,987.2
567.975,1003.5
568.109,993.9
568.244,999.5
568.378,1010.8
568.513,1016.1
568.647,997.4
568.781,968.7
568.916,941.0
569.05,919.5
569.185,908.4
