cm-1,A
4000.0,0.0117
3999.0,0.0117
3998.0,0.0116
3997.0,0.0116
3996.0,0.0117
3995.0,0.0117
3994.0,0.0118
3993.0,0.0118
3992.0,0.0119
3991.0,0.012
3990.0,0.012
3989.0,0.012
3988.0,0.012
3987.0,0.0119
3986.0,0.0119
3985.0,0.0118
3984.0,0.0118
3983.0,0.0118
3982.0,0.0118
3981.0,0.0118
3980.0,0.0118
3979.0,0.0118
3978.0,0.0118
3977.0,0.0118
3976.0,0.0117
3975.0,0.0117
3974.0,0.0118
3973.0,0.0118
3972.0,0.0119
3971.0,0.012
3970.0,0.012
3969.0,0.012
3968.0,0.0119
3967.0,0.0118
3966.0,0.0118
3965.0,0.0118
3964.0,0.0119
3963.0,0.0119
3962.0,0.0119
3961.0,0.0119
3960.0,0.0119
3959.0,0.0119
3958.0,0.0119
3957.0,0.0118
3956.0,0.0117
3955.0,0.0117
3954.0,0.0117
3953.0,0.0118
3952.0,0.0119
3951.0,0.012
3950.0,0.012
3949.0,0.012
3948.0,0.0119
3947.0,0.0118
3946.0,0.0117
3945.0,0.0117
3944.0,0.0118
3943.0,0.0118
3942.0,0.0118
3941.0,0.0118
3940.0,0.0118
3939.0,0.0118
3938.0,0.0118
3937.0,0.0118
3936.0,0.0117
3935.0,0.0117
3934.0,0.0118
3933.0,0.0119
3932.0,0.012
3931.0,0.012
3930.0,0.012
3929.0,0.012
3928.0,0.0119
3927.0,0.0119
3926.0,0.0119
3925.0,0.0119
3924.0,0.0119
3923.0,0.0119
3922.0,0.012
3921.0,0.0121
3920.0,0.012
3919.0,0.012
3918.0,0.0119
3917.0,0.0119
3916.0,0.0119
3915.0,0.0119
3914.0,0.012
3913.0,0.012
3912.0,0.012
3911.0,0.0119
3910.0,0.0118
3909.0,0.0118
3908.0,0.0117
3907.0,0.0117
3906.0,0.0117
3905.0,0.0117
3904.0,0.0117
3903.0,0.0117
3902.0,0.0117
3901.0,0.0118
3900.0,0.012
3899.0,0.0122
3898.0,0.0123
3897.0,0.0124
3896.0,0.0124
3895.0,0.0123
