cm-1,A
4000.0,0.0018
3999.0,0.0018
3998.0,0.0019
3997.0,0.0019
3996.0,0.002
3995.0,0.0021
3994.0,0.0021
3993.0,0.0021
3992.0,0.0021
3991.0,0.0021
3990.0,0.002
3989.0,0.002
3988.0,0.002
3987.0,0.0021
3986.0,0.0021
3985.0,0.0021
3984.0,0.0021
3983.0,0.002
3982.0,0.002
3981.0,0.002
3980.0,0.0021
3979.0,0.0022
3978.0,0.0022
3977.0,0.0022
3976.0,0.0021
3975.0,0.0021
3974.0,0.0021
3973.0,0.002
3972.0,0.002
3971.0,0.002
3970.0,0.002
3969.0,0.0021
3968.0,0.0022
3967.0,0.0023
3966.0,0.0023
3965.0,0.0023
3964.0,0.0023
3963.0,0.0022
3962.0,0.0021
3961.0,0.002
3960.0,0.0019
3959.0,0.002
3958.0,0.002
3957.0,0.0021
3956.0,0.0021
3955.0,0.0022
3954.0,0.0021
3953.0,0.0021
3952.0,0.002
3951.0,0.0019
3950.0,0.0018
3949.0,0.0017
3948.0,0.0016
3947.0,0.0015
3946.0,0.0015
3945.0,0.0016
3944.0,0.0017
3943.0,0.0017
3942.0,0.0017
3941.0,0.0018
3940.0,0.002
3939.0,0.0021
3938.0,0.0022
3937.0,0.0022
3936.0,0.0021
3935.0,0.002
3934.0,0.0019
3933.0,0.0018
3932.0,0.0017
3931.0,0.0018
3930.0,0.0019
3929.0,0.0019
3928.0,0.002
3927.0,0.0021
3926.0,0.0022
3925.0,0.0021
3924.0,0.002
3923.0,0.0019
3922.0,0.0017
3921.0,0.0016
3920.0,0.0016
3919.0,0.0017
3918.0,0.0018
3917.0,0.0019
3916.0,0.0019
3915.0,0.002
3914.0,0.0022
3913.0,0.0023
3912.0,0.0023
3911.0,0.0023
3910.0,0.0021
3909.0,0.002
3908.0,0.0019
3907.0,0.0018
3906.0,0.0017
3905.0,0.0015
3904.0,0.0014
3903.0,0.0013
3902.0,0.0014
3901.0,0.0015
3900.0,0.0015
3899.0,0.0014
3898.0,0.0015
3897.0,0.0017
3896.0,0.0019
3895.0,0.002
3894.0,0.002
3893.0,0.002
3892.0,0.0019
3891.0,0.0018
3890.0,0.0018
3889.0,0.002
3888.0,0.0022
3887.0,0.0022
3886.0,0.002
3885.0,0.0017
3884.0,0.0016
3883.0,0.0018
3882.0,0.0019
3881.0,0.0019
3880.0,0.0018
3879.0,0.0016
3878.0,0.0018
3877.0,0.0021
3876.0,0.0022
3875.0,0.002
3874.0,0.0017
3873.0,0.0014
3872.0,0.0015
3871.0,0.0016
3870.0,0.0015
3869.0,0.0014
3868.0,0.0015
3867.0,0.0018
3866.0,0.002
3865.0,0.0021
3864.0,0.002
3863.0,0.002
3862.0,0.0019
3861.0,0.0019
3860.0,0.0019
3859.0,0.0018
3858.0,0.0017
3857.0,0.0016
3856.0,0.0015
3855.0,0.0018
3854.0,0.0022
3853.0,0.002
3852.0,0.0019
3851.0,0.0022
3850.0,0.0024
3849.0,0.0024
3848.0,0.0023
3847.0,0.0021
3846.0,0.0019
3845.0,0.0017
3844.0,0.0015
3843.0,0.0013
3842.0,0.0011
3841.0,0.001
3840.0,0.001
3839.0,0.001
3838.0,0.0011
3837.0,0.0012
3836.0,0.0014
3835.0,0.0017
3834.0,0.0019
3833.0,0.0019
3832.0,0.0018
3831.0,0.0017
3830.0,0.0018
3829.0,0.0019
3828.0,0.0021
3827.0,0.0021
3826.0,0.0019
3825.0,0.0017
3824.0,0.0016
3823.0,0.0017
3822.0,0.0018
3821.0,0.0017
3820.0,0.0014
3819.0,0.0015
3818.0,0.0018
3817.0,0.002
3816.0,0.002
3815.0,0.002
3814.0,0.0022
3813.0,0.0025
3812.0,0.0025
3811.0,0.0024
3810.0,0.0023
3809.0,0.0022
3808.0,0.0021
3807.0,0.0017
3806.0,0.0014
3805.0,0.0014
3804.0,0.0016
3803.0,0.0019
3802.0,0.0021
3801.0,0.002
3800.0,0.0018
3799.0,0.002
3798.0,0.0022
3797.0,0.0022
3796.0,0.0022
3795.0,0.0022
3794.0,0.0023
3793.0,0.0025
3792.0,0.0025
3791.0,0.0025
3790.0,0.0024
3789.0,0.0023
3788.0,0.0023
3787.0,0.0024
3786.0,0.0024
3785.0,0.0023
3784.0,0.0021
3783.0,0.002
3782.0,0.0019
3781.0,0.0019
3780.0,0.002
3779.0,0.002
3778.0,0.0021
3777.0,0.0022
3776.0,0.0022
3775.0,0.0022
3774.0,0.0021
3773.0,0.002
3772.0,0.0019
3771.0,0.0019
3770.0,0.0019
3769.0,0.0018
3768.0,0.0019
3767.0,0.0021
3766.0,0.0022
3765.0,0.0021
3764.0,0.002
3763.0,0.002
3762.0,0.002
3761.0,0.002
3760.0,0.0019
3759.0,0.0018
3758.0,0.0018
3757.0,0.0017
3756.0,0.0017
3755.0,0.0017
3754.0,0.0017
3753.0,0.0017
3752.0,0.0018
3751.0,0.0019
3750.0,0.0017
3749.0,0.0015
3748.0,0.0015
3747.0,0.0018
3746.0,0.0022
3745.0,0.0023
3744.0,0.0021
3743.0,0.0019
3742.0,0.0022
3741.0,0.0023
3740.0,0.002
3739.0,0.0016
3738.0,0.0013
3737.0,0.0012
3736.0,0.0011
3735.0,0.0011
3734.0,0.0013
3733.0,0.0015
3732.0,0.0017
3731.0,0.002
3730.0,0.0022
3729.0,0.0025
3728.0,0.0026
3727.0,0.0025
3726.0,0.0022
3725.0,0.0019
3724.0,0.0017
3723.0,0.0017
3722.0,0.0017
3721.0,0.0017
3720.0,0.0017
3719.0,0.0018
3718.0,0.0018
3717.0,0.0019
3716.0,0.0019
3715.0,0.0018
3714.0,0.0018
3713.0,0.002
3712.0,0.0023
3711.0,0.0026
3710.0,0.0026
3709.0,0.0025
3708.0,0.0023
3707.0,0.0022
3706.0,0.0022
3705.0,0.0021
3704.0,0.0021
3703.0,0.0022
3702.0,0.0022
3701.0,0.0021
3700.0,0.0022
3699.0,0.0023
3698.0,0.0025
3697.0,0.0025
3696.0,0.0024
3695.0,0.0022
3694.0,0.0021
3693.0,0.002
3692.0,0.002
3691.0,0.002
3690.0,0.0021
3689.0,0.0021
3688.0,0.002
3687.0,0.0022
3686.0,0.0025
3685.0,0.0027
3684.0,0.0026
3683.0,0.0025
3682.0,0.0024
3681.0,0.0022
3680.0,0.0019
3679.0,0.0016
3678.0,0.0014
3677.0,0.0015
3676.0,0.0016
3675.0,0.0014
3674.0,0.0013
3673.0,0.0016
3672.0,0.0019
3671.0,0.0022
3670.0,0.0023
3669.0,0.0022
3668.0,0.0022
3667.0,0.0023
3666.0,0.0024
3665.0,0.0025
3664.0,0.0026
3663.0,0.0027
3662.0,0.0027
3661.0,0.0027
3660.0,0.0026
3659.0,0.0026
3658.0,0.0028
3657.0,0.0029
3656.0,0.0028
3655.0,0.0025
3654.0,0.0022
3653.0,0.002
3652.0,0.0016
3651.0,0.0017
3650.0,0.0021
3649.0,0.0024
3648.0,0.0024
3647.0,0.0025
3646.0,0.0027
3645.0,0.003
3644.0,0.0032
3643.0,0.0033
3642.0,0.0033
3641.0,0.0033
3640.0,0.0034
3639.0,0.0034
3638.0,0.0035
3637.0,0.0036
3636.0,0.0036
3635.0,0.0036
3634.0,0.0034
3633.0,0.0032
3632.0,0.003
3631.0,0.003
3630.0,0.0034
3629.0,0.0038
3628.0,0.0039
3627.0,0.004
3626.0,0.0043
3625.0,0.0044
3624.0,0.0043
3623.0,0.0041
3622.0,0.0039
3621.0,0.004
3620.0,0.0042
3619.0,0.0043
3618.0,0.0043
3617.0,0.0042
3616.0,0.0042
3615.0,0.0043
3614.0,0.0044
3613.0,0.0044
3612.0,0.0044
3611.0,0.0044
3610.0,0.0045
3609.0,0.0047
3608.0,0.005
3607.0,0.0051
3606.0,0.0053
3605.0,0.0054
3604.0,0.0056
3603.0,0.0058
3602.0,0.0061
3601.0,0.0062
3600.0,0.0061
3599.0,0.006
3598.0,0.0059
3597.0,0.006
3596.0,0.0062
3595.0,0.0064
3594.0,0.0066
