nm,Intensity
526.508,829.1
526.645,830.0
526.782,829.4
526.919,831.4
527.055,828.9
527.192,831.1
527.329,828.9
527.465,830.7
527.602,828.8
527.739,830.4
527.875,831.0
528.012,829.7
528.149,830.2
528.285,829.0
528.422,831.0
528.558,829.8
528.695,830.3
528.832,830.5
528.968,830.6
529.105,830.6
529.241,828.7
529.378,830.0
529.514,829.7
529.651,829.6
529.787,828.6
529.924,831.0
530.061,830.1
530.197,830.2
530.334,830.7
530.47,830.4
530.606,830.6
530.743,828.8
530.879,829.9
531.016,829.6
531.152,829.4
531.289,830.2
531.425,831.2
531.562,828.6
531.698,829.2
531.834,831.5
531.971,833.4
532.107,862.7
532.244,880.3
532.38,842.4
532.516,830.7
532.653,829.5
532.789,830.1
532.925,830.2
533.062,829.1
533.198,830.4
533.334,830.7
533.471,831.4
533.607,838.5
533.743,899.3
533.879,1203.1
534.016,1697.9
534.152,1919.1
534.288,1891.1
534.424,1789.2
534.561,1684.9
534.697,1620.9
534.833,1550.2
534.969,1465.8
535.106,1382.9
535.242,1320.6
535.378,1262.0
535.514,1224.9
535.65,1185.9
535.786,1141.2
535.923,1106.7
536.059,1079.5
536.195,1046.4
536.331,1034.8
536.467,1018.2
536.603,1004.8
536.739,995.7
536.876,987.5
537.012,985.9
537.148,979.4
537.284,976.4
537.42,974.1
537.556,970.1
537.692,967.0
537.828,962.5
537.964,962.8
538.1,965.2
538.236,962.3
538.372,975.2
538.508,972.9
538.644,973.2
538.78,968.9
538.916,971.6
539.052,965.3
539.188,969.4
539.324,964.5
539.46,972.3
539.596,976.8
539.732,982.1
539.868,990.4
540.004,991.1
540.14,982.0
540.275,979.8
540.411,967.8
540.547,958.5
540.683,950.7
540.819,948.2
540.955,947.8
541.091,943.7
541.227,943.9
541.362,937.3
541.498,938.6
541.634,942.1
541.77,938.1
541.906,942.8
542.041,938.1
542.177,942.2
542.313,940.5
542.449,946.6
542.585,935.5
542.72,942.9
542.856,938.3
542.992,943.7
543.128,938.0
543.263,940.0
543.399,937.3
543.535,943.1
543.67,937.7
543.806,948.9
543.942,948.9
544.078,947.3
544.213,946.4
544.349,947.2
544.485,946.2
544.62,946.1
544.756,943.0
544.892,947.4
545.027,948.5
545.163,948.0
545.298,947.2
545.434,951.1
545.57,944.7
545.705,952.1
545.841,950.5
545.976,948.8
546.112,948.2
546.248,949.3
546.383,953.4
546.519,952.9
546.654,953.8
546.79,953.2
546.925,955.1
547.061,956.8
547.196,955.8
547.332,954.7
547.467,956.0
547.603,957.5
547.738,957.3
547.874,957.2
548.009,957.5
548.145,956.0
548.28,956.4
548.416,956.9
548.551,958.1
548.686,959.8
548.822,957.4
548.957,957.1
549.093,955.9
549.228,964.2
549.363,956.9
549.499,962.1
549.634,959.4
549.77,961.8
549.905,966.9
550.04,962.5
550.176,966.9
550.311,966.7
550.446,973.8
550.582,1029.9
550.717,1136.7
550.852,1073.6
550.988,986.3
551.123,973.6
551.258,969.4
551.394,973.8
551.529,976.8
551.664,969.7
551.799,971.9
551.935,968.6
552.07,972.2
552.205,982.3
552.34,976.5
552.476,975.9
552.611,978.6
552.746,1006.0
552.881,1035.3
553.016,1021.3
553.152,998.0
553.287,980.0
553.422,981.0
553.557,983.7
553.692,984.4
553.827,985.5
553.963,984.2
554.098,979.6
554.233,986.2
554.368,982.3
554.503,984.4
554.638,986.9
554.773,985.5
554.908,993.9
555.043,990.9
555.179,989.6
555.314,999.9
555.449,1006.5
555.584,1035.0
555.719,1053.8
555.854,1042.2
555.989,1039.7
556.124,1041.3
556.259,1051.5
556.394,1050.3
556.529,1049.3
