nm,Intensity
528.626,1862.9
528.711,1864.55
528.795,1864.2
528.879,1864.55
528.963,1864.3
529.048,1863.25
529.132,1863.5
529.216,1864.35
529.3,1864.7
529.385,1864.3
529.469,1863.4
529.553,1862.55
529.637,1864.25
529.721,1864.25
529.806,1863.65
529.89,1863.9
529.974,1863.7
530.058,1864.05
530.143,1865.9
530.227,1864.6
530.311,1864.7
530.395,1864.15
530.48,1863.8
530.564,1865.2
530.648,1864.45
530.732,1865.9
530.816,1865.25
530.901,1866.5
530.985,1865.0
531.069,1865.8
531.153,1867.05
531.237,1867.5
531.322,1869.0
531.406,1870.75
531.49,1873.85
531.574,1882.4
531.658,1908.65
531.743,2033.8
531.827,2535.6
531.911,3343.35
531.995,4451.95
532.079,4762.3
532.164,4277.55
532.248,3346.4
532.332,2340.4
532.416,1918.35
532.5,1871.0
532.585,1868.15
532.669,1869.0
532.753,1867.4
532.837,1867.3
532.921,1868.45
533.006,1868.75
533.09,1867.6
533.174,1869.1
533.258,1873.75
533.342,1879.45
533.426,1901.9
533.511,1964.35
533.595,2151.9
533.679,2533.85
533.763,3093.85
533.847,3638.05
533.931,4087.3
534.016,4362.25
534.1,4425.45
534.184,4363.6
534.268,4282.1
534.352,4198.05
534.436,4093.75
534.521,3961.4
534.605,3881.95
534.689,3778.7
534.773,3736.15
534.857,3653.05
534.941,3575.35
535.025,3511.05
535.11,3443.1
535.194,3356.15
535.278,3309.35
535.362,3259.5
535.446,3159.9
535.53,3091.55
535.614,3044.65
535.699,2980.05
535.783,2935.3
535.867,2885.95
535.951,2849.95
536.035,2821.65
536.119,2799.75
536.203,2747.6
536.287,2719.15
536.372,2719.9
536.456,2693.25
536.54,2671.95
536.624,2681.0
536.708,2668.65
536.792,2677.3
536.876,2662.3
536.96,2660.2
537.044,2649.85
537.129,2652.1
537.213,2654.55
537.297,2632.95
537.381,2640.65
537.465,2629.9
537.549,2647.6
537.633,2648.7
537.717,2642.85
537.801,2686.35
537.885,2661.55
537.97,2643.45
538.054,2636.65
538.138,2656.5
538.222,2664.95
538.306,2659.85
538.39,2657.3
538.474,2659.9
538.558,2663.95
538.642,2674.3
538.726,2671.9
538.81,2658.45
538.894,2673.75
538.979,2675.4
539.063,2677.7
539.147,2675.2
539.231,2689.25
539.315,2718.2
539.399,2731.4
539.483,2741.1
539.567,2745.7
539.651,2769.7
539.735,2770.3
539.819,2780.5
539.903,2794.55
539.987,2790.3
540.071,2797.95
540.155,2759.55
540.239,2740.1
540.324,2711.3
540.408,2708.75
540.492,2696.5
540.576,2699.1
540.66,2692.05
540.744,2681.2
540.828,2646.25
540.912,2655.7
540.996,2676.25
541.08,2714.95
541.164,2690.55
541.248,2672.9
541.332,2668.15
541.416,2647.55
541.5,2652.8
541.584,2651.3
541.668,2661.35
541.752,2665.55
541.836,2683.4
541.92,2679.75
542.004,2680.9
542.088,2691.95
542.172,2687.95
542.256,2686.95
542.34,2705.45
542.424,2705.2
542.508,2703.9
542.592,2706.65
542.676,2693.5
542.76,2712.6
542.844,2724.05
542.928,2722.15
543.012,2721.75
543.096,2713.8
543.18,2708.05
543.264,2731.7
543.348,2709.95
543.432,2718.55
543.516,2726.15
543.6,2736.25
543.684,2726.85
543.768,2717.9
543.852,2753.25
543.936,2751.7
544.02,2770.3
544.104,2743.4
544.188,2727.85
544.272,2725.8
544.356,2736.75
544.44,2711.55
544.524,2739.1
544.608,2731.45
544.692,2747.8
544.776,2744.3
544.86,2757.5
544.944,2754.25
545.028,2761.25
545.112,2751.65
545.196,2736.6
545.28,2764.0
545.364,2779.15
545.448,2766.7
545.532,2760.8
545.616,2757.8
545.7,2769.05
545.784,2775.95
545.867,2761.35
545.951,2782.45
546.035,2780.75
546.119,2790.05
546.203,2793.05
546.287,2774.2
546.371,2784.95
546.455,2769.05
546.539,2787.85
546.623,2780.8
546.707,2767.75
546.791,2774.35
546.875,2787.15
546.959,2815.15
547.043,2806.75
547.127,2798.5
547.21,2809.4
547.294,2805.15
547.378,2825.4
547.462,2791.85
547.546,2807.8
547.63,2820.0
547.714,2826.9
547.798,2811.45
547.882,2821.05
547.966,2816.8
548.05,2837.2
548.134,2832.1
548.217,2829.9
548.301,2824.7
548.385,2828.05
548.469,2837.45
548.553,2854.5
548.637,2856.55
548.721,2861.35
548.805,2861.45
548.889,2843.6
548.972,2824.7
549.056,2847.5
549.14,2843.9
549.224,2849.05
