nm,Intensity
526.508,830.0
526.645,830.5
526.782,830.8
526.919,829.1
527.055,830.2
527.192,827.5
527.329,831.3
527.465,830.3
527.602,830.5
527.739,829.9
527.875,830.1
528.012,829.8
528.149,828.7
528.285,828.8
528.422,828.8
528.558,831.4
528.695,830.2
528.832,829.8
528.968,829.6
529.105,830.1
529.241,829.7
529.378,829.8
529.514,829.3
529.651,830.5
529.787,830.1
529.924,831.1
530.061,829.5
530.197,830.5
530.334,830.3
530.47,830.4
530.606,830.4
530.743,830.1
530.879,829.5
531.016,830.1
531.152,830.5
531.289,828.8
531.425,832.0
531.562,828.5
531.698,828.9
531.834,830.5
531.971,834.6
532.107,857.8
532.244,873.5
532.38,838.8
532.516,830.0
532.653,830.6
532.789,830.1
532.925,831.3
533.062,828.9
533.198,829.5
533.334,829.1
533.471,829.0
533.607,830.9
533.743,846.1
533.879,915.5
534.016,1045.3
534.152,1105.7
534.288,1096.4
534.424,1069.8
534.561,1060.7
534.697,1044.2
534.833,1028.6
534.969,1006.1
535.106,992.8
535.242,983.6
535.378,974.0
535.514,962.8
535.65,954.8
535.786,951.3
535.923,947.3
536.059,939.9
536.195,933.2
536.331,932.1
536.467,923.9
536.603,923.7
536.739,920.9
536.876,919.4
537.012,920.0
537.148,918.0
537.284,916.7
537.42,919.2
537.556,917.9
537.692,916.0
537.828,920.6
537.964,919.2
538.1,916.2
538.236,925.7
538.372,919.5
538.508,917.6
538.644,921.5
538.78,918.8
538.916,918.6
539.052,917.1
539.188,916.9
539.324,920.1
539.46,923.8
539.596,922.4
539.732,926.9
539.868,921.0
540.004,926.6
540.14,927.6
540.275,925.8
540.411,922.2
540.547,919.5
540.683,920.7
540.819,916.2
540.955,917.9
541.091,918.1
541.227,918.3
541.362,914.1
541.498,917.8
541.634,917.7
541.77,915.7
541.906,916.1
542.041,913.6
542.177,920.4
542.313,916.0
542.449,916.5
542.585,916.7
542.72,921.1
542.856,919.9
542.992,916.0
543.128,923.5
543.263,920.5
543.399,922.6
543.535,917.4
543.67,922.4
543.806,919.7
543.942,918.6
544.078,920.2
544.213,920.8
544.349,920.6
544.485,922.7
544.62,919.8
544.756,919.7
544.892,924.1
545.027,920.0
545.163,921.5
545.298,924.8
545.434,926.3
545.57,922.5
545.705,923.7
545.841,926.8
545.976,926.7
546.112,924.2
546.248,927.4
546.383,926.7
546.519,927.6
546.654,924.3
546.79,925.7
546.925,928.5
547.061,926.3
547.196,928.7
547.332,928.4
547.467,928.9
547.603,928.1
547.738,929.3
547.874,927.9
548.009,929.9
548.145,924.7
548.28,926.8
548.416,928.4
548.551,932.1
548.686,928.6
548.822,929.8
548.957,931.9
549.093,928.8
549.228,928.9
549.363,935.0
549.499,929.7
549.634,931.1
549.77,929.6
549.905,932.9
550.04,928.1
550.176,935.1
550.311,932.8
550.446,935.8
550.582,946.6
550.717,957.6
550.852,952.5
550.988,941.1
551.123,934.8
551.258,931.7
551.394,935.9
551.529,936.8
551.664,935.8
551.799,938.2
551.935,937.5
552.07,939.3
552.205,938.2
552.34,936.3
552.476,938.4
552.611,944.6
552.746,945.3
552.881,948.6
553.016,945.9
553.152,943.5
553.287,942.0
553.422,940.8
553.557,941.3
553.692,940.1
553.827,941.6
553.963,938.5
554.098,943.2
554.233,935.9
554.368,943.3
554.503,942.1
554.638,942.5
554.773,943.8
554.908,947.1
555.043,940.7
555.179,944.0
555.314,942.8
555.449,950.0
555.584,949.4
555.719,952.1
555.854,953.5
555.989,951.1
556.124,952.9
556.259,953.5
556.394,954.8
556.529,958.1
556.664,957.7
556.799,956.9
556.934,958.5
557.069,963.4
557.204,964.9
557.339,977.6
557.474,980.3
557.609,987.7
557.744,980.3
557.879,973.8
558.014,963.6
558.149,960.7
558.284,962.2
558.419,961.1
558.553,959.7
558.688,962.3
558.823,961.6
558.958,956.2
559.093,951.9
559.228,954.7
559.363,955.8
559.498,956.0
559.632,960.3
559.767,953.3
559.902,955.9
560.037,956.2
560.172,956.2
560.307,954.9
560.441,954.9
560.576,954.7
560.711,954.8
560.846,955.9
560.981,956.9
561.115,953.0
561.25,961.4
561.385,957.4
561.52,962.0
561.654,953.4
561.789,956.3
561.924,958.7
562.059,964.8
562.193,961.5
562.328,966.1
562.463,959.7
562.598,960.2
562.732,965.1
562.867,968.5
563.002,968.0
563.136,968.5
563.271,968.0
563.406,969.5
563.54,969.8
563.675,968.9
563.81,968.5
563.944,967.4
564.079,966.8
564.213,967.8
564.348,964.8
564.483,971.0
564.617,971.8
564.752,971.9
564.887,975.9
565.021,980.5
565.156,989.3
565.29,982.6
565.425,987.3
565.559,995.3
565.694,994.1
565.828,996.3
565.963,991.7
566.098,993.2
566.232,984.4
566.367,979.5
566.501,983.0
566.636,977.4
566.77,978.7
566.905,972.0
567.039,971.4
567.174,976.5
567.308,974.7
567.443,980.0
567.577,986.9
567.711,989.9
567.846,989.4
567.98,988.4
568.115,982.0
568.249,983.3
568.384,983.7
568.518,975.2
568.652,981.7
568.787,978.4
568.921,981.1
569.056,982.3
569.19,986.2
569.324,984.6
569.459,981.8
569.593,988.2
569.727,987.4
569.862,988.8
569.996,990.9
570.131,991.3
570.265,991.1
570.399,1000.8
570.534,1007.7
570.668,1013.9
570.802,1017.2
570.936,1021.8
571.071,1026.5
571.205,1035.8
571.339,1039.1
571.474,1037.4
571.608,1031.1
571.742,1018.4
571.876,1016.4
572.011,1010.1
572.145,1008.6
572.279,999.6
572.413,1002.0
572.548,994.6
572.682,1001.5
572.816,993.9
572.95,993.5
573.084,1000.7
573.219,996.2
573.353,995.1
573.487,995.6
573.621,1001.2
573.755,999.7
573.889,999.6
574.024,1000.9
574.158,1000.6
574.292,1006.3
574.426,1001.0
574.56,997.0
574.694,1001.6
574.828,1002.7
574.963,998.5
575.097,1005.7
575.231,1008.9
575.365,1007.9
575.499,1015.7
575.633,1002.3
575.767,998.0
575.901,1009.1
576.035,1003.2
576.169,1005.9
576.303,1015.4
576.437,1013.9
576.571,1007.8
576.706,1009.3
576.84,1013.7
576.974,1008.9
577.108,1009.3
577.242,1007.2
577.376,1008.4
577.51,1007.5
577.644,1010.1
577.778,1007.5
577.912,1009.3
578.046,1005.8
578.179,1008.6
578.313,1005.7
578.447,1006.7
578.581,1008.7
578.715,1012.2
578.849,1012.2
578.983,1003.5
579.117,1010.6
579.251,1010.2
579.385,1010.0
579.519,1007.8
579.653,1009.9
579.787,1009.5
579.921,1014.7
580.054,1016.9
580.188,1013.2
580.322,1017.2
580.456,1020.5
580.59,1017.6
580.724,1016.9
580.858,1022.5
580.991,1025.4
581.125,1023.9
581.259,1022.8
581.393,1028.5
581.527,1026.4
581.661,1043.2
581.794,1060.5
581.928,1097.7
582.062,1167.7
582.196,1228.4
582.33,1188.3
582.463,1083.4
582.597,1043.9
582.731,1030.2
582.865,1029.1
582.998,1026.4
583.132,1022.4
583.266,1022.3
583.4,1019.7
583.533,1026.2
583.667,1022.1
583.801,1022.7
583.935,1021.3
584.068,1021.0
584.202,1023.8
584.336,1026.0
584.469,1022.6
584.603,1020.2
584.737,1030.8
584.87,1029.8
585.004,1029.3
585.138,1027.4
585.271,1034.3
585.405,1043.2
