nm,Intensity
528.626,1865.2
528.711,1867.8
528.795,1866.6
528.879,1864.8
528.963,1865.1
529.048,1867.4
529.132,1867.0
529.216,1865.8
529.3,1865.5
529.385,1867.6
529.469,1866.4
529.553,1866.2
529.637,1866.3
529.721,1866.1
529.806,1868.5
529.89,1865.0
529.974,1865.0
530.058,1866.5
530.143,1867.4
530.227,1865.2
530.311,1865.4
530.395,1865.9
530.48,1865.7
530.564,1865.4
530.648,1866.8
530.732,1865.4
530.816,1867.3
530.901,1868.5
530.985,1868.5
531.069,1870.2
531.153,1869.7
531.237,1869.5
531.322,1871.4
531.406,1876.3
531.49,1878.0
531.574,1889.6
531.658,1925.5
531.743,2086.8
531.827,2663.8
531.911,3873.0
531.995,5720.3
532.079,6286.8
532.164,4897.7
532.248,3201.5
532.332,2263.0
532.416,1915.7
532.5,1878.4
532.585,1873.7
532.669,1873.7
532.753,1871.2
532.837,1872.4
532.921,1874.0
533.006,1875.4
533.09,1877.0
533.174,1882.3
533.258,1888.4
533.342,1912.1
533.426,1964.7
533.511,2161.7
533.595,2695.3
533.679,3631.2
533.763,5038.9
533.847,6483.2
533.931,7730.4
534.016,8374.1
534.1,8552.0
534.184,8351.5
534.268,8154.5
534.352,7738.7
534.436,7364.5
534.521,7195.4
534.605,6894.7
534.689,6582.2
534.773,6404.2
534.857,6179.6
534.941,5826.7
535.025,5603.9
535.11,5389.7
535.194,5147.6
535.278,4907.0
535.362,4726.4
535.446,4572.4
535.53,4398.3
535.614,4173.9
535.699,4022.4
535.783,3903.3
535.867,3752.4
535.951,3623.1
536.035,3489.3
536.119,3421.9
536.203,3382.5
536.287,3326.3
536.372,3217.7
536.456,3175.5
536.54,3131.7
536.624,3116.3
536.708,3071.9
536.792,3017.1
536.876,3031.6
536.96,2989.2
537.044,2963.1
537.129,2973.3
537.213,2984.3
537.297,2957.2
537.381,2952.7
537.465,2981.7
537.549,2972.0
537.633,2961.8
537.717,2959.8
537.801,2928.2
537.885,2907.6
537.97,2940.5
538.054,2967.5
538.138,2977.0
538.222,2976.9
538.306,3002.1
538.39,2982.9
538.474,3002.0
538.558,2989.8
538.642,2967.8
538.726,2971.6
538.81,2960.5
538.894,2945.9
538.979,2966.3
539.063,2987.1
539.147,2982.0
539.231,3005.4
539.315,3031.2
539.399,3044.0
539.483,3068.8
539.567,3170.7
539.651,3151.3
539.735,3170.6
539.819,3163.3
539.903,3142.0
539.987,3161.5
540.071,3088.6
540.155,3048.5
540.239,3048.3
540.324,3000.6
540.408,2940.0
540.492,2953.4
540.576,2921.4
540.66,2883.0
540.744,2899.1
540.828,2886.0
540.912,2845.5
540.996,2863.6
541.08,2842.0
541.164,2841.9
541.248,2808.8
541.332,2786.4
541.416,2793.6
541.5,2802.9
541.584,2783.9
541.668,2795.1
541.752,2804.2
541.836,2813.3
541.92,2803.3
542.004,2789.8
542.088,2802.9
542.172,2825.2
542.256,2853.4
542.34,2816.7
542.424,2817.9
542.508,2834.4
542.592,2820.5
542.676,2820.0
542.76,2838.3
542.844,2845.2
542.928,2821.0
543.012,2806.9
543.096,2806.9
543.18,2799.8
543.264,2831.0
543.348,2849.0
543.432,2821.6
543.516,2824.5
543.6,2825.2
543.684,2851.0
543.768,2883.3
543.852,2901.1
543.936,2897.5
544.02,2879.2
544.104,2871.6
544.188,2868.7
544.272,2863.2
544.356,2842.7
544.44,2846.1
544.524,2825.1
544.608,2872.5
544.692,2858.6
544.776,2869.5
544.86,2875.0
544.944,2889.0
545.028,2895.5
545.112,2890.1
545.196,2892.8
545.28,2876.1
545.364,2845.4
545.448,2879.7
545.532,2841.2
545.616,2873.0
545.7,2880.1
545.784,2877.8
545.867,2865.8
545.951,2887.4
546.035,2896.5
546.119,2874.8
546.203,2874.0
546.287,2894.0
546.371,2892.7
546.455,2905.6
546.539,2874.0
546.623,2922.3
546.707,2916.5
546.791,2909.5
546.875,2900.4
546.959,2880.8
547.043,2897.5
547.127,2906.5
547.21,2928.8
547.294,2942.3
547.378,2928.9
547.462,2953.0
547.546,2918.0
547.63,2922.1
547.714,2931.1
547.798,2934.7
547.882,2936.9
547.966,2910.1
548.05,2938.1
548.134,2927.1
548.217,2942.0
548.301,2930.9
548.385,2947.7
548.469,2962.1
548.553,2961.7
548.637,2957.9
548.721,2933.2
548.805,2965.5
548.889,2951.8
548.972,2958.7
549.056,2958.9
549.14,2923.6
549.224,2950.6
549.308,2939.9
549.392,2962.9
549.476,2929.6
549.56,2959.1
549.644,2943.7
549.727,2957.7
549.811,2976.9
549.895,2961.2
549.979,2981.2
550.063,2954.7
550.147,2969.3
550.231,3016.2
550.315,3097.0
550.398,3291.6
550.482,3572.9
550.566,3843.0
550.65,3996.5
550.734,3938.4
550.818,3577.3
550.902,3213.8
550.985,3091.1
551.069,3052.7
551.153,3055.5
551.237,3030.2
551.321,3038.5
551.405,3050.5
551.488,3029.1
551.572,3005.3
551.656,3035.4
551.74,3038.5
551.824,3048.9
551.908,3079.3
551.991,3075.8
552.075,3087.4
552.159,3085.9
552.243,3058.3
552.327,3044.6
552.411,3123.3
552.494,3126.1
552.578,3195.5
552.662,3327.9
552.746,3413.1
552.83,3464.4
552.914,3461.1
552.997,3308.9
553.081,3218.6
553.165,3147.0
553.249,3105.1
553.333,3096.9
553.416,3103.1
553.5,3122.4
553.584,3126.8
553.668,3126.2
553.752,3106.2
553.835,3114.2
553.919,3123.1
554.003,3097.0
554.087,3084.2
554.171,3122.1
554.254,3139.6
554.338,3150.2
554.422,3176.9
554.506,3149.2
554.589,3107.7
554.673,3135.2
554.757,3171.3
554.841,3171.6
554.925,3189.9
555.008,3199.5
555.092,3209.3
555.176,3233.3
555.26,3260.4
555.343,3387.5
555.427,3474.8
555.511,3586.1
555.595,3674.7
555.679,3668.6
555.762,3652.1
555.846,3599.7
555.93,3620.1
556.014,3612.7
556.097,3611.0
556.181,3649.9
556.265,3699.1
556.349,3645.5
556.432,3677.9
556.516,3732.4
556.6,3742.0
556.684,3781.9
556.767,3681.4
556.851,3730.5
556.935,3779.0
557.018,3915.1
557.102,4038.3
557.186,4160.4
557.27,4343.3
557.353,4555.6
557.437,4772.4
557.521,4905.1
557.605,4882.9
557.688,4641.9
557.772,4420.3
557.856,4207.4
557.939,3999.2
558.023,3916.9
558.107,3855.7
558.191,3874.6
558.274,3846.5
558.358,3888.2
558.442,3897.7
558.525,3862.7
558.609,3824.0
558.693,3792.7
558.776,3705.6
558.86,3710.5
558.944,3643.7
559.028,3557.9
559.111,3524.3
559.195,3459.0
559.279,3448.8
559.362,3379.1
559.446,3376.1
559.53,3365.8
559.613,3370.8
559.697,3389.4
559.781,3389.0
559.864,3372.7
559.948,3383.3
560.032,3367.9
560.115,3372.0
560.199,3346.7
560.283,3373.3
560.366,3358.4
560.45,3318.5
560.534,3386.6
560.617,3378.6
560.701,3370.2
560.785,3415.7
560.868,3423.3
560.952,3411.8
561.036,3469.5
561.119,3442.2
561.203,3432.7
561.287,3435.3
561.37,3459.1
561.454,3464.2
561.538,3448.1
561.621,3517.0
561.705,3508.4
561.789,3497.2
561.872,3535.7
561.956,3568.5
562.039,3622.7
562.123,3604.0
562.207,3626.0
562.29,3662.8
562.374,3618.3
562.458,3623.7
562.541,3628.6
562.625,3679.7
562.708,3687.9
562.792,3658.7
562.876,3720.0
562.959,3747.5
563.043,3709.4
563.127,3689.9
563.21,3697.1
563.294,3726.0
563.377,3694.1
563.461,3616.2
563.545,3639.5
563.628,3649.2
563.712,3666.5
563.795,3625.7
563.879,3586.8
563.963,3595.6
564.046,3567.7
564.13,3571.3
564.213,3612.9
564.297,3667.4
564.38,3697.9
564.464,3730.3
564.548,3753.7
564.631,3768.2
564.715,3790.2
564.798,3854.3
564.882,3926.3
564.966,3995.8
565.049,4161.2
565.133,4223.0
565.216,4320.0
565.3,4374.6
565.383,4441.7
565.467,4531.7
565.551,4597.6
565.634,4696.1
565.718,4706.3
565.801,4724.1
565.885,4675.0
565.968,4609.7
566.052,4538.9
566.135,4369.5
566.219,4233.0
566.302,4155.6
566.386,4000.3
566.47,3908.9
566.553,3895.1
566.637,3844.4
566.72,3808.0
566.804,3757.7
566.887,3776.8
566.971,3708.5
567.054,3751.5
567.138,3784.8
567.221,3855.5
567.305,3915.0
567.388,3999.8
567.472,4124.2
567.555,4254.1
567.639,4293.4
567.722,4319.9
567.806,4279.5
567.889,4190.8
567.973,4083.5
568.057,3935.4
568.14,3891.2
568.224,3858.3
568.307,3809.2
568.391,3794.2
568.474,3807.5
568.558,3812.6
568.641,3821.8
568.725,3841.3
568.808,3798.4
568.892,3807.1
568.975,3806.3
569.058,3805.2
569.142,3805.6
569.225,3832.4
569.309,3835.9
569.392,3885.3
569.476,3918.7
569.559,3920.6
569.643,3953.7
569.726,4046.8
569.81,4104.4
569.893,4148.4
569.977,4149.8
570.06,4223.2
570.144,4218.6
570.227,4285.6
570.311,4408.1
570.394,4561.4
570.477,4694.9
570.561,4919.5
570.644,5040.5
570.728,5244.3
570.811,5377.3
570.895,5517.9
570.978,5681.9
571.062,5885.5
571.145,6174.0
571.229,6333.8
571.312,6473.5
571.395,6416.2
571.479,6145.9
571.562,5971.1
571.646,5628.7
571.729,5376.4
571.813,5172.4
571.896,5163.3
571.979,5152.9
572.063,5048.1
572.146,4857.6
572.23,4629.3
572.313,4479.1
572.397,4362.1
572.48,4270.2
572.563,4227.6
572.647,4224.2
572.73,4180.8
572.814,4093.8
572.897,4135.6
572.98,4069.7
573.064,4133.0
573.147,4054.1
573.231,4087.5
573.314,4098.5
573.397,4091.4
573.481,4054.3
573.564,4135.8
573.648,4158.0
573.731,4172.2
573.814,4221.5
573.898,4195.1
573.981,4245.6
574.064,4276.9
574.148,4295.1
574.231,4232.9
574.315,4229.5
574.398,4181.7
574.481,4160.6
574.565,4172.1
574.648,4224.6
574.731,4191.6
574.815,4235.2
574.898,4278.5
574.982,4348.7
575.065,4375.2
575.148,4437.8
575.232,4479.0
575.315,4520.7
575.398,4563.5
575.482,4546.1
575.565,4428.2
575.648,4317.2
575.732,4242.9
575.815,4196.9
575.898,4265.4
575.982,4285.2
576.065,4374.8
576.148,4438.1
576.232,4491.9
576.315,4569.7
576.398,4517.4
576.482,4519.8
576.565,4601.9
576.648,4585.4
576.732,4676.7
576.815,4616.9
576.898,4533.1
576.982,4502.3
577.065,4478.7
577.148,4441.3
577.232,4442.5
577.315,4349.1
577.398,4260.3
577.481,4278.8
577.565,4202.6
577.648,4267.5
577.731,4258.2
577.815,4285.0
577.898,4291.8
577.981,4284.8
578.065,4273.1
578.148,4224.6
578.231,4223.4
578.314,4229.9
578.398,4257.4
578.481,4287.0
578.564,4306.0
578.648,4282.2
578.731,4266.9
578.814,4266.6
578.897,4317.2
578.981,4299.1
579.064,4289.1
579.147,4350.2
579.23,4380.0
579.314,4374.0
579.397,4305.2
579.48,4364.3
579.563,4363.9
579.647,4344.2
579.73,4341.8
579.813,4395.0
579.896,4360.9
579.98,4356.1
580.063,4430.2
580.146,4431.8
580.229,4449.5
580.313,4352.8
580.396,4423.9
580.479,4414.4
580.562,4488.3
580.646,4549.1
580.729,4543.7
580.812,4590.2
580.895,4583.3
580.979,4596.2
581.062,4629.7
581.145,4669.2
581.228,4708.2
581.311,4739.2
581.395,4868.8
581.478,5092.6
581.561,5322.1
581.644,5750.9
581.728,6356.3
581.811,7414.8
581.894,8847.6
581.977,10403.1
582.06,12003.2
582.144,12845.1
582.227,12317.7
582.31,10590.7
582.393,8423.6
582.476,6668.9
582.56,5648.4
582.643,5147.1
582.726,4870.5
582.809,4749.7
582.892,4653.0
582.975,4656.1
583.059,4643.2
583.142,4670.4
583.225,4591.4
583.308,4565.9
583.391,4599.0
583.475,4642.9
583.558,4525.9
583.641,4568.5
583.724,4654.0
583.807,4594.3
583.89,4588.9
583.973,4592.8
584.057,4659.6
584.14,4675.7
584.223,4624.3
584.306,4626.8
584.389,4685.3
584.472,4689.3
584.556,4711.4
584.639,4707.4
584.722,4775.6
584.805,4832.5
584.888,4845.2
584.971,4863.5
585.054,4904.6
585.138,5007.5
585.221,5162.5
585.304,5429.8
585.387,5842.8
585.47,6390.2
585.553,7056.6
585.636,7710.6
585.719,8425.1
585.802,8891.7
585.886,9091.8
585.969,9270.7
586.052,9124.8
586.135,8831.4
586.218,8530.4
586.301,8017.4
586.384,7478.8
586.467,6996.3
586.55,6452.0
586.634,5914.9
586.717,5647.1
586.8,5435.8
586.883,5203.8
586.966,5074.3
587.049,4946.8
587.132,4874.3
587.215,4892.5
587.298,4797.5
587.381,4805.9
587.464,4802.8
587.548,4792.9
587.631,4726.1
587.714,4709.8
587.797,4739.7
587.88,4727.6
587.963,4723.2
588.046,4745.3
588.129,4702.7
588.212,4738.9
588.295,4720.6
588.378,4691.2
588.461,4703.9
588.544,4737.2
588.627,4769.2
588.71,4770.0
588.793,4763.2
588.876,4747.8
588.96,4690.3
589.043,4671.8
589.126,4698.1
589.209,4681.4
589.292,4719.8
589.375,4722.4
589.458,4728.6
589.541,4697.8
589.624,4674.3
589.707,4698.3
589.79,4684.7
589.873,4669.8
589.956,4688.3
590.039,4737.9
590.122,4727.3
590.205,4667.5
590.288,4638.5
590.371,4661.0
590.454,4730.4
590.537,4732.1
590.62,4727.4
590.703,4735.0
590.786,4676.9
590.869,4664.7
590.952,4700.2
591.035,4731.0
591.118,4731.3
591.201,4695.5
591.284,4708.7
591.367,4805.2
591.45,4818.7
591.533,4770.9
591.616,4749.2
591.699,4751.4
591.782,4785.5
591.865,4809.7
591.948,4736.8
592.031,4784.8
592.114,4783.0
592.197,4794.4
592.28,4820.0
592.363,4778.9
592.446,4799.8
592.529,4803.4
592.611,4773.8
592.694,4806.5
592.777,4812.5
592.86,4815.4
592.943,4812.4
593.026,4797.9
593.109,4805.9
593.192,4788.3
593.275,4788.9
593.358,4752.2
593.441,4793.0
593.524,4807.3
593.607,4796.7
593.69,4769.2
593.773,4752.4
593.856,4826.8
593.939,4814.5
594.021,4775.0
594.104,4815.1
594.187,4840.2
594.27,4813.7
594.353,4774.8
594.436,4743.0
594.519,4791.2
594.602,4773.7
594.685,4801.4
594.768,4856.7
594.851,4897.2
594.933,4882.2
595.016,4874.2
595.099,4897.8
595.182,4940.3
595.265,4947.0
595.348,4936.7
595.431,4948.8
595.514,4861.3
595.597,4823.7
595.68,4819.9
595.762,4888.4
595.845,4947.6
595.928,4942.6
596.011,4906.5
596.094,4874.4
596.177,4896.0
596.26,5002.7
596.342,4965.8
596.425,4855.9
596.508,4903.6
596.591,4885.0
596.674,4919.0
596.757,5058.2
596.84,5013.0
596.923,4980.3
597.005,4962.1
597.088,4906.7
597.171,4843.4
597.254,4899.4
597.337,4929.1
597.42,4947.5
597.502,5009.9
597.585,4944.8
597.668,4931.9
597.751,4912.2
597.834,5000.4
597.917,5004.3
597.999,4980.5
598.082,4973.7
598.165,5024.1
598.248,5012.8
598.331,5009.2
598.414,5022.5
598.496,5058.7
598.579,5031.3
598.662,4991.7
598.745,4995.3
598.828,5060.0
598.91,5040.1
598.993,4988.7
599.076,5015.0
599.159,5000.7
599.242,5042.2
599.324,5037.9
599.407,5101.6
599.49,5065.8
599.573,5061.0
599.656,4997.4
599.738,4999.8
599.821,5037.3
599.904,5095.0
599.987,5169.7
600.069,5140.2
600.152,5108.0
600.235,5074.1
600.318,5123.9
600.401,5093.6
600.483,5136.8
600.566,5078.1
600.649,5104.5
600.732,5135.7
600.814,5075.8
600.897,5122.9
600.98,5157.2
601.063,5132.4
601.145,5137.3
601.228,5135.8
601.311,5150.7
601.394,5112.0
601.476,5142.8
601.559,5141.1
601.642,5180.7
601.725,5193.6
601.807,5148.5
601.89,5206.7
601.973,5248.7
602.055,5225.8
602.138,5203.2
602.221,5150.6
602.304,5124.2
602.386,5136.5
602.469,5188.9
602.552,5216.6
602.635,5187.9
602.717,5213.0
602.8,5253.2
602.883,5217.5
602.965,5268.3
603.048,5297.5
603.131,5264.8
603.213,5197.2
603.296,5200.5
603.379,5243.0
603.462,5278.1
603.544,5267.3
603.627,5202.9
603.71,5189.9
603.792,5216.1
603.875,5286.6
603.958,5387.0
604.04,5348.0
604.123,5324.8
604.206,5351.1
604.288,5295.9
604.371,5272.6
604.454,5345.5
604.536,5360.7
604.619,5372.6
604.702,5315.0
604.784,5238.1
604.867,5344.9
604.95,5338.2
605.032,5336.3
605.115,5384.5
605.198,5327.8
605.28,5312.8
605.363,5340.7
605.446,5341.2
605.528,5303.6
605.611,5378.9
605.693,5343.3
605.776,5346.9
605.859,5412.1
605.941,5439.7
606.024,5335.8
606.107,5333.3
606.189,5364.2
606.272,5423.4
606.354,5386.2
606.437,5354.7
606.52,5398.1
606.602,5490.3
606.685,5532.4
606.767,5497.4
606.85,5478.6
606.933,5536.3
607.015,5503.2
607.098,5423.8
607.181,5407.0
607.263,5428.1
607.346,5401.7
607.428,5474.2
607.511,5454.6
607.593,5474.2
607.676,5556.4
607.759,5645.9
607.841,5541.7
607.924,5503.1
608.006,5377.5
608.089,5399.0
608.172,5529.1
608.254,5621.9
608.337,5594.2
608.419,5473.6
608.502,5410.2
608.584,5393.7
608.667,5536.2
608.749,5622.4
608.832,5575.6
608.915,5520.7
608.997,5505.2
609.08,5564.3
609.162,5528.9
609.245,5591.4
609.327,5545.9
609.41,5587.0
609.492,5571.1
609.575,5544.4
609.657,5490.0
609.74,5508.2
609.823,5584.2
609.905,5637.9
609.988,5592.3
610.07,5606.6
610.153,5706.0
610.235,5619.3
610.318,5612.8
610.4,5599.6
610.483,5611.4
610.565,5586.6
610.648,5588.3
610.73,5674.8
610.813,5700.3
610.895,5651.0
610.978,5610.3
611.06,5679.5
