nm,Intensity
528.65,1849.35
528.734,1848.7
528.819,1849.1
528.903,1848.7
528.987,1847.65
529.071,1849.45
529.155,1849.0
529.239,1849.05
529.324,1848.95
529.408,1848.55
529.492,1849.35
529.576,1849.55
529.66,1849.25
529.745,1848.8
529.829,1848.6
529.913,1849.2
529.997,1849.2
530.081,1850.7
530.165,1849.6
530.25,1848.85
530.334,1848.75
530.418,1849.6
530.502,1849.85
530.586,1849.0
530.67,1849.85
530.754,1849.35
530.839,1849.25
530.923,1850.55
531.007,1851.6
531.091,1850.15
531.175,1850.9
531.259,1852.65
531.344,1853.75
531.428,1855.3
531.512,1858.6
531.596,1864.2
531.68,1895.9
531.764,2056.75
531.848,2681.65
531.933,3737.3
532.017,4137.95
532.101,4217.8
532.185,3343.4
532.269,2462.2
532.353,1982.65
532.437,1866.1
532.521,1855.75
532.606,1851.9
532.69,1853.75
532.774,1852.95
532.858,1853.45
532.942,1853.2
533.026,1854.95
533.11,1854.7
533.194,1855.75
533.279,1861.85
533.363,1871.5
533.447,1906.75
533.531,2002.3
533.615,2262.9
533.699,2754.0
533.783,3447.9
533.867,4039.8
533.951,4514.1
534.036,4813.7
534.12,4845.55
534.204,4754.05
534.288,4522.6
534.372,4399.05
534.456,4266.3
534.54,4158.25
534.624,4029.25
534.708,3937.45
534.792,3838.0
534.877,3760.0
534.961,3716.1
535.045,3607.35
535.129,3528.45
535.213,3442.2
535.297,3354.75
535.381,3287.7
535.465,3184.05
535.549,3107.45
535.633,3076.45
535.717,3016.35
535.801,2953.9
535.886,2867.45
535.97,2836.25
536.054,2816.35
536.138,2784.85
536.222,2773.05
536.306,2743.1
536.39,2717.75
536.474,2689.5
536.558,2665.05
536.642,2639.3
536.726,2630.15
536.81,2632.65
536.894,2625.3
536.978,2608.0
537.062,2625.35
537.146,2629.4
537.231,2631.8
537.315,2632.5
537.399,2624.95
537.483,2592.2
537.567,2585.15
537.651,2604.9
537.735,2618.4
537.819,2616.45
537.903,2630.1
537.987,2640.25
538.071,2643.35
538.155,2648.0
538.239,2638.0
538.323,2622.05
538.407,2647.7
538.491,2636.65
538.575,2623.45
538.659,2637.3
538.743,2660.95
538.827,2660.65
538.911,2649.95
538.995,2648.7
539.079,2655.9
539.163,2674.9
539.247,2688.1
539.331,2695.9
539.415,2697.7
539.499,2693.45
539.583,2693.45
539.667,2709.95
539.751,2741.35
539.835,2750.45
539.919,2723.85
540.003,2728.0
540.087,2721.9
540.171,2717.3
540.255,2699.2
540.339,2676.5
540.423,2669.95
540.507,2656.0
540.591,2659.7
540.675,2631.3
540.759,2619.75
540.843,2610.1
540.927,2623.35
541.011,2626.7
541.095,2623.0
541.179,2625.15
541.263,2607.3
541.347,2597.15
541.431,2594.25
541.515,2591.6
541.599,2581.4
541.683,2588.4
541.767,2608.85
541.851,2624.7
541.935,2623.7
542.019,2631.95
542.103,2608.25
542.187,2609.4
542.271,2628.7
542.355,2628.5
542.439,2631.05
542.523,2638.4
542.607,2643.2
542.691,2651.85
542.775,2661.7
542.859,2663.5
542.943,2659.5
543.027,2659.9
543.111,2641.05
543.195,2634.7
543.279,2663.5
543.363,2640.65
543.446,2647.7
543.53,2651.85
543.614,2647.35
543.698,2696.65
543.782,2698.15
543.866,2701.2
543.95,2715.0
544.034,2750.0
544.118,2744.1
544.202,2715.65
544.286,2716.7
544.37,2697.6
544.454,2697.7
544.538,2697.7
544.622,2699.6
544.706,2672.1
544.789,2666.45
544.873,2696.95
544.957,2693.8
545.041,2677.0
545.125,2690.25
545.209,2695.15
545.293,2718.5
545.377,2714.75
545.461,2707.1
545.545,2694.65
545.629,2704.65
545.713,2710.25
545.796,2697.85
545.88,2706.05
545.964,2748.85
546.048,2781.45
546.132,2770.5
546.216,2823.7
546.3,2859.35
546.384,2889.25
546.468,2908.25
546.552,2888.75
546.635,2848.8
546.719,2827.65
546.803,2784.4
546.887,2777.15
546.971,2756.2
547.055,2740.2
547.139,2743.15
547.223,2752.55
547.306,2750.7
547.39,2743.2
547.474,2735.45
547.558,2717.2
547.642,2727.5
547.726,2751.1
547.81,2733.6
547.894,2740.55
547.977,2742.3
548.061,2749.2
548.145,2757.4
548.229,2760.65
548.313,2735.8
548.397,2751.5
548.481,2777.6
548.564,2776.9
548.648,2761.8
548.732,2760.2
548.816,2752.0
548.9,2745.7
548.984,2762.35
549.068,2744.7
549.151,2752.05
549.235,2769.6
549.319,2777.35
549.403,2759.3
549.487,2787.4
549.571,2772.15
549.655,2756.15
549.738,2762.3
549.822,2785.9
549.906,2790.0
549.99,2825.8
550.074,2846.6
550.158,2854.5
550.241,2858.9
550.325,2888.4
550.409,2966.0
550.493,3101.8
550.577,3221.35
550.66,3260.45
550.744,3176.65
550.828,2993.8
550.912,2847.35
550.996,2799.65
551.08,2805.95
551.163,2796.05
551.247,2796.7
551.331,2805.0
551.415,2792.65
551.499,2748.05
551.582,2797.95
551.666,2805.45
551.75,2823.75
551.834,2823.15
551.918,2805.3
552.001,2832.1
552.085,2831.8
552.169,2799.15
552.253,2783.3
552.337,2776.5
552.42,2805.55
552.504,2836.35
552.588,2872.05
552.672,2924.4
552.755,2992.15
552.839,3017.0
552.923,2979.45
553.007,2901.75
553.091,2847.15
553.174,2819.85
553.258,2811.5
553.342,2818.4
553.426,2826.4
553.509,2810.8
553.593,2819.9
553.677,2818.85
553.761,2808.75
553.844,2780.75
553.928,2816.5
554.012,2836.85
554.096,2836.6
554.179,2824.3
554.263,2810.1
554.347,2818.4
554.431,2823.35
554.514,2818.2
554.598,2832.2
554.682,2812.15
554.766,2828.05
554.849,2844.9
554.933,2847.4
555.017,2870.4
555.101,2861.5
555.184,2876.15
555.268,2884.3
555.352,2916.25
555.436,2975.85
555.519,3056.05
555.603,3044.45
555.687,3070.35
555.771,3046.15
555.854,3019.5
555.938,3036.35
556.022,3042.9
556.105,3070.05
556.189,3032.25
556.273,3043.1
556.357,3076.85
556.44,3075.8
556.524,3061.2
556.608,3065.75
556.691,3057.35
556.775,3042.6
556.859,3072.3
556.943,3117.0
557.026,3148.25
557.11,3204.35
557.194,3281.1
557.277,3399.95
557.361,3490.35
557.445,3554.4
557.528,3577.95
557.612,3542.7
557.696,3480.4
557.779,3332.2
557.863,3213.75
557.947,3147.35
558.031,3112.9
558.114,3152.0
558.198,3174.3
558.282,3183.35
558.365,3160.4
558.449,3155.8
558.533,3134.1
558.616,3101.15
558.7,3087.4
558.784,3085.0
558.867,3037.7
558.951,3040.3
559.035,3034.95
559.118,2988.9
559.202,2951.0
559.286,2936.55
559.369,2944.15
559.453,2975.7
559.537,2952.45
559.62,2930.35
559.704,2954.8
559.788,2928.6
559.871,2917.5
559.955,2913.9
560.038,2943.1
560.122,2935.25
560.206,2950.65
560.289,2948.15
560.373,2941.4
560.457,2921.2
560.54,2922.45
560.624,2941.7
560.708,2955.45
560.791,2966.2
560.875,2966.2
560.958,2985.05
561.042,2974.8
561.126,2969.0
561.209,3001.1
561.293,2991.55
561.377,2994.75
