nm,Intensity
526.486,831.2
526.622,830.6
526.759,829.9
526.896,829.9
527.033,830.4
527.169,830.2
527.306,831.0
527.443,831.1
527.579,831.2
527.716,829.9
527.853,829.0
527.989,829.3
528.126,829.2
528.263,829.9
528.399,830.6
528.536,830.3
528.672,830.9
528.809,831.1
528.946,828.9
529.082,830.5
529.219,830.7
529.355,828.8
529.492,830.8
529.628,830.1
529.765,828.8
529.901,829.8
530.038,830.0
530.174,830.8
530.311,830.5
530.447,829.3
530.584,830.9
530.72,831.0
530.857,829.6
530.993,830.5
531.13,830.2
531.266,830.6
531.403,831.5
531.539,830.6
531.676,831.1
531.812,829.5
531.948,833.2
532.085,880.1
532.221,919.4
532.358,857.1
532.494,832.3
532.63,830.3
532.767,830.3
532.903,831.6
533.039,830.6
533.176,831.5
533.312,830.8
533.448,831.5
533.585,839.3
533.721,909.7
533.857,1292.3
533.993,1995.4
534.13,2365.6
534.266,2323.7
534.402,2190.0
534.539,2055.2
534.675,1974.0
534.811,1863.2
534.947,1739.5
535.083,1633.4
535.22,1550.2
535.356,1464.3
535.492,1404.6
535.628,1350.4
535.764,1292.8
535.901,1249.2
536.037,1198.0
536.173,1162.4
536.309,1130.7
536.445,1115.3
536.581,1097.8
536.717,1084.1
536.854,1071.1
536.99,1061.3
537.126,1062.2
537.262,1053.3
537.398,1044.4
537.534,1042.5
537.67,1040.6
537.806,1033.7
537.942,1036.1
538.078,1038.0
538.214,1040.8
538.35,1042.2
538.486,1046.4
538.622,1043.1
538.758,1043.3
538.894,1036.1
539.03,1044.0
539.166,1037.8
539.302,1047.4
539.438,1049.8
539.574,1055.9
539.71,1073.3
539.846,1072.2
539.982,1079.0
540.118,1070.1
540.254,1059.1
540.39,1048.0
540.526,1034.4
540.662,1019.0
540.798,1015.4
540.933,1011.9
541.069,1014.9
541.205,1010.1
541.341,1008.7
541.477,1006.2
541.613,1003.0
541.749,1011.8
541.884,1008.6
542.02,1002.0
542.156,1001.3
542.292,1003.1
542.428,1003.1
542.563,1003.8
542.699,1007.5
542.835,1003.4
542.971,1009.2
543.106,1008.5
543.242,1009.2
543.378,1009.2
543.514,1005.9
543.649,1015.8
543.785,1015.5
543.921,1016.6
544.057,1022.2
544.192,1022.8
544.328,1016.1
544.464,1017.4
544.599,1013.2
544.735,1018.6
544.871,1020.9
545.006,1017.3
545.142,1024.6
545.278,1023.3
545.413,1020.9
545.549,1026.9
545.684,1018.5
545.82,1027.1
545.956,1024.2
546.091,1025.0
546.227,1021.8
546.362,1024.2
546.498,1023.5
546.634,1027.6
546.769,1027.1
546.905,1029.0
547.04,1035.7
547.176,1030.0
547.311,1032.2
547.447,1031.5
547.582,1033.4
547.718,1032.7
547.853,1035.8
547.989,1040.7
548.124,1037.5
548.26,1041.6
548.395,1042.9
548.531,1039.9
548.666,1040.4
548.802,1042.0
548.937,1038.7
549.072,1047.3
549.208,1046.7
549.343,1042.7
549.479,1043.2
549.614,1045.3
549.75,1045.7
549.885,1044.2
550.02,1047.6
550.156,1044.6
550.291,1054.4
550.426,1066.9
550.562,1128.5
550.697,1275.4
550.832,1217.9
550.968,1085.7
551.103,1060.5
551.238,1061.2
551.374,1062.5
551.509,1055.8
551.644,1058.8
551.78,1061.5
551.915,1064.3
552.05,1062.4
552.185,1073.8
552.321,1069.6
552.456,1066.5
552.591,1072.9
552.726,1104.3
552.862,1146.2
552.997,1133.9
553.132,1101.2
553.267,1080.5
553.403,1073.7
553.538,1082.4
553.673,1079.5
553.808,1085.3
553.943,1082.1
554.078,1085.8
554.214,1084.1
554.349,1081.6
554.484,1083.9
554.619,1086.9
554.754,1087.3
554.889,1079.8
555.024,1089.7
555.16,1097.1
555.295,1101.5
555.43,1123.5
555.565,1154.8
555.7,1176.7
555.835,1164.8
555.97,1155.1
556.105,1169.4
556.24,1166.8
556.375,1166.7
556.51,1182.0
556.645,1186.4
556.78,1192.2
556.915,1181.0
557.05,1202.4
557.185,1226.6
557.32,1279.3
557.455,1343.3
557.59,1411.0
557.725,1393.6
557.86,1288.7
557.995,1231.2
558.13,1197.3
558.265,1208.2
558.4,1221.4
558.535,1220.0
558.67,1200.7
558.805,1192.5
558.94,1180.7
559.075,1167.3
559.21,1147.6
559.345,1134.1
559.479,1138.2
559.614,1132.0
559.749,1133.6
559.884,1136.5
560.019,1133.7
560.154,1133.2
560.289,1131.3
560.424,1129.8
560.558,1133.5
560.693,1135.4
560.828,1139.6
560.963,1141.1
561.098,1145.0
561.232,1151.6
561.367,1152.1
561.502,1152.1
561.637,1154.4
561.772,1154.0
561.906,1165.2
562.041,1164.5
562.176,1179.8
562.311,1175.1
562.445,1170.6
562.58,1180.2
562.715,1186.2
562.85,1194.7
562.984,1199.9
563.119,1208.9
563.254,1202.0
563.388,1193.7
563.523,1209.7
563.658,1194.8
563.792,1191.0
563.927,1181.3
564.062,1188.2
564.196,1188.5
564.331,1191.1
564.466,1191.8
564.6,1215.2
564.735,1223.2
564.87,1237.9
565.004,1260.0
565.139,1286.8
565.273,1315.5
565.408,1325.2
565.543,1341.0
565.677,1357.9
565.812,1378.3
565.946,1388.7
566.081,1350.6
566.215,1318.7
566.35,1278.2
566.485,1254.2
566.619,1240.7
566.754,1227.1
566.888,1211.5
567.023,1225.3
567.157,1220.0
567.292,1235.2
567.426,1242.8
567.561,1288.8
567.695,1324.7
567.83,1316.4
567.964,1290.1
568.099,1255.3
568.233,1241.2
568.368,1234.4
568.502,1235.3
568.636,1236.5
568.771,1222.6
568.905,1230.3
569.04,1243.0
569.174,1241.3
569.309,1241.3
569.443,1251.7
569.577,1260.0
569.712,1276.4
569.846,1275.4
569.98,1280.1
570.115,1297.9
570.249,1307.4
570.384,1340.4
570.518,1364.8
570.652,1418.3
570.787,1449.9
570.921,1486.6
571.055,1548.8
571.19,1603.2
571.324,1651.3
571.458,1644.9
571.592,1596.1
571.727,1517.2
571.861,1469.1
571.995,1451.6
572.13,1424.4
572.264,1381.1
572.398,1351.2
572.532,1327.4
572.667,1316.7
572.801,1304.6
572.935,1301.0
573.069,1304.9
573.204,1295.8
573.338,1296.5
573.472,1296.5
573.606,1303.3
573.74,1312.8
573.875,1322.6
574.009,1340.5
574.143,1343.7
574.277,1342.1
574.411,1333.2
574.545,1327.5
574.68,1320.7
574.814,1325.5
574.948,1331.0
575.082,1338.4
575.216,1351.5
575.35,1385.7
575.484,1390.1
575.619,1366.5
575.753,1345.6
575.887,1327.8
576.021,1330.9
576.155,1356.6
576.289,1369.7
576.423,1388.5
576.557,1388.0
576.691,1385.0
576.825,1397.3
576.959,1403.8
577.093,1385.5
577.227,1376.8
577.361,1360.2
577.495,1351.6
577.629,1349.6
577.763,1349.4
577.897,1350.4
578.031,1347.7
578.165,1344.8
578.299,1354.4
578.433,1366.6
578.567,1365.3
578.701,1363.5
578.835,1354.0
578.969,1364.3
579.103,1357.1
579.237,1360.6
579.371,1355.6
579.505,1366.8
579.639,1374.1
579.773,1373.1
579.907,1364.5
580.041,1368.5
580.175,1384.9
580.309,1369.2
580.442,1377.6
580.576,1398.2
580.71,1392.3
580.844,1395.8
580.978,1413.7
581.112,1412.8
581.246,1407.2
581.38,1422.6
581.513,1453.8
581.647,1499.2
581.781,1612.1
581.915,1851.5
582.049,2304.3
582.183,2911.8
582.316,2780.1
582.45,2006.9
582.584,1599.0
582.718,1498.6
582.852,1458.8
582.985,1441.0
583.119,1431.4
583.253,1425.8
583.387,1426.2
583.52,1421.6
583.654,1423.9
583.788,1427.2
583.922,1435.5
584.055,1429.1
584.189,1435.4
584.323,1442.5
584.456,1448.3
584.59,1450.7
584.724,1458.8
584.858,1455.0
584.991,1473.4
585.125,1489.5
585.259,1508.6
585.392,1572.5
585.526,1695.4
585.66,1894.2
585.793,2088.1
585.927,2222.4
586.061,2246.0
586.194,2187.1
586.328,2083.5
586.462,1951.2
586.595,1796.5
586.729,1660.9
586.862,1578.7
