cm-1,A
4000.0,0.0159
3999.0,0.016
3998.0,0.016
3997.0,0.016
3996.0,0.016
3995.0,0.0159
3994.0,0.0159
3993.0,0.0158
3992.0,0.0159
3991.0,0.0159
3990.0,0.016
3989.0,0.016
3988.0,0.0159
3987.0,0.0159
3986.0,0.0159
3985.0,0.0159
3984.0,0.0159
3983.0,0.016
3982.0,0.016
3981.0,0.016
3980.0,0.016
3979.0,0.016
3978.0,0.016
3977.0,0.016
3976.0,0.016
3975.0,0.016
3974.0,0.016
3973.0,0.016
3972.0,0.016
3971.0,0.016
3970.0,0.0161
3969.0,0.0161
3968.0,0.0161
3967.0,0.016
3966.0,0.0159
3965.0,0.0159
3964.0,0.0158
3963.0,0.0158
3962.0,0.0158
3961.0,0.0159
3960.0,0.0161
3959.0,0.0162
3958.0,0.0163
3957.0,0.0163
3956.0,0.0162
3955.0,0.0161
3954.0,0.0159
3953.0,0.0159
3952.0,0.0159
3951.0,0.016
3950.0,0.0161
3949.0,0.0162
3948.0,0.0161
3947.0,0.0161
3946.0,0.0161
3945.0,0.0162
3944.0,0.0162
3943.0,0.0162
3942.0,0.0162
3941.0,0.0162
3940.0,0.0162
3939.0,0.0162
3938.0,0.0162
3937.0,0.0162
3936.0,0.0162
3935.0,0.0162
3934.0,0.0162
3933.0,0.0162
3932.0,0.0162
3931.0,0.0162
3930.0,0.0162
3929.0,0.0161
3928.0,0.0161
3927.0,0.0161
3926.0,0.0161
3925.0,0.0161
3924.0,0.0161
3923.0,0.0161
3922.0,0.0161
3921.0,0.0161
3920.0,0.0161
3919.0,0.0162
3918.0,0.0163
3917.0,0.0164
3916.0,0.0165
3915.0,0.0165
3914.0,0.0165
3913.0,0.0165
3912.0,0.0165
3911.0,0.0164
3910.0,0.0164
3909.0,0.0163
3908.0,0.0161
3907.0,0.016
3906.0,0.016
3905.0,0.016
3904.0,0.0162
3903.0,0.0163
3902.0,0.0165
3901.0,0.0165
3900.0,0.0164
3899.0,0.0163
3898.0,0.0162
3897.0,0.0162
3896.0,0.0162
3895.0,0.0162
3894.0,0.0162
3893.0,0.0163
3892.0,0.0164
3891.0,0.0163
3890.0,0.0162
3889.0,0.0163
3888.0,0.0164
3887.0,0.0164
3886.0,0.0163
3885.0,0.0163
3884.0,0.0163
3883.0,0.0163
3882.0,0.0163
3881.0,0.0163
3880.0,0.0163
3879.0,0.0163
3878.0,0.0165
3877.0,0.0165
3876.0,0.0165
3875.0,0.0163
3874.0,0.0161
3873.0,0.0162
3872.0,0.0164
3871.0,0.0165
3870.0,0.0166
3869.0,0.0166
3868.0,0.0167
3867.0,0.0169
3866.0,0.0168
3865.0,0.0167
3864.0,0.0166
3863.0,0.0165
3862.0,0.0165
3861.0,0.0164
3860.0,0.0163
3859.0,0.0163
3858.0,0.0163
3857.0,0.0164
3856.0,0.0165
3855.0,0.0167
3854.0,0.0169
3853.0,0.0167
3852.0,0.0166
3851.0,0.0168
3850.0,0.017
3849.0,0.0169
3848.0,0.0168
3847.0,0.0167
3846.0,0.0166
3845.0,0.0166
3844.0,0.0165
3843.0,0.0164
3842.0,0.0163
3841.0,0.0163
3840.0,0.0163
3839.0,0.0163
3838.0,0.0164
3837.0,0.0165
3836.0,0.0166
3835.0,0.0167
3834.0,0.0168
3833.0,0.0169
3832.0,0.0169
3831.0,0.0168
3830.0,0.0167
3829.0,0.0167
3828.0,0.0166
3827.0,0.0165
3826.0,0.0165
3825.0,0.0165
3824.0,0.0167
3823.0,0.0168
3822.0,0.0169
3821.0,0.0169
3820.0,0.0168
3819.0,0.0169
3818.0,0.0171
3817.0,0.0171
3816.0,0.017
3815.0,0.0169
3814.0,0.017
3813.0,0.0171
3812.0,0.017
3811.0,0.0169
3810.0,0.0169
3809.0,0.017
3808.0,0.017
3807.0,0.0168
3806.0,0.0166
3805.0,0.0166
3804.0,0.0167
3803.0,0.0167
3802.0,0.0168
3801.0,0.0167
3800.0,0.0167
3799.0,0.0168
3798.0,0.017
3797.0,0.017
3796.0,0.017
3795.0,0.0171
3794.0,0.0171
3793.0,0.0172
3792.0,0.0173
3791.0,0.0174
3790.0,0.0174
3789.0,0.0174
3788.0,0.0172
3787.0,0.0171
3786.0,0.0171
3785.0,0.017
3784.0,0.0171
3783.0,0.0171
3782.0,0.0172
3781.0,0.0173
3780.0,0.0173
3779.0,0.0172
3778.0,0.0172
3777.0,0.0172
3776.0,0.0172
3775.0,0.0172
3774.0,0.0172
3773.0,0.0172
3772.0,0.0171
3771.0,0.0171
3770.0,0.017
3769.0,0.017
3768.0,0.0172
3767.0,0.0173
3766.0,0.0174
3765.0,0.0174
3764.0,0.0174
3763.0,0.0175
3762.0,0.0175
3761.0,0.0175
3760.0,0.0174
3759.0,0.0173
3758.0,0.0172
3757.0,0.0171
3756.0,0.017
3755.0,0.017
3754.0,0.017
3753.0,0.017
3752.0,0.0173
3751.0,0.0176
3750.0,0.0176
3749.0,0.0174
3748.0,0.0175
3747.0,0.0178
3746.0,0.018
3745.0,0.0179
3744.0,0.0175
3743.0,0.0173
3742.0,0.0173
3741.0,0.0173
3740.0,0.0172
3739.0,0.0171
3738.0,0.017
3737.0,0.017
3736.0,0.0169
3735.0,0.0169
3734.0,0.0171
3733.0,0.0172
3732.0,0.0172
3731.0,0.0171
3730.0,0.017
3729.0,0.017
3728.0,0.017
3727.0,0.0169
3726.0,0.0169
3725.0,0.017
3724.0,0.017
3723.0,0.0169
3722.0,0.0169
3721.0,0.017
3720.0,0.0171
3719.0,0.0173
3718.0,0.0174
3717.0,0.0174
3716.0,0.0173
3715.0,0.0173
3714.0,0.0172
3713.0,0.0172
3712.0,0.0174
3711.0,0.0175
3710.0,0.0175
3709.0,0.0174
3708.0,0.0173
3707.0,0.0172
3706.0,0.0171
3705.0,0.0171
3704.0,0.0171
3703.0,0.0172
3702.0,0.0173
3701.0,0.0174
3700.0,0.0174
3699.0,0.0174
3698.0,0.0174
3697.0,0.0173
3696.0,0.0173
3695.0,0.0172
3694.0,0.0172
3693.0,0.0171
3692.0,0.017
3691.0,0.0172
3690.0,0.0176
3689.0,0.0179
3688.0,0.018
3687.0,0.0181
3686.0,0.0182
3685.0,0.0183
3684.0,0.0182
3683.0,0.0182
3682.0,0.0181
3681.0,0.0179
3680.0,0.0177
3679.0,0.0175
3678.0,0.0176
3677.0,0.0178
3676.0,0.018
3675.0,0.018
3674.0,0.0179
3673.0,0.018
3672.0,0.0182
3671.0,0.0183
3670.0,0.0184
3669.0,0.0185
3668.0,0.0187
3667.0,0.0188
3666.0,0.0189
3665.0,0.019
3664.0,0.019
3663.0,0.019
3662.0,0.019
3661.0,0.0189
3660.0,0.0189
3659.0,0.0189
3658.0,0.019
3657.0,0.019
3656.0,0.019
3655.0,0.0191
3654.0,0.0191
3653.0,0.0191
3652.0,0.0189
3651.0,0.0189
3650.0,0.019
3649.0,0.0192
3648.0,0.0192
3647.0,0.0192
3646.0,0.0194
3645.0,0.0196
3644.0,0.0198
3643.0,0.0199
3642.0,0.0199
3641.0,0.0199
3640.0,0.0199
3639.0,0.0199
3638.0,0.02
3637.0,0.0201
3636.0,0.0202
3635.0,0.0202
3634.0,0.0201
3633.0,0.0199
3632.0,0.0198
3631.0,0.0197
3630.0,0.0197
3629.0,0.0198
3628.0,0.0199
3627.0,0.02
3626.0,0.0202
3625.0,0.0202
3624.0,0.0201
3623.0,0.02
3622.0,0.02
3621.0,0.02
3620.0,0.0201
3619.0,0.0202
3618.0,0.0202
3617.0,0.0203
3616.0,0.0204
3615.0,0.0205
3614.0,0.0206
3613.0,0.0206
3612.0,0.0205
3611.0,0.0206
3610.0,0.0206
3609.0,0.0207
3608.0,0.0207
3607.0,0.0207
3606.0,0.0206
3605.0,0.0204
3604.0,0.0202
3603.0,0.0201
3602.0,0.0201
3601.0,0.0202
3600.0,0.0202
3599.0,0.0202
3598.0,0.0201
3597.0,0.0201
3596.0,0.0201
3595.0,0.0203
3594.0,0.0204
3593.0,0.0205
3592.0,0.0206
3591.0,0.0206
3590.0,0.0205
3589.0,0.0206
3588.0,0.0207
3587.0,0.0208
3586.0,0.0208
3585.0,0.0209
3584.0,0.021
3583.0,0.0211
3582.0,0.0212
3581.0,0.0213
3580.0,0.0213
3579.0,0.0214
3578.0,0.0214
3577.0,0.0215
3576.0,0.0215
3575.0,0.0216
3574.0,0.0216
3573.0,0.0216
3572.0,0.0216
3571.0,0.0215
3570.0,0.0214
3569.0,0.0214
3568.0,0.0215
3567.0,0.0218
3566.0,0.0219
3565.0,0.022
3564.0,0.0221
3563.0,0.0222
3562.0,0.0223
3561.0,0.0224
3560.0,0.0225
3559.0,0.0225
3558.0,0.0226
3557.0,0.0226
3556.0,0.0225
3555.0,0.0226
3554.0,0.0226
3553.0,0.0226
3552.0,0.0226
3551.0,0.0226
3550.0,0.0225
3549.0,0.0225
3548.0,0.0225
3547.0,0.0227
3546.0,0.0229
3545.0,0.0231
3544.0,0.0231
3543.0,0.0231
3542.0,0.023
3541.0,0.0229
3540.0,0.0229
3539.0,0.0229
3538.0,0.023
3537.0,0.023
3536.0,0.0229
3535.0,0.0229
3534.0,0.0228
3533.0,0.0227
3532.0,0.0227
3531.0,0.0227
3530.0,0.0228
3529.0,0.0228
3528.0,0.0229
3527.0,0.0229
3526.0,0.0229
3525.0,0.0228
3524.0,0.0228
3523.0,0.0228
3522.0,0.0227
3521.0,0.0227
3520.0,0.0227
3519.0,0.0227
3518.0,0.0227
3517.0,0.0227
3516.0,0.0227
3515.0,0.0227
3514.0,0.0227
3513.0,0.0227
3512.0,0.0226
3511.0,0.0226
3510.0,0.0225
3509.0,0.0224
3508.0,0.0224
3507.0,0.0224
3506.0,0.0224
3505.0,0.0224
3504.0,0.0224
3503.0,0.0225
3502.0,0.0225
3501.0,0.0225
3500.0,0.0225
3499.0,0.0225
3498.0,0.0226
3497.0,0.0226
3496.0,0.0226
3495.0,0.0226
3494.0,0.0225
3493.0,0.0225
3492.0,0.0225
3491.0,0.0224
3490.0,0.0224
3489.0,0.0224
3488.0,0.0224
3487.0,0.0224
3486.0,0.0224
3485.0,0.0224
3484.0,0.0225
3483.0,0.0225
3482.0,0.0225
3481.0,0.0225
3480.0,0.0225
3479.0,0.0226
3478.0,0.0226
3477.0,0.0227
3476.0,0.0227
3475.0,0.0228
3474.0,0.0229
3473.0,0.0229
3472.0,0.023
3471.0,0.023
3470.0,0.023
3469.0,0.023
3468.0,0.023
3467.0,0.023
3466.0,0.0229
3465.0,0.0228
3464.0,0.0227
3463.0,0.0227
3462.0,0.0227
3461.0,0.0227
3460.0,0.0227
3459.0,0.0228
3458.0,0.0229
3457.0,0.0231
3456.0,0.0233
3455.0,0.0235
3454.0,0.0237
3453.0,0.0238
3452.0,0.0238
3451.0,0.0238
3450.0,0.0238
3449.0,0.0238
3448.0,0.0238
3447.0,0.0238
3446.0,0.024
3445.0,0.0242
3444.0,0.0244
3443.0,0.0246
3442.0,0.0246
3441.0,0.0246
3440.0,0.0247
3439.0,0.0247
3438.0,0.0246
3437.0,0.0246
3436.0,0.0245
