cm-1,A
4000.0,0.0114
3999.0,0.0113
3998.0,0.0112
3997.0,0.0112
3996.0,0.0111
3995.0,0.011
3994.0,0.0109
3993.0,0.011
3992.0,0.0111
3991.0,0.0112
3990.0,0.0113
3989.0,0.0114
3988.0,0.0114
3987.0,0.0114
3986.0,0.0113
3985.0,0.0113
3984.0,0.0113
3983.0,0.0113
3982.0,0.0114
3981.0,0.0114
3980.0,0.0115
3979.0,0.0114
3978.0,0.0113
3977.0,0.0113
3976.0,0.0112
3975.0,0.0112
3974.0,0.0112
3973.0,0.0112
3972.0,0.0112
3971.0,0.0112
3970.0,0.0112
3969.0,0.0113
3968.0,0.0114
3967.0,0.0114
3966.0,0.0115
3965.0,0.0114
3964.0,0.0114
3963.0,0.0113
3962.0,0.0112
3961.0,0.0112
3960.0,0.0112
3959.0,0.0112
3958.0,0.0113
3957.0,0.0113
3956.0,0.0113
3955.0,0.0113
3954.0,0.0113
3953.0,0.0113
3952.0,0.0112
3951.0,0.0111
3950.0,0.0111
3949.0,0.011
3948.0,0.011
3947.0,0.0109
3946.0,0.0109
3945.0,0.0109
3944.0,0.011
3943.0,0.0111
3942.0,0.0112
3941.0,0.0111
3940.0,0.0111
3939.0,0.011
3938.0,0.0109
3937.0,0.0109
3936.0,0.0108
3935.0,0.0108
3934.0,0.0109
3933.0,0.011
3932.0,0.0111
3931.0,0.0112
3930.0,0.0112
3929.0,0.0111
3928.0,0.0111
3927.0,0.0111
3926.0,0.0111
3925.0,0.0111
3924.0,0.011
3923.0,0.011
3922.0,0.011
3921.0,0.011
3920.0,0.0111
3919.0,0.0111
3918.0,0.0111
3917.0,0.0111
3916.0,0.0112
3915.0,0.0112
3914.0,0.0114
3913.0,0.0116
3912.0,0.0117
3911.0,0.0118
3910.0,0.0118
3909.0,0.0117
3908.0,0.0115
3907.0,0.0112
3906.0,0.0109
3905.0,0.0108
3904.0,0.0107
3903.0,0.0107
3902.0,0.0107
3901.0,0.0109
3900.0,0.0112
3899.0,0.0113
3898.0,0.0113
3897.0,0.0113
3896.0,0.0112
3895.0,0.0111
3894.0,0.0111
3893.0,0.0112
3892.0,0.0114
3891.0,0.0114
3890.0,0.0113
3889.0,0.0111
3888.0,0.0111
3887.0,0.0112
3886.0,0.0113
3885.0,0.0113
3884.0,0.0111
3883.0,0.011
3882.0,0.0111
3881.0,0.0113
3880.0,0.0113
3879.0,0.0112
3878.0,0.011
3877.0,0.0111
3876.0,0.0112
3875.0,0.0113
3874.0,0.0112
3873.0,0.011
3872.0,0.0107
3871.0,0.0107
3870.0,0.0107
3869.0,0.0107
3868.0,0.0106
3867.0,0.0106
3866.0,0.0108
3865.0,0.0111
3864.0,0.0112
3863.0,0.0112
3862.0,0.0112
3861.0,0.0112
3860.0,0.0113
3859.0,0.0113
3858.0,0.0111
3857.0,0.0108
3856.0,0.0105
3855.0,0.0105
3854.0,0.0108
3853.0,0.0109
3852.0,0.0108
3851.0,0.0109
3850.0,0.0113
3849.0,0.0117
3848.0,0.0118
3847.0,0.0117
3846.0,0.0115
3845.0,0.0113
3844.0,0.0111
3843.0,0.0109
3842.0,0.0107
3841.0,0.0107
3840.0,0.0107
3839.0,0.0108
3838.0,0.0108
3837.0,0.0108
3836.0,0.0108
3835.0,0.0109
3834.0,0.0111
3833.0,0.0112
3832.0,0.0114
3831.0,0.0115
3830.0,0.0115
3829.0,0.0115
3828.0,0.0116
3827.0,0.0115
3826.0,0.0113
3825.0,0.0109
3824.0,0.0106
3823.0,0.0107
3822.0,0.0111
3821.0,0.0114
3820.0,0.0112
3819.0,0.011
3818.0,0.011
3817.0,0.0113
3816.0,0.0115
3815.0,0.0116
3814.0,0.0117
3813.0,0.0119
3812.0,0.012
3811.0,0.0119
3810.0,0.0116
3809.0,0.0115
3808.0,0.0116
3807.0,0.0117
3806.0,0.0116
3805.0,0.0114
3804.0,0.0112
3803.0,0.0112
3802.0,0.0114
3801.0,0.0115
3800.0,0.0112
3799.0,0.0112
3798.0,0.0114
3797.0,0.0117
3796.0,0.012
3795.0,0.0121
3794.0,0.0122
3793.0,0.0124
3792.0,0.0125
3791.0,0.0125
3790.0,0.0125
3789.0,0.0124
3788.0,0.0123
3787.0,0.0122
3786.0,0.0121
3785.0,0.0121
3784.0,0.0121
3783.0,0.012
3782.0,0.012
3781.0,0.012
3780.0,0.0122
3779.0,0.0122
3778.0,0.0123
3777.0,0.0123
3776.0,0.0125
3775.0,0.0126
3774.0,0.0126
3773.0,0.0125
3772.0,0.0124
3771.0,0.0123
3770.0,0.0122
3769.0,0.0121
3768.0,0.012
3767.0,0.012
3766.0,0.0121
3765.0,0.0122
3764.0,0.0122
3763.0,0.0121
3762.0,0.012
3761.0,0.012
3760.0,0.0119
3759.0,0.0119
3758.0,0.0119
3757.0,0.0118
3756.0,0.0116
3755.0,0.0114
3754.0,0.0111
3753.0,0.0108
3752.0,0.0108
3751.0,0.011
3750.0,0.011
3749.0,0.0109
3748.0,0.011
3747.0,0.0113
3746.0,0.0117
3745.0,0.012
3744.0,0.012
3743.0,0.0119
3742.0,0.0119
3741.0,0.0121
3740.0,0.012
3739.0,0.0118
3738.0,0.0115
3737.0,0.0114
3736.0,0.0115
3735.0,0.0114
3734.0,0.0113
3733.0,0.0112
3732.0,0.0114
3731.0,0.0115
3730.0,0.0116
3729.0,0.0116
3728.0,0.0116
3727.0,0.0116
3726.0,0.0116
3725.0,0.0115
3724.0,0.0116
3723.0,0.0117
3722.0,0.0119
3721.0,0.0121
3720.0,0.0122
3719.0,0.0124
3718.0,0.0124
3717.0,0.0124
3716.0,0.0124
3715.0,0.0122
3714.0,0.0121
3713.0,0.0121
3712.0,0.0122
3711.0,0.0122
3710.0,0.0121
3709.0,0.012
3708.0,0.012
3707.0,0.0121
3706.0,0.0122
3705.0,0.0121
3704.0,0.0122
3703.0,0.0123
3702.0,0.0125
3701.0,0.0126
3700.0,0.0125
3699.0,0.0125
3698.0,0.0126
3697.0,0.0126
3696.0,0.0126
3695.0,0.0125
3694.0,0.0123
3693.0,0.012
3692.0,0.0119
3691.0,0.0119
3690.0,0.0122
3689.0,0.0124
3688.0,0.0125
3687.0,0.0127
3686.0,0.0131
3685.0,0.0134
3684.0,0.0136
3683.0,0.0137
3682.0,0.0136
3681.0,0.0135
3680.0,0.0132
3679.0,0.0127
3678.0,0.0123
3677.0,0.0124
3676.0,0.0128
3675.0,0.0129
3674.0,0.0127
3673.0,0.0127
3672.0,0.0129
3671.0,0.0133
3670.0,0.0137
3669.0,0.0137
3668.0,0.0138
3667.0,0.014
3666.0,0.0143
3665.0,0.0146
3664.0,0.0147
3663.0,0.0148
3662.0,0.0148
3661.0,0.0147
3660.0,0.0146
3659.0,0.0144
3658.0,0.0143
3657.0,0.0145
3656.0,0.0146
3655.0,0.0145
3654.0,0.0143
3653.0,0.014
3652.0,0.0138
3651.0,0.0139
3650.0,0.0143
3649.0,0.0146
3648.0,0.0145
3647.0,0.0145
3646.0,0.0148
3645.0,0.0151
3644.0,0.0154
3643.0,0.0156
3642.0,0.0157
3641.0,0.0157
3640.0,0.0158
3639.0,0.0158
3638.0,0.0158
3637.0,0.0159
3636.0,0.0159
3635.0,0.0159
3634.0,0.0157
3633.0,0.0155
3632.0,0.0152
3631.0,0.0151
3630.0,0.0154
3629.0,0.0159
3628.0,0.016
3627.0,0.0159
3626.0,0.016
3625.0,0.0161
3624.0,0.0161
3623.0,0.016
3622.0,0.0158
3621.0,0.0157
