cm-1,A
4000.0,0.0173
3999.0,0.0174
3998.0,0.0174
3997.0,0.0174
3996.0,0.0174
3995.0,0.0174
3994.0,0.0174
3993.0,0.0174
3992.0,0.0174
3991.0,0.0174
3990.0,0.0174
3989.0,0.0173
3988.0,0.0174
3987.0,0.0174
3986.0,0.0174
3985.0,0.0174
3984.0,0.0174
3983.0,0.0174
3982.0,0.0174
3981.0,0.0174
3980.0,0.0174
3979.0,0.0174
3978.0,0.0174
3977.0,0.0174
3976.0,0.0174
3975.0,0.0173
3974.0,0.0173
3973.0,0.0173
3972.0,0.0173
3971.0,0.0173
3970.0,0.0173
3969.0,0.0174
3968.0,0.0174
3967.0,0.0174
3966.0,0.0174
3965.0,0.0174
3964.0,0.0174
3963.0,0.0174
3962.0,0.0174
3961.0,0.0174
3960.0,0.0174
3959.0,0.0174
3958.0,0.0173
3957.0,0.0174
3956.0,0.0174
3955.0,0.0175
3954.0,0.0176
3953.0,0.0177
3952.0,0.0177
3951.0,0.0178
3950.0,0.0178
3949.0,0.0178
3948.0,0.0178
3947.0,0.0179
3946.0,0.018
3945.0,0.0179
3944.0,0.0179
3943.0,0.0178
3942.0,0.0178
3941.0,0.0178
3940.0,0.0177
3939.0,0.0176
3938.0,0.0175
3937.0,0.0176
3936.0,0.0177
3935.0,0.0178
3934.0,0.0177
3933.0,0.0177
3932.0,0.0176
3931.0,0.0176
3930.0,0.0176
3929.0,0.0177
3928.0,0.0178
3927.0,0.0178
3926.0,0.0177
3925.0,0.0175
3924.0,0.0175
3923.0,0.0175
3922.0,0.0175
3921.0,0.0176
3920.0,0.0176
3919.0,0.0177
3918.0,0.0177
3917.0,0.0177
3916.0,0.0176
3915.0,0.0176
3914.0,0.0175
3913.0,0.0175
3912.0,0.0175
3911.0,0.0176
3910.0,0.0176
3909.0,0.0177
3908.0,0.0178
3907.0,0.0178
3906.0,0.0177
3905.0,0.0177
3904.0,0.0179
3903.0,0.0182
3902.0,0.0184
3901.0,0.0183
3900.0,0.0181
3899.0,0.0179
3898.0,0.0178
3897.0,0.0177
3896.0,0.0177
3895.0,0.0178
3894.0,0.0178
3893.0,0.0179
3892.0,0.0179
3891.0,0.0179
3890.0,0.018
3889.0,0.0182
3888.0,0.0182
3887.0,0.0179
3886.0,0.0177
3885.0,0.0179
3884.0,0.0182
3883.0,0.0183
3882.0,0.0182
3881.0,0.018
3880.0,0.018
3879.0,0.0181
3878.0,0.0183
3877.0,0.0183
3876.0,0.0181
3875.0,0.0179
3874.0,0.0181
3873.0,0.0183
3872.0,0.0184
3871.0,0.0182
3870.0,0.018
3869.0,0.0182
3868.0,0.0184
3867.0,0.0185
3866.0,0.0182
3865.0,0.018
3864.0,0.0181
3863.0,0.0181
3862.0,0.0181
3861.0,0.0179
3860.0,0.0178
3859.0,0.0177
3858.0,0.0179
3857.0,0.0183
3856.0,0.0185
3855.0,0.0182
3854.0,0.018
3853.0,0.0181
3852.0,0.0182
3851.0,0.0182
3850.0,0.0181
3849.0,0.018
3848.0,0.018
3847.0,0.018
3846.0,0.0179
3845.0,0.0178
3844.0,0.0178
3843.0,0.0178
3842.0,0.0179
3841.0,0.018
3840.0,0.018
3839.0,0.018
3838.0,0.0181
3837.0,0.0182
3836.0,0.0183
3835.0,0.0183
3834.0,0.0183
3833.0,0.0182
3832.0,0.0181
3831.0,0.0181
3830.0,0.0183
3829.0,0.0183
3828.0,0.0182
3827.0,0.018
3826.0,0.0179
3825.0,0.0181
3824.0,0.0183
3823.0,0.018
3822.0,0.0178
3821.0,0.018
3820.0,0.0185
3819.0,0.019
3818.0,0.019
3817.0,0.0187
3816.0,0.0185
3815.0,0.0185
3814.0,0.0185
3813.0,0.0184
3812.0,0.0182
3811.0,0.0182
3810.0,0.0183
3809.0,0.0182
3808.0,0.018
3807.0,0.0178
3806.0,0.0181
3805.0,0.0185
3804.0,0.0188
3803.0,0.0185
3802.0,0.0182
3801.0,0.0183
3800.0,0.0186
3799.0,0.0187
3798.0,0.0186
3797.0,0.0184
3796.0,0.0183
3795.0,0.0184
3794.0,0.0184
3793.0,0.0183
3792.0,0.0182
3791.0,0.0182
3790.0,0.0183
3789.0,0.0183
3788.0,0.0183
3787.0,0.0183
3786.0,0.0183
3785.0,0.0183
3784.0,0.0184
3783.0,0.0185
3782.0,0.0184
3781.0,0.0183
3780.0,0.0181
3779.0,0.0182
3778.0,0.0183
3777.0,0.0183
3776.0,0.0183
3775.0,0.0182
3774.0,0.0182
3773.0,0.0183
3772.0,0.0184
3771.0,0.0183
3770.0,0.0184
3769.0,0.0186
3768.0,0.0187
3767.0,0.0187
3766.0,0.0185
3765.0,0.0184
3764.0,0.0185
3763.0,0.0185
3762.0,0.0185
3761.0,0.0183
3760.0,0.0183
3759.0,0.0183
3758.0,0.0183
3757.0,0.0183
3756.0,0.0184
3755.0,0.0185
3754.0,0.0185
3753.0,0.0186
3752.0,0.0188
3751.0,0.019
3750.0,0.0189
3749.0,0.0188
3748.0,0.019
3747.0,0.0193
3746.0,0.019
3745.0,0.0186
3744.0,0.0186
3743.0,0.0187
3742.0,0.0187
3741.0,0.0185
3740.0,0.0183
3739.0,0.0183
3738.0,0.0182
3737.0,0.018
3736.0,0.0182
3735.0,0.0184
3734.0,0.0184
3733.0,0.0181
3732.0,0.0177
3731.0,0.0175
3730.0,0.0175
3729.0,0.0175
3728.0,0.0174
3727.0,0.0175
3726.0,0.0178
3725.0,0.0182
3724.0,0.0183
3723.0,0.0184
3722.0,0.0184
3721.0,0.0184
3720.0,0.0185
3719.0,0.0185
3718.0,0.0186
3717.0,0.0187
3716.0,0.0188
3715.0,0.0188
3714.0,0.0186
3713.0,0.0183
3712.0,0.0182
3711.0,0.0183
3710.0,0.0184
3709.0,0.0183
3708.0,0.0182
3707.0,0.0181
3706.0,0.018
3705.0,0.018
3704.0,0.018
3703.0,0.018
3702.0,0.0181
3701.0,0.0183
3700.0,0.0184
3699.0,0.0184
3698.0,0.0183
3697.0,0.0181
3696.0,0.0181
3695.0,0.0182
3694.0,0.0183
3693.0,0.0184
3692.0,0.0185
3691.0,0.0188
3690.0,0.0192
3689.0,0.0194
3688.0,0.0195
3687.0,0.0196
3686.0,0.0196
3685.0,0.0196
3684.0,0.0195
3683.0,0.0194
3682.0,0.0192
3681.0,0.0192
3680.0,0.0193
3679.0,0.0198
3678.0,0.0202
3677.0,0.0201
3676.0,0.02
3675.0,0.02
3674.0,0.0202
3673.0,0.0205
3672.0,0.0204
3671.0,0.0202
3670.0,0.0203
3669.0,0.0206
3668.0,0.0207
3667.0,0.0207
3666.0,0.0206
3665.0,0.0206
3664.0,0.0205
3663.0,0.0204
3662.0,0.0204
3661.0,0.0205
3660.0,0.0208
3659.0,0.0211
3658.0,0.0213
3657.0,0.0213
3656.0,0.0213
3655.0,0.0214
3654.0,0.0216
3653.0,0.0218
3652.0,0.022
3651.0,0.0221
3650.0,0.0226
3649.0,0.023
3648.0,0.023
3647.0,0.0228
3646.0,0.0227
3645.0,0.0226
3644.0,0.0226
3643.0,0.0226
3642.0,0.0227
3641.0,0.0228
3640.0,0.0228
3639.0,0.0228
3638.0,0.0229
3637.0,0.023
3636.0,0.023
3635.0,0.0229
3634.0,0.0229
3633.0,0.0232
3632.0,0.0236
3631.0,0.0238
3630.0,0.0239
3629.0,0.0242
3628.0,0.0243
3627.0,0.0243
3626.0,0.0242
3625.0,0.0242
3624.0,0.0242
3623.0,0.0245
3622.0,0.0247
3621.0,0.0249
3620.0,0.025
3619.0,0.0252
3618.0,0.0255
3617.0,0.0258
3616.0,0.0261
3615.0,0.0263
3614.0,0.0265
3613.0,0.0265
3612.0,0.0265
3611.0,0.0264
3610.0,0.0262
3609.0,0.0261
3608.0,0.0262
3607.0,0.0264
3606.0,0.0265
3605.0,0.0265
3604.0,0.0265
3603.0,0.0266
3602.0,0.0267
3601.0,0.0269
3600.0,0.0272
3599.0,0.0274
3598.0,0.0276
3597.0,0.0276
3596.0,0.0277
3595.0,0.0277
3594.0,0.0278
3593.0,0.028
3592.0,0.0282
3591.0,0.0284
3590.0,0.0286
3589.0,0.0288
3588.0,0.0292
3587.0,0.0295
3586.0,0.0297
3585.0,0.0297
3584.0,0.0297
3583.0,0.0298
3582.0,0.03
3581.0,0.0302
3580.0,0.0304
3579.0,0.0306
3578.0,0.0307
3577.0,0.0308
3576.0,0.031
3575.0,0.0312
3574.0,0.0313
3573.0,0.0315
3572.0,0.0317
3571.0,0.032
3570.0,0.0323
3569.0,0.0325
3568.0,0.0328
3567.0,0.0331
3566.0,0.0334
3565.0,0.0335
3564.0,0.0336
3563.0,0.0337
3562.0,0.0338
3561.0,0.034
3560.0,0.0341
3559.0,0.0343
3558.0,0.0344
3557.0,0.0345
3556.0,0.0347
3555.0,0.0348
3554.0,0.0349
3553.0,0.035
3552.0,0.0353
3551.0,0.0355
3550.0,0.0356
3549.0,0.0357
3548.0,0.0358
3547.0,0.036
3546.0,0.0364
3545.0,0.0368
3544.0,0.037
3543.0,0.0371
3542.0,0.0371
3541.0,0.0371
3540.0,0.0372
3539.0,0.0373
3538.0,0.0375
3537.0,0.0376
3536.0,0.0378
3535.0,0.0378
3534.0,0.0379
3533.0,0.0379
3532.0,0.0378
3531.0,0.0378
3530.0,0.0379
3529.0,0.038
3528.0,0.0382
3527.0,0.0384
3526.0,0.0385
3525.0,0.0385
3524.0,0.0385
3523.0,0.0385
3522.0,0.0387
3521.0,0.0387
3520.0,0.0387
3519.0,0.0387
3518.0,0.0387
3517.0,0.0388
3516.0,0.0389
3515.0,0.039
3514.0,0.039
3513.0,0.0391
3512.0,0.0391
3511.0,0.0392
3510.0,0.0393
3509.0,0.0395
3508.0,0.0396
3507.0,0.0396
3506.0,0.0397
3505.0,0.0397
3504.0,0.0398
3503.0,0.04
3502.0,0.0402
3501.0,0.0403
3500.0,0.0403
3499.0,0.0403
3498.0,0.0404
3497.0,0.0405
3496.0,0.0405
3495.0,0.0406
3494.0,0.0407
