cm-1,A
4000.0,0.0178
3999.0,0.0179
3998.0,0.0179
3997.0,0.0179
3996.0,0.0178
3995.0,0.0177
3994.0,0.0176
3993.0,0.0176
3992.0,0.0177
3991.0,0.0178
3990.0,0.0178
3989.0,0.0177
3988.0,0.0177
3987.0,0.0177
3986.0,0.0177
3985.0,0.0177
3984.0,0.0178
3983.0,0.0178
3982.0,0.0178
3981.0,0.0177
3980.0,0.0177
3979.0,0.0177
3978.0,0.0177
3977.0,0.0178
3976.0,0.0179
3975.0,0.0179
3974.0,0.0179
3973.0,0.0179
3972.0,0.0179
3971.0,0.0179
3970.0,0.0178
3969.0,0.0178
3968.0,0.0178
3967.0,0.0178
3966.0,0.0178
3965.0,0.0177
3964.0,0.0177
3963.0,0.0177
3962.0,0.0177
3961.0,0.0177
3960.0,0.0177
3959.0,0.0177
3958.0,0.0177
3957.0,0.0177
3956.0,0.0178
3955.0,0.0179
3954.0,0.018
3953.0,0.018
3952.0,0.0181
3951.0,0.0181
3950.0,0.0181
3949.0,0.0181
3948.0,0.0182
3947.0,0.0183
3946.0,0.0183
3945.0,0.0183
3944.0,0.0183
3943.0,0.0181
3942.0,0.018
3941.0,0.018
3940.0,0.0179
3939.0,0.0179
3938.0,0.0179
3937.0,0.018
3936.0,0.0181
3935.0,0.0181
3934.0,0.0182
3933.0,0.0182
3932.0,0.0182
3931.0,0.0183
3930.0,0.0183
3929.0,0.0183
3928.0,0.0183
3927.0,0.0183
3926.0,0.0183
3925.0,0.0182
3924.0,0.0182
3923.0,0.0182
3922.0,0.0181
3921.0,0.0181
3920.0,0.018
3919.0,0.018
3918.0,0.0181
3917.0,0.0181
3916.0,0.0181
3915.0,0.0181
3914.0,0.0181
3913.0,0.0182
3912.0,0.0182
3911.0,0.0181
3910.0,0.0181
3909.0,0.0182
3908.0,0.0183
3907.0,0.0184
3906.0,0.0186
3905.0,0.0187
3904.0,0.0187
3903.0,0.0187
3902.0,0.0187
3901.0,0.0185
3900.0,0.0184
3899.0,0.0183
3898.0,0.0183
3897.0,0.0183
3896.0,0.0184
3895.0,0.0186
3894.0,0.0186
3893.0,0.0186
3892.0,0.0185
3891.0,0.0183
3890.0,0.0182
3889.0,0.0183
3888.0,0.0185
3887.0,0.0186
3886.0,0.0186
3885.0,0.0187
3884.0,0.0188
3883.0,0.0189
3882.0,0.0189
3881.0,0.0189
3880.0,0.0188
3879.0,0.0188
3878.0,0.0189
3877.0,0.0189
3876.0,0.0188
3875.0,0.0187
3874.0,0.0188
3873.0,0.0191
3872.0,0.0193
3871.0,0.0193
3870.0,0.0191
3869.0,0.0191
3868.0,0.0192
3867.0,0.0193
3866.0,0.0192
3865.0,0.019
3864.0,0.019
3863.0,0.019
3862.0,0.019
3861.0,0.0189
3860.0,0.0188
3859.0,0.0188
3858.0,0.0187
3857.0,0.0188
3856.0,0.0188
3855.0,0.0187
3854.0,0.0186
3853.0,0.0186
3852.0,0.0187
3851.0,0.0187
3850.0,0.0187
3849.0,0.0186
3848.0,0.0186
3847.0,0.0186
3846.0,0.0187
3845.0,0.0189
3844.0,0.019
3843.0,0.0192
3842.0,0.0193
3841.0,0.0193
3840.0,0.0193
3839.0,0.0192
3838.0,0.0192
3837.0,0.0192
3836.0,0.0192
3835.0,0.0192
3834.0,0.0192
3833.0,0.019
3832.0,0.0189
3831.0,0.0189
3830.0,0.019
3829.0,0.0191
3828.0,0.0191
3827.0,0.0189
3826.0,0.0189
3825.0,0.0191
3824.0,0.0194
3823.0,0.0195
3822.0,0.0194
3821.0,0.0193
3820.0,0.0193
3819.0,0.0194
3818.0,0.0192
3817.0,0.0189
3816.0,0.0186
3815.0,0.0186
3814.0,0.0187
3813.0,0.0188
3812.0,0.0188
3811.0,0.0188
3810.0,0.0189
3809.0,0.0189
3808.0,0.0189
3807.0,0.0189
3806.0,0.0191
3805.0,0.0195
3804.0,0.0198
3803.0,0.0197
3802.0,0.0194
3801.0,0.0192
3800.0,0.0193
3799.0,0.0193
3798.0,0.0193
3797.0,0.0191
3796.0,0.019
3795.0,0.019
3794.0,0.019
3793.0,0.019
3792.0,0.0189
3791.0,0.0189
3790.0,0.019
3789.0,0.0191
3788.0,0.0193
3787.0,0.0194
3786.0,0.0194
3785.0,0.0194
3784.0,0.0195
3783.0,0.0195
3782.0,0.0195
3781.0,0.0195
3780.0,0.0194
3779.0,0.0194
3778.0,0.0194
3777.0,0.0193
3776.0,0.0193
3775.0,0.0192
3774.0,0.0192
3773.0,0.0193
3772.0,0.0193
3771.0,0.0192
3770.0,0.0192
3769.0,0.0193
3768.0,0.0195
3767.0,0.0196
3766.0,0.0196
3765.0,0.0195
3764.0,0.0196
3763.0,0.0198
3762.0,0.0199
3761.0,0.0199
3760.0,0.0198
3759.0,0.0198
3758.0,0.0197
3757.0,0.0195
3756.0,0.0195
3755.0,0.0195
3754.0,0.0195
3753.0,0.0194
3752.0,0.0194
3751.0,0.0196
3750.0,0.0196
3749.0,0.0196
3748.0,0.0197
3747.0,0.0199
3746.0,0.0198
3745.0,0.0194
3744.0,0.0191
3743.0,0.0191
3742.0,0.0191
3741.0,0.0191
3740.0,0.0191
3739.0,0.0191
3738.0,0.0192
3737.0,0.0192
3736.0,0.0193
3735.0,0.0193
3734.0,0.0192
3733.0,0.0188
3732.0,0.0184
3731.0,0.0182
3730.0,0.0183
3729.0,0.0184
3728.0,0.0184
3727.0,0.0184
3726.0,0.0185
3725.0,0.0187
3724.0,0.0189
3723.0,0.019
3722.0,0.0191
3721.0,0.0192
3720.0,0.0193
3719.0,0.0194
