nm,Intensity
791.75,8358.7
792.024,8320.5
792.298,8266.1
792.572,8181.9
792.846,8087.9
793.12,8051.35
793.394,7992.55
793.668,8014.2
793.942,7938.0
794.215,7856.95
794.489,7867.35
794.763,7832.2
795.037,7816.15
795.311,7808.7
795.585,7768.5
795.859,7813.4
796.133,7765.25
796.407,7694.05
796.681,7738.1
796.955,7719.6
797.228,7780.65
797.502,7744.9
797.776,7787.1
798.05,7750.8
798.324,7676.65
798.598,7717.55
798.871,7789.5
799.145,7716.15
799.419,7629.3
799.693,7681.0
799.967,7745.15
800.241,7666.85
800.514,7699.7
800.788,7753.75
801.062,7822.8
801.336,7663.65
801.61,7626.75
801.883,7590.9
802.157,7681.05
802.431,7684.35
802.705,7602.85
802.978,7557.75
803.252,7609.3
803.526,7597.65
803.8,7537.95
804.073,7617.65
804.347,7533.0
804.621,7532.9
804.894,7520.5
805.168,7527.05
805.442,7492.5
805.715,7399.2
805.989,7434.0
806.263,7497.6
806.536,7468.5
806.81,7421.7
807.084,7354.95
807.357,7425.65
807.631,7417.15
807.905,7356.6
808.178,7372.75
808.452,7383.2
808.726,7299.85
808.999,7311.05
809.273,7243.25
809.546,7314.0
809.82,7289.9
810.094,7311.65
810.367,7237.5
810.641,7202.5
810.914,7267.1
811.188,7287.5
811.461,7234.9
811.735,7075.55
812.008,7149.7
812.282,7145.35
812.556,7150.5
812.829,7105.9
813.103,7118.45
813.376,7106.95
813.65,7051.7
813.923,7048.3
814.197,7074.3
814.47,7045.7
814.744,7028.65
815.017,6959.4
815.29,6959.4
815.564,7030.3
815.837,6937.85
816.111,6974.55
816.384,6960.05
816.658,6904.5
816.931,6841.35
817.205,6887.35
817.478,6885.65
817.751,6860.45
818.025,6833.65
818.298,6877.4
818.572,6868.2
818.845,6863.7
819.118,6764.55
819.392,6744.6
819.665,6748.3
819.938,6737.25
820.212,6794.55
820.485,6797.05
820.758,6729.8
821.032,6732.4
821.305,6703.3
821.578,6717.55
821.852,6735.2
822.125,6601.55
822.398,6586.85
822.672,6623.45
822.945,6587.05
823.218,6631.85
823.491,6630.85
823.765,6544.35
824.038,6589.05
824.311,6611.15
824.585,6575.55
824.858,6616.65
825.131,6575.9
825.404,6603.2
825.677,6640.65
825.951,6637.5
826.224,6531.55
826.497,6438.4
826.77,6524.9
827.043,6530.0
827.317,6432.5
827.59,6438.7
827.863,6469.3
828.136,6447.75
828.409,6415.45
828.682,6388.1
828.956,6333.6
829.229,6373.6
829.502,6353.95
829.775,6391.55
830.048,6356.1
830.321,6367.7
830.594,6390.2
830.867,6420.05
831.14,6400.6
831.413,6313.1
831.687,6317.2
831.96,6298.35
832.233,6327.35
832.506,6311.6
832.779,6286.9
833.052,6201.7
833.325,6218.1
833.598,6261.2
833.871,6275.35
834.144,6270.6
834.417,6277.2
834.69,6205.65
834.963,6175.6
835.236,6216.85
835.509,6141.5
835.782,6176.2
836.055,6222.7
836.328,6212.15
836.601,6193.95
