nm,Intensity
791.377,11735.5
791.652,11763.8
791.927,11410.8
792.202,11232.5
792.477,11184.8
792.752,11141.3
793.027,10920.2
793.301,10876.3
793.576,10840.3
793.851,10516.6
794.126,10422.2
794.401,10400.2
794.676,10355.4
794.951,10270.6
795.225,10223.1
795.5,10171.0
795.775,10043.0
796.05,10094.7
796.325,10037.4
796.599,10261.3
796.874,10000.5
797.149,9916.6
797.424,9978.74
797.698,10007.8
797.973,9950.48
798.248,9976.84
798.523,9867.5
798.797,9925.14
799.072,10011.1
799.347,9909.24
799.622,9840.04
799.896,9869.2
800.171,9841.66
800.446,9780.3
800.72,9908.52
800.995,9926.7
801.27,9799.06
801.544,9741.1
801.819,9770.48
802.094,9830.34
802.368,9873.58
802.643,9961.56
802.918,9839.6
803.192,9780.62
803.467,9665.62
803.742,9665.7
804.016,9541.12
804.291,9553.56
804.565,9516.88
804.84,9460.02
805.114,9523.04
805.389,9501.9
805.664,9478.74
805.938,9440.98
806.213,9428.36
806.487,9477.6
806.762,9434.92
807.036,9358.06
807.311,9333.68
807.585,9351.3
807.86,9326.52
808.134,9250.4
808.409,9276.56
808.683,9213.82
808.958,9184.88
809.232,9096.28
809.507,9124.04
809.781,9101.24
810.056,9100.48
810.33,9165.46
810.605,9053.26
810.879,9040.14
811.153,8973.4
811.428,8925.9
811.702,9017.4
811.977,8970.44
812.251,8901.42
812.525,8888.8
812.8,8840.96
813.074,8796.04
813.349,8721.6
813.623,8659.04
813.897,8772.64
814.172,8730.96
814.446,8498.3
814.72,8493.7
814.995,8546.6
815.269,8602.78
815.543,8566.88
815.818,8502.06
816.092,8457.12
816.366,8469.88
816.64,8363.54
816.915,8450.16
817.189,8430.98
817.463,8401.94
817.737,8358.66
818.012,8322.98
818.286,8310.4
818.56,8317.04
818.834,8267.68
819.109,8208.58
819.383,8219.18
819.657,8228.86
819.931,8281.4
820.205,8277.84
820.48,8356.34
820.754,8326.76
821.028,8292.12
821.302,8203.2
821.576,8215.62
821.85,8123.04
822.125,8099.48
822.399,8046.8
822.673,7918.16
822.947,7849.88
823.221,7901.06
823.495,8001.8
823.769,8054.82
824.043,7950.42
824.317,7999.1
824.591,8024.42
824.865,8034.52
825.14,8048.64
825.414,8101.96
825.688,8134.9
825.962,8095.92
826.236,8022.7
826.51,8071.86
826.784,8026.72
827.058,7877.44
827.332,7797.64
827.606,7739.34
827.88,7696.06
828.154,7776.18
