nm,Intensity
791.75,13329.2
792.024,13063.6
792.298,12782.4
792.572,12684.6
792.846,12439.3
793.12,12533.1
793.394,12291.5
793.668,12199.3
793.942,12187.3
794.215,11919.0
794.489,11796.0
794.763,11797.7
795.037,11921.8
795.311,11778.5
795.585,11734.4
795.859,11632.0
796.133,11635.4
796.407,11859.6
796.681,11654.8
796.955,11579.5
797.228,11646.2
797.502,11631.2
797.776,11545.5
798.05,11644.4
798.324,11532.1
798.598,11479.0
798.871,11637.0
799.145,11582.6
799.419,11567.5
799.693,11470.8
799.967,11388.7
800.241,11334.3
800.514,11333.5
800.788,11453.8
801.062,11600.5
801.336,11645.8
801.61,11456.8
801.883,11334.0
802.157,11325.5
802.431,11321.9
802.705,11391.5
802.978,11153.0
803.252,11074.8
803.526,11112.9
803.8,10973.0
804.073,10951.8
804.347,10819.2
804.621,10805.6
804.894,10862.3
805.168,10876.1
805.442,10859.2
805.715,10959.7
805.989,10839.7
806.263,10716.6
806.536,10762.7
806.81,10684.7
807.084,10722.5
807.357,10708.5
807.631,10603.6
807.905,10510.8
808.178,10642.2
808.452,10595.0
808.726,10588.8
808.999,10439.2
809.273,10401.0
809.546,10460.0
809.82,10353.8
810.094,10358.2
810.367,10319.0
810.641,10402.7
810.914,10395.7
811.188,10247.5
811.461,10373.8
811.735,10319.7
812.008,10238.0
812.282,10170.5
812.556,10161.8
812.829,10271.8
813.103,10193.0
813.376,10031.3
813.65,10062.7
813.923,9970.35
814.197,10066.9
814.47,10056.6
814.744,10015.0
815.017,9958.3
815.29,9886.85
815.564,9896.4
815.837,9999.8
816.111,9838.0
816.384,9830.75
816.658,9881.8
816.931,9861.9
817.205,9875.0
817.478,9787.2
817.751,9725.8
818.025,9700.65
818.298,9816.35
818.572,9637.2
818.845,9562.15
819.118,9552.55
819.392,9671.95
819.665,9722.45
819.938,9652.8
820.212,9638.5
820.485,9584.6
820.758,9499.55
821.032,9433.6
821.305,9572.9
821.578,9502.7
821.852,9415.7
822.125,9267.45
822.398,9247.95
822.672,9294.65
822.945,9268.6
823.218,9278.8
823.491,9295.2
823.765,9250.7
824.038,9277.2
824.311,9270.3
824.585,9202.4
824.858,9265.55
825.131,9284.9
825.404,9454.05
825.677,9562.4
825.951,9502.75
826.224,9156.4
826.497,8963.5
826.77,9018.55
827.043,8945.2
827.317,8944.0
827.59,8930.85
827.863,8939.1
828.136,8931.6
828.409,8881.45
828.682,8879.65
828.956,8788.65
829.229,8735.6
829.502,8793.7
829.775,8770.9
830.048,8826.0
830.321,8861.55
830.594,8852.7
830.867,8826.6
831.14,8831.95
831.413,8629.7
831.687,8592.75
831.96,8592.75
832.233,8503.5
832.506,8483.9
832.779,8568.8
833.052,8561.9
833.325,8462.35
833.598,8482.9
833.871,8392.5
834.144,8478.8
834.417,8451.75
834.69,8335.15
834.963,8318.6
835.236,8416.7
835.509,8401.2
835.782,8237.4
836.055,8256.65
836.328,8330.45
836.601,8352.5
836.874,8380.3
837.147,8421.6
837.419,8374.7
837.692,8302.4
837.965,8295.0
838.238,8340.75
838.511,8408.35
838.784,8318.35
839.057,8270.2
839.33,8210.45
839.603,8195.2
839.876,8152.3
840.148,8307.45
840.421,8472.7
840.694,8491.95
840.967,8523.45
841.24,8473.75
841.513,8407.45
841.785,8365.2
842.058,8176.2
842.331,8145.5
842.604,8105.05
842.877,8195.7
843.149,8164.45
843.422,7996.5
843.695,7927.75
843.968,7900.2
844.24,7908.55
844.513,7952.05
844.786,7814.45
845.059,7734.25
845.331,7736.55
845.604,7732.3
845.877,7725.0
846.15,7742.95
846.422,7656.95
846.695,7654.45
846.968,7625.15
847.24,7588.85
847.513,7658.35
847.786,7684.8
848.058,7570.2
848.331,7565.5
848.604,7550.2
848.876,7545.8
849.149,7489.0
849.421,7530.4
849.694,7545.7
849.967,7465.95
850.239,7491.65
850.512,7508.8
850.784,7439.3
851.057,7440.1
851.33,7443.25
851.602,7406.1
851.875,7412.7
852.147,7427.45
852.42,7544.7
852.692,7547.4
852.965,7442.65
853.237,7410.8
853.51,7395.2
853.782,7356.15
854.055,7368.2
854.327,7323.3
854.6,7351.25
854.872,7299.2
855.145,7299.5
855.417,7307.8
855.69,7215.35
855.962,7225.4
856.235,7245.7
856.507,7233.1
856.779,7318.4
857.052,7283.85
857.324,7273.65
857.597,7245.2
857.869,7283.2
858.142,7323.5
858.414,7379.4
858.686,7409.05
858.959,7402.15
859.231,7357.05
859.503,7335.8
859.776,7443.75
860.048,7404.3
860.32,7279.7
860.593,7279.45
860.865,7272.0
861.137,7195.25
861.41,7141.5
861.682,7097.1
861.954,7108.45
862.226,7048.95
862.499,6972.9
862.771,6977.4
863.043,6991.55
863.315,6991.7
863.588,7059.45
863.86,7002.8
864.132,7034.55
864.404,7070.2
864.677,7085.05
864.949,7025.35
865.221,6906.15
865.493,6905.15
865.765,6883.35
866.038,6878.2
866.31,6826.3
866.582,6874.35
866.854,6855.1
867.126,6853.7
867.398,6743.1
867.67,6682.75
867.943,6775.4
868.215,6756.0
868.487,6786.45
868.759,6791.3
869.031,6803.8
869.303,6795.75
869.575,6847.3
869.847,6889.3
870.119,6835.75
870.391,6893.3
870.663,6927.0
870.935,6897.35
871.207,6906.6
871.479,6987.15
871.751,7084.65
872.023,7087.75
872.295,7121.95
872.567,7197.55
872.839,7098.15
873.111,7048.65
873.383,7004.95
873.655,7070.75
873.927,6957.45
874.199,6849.95
874.471,6767.15
874.743,6747.0
875.015,6724.65
875.287,6665.55
875.559,6547.7
875.831,6535.6
876.103,6633.1
876.374,6636.7
876.646,6557.35
876.918,6518.75
877.19,6469.55
877.462,6426.2
877.734,6501.7
878.006,6441.7
878.277,6434.6
878.549,6446.45
878.821,6400.4
879.093,6354.65
879.365,6412.9
879.636,6414.6
879.908,6416.05
880.18,6408.05
880.452,6351.0
880.723,6364.6
880.995,6346.35
881.267,6365.35
881.539,6344.25
881.81,6378.85
882.082,6333.4
882.354,6300.9
882.626,6316.15
882.897,6297.75
883.169,6275.65
883.441,6263.6
883.712,6191.7
883.984,6234.3
884.256,6269.4
884.527,6296.95
884.799,6271.25
885.07,6206.4
885.342,6184.95
885.614,6235.8
885.885,6220.45
886.157,6203.0
886.428,6165.2
886.7,6122.95
886.972,6111.1
887.243,6059.95
887.515,6042.3
887.786,6120.15
888.058,6098.75
888.329,6023.2
888.601,6077.2
888.872,6034.8
889.144,5926.45
889.415,5908.2
889.687,5933.85
889.958,5945.7
890.23,5943.9
890.501,5922.2
890.773,6002.4
891.044,5984.45
891.316,5938.65
891.587,5904.15
891.859,5963.8
892.13,5980.7
892.401,5948.85
892.673,5871.95
892.944,5829.35
893.216,5819.05
893.487,5763.7
893.758,5761.4
894.03,5803.9
894.301,5773.95
894.572,5738.95
894.844,5730.15
895.115,5712.4
895.386,5711.4
895.658,5760.3
895.929,5771.15
896.2,5772.8
896.472,5800.7
896.743,5906.85
897.014,6004.2
897.285,6153.0
897.557,6339.45
897.828,6464.9
898.099,6409.9
898.37,6321.65
898.642,6281.35
898.913,6155.95
899.184,6010.4
899.455,5867.35
899.726,5745.05
899.998,5642.8
900.269,5588.75
900.54,5572.35
900.811,5548.9
901.082,5494.75
901.353,5499.4
901.625,5465.85
901.896,5446.75
902.167,5446.75
902.438,5437.6
902.709,5485.3
902.98,5489.8
903.251,5475.05
903.522,5458.1
903.793,5447.1
904.064,5455.7
904.335,5436.75
904.606,5440.7
904.877,5377.3
905.148,5389.95
905.419,5436.95
905.69,5515.75
905.961,5643.3
906.232,5687.05
906.503,5727.1
906.774,5785.55
907.045,5864.45
907.316,5918.4
907.587,5919.0
907.858,5899.95
908.129,5788.15
908.4,5703.25
908.671,5596.65
908.942,5487.95
909.213,5403.85
909.484,5368.0
909.755,5326.3
910.025,5303.0
910.296,5278.4
910.567,5218.2
910.838,5201.8
911.109,5194.6
911.38,5146.15
911.65,5127.3
911.921,5160.8
912.192,5146.3
912.463,5149.25
912.734,5127.85
913.004,5093.75
913.275,5104.85
913.546,5099.0
913.817,5081.65
914.087,5053.65
914.358,5048.7
914.629,5051.5
914.9,5002.8
915.17,4997.85
915.441,4974.35
915.712,4995.15
915.982,5003.4
916.253,5010.95
916.524,5030.8
916.794,4978.9
917.065,4976.05
917.336,4968.45
917.606,4933.85
917.877,4928.95
918.147,4949.45
918.418,4947.5
918.689,4922.8
918.959,4944.05
919.23,4913.7
919.5,4905.9
919.771,4895.45
920.042,4893.4
920.312,4852.45
920.583,4882.95
920.853,4893.2
921.124,4874.4
921.394,4836.6
921.665,4836.05
921.935,4818.3
922.206,4827.85
922.476,4846.25
922.747,4807.95
923.017,4792.05
923.287,4789.3
923.558,4783.35
923.828,4770.0
924.099,4775.8
924.369,4778.4
924.639,4771.1
924.91,4759.5
925.18,4738.1
925.451,4731.75
925.721,4740.85
925.991,4743.7
926.262,4732.85
926.532,4705.5
926.802,4687.5
927.073,4685.75
927.343,4665.25
927.613,4675.25
927.884,4679.9
928.154,4668.8
928.424,4620.95
928.694,4630.2
928.965,4621.65
929.235,4607.45
929.505,4601.9
929.775,4605.55
930.046,4592.95
930.316,4594.25
930.586,4603.95
930.856,4582.55
931.126,4549.0
931.397,4549.3
931.667,4541.2
931.937,4555.05
932.207,4552.85
932.477,4531.65
932.747,4519.35
933.017,4510.05
933.288,4516.5
933.558,4518.2
933.828,4504.3
934.098,4505.8
934.368,4507.15
934.638,4480.15
934.908,4483.2
935.178,4463.25
935.448,4445.45
935.718,4443.15
935.988,4433.45
936.258,4457.2
936.528,4459.45
936.798,4443.05
937.068,4441.05
937.338,4434.5
937.608,4419.95
937.878,4411.3
938.148,4398.55
938.418,4397.85
938.688,4391.8
938.958,4393.7
939.228,4376.0
939.498,4371.2
939.767,4369.0
940.037,4374.4
940.307,4370.3
940.577,4384.85
940.847,4365.0
941.117,4351.05
941.387,4352.75
941.656,4360.65
941.926,4344.1
942.196,4347.0
942.466,4336.95
942.736,4318.2
943.005,4305.3
943.275,4323.85
943.545,4314.8
943.815,4286.65
