nm,Intensity
791.588,9735.0
791.862,9607.9
792.136,9421.1
792.411,9339.0
792.685,9195.5
792.959,9169.2
793.233,9048.0
793.507,8970.5
793.781,8961.1
794.056,8936.5
794.33,8958.3
794.604,8938.2
794.878,8896.0
795.152,8802.9
795.426,8762.1
795.701,8705.8
795.975,8797.7
796.249,8803.0
796.523,8718.8
796.797,8698.1
797.071,8764.0
797.345,8732.5
797.619,8788.6
797.894,8744.9
798.168,8727.4
798.442,8804.8
798.716,8768.3
798.99,8719.1
799.264,8741.0
799.538,8792.6
799.812,8782.7
800.086,8661.5
800.36,8633.1
800.634,8608.9
800.908,8704.7
801.182,8783.3
801.456,8757.3
801.73,8695.9
802.004,8683.1
802.278,8650.9
802.552,8654.0
802.826,8606.3
803.1,8638.1
803.374,8583.8
803.648,8528.6
803.922,8556.1
804.196,8447.2
804.47,8451.1
804.744,8415.4
805.018,8477.8
805.292,8484.8
805.566,8423.7
805.84,8391.6
806.114,8373.3
806.388,8336.3
806.662,8355.9
806.936,8300.7
807.209,8284.3
807.483,8232.3
807.757,8261.8
808.031,8190.9
808.305,8232.4
808.579,8214.2
808.853,8162.2
809.127,8214.8
809.4,8182.0
809.674,8139.0
809.948,8131.9
810.222,8053.7
810.496,8086.9
810.77,8087.0
811.043,8043.5
811.317,8005.9
811.591,7956.9
811.865,8038.2
812.139,8056.0
812.412,8083.5
812.686,8023.8
812.96,7889.6
813.234,7887.3
813.507,7892.6
813.781,7924.4
814.055,7940.5
814.329,7843.8
814.602,7843.4
814.876,7763.4
815.15,7800.9
815.424,7828.6
815.697,7788.9
815.971,7739.5
816.245,7732.3
816.518,7813.5
816.792,7745.6
817.066,7654.5
817.34,7700.2
817.613,7682.2
817.887,7704.8
818.161,7664.6
818.434,7651.3
818.708,7686.9
818.981,7675.1
819.255,7601.2
819.529,7544.6
819.802,7573.8
820.076,7650.1
820.35,7633.8
820.623,7616.9
820.897,7589.1
821.17,7496.4
821.444,7423.4
821.718,7486.3
821.991,7446.2
822.265,7445.4
822.538,7434.1
822.812,7413.9
823.085,7366.8
823.359,7396.6
823.632,7493.2
823.906,7402.5
824.179,7358.6
824.453,7406.4
824.727,7392.9
825.0,7320.0
825.274,7388.2
825.547,7387.3
825.821,7475.3
826.094,7523.2
826.367,7409.6
826.641,7322.1
826.914,7299.3
827.188,7237.3
827.461,7229.7
827.735,7269.3
828.008,7228.9
828.282,7168.2
828.555,7138.9
828.828,7128.3
829.102,7162.4
829.375,7129.0
829.649,7129.4
829.922,7138.4
830.195,7152.8
830.469,7118.2
830.742,7213.8
831.016,7167.5
831.289,7127.3
831.562,7050.5
831.836,6986.4
832.109,6985.5
832.382,6989.5
832.656,7001.7
832.929,7030.5
833.202,6961.9
833.476,6930.8
833.749,6963.9
834.022,6932.0
834.295,6926.9
834.569,6906.3
834.842,6866.2
835.115,6884.1
835.388,6832.8
835.662,6794.9
835.935,6786.4
836.208,6851.8
836.481,6843.3
836.755,6842.7
837.028,6885.3
837.301,6911.0
837.574,6840.2
837.848,6805.4
838.121,6820.7
838.394,6842.4
838.667,6805.5
838.94,6793.3
839.213,6751.7
839.487,6753.6
839.76,6747.4
840.033,6749.8
840.306,6765.8
840.579,6828.5
840.852,6844.2
841.125,6856.7
841.399,6848.4
841.672,6893.7
841.945,6828.0
842.218,6781.8
842.491,6728.3
842.764,6683.4
843.037,6636.4
843.31,6641.4
843.583,6688.5
843.856,6675.8
844.129,6582.0
844.402,6530.1
844.675,6502.4
844.948,6475.7
845.221,6474.5
845.495,6475.4
845.768,6433.8
846.041,6400.7
846.314,6454.3
846.586,6418.1
846.859,6392.3
847.132,6397.0
847.405,6386.3
847.678,6380.7
847.951,6351.6
848.224,6313.6
848.497,6346.3
848.77,6360.8
849.043,6324.5
849.316,6295.1
849.589,6251.9
849.862,6237.7
850.135,6289.7
850.408,6284.3
850.68,6239.8
850.953,6263.5
851.226,6277.2
851.499,6261.1
851.772,6249.8
852.045,6218.6
852.318,6278.9
852.591,6243.1
852.863,6206.5
853.136,6202.4
853.409,6205.4
853.682,6200.3
853.955,6182.6
854.227,6145.1
854.5,6135.1
854.773,6169.9
855.046,6180.8
855.318,6202.7
855.591,6180.3
855.864,6103.3
856.137,6105.4
856.409,6070.7
856.682,6072.7
856.955,6090.9
857.228,6079.2
857.5,6072.1
857.773,6070.6
858.046,6062.6
858.318,6130.4
858.591,6152.7
858.864,6154.3
859.136,6213.3
859.409,6182.9
859.682,6134.1
859.954,6127.5
860.227,6161.6
860.5,6144.6
860.772,6132.5
861.045,6122.9
861.318,6075.7
861.59,6010.7
861.863,5987.1
862.135,5982.1
862.408,5997.6
862.681,6020.8
862.953,6009.8
863.226,5997.7
863.498,5966.0
863.771,5961.5
864.043,5966.7
864.316,5978.3
864.588,5960.3
864.861,5981.0
865.133,5985.1
865.406,5980.2
865.678,5911.0
865.951,5900.5
866.223,5888.9
866.496,5878.0
866.768,5861.8
867.041,5885.6
867.313,5898.2
867.586,5889.6
867.858,5831.3
868.131,5836.4
868.403,5838.0
868.675,5833.4
868.948,5857.2
869.22,5885.9
869.493,5883.0
869.765,5859.4
870.037,5846.6
870.31,5872.0
870.582,5873.9
870.854,5880.3
871.127,5974.1
871.399,5981.0
871.672,6014.9
871.944,5982.4
872.216,5957.0
872.488,6004.4
872.761,5996.4
873.033,6009.5
873.305,6018.2
873.578,5947.1
873.85,5934.0
874.122,5913.0
874.394,5895.2
874.667,5875.7
874.939,5886.7
875.211,5867.6
875.483,5832.8
875.756,5809.9
876.028,5767.0
876.3,5762.4
876.572,5780.5
876.845,5776.3
877.117,5716.0
877.389,5777.4
877.661,5721.0
877.933,5665.3
878.205,5662.5
878.478,5677.8
878.75,5672.7
879.022,5635.1
879.294,5666.1
879.566,5664.6
879.838,5665.9
880.11,5616.4
880.382,5627.8
880.654,5658.4
880.927,5670.4
881.199,5626.8
881.471,5619.5
881.743,5612.7
882.015,5639.4
882.287,5623.9
882.559,5637.7
882.831,5649.3
883.103,5604.0
883.375,5592.7
883.647,5553.7
883.919,5570.8
884.191,5566.7
884.463,5579.9
884.735,5603.7
885.007,5583.6
885.279,5594.0
885.551,5580.1
885.823,5548.8
886.095,5561.7
886.367,5585.7
886.639,5550.9
886.91,5523.5
887.182,5473.9
887.454,5461.9
887.726,5465.5
887.998,5464.2
888.27,5474.7
888.542,5451.8
888.814,5447.0
889.085,5451.7
889.357,5443.2
889.629,5445.3
889.901,5438.4
890.173,5405.0
890.445,5425.7
890.716,5390.1
890.988,5405.3
891.26,5438.0
891.532,5412.9
891.804,5395.4
892.075,5410.7
892.347,5420.7
892.619,5392.9
892.891,5329.6
893.162,5351.2
893.434,5386.5
893.706,5340.5
893.978,5322.7
894.249,5320.4
894.521,5275.3
894.793,5294.4
895.064,5263.5
895.336,5259.3
895.608,5280.3
895.879,5281.4
896.151,5276.2
896.423,5255.7
896.694,5266.8
896.966,5303.9
897.237,5350.7
897.509,5427.6
897.781,5524.0
898.052,5573.5
898.324,5611.3
898.595,5590.9
898.867,5541.4
899.139,5455.0
899.41,5410.6
899.682,5344.8
899.953,5283.2
900.225,5229.7
900.496,5171.2
900.768,5178.2
901.039,5171.8
901.311,5148.8
901.582,5122.6
901.854,5103.7
902.125,5062.0
902.397,5058.7
902.668,5066.5
902.94,5046.8
903.211,5073.6
903.482,5078.8
903.754,5091.7
904.025,5064.9
904.297,5057.2
904.568,5060.1
904.839,5034.6
905.111,5057.7
905.382,5047.8
905.654,5039.7
905.925,5039.9
906.196,5121.5
906.468,5159.5
906.739,5176.3
907.01,5198.4
907.282,5222.7
907.553,5237.4
907.824,5270.2
908.096,5214.8
908.367,5183.9
908.638,5194.1
908.909,5156.1
909.181,5123.9
909.452,5058.9
909.723,4993.6
909.994,4968.6
910.266,4946.1
910.537,4933.9
910.808,4930.0
911.079,4900.7
911.35,4860.1
911.622,4846.7
911.893,4830.9
912.164,4830.3
912.435,4847.5
912.706,4831.2
912.977,4838.7
913.249,4822.7
913.52,4808.8
913.791,4804.1
914.062,4802.8
914.333,4795.8
914.604,4776.2
914.875,4758.3
915.146,4751.8
915.417,4745.7
915.688,4726.1
915.959,4716.1
916.231,4707.8
916.502,4722.9
916.773,4730.3
917.044,4712.6
917.315,4701.9
917.586,4707.8
917.857,4712.7
918.128,4695.6
918.399,4678.5
918.67,4670.3
918.941,4680.5
919.211,4672.2
919.482,4658.5
919.753,4651.9
920.024,4651.8
920.295,4641.5
920.566,4641.6
920.837,4631.7
921.108,4637.8
921.379,4632.8
921.65,4604.8
921.921,4602.7
922.191,4590.5
922.462,4581.0
922.733,4568.4
923.004,4560.9
923.275,4567.6
923.546,4571.7
923.816,4554.3
924.087,4566.4
924.358,4555.7
924.629,4552.7
924.9,4531.6
925.17,4525.7
925.441,4513.5
925.712,4524.8
925.983,4522.7
926.253,4520.2
926.524,4502.9
926.795,4509.1
927.065,4494.0
927.336,4473.8
927.607,4462.7
927.877,4454.7
928.148,4464.4
928.419,4450.0
928.689,4459.3
928.96,4449.7
929.231,4445.5
929.501,4436.5
929.772,4447.4
930.043,4425.1
930.313,4393.9
930.584,4406.7
930.854,4419.0
931.125,4395.9
931.396,4399.5
931.666,4381.9
931.937,4370.8
932.207,4369.7
932.478,4374.0
932.748,4377.8
933.019,4369.2
933.289,4355.3
933.56,4347.5
933.83,4342.6
934.101,4354.9
934.371,4336.0
934.642,4350.8
934.912,4341.7
935.183,4324.9
935.453,4335.1
935.723,4333.0
935.994,4324.5
936.264,4314.6
936.535,4301.5
936.805,4283.2
937.075,4293.1
937.346,4288.6
937.616,4266.6
937.886,4283.9
938.157,4281.0
938.427,4277.1
938.697,4282.5
938.968,4274.4
939.238,4275.8
939.508,4259.6
939.779,4248.7
940.049,4253.8
940.319,4248.2
940.59,4246.5
940.86,4243.7
941.13,4249.8
941.4,4242.5
941.671,4230.5
941.941,4213.1
942.211,4210.5
942.481,4201.1
942.751,4194.8
943.022,4205.5
943.292,4199.0
943.562,4192.5
943.832,4176.5
944.102,4187.0
944.372,4190.6
944.642,4191.7
944.913,4184.2
945.183,4181.6
945.453,4179.7
945.723,4184.7
945.993,4178.9
946.263,4179.6
946.533,4174.4
946.803,4164.7
947.073,4157.7
947.343,4156.0
947.613,4158.1
947.883,4129.3
948.153,4135.5
948.423,4130.9
948.693,4130.4
948.963,4126.2
949.233,4129.5
949.503,4135.0
949.773,4117.2
950.043,4114.2
950.313,4113.2
950.583,4111.1
950.853,4112.2
951.123,4112.1
951.393,4111.5
951.663,4096.6
951.933,4095.4
952.202,4095.8
952.472,4084.2
952.742,4086.4
953.012,4073.7
953.282,4072.7
953.552,4081.7
953.822,4084.4
954.091,4075.1
954.361,4073.6
954.631,4063.6
954.901,4066.7
955.17,4068.3
955.44,4066.8
955.71,4067.9
955.98,4061.2
956.25,4056.3
956.519,4058.3
956.789,4059.4
957.059,4050.3
957.328,4040.3
957.598,4038.5
957.868,4031.9
958.137,4052.4
958.407,4032.9
958.677,4030.7
958.946,4028.9
959.216,4023.2
959.486,4022.3
959.755,4023.7
960.025,4021.2
960.294,4026.0
960.564,4032.3
960.834,4025.4
961.103,4016.2
961.373,4012.6
961.642,4004.8
961.912,4004.2
962.181,4004.3
962.451,3996.2
962.72,4003.0
962.99,4001.6
