nm,Intensity
791.377,12273.6
791.652,11768.2
791.927,11438.7
792.202,11209.7
792.477,11023.3
792.752,10716.6
793.027,10413.0
793.301,10324.3
793.576,10232.6
793.851,9990.78
794.126,10002.6
794.401,9946.6
794.676,9835.18
794.951,9694.32
795.225,9711.96
795.5,9752.94
795.775,9723.82
796.05,9679.44
796.325,9561.56
796.599,9636.38
796.874,9649.42
797.149,9513.08
797.424,9527.26
797.698,9505.06
797.973,9543.26
798.248,9445.02
798.523,9575.24
798.797,9547.18
799.072,9563.98
799.347,9445.6
799.622,9426.9
799.896,9451.06
800.171,9451.96
800.446,9511.3
800.72,9354.8
800.995,9352.44
801.27,9327.86
801.544,9358.58
801.819,9467.92
802.094,9504.64
802.368,9392.76
802.643,9221.64
802.918,9161.28
803.192,9126.34
803.467,9215.76
803.742,9179.5
804.016,9138.78
804.291,9065.52
804.565,8997.26
804.84,8942.26
805.114,8859.12
805.389,8863.02
805.664,8871.38
805.938,8932.64
806.213,8941.44
806.487,8943.72
806.762,8872.64
807.036,8750.88
807.311,8850.78
807.585,8812.04
807.86,8689.14
808.134,8728.42
808.409,8779.48
808.683,8729.98
808.958,8614.88
809.232,8586.9
809.507,8609.86
809.781,8657.28
810.056,8646.64
810.33,8621.36
810.605,8528.32
810.879,8499.92
811.153,8552.5
811.428,8579.22
811.702,8577.16
811.977,8465.24
812.251,8456.04
812.525,8484.76
812.8,8484.96
813.074,8370.8
813.349,8402.78
813.623,8400.76
813.897,8415.88
814.172,8406.06
814.446,8345.3
814.72,8248.42
814.995,8228.1
815.269,8289.82
815.543,8283.66
815.818,8260.6
816.092,8205.5
816.366,8223.84
816.64,8138.82
816.915,8205.26
817.189,8292.18
817.463,8138.02
817.737,8037.7
818.012,8073.46
818.286,8060.1
818.56,8126.42
818.834,8156.02
819.109,8056.96
819.383,8071.42
819.657,7995.82
819.931,8038.8
820.205,8039.2
820.48,8050.28
820.754,7985.66
821.028,8017.9
821.302,7975.06
821.576,7911.34
821.85,7884.52
822.125,7877.56
822.399,7870.76
822.673,7862.38
822.947,7860.38
823.221,7806.3
823.495,7750.6
823.769,7759.14
824.043,7723.78
824.317,7756.74
824.591,7790.06
824.865,7778.9
825.14,7730.46
825.414,7763.02
825.688,7977.14
825.962,8057.36
826.236,8000.82
826.51,7819.24
826.784,7588.16
827.058,7615.02
827.332,7578.28
827.606,7613.64
827.88,7575.58
828.154,7596.02
828.428,7538.2
828.702,7523.56
828.976,7476.16
829.249,7548.68
829.523,7509.6
829.797,7446.72
830.071,7443.02
830.345,7505.18
830.619,7574.08
830.893,7511.54
831.167,7486.96
831.441,7459.98
831.715,7373.96
831.988,7302.36
832.262,7303.84
832.536,7379.12
832.81,7331.32
833.084,7271.76
833.358,7197.78
833.632,7227.02
833.905,7208.5
834.179,7241.28
834.453,7224.42
834.727,7148.32
835.001,7085.3
835.274,7106.88
835.548,7153.4
835.822,7154.84
836.096,7201.5
836.369,7194.24
836.643,7201.1
836.917,7226.4
837.191,7191.48
837.464,7224.9
837.738,7266.44
838.012,7221.46
838.285,7149.24
838.559,7213.92
838.833,7215.46
839.106,7082.14
839.38,7189.36
839.654,7206.94
839.927,7078.64
840.201,7122.32
840.475,7132.98
840.748,7219.48
841.022,7384.08
841.295,7390.14
841.569,7411.62
841.843,7348.28
842.116,7248.22
842.39,7138.36
842.663,7091.94
842.937,7052.38
843.211,7060.72
843.484,7029.24
843.758,7006.8
844.031,6923.0
844.305,6907.46
844.578,6865.32
