cm-1,Intensity
109.24,8004.4
113.61,7820.15
117.976,7724.8
122.339,7640.4
126.699,7502.1
131.056,7444.55
135.41,7326.5
139.761,7359.9
144.108,7304.0
148.453,7248.35
152.795,7106.85
157.133,7047.0
161.468,7099.5
165.8,7145.0
170.13,7113.65
174.456,7112.6
178.779,6947.4
183.099,6965.7
187.416,6973.85
191.729,6976.15
196.04,7023.8
200.348,7018.2
204.653,6999.45
208.954,6945.0
213.253,6915.45
217.548,6965.6
221.841,6925.55
226.13,6957.8
230.417,6991.25
234.7,6988.2
238.98,6965.25
243.258,6886.95
247.532,6884.2
251.803,6933.6
256.072,6880.25
260.337,6856.65
264.599,6905.6
268.859,6911.55
273.115,6950.9
277.368,6894.8
281.618,6841.55
285.866,6775.2
290.11,6833.35
294.351,6833.5
298.59,6810.75
302.825,6854.6
307.057,6747.8
311.287,6701.1
315.513,6725.35
319.737,6762.5
323.957,6739.55
328.175,6732.1
332.389,6751.4
336.601,6745.9
340.809,6724.2
345.015,6716.85
349.218,6613.2
353.418,6637.6
357.615,6661.4
361.808,6672.75
365.999,6632.25
370.188,6644.15
374.373,6636.5
378.555,6644.4
382.734,6585.05
386.911,6616.15
391.084,6608.6
395.255,6548.25
399.422,6542.0
403.587,6511.05
407.749,6539.8
411.908,6533.25
416.064,6577.0
420.217,6563.2
424.367,6538.55
428.514,6507.3
432.659,6419.3
436.8,6472.3
440.939,6498.9
445.075,6483.3
449.208,6407.05
453.338,6376.0
457.465,6407.5
461.589,6412.4
465.711,6358.65
469.829,6316.0
473.945,6370.3
478.058,6415.15
482.168,6350.55
486.275,6351.3
490.379,6317.85
494.481,6334.1
498.579,6290.4
502.675,6301.55
506.768,6261.4
510.858,6256.2
514.946,6262.35
519.03,6215.75
523.112,6201.45
527.191,6227.45
531.267,6232.9
535.34,6223.35
539.41,6217.6
543.478,6188.6
547.542,6216.4
551.604,6202.15
555.664,6187.3
559.72,6197.85
563.773,6135.3
567.824,6125.8
571.872,6142.65
575.917,6134.3
579.96,6060.7
583.999,6061.45
588.036,6068.8
592.07,6061.05
596.102,6062.55
600.13,6070.0
604.156,6029.15
608.179,6083.5
612.199,6045.05
616.216,6030.05
620.231,6031.95
624.243,6118.25
628.252,6186.0
632.259,6181.95
636.262,6153.25
640.263,6044.6
644.261,5950.3
648.257,5954.0
652.25,5932.5
656.24,5929.5
660.227,5949.35
664.211,5949.9
668.193,5946.85
672.172,5895.5
676.149,5865.25
680.122,5889.7
684.093,5968.8
688.062,5912.35
692.027,5872.45
695.99,5939.4
699.95,5948.2
703.907,5904.3
707.862,5916.25
711.814,5887.1
715.763,5843.1
719.71,5853.25
723.654,5875.55
727.595,5841.3
731.534,5801.05
735.47,5793.8
739.403,5804.3
743.334,5760.9
747.261,5764.45
751.187,5781.85
755.109,5777.2
759.029,5812.65
762.946,5764.7
766.861,5728.0
770.773,5718.5
774.682,5725.55
778.589,5740.5
782.493,5766.95
786.394,5774.8
790.293,5804.45
794.189,5799.1
798.082,5807.9
801.973,5819.75
805.861,5766.15
809.746,5783.2
813.629,5787.8
817.509,5747.6
821.387,5738.1
825.262,5757.15
829.134,5778.15
833.004,5734.05
836.871,5740.65
840.736,5807.8
844.598,5902.35
848.457,5962.7
852.314,5969.05
856.168,5921.6
860.019,5875.8
863.868,5792.9
867.715,5745.35
871.558,5740.95
875.4,5769.35
879.238,5731.2
883.074,5698.25
886.908,5701.25
890.738,5658.55
894.567,5590.0
898.392,5597.25
902.216,5598.95
906.036,5546.6
909.854,5557.85
913.669,5551.75
917.482,5525.5
921.293,5518.65
925.1,5515.2
928.906,5523.95
932.708,5491.6
936.508,5515.1
940.306,5507.5
944.101,5467.05
947.894,5481.1
951.684,5466.7
955.471,5461.15
959.256,5443.9
963.038,5444.05
966.818,5470.2
970.595,5428.85
974.37,5411.85
978.142,5425.3
981.912,5420.05
985.679,5445.85
989.444,5401.6
993.206,5439.0
996.966,5446.25
1000.72,5452.75
1004.48,5444.2
1008.23,5428.1
1011.98,5404.0
1015.73,5396.3
1019.47,5424.7
1023.21,5430.45
1026.95,5404.55
1030.69,5386.4
1034.43,5341.1
1038.16,5341.55
1041.89,5355.55
1045.61,5348.55
1049.34,5360.65
1053.06,5335.2
1056.78,5309.85
1060.5,5277.35
1064.21,5315.35
1067.93,5338.65
1071.64,5335.1
1075.34,5301.05
1079.05,5301.3
1082.75,5307.45
1086.45,5361.45
1090.15,5402.85
1093.85,5404.8
1097.54,5448.7
1101.23,5403.1
1104.92,5407.1
1108.6,5445.45
1112.29,5429.65
1115.97,5391.65
1119.64,5356.15
1123.32,5343.95
1126.99,5307.5
1130.67,5268.35
1134.33,5236.3
1138.0,5210.5
1141.66,5209.4
1145.33,5227.05
1148.98,5210.65
1152.64,5165.1
1156.29,5173.4
1159.95,5202.1
1163.6,5237.45
1167.24,5208.3
1170.89,5218.0
1174.53,5239.85
1178.17,5247.25
1181.81,5189.4
1185.44,5144.6
1189.07,5124.25
1192.7,5121.2
1196.33,5102.1
1199.96,5097.45
1203.58,5121.4
1207.2,5118.6
1210.82,5100.3
1214.44,5144.0
1218.05,5161.5
1221.66,5106.0
1225.27,5079.3
1228.88,5102.8
1232.48,5074.0
1236.08,5107.5
1239.68,5134.8
1243.28,5142.35
1246.87,5128.1
1250.46,5144.85
1254.05,5163.4
1257.64,5156.35
1261.23,5172.35
1264.81,5188.7
1268.39,5232.3
1271.97,5275.4
1275.55,5306.2
1279.12,5337.55
1282.69,5330.1
1286.26,5304.25
1289.83,5253.65
1293.39,5246.05
1296.95,5236.1
1300.51,5186.45
1304.07,5140.05
1307.62,5110.25
1311.18,5103.75
1314.73,5072.6
1318.28,5051.9
1321.82,5058.8
1325.37,5007.35
1328.91,4992.55
1332.45,4993.6
1335.98,5021.7
1339.52,5013.2
1343.05,4979.3
1346.58,4970.5
1350.11,4995.35
1353.63,4979.0
1357.15,4973.35
1360.67,4952.35
1364.19,4936.25
1367.71,4951.4
1371.22,4940.7
1374.73,4933.45
1378.24,4917.85
1381.75,4910.35
1385.26,4926.5
1388.76,4930.65
1392.26,4915.35
1395.76,4928.3
1399.25,4937.9
1402.74,4922.0
1406.24,4903.6
1409.72,4890.95
1413.21,4905.05
1416.7,4911.7
1420.18,4898.45
1423.66,4875.8
1427.14,4887.5
1430.61,4879.9
1434.08,4882.45
1437.56,4876.7
1441.02,4880.65
1444.49,4895.95
1447.96,4888.05
1451.42,4889.25
1454.88,4891.65
1458.33,4870.6
1461.79,4844.25
1465.24,4846.8
1468.69,4805.05
1472.14,4789.25
1475.59,4792.1
1479.03,4780.7
1482.48,4793.35
1485.92,4788.2
1489.35,4785.1
1492.79,4773.2
1496.22,4763.7
1499.65,4772.15
1503.08,4774.4
1506.51,4762.5
1509.93,4755.7
1513.36,4772.45
1516.78,4765.9
1520.19,4751.6
1523.61,4765.05
1527.02,4741.45
1530.44,4735.55
1533.84,4740.35
1537.25,4753.1
1540.66,4720.25
1544.06,4716.25
1547.46,4723.95
1550.86,4708.2
1554.25,4708.0
1557.65,4717.45
1561.04,4696.3
1564.43,4671.8
1567.82,4670.75
1571.2,4654.65
1574.59,4671.55
1577.97,4665.15
1581.35,4678.0
1584.72,4657.4
1588.1,4682.3
1591.47,4749.65
1594.84,4805.75
1598.21,4920.25
1601.58,5009.0
1604.94,5092.85
1608.3,5109.4
1611.66,5067.8
1615.02,5003.7
1618.37,4960.25
1621.73,4857.8
1625.08,4768.0
1628.43,4699.65
1631.77,4644.75
1635.12,4591.6
1638.46,4576.9
1641.8,4567.9
1645.14,4574.8
1648.48,4574.05
1651.81,4578.05
1655.14,4567.0
1658.47,4571.7
1661.8,4562.5
1665.13,4554.15
1668.45,4584.7
1671.77,4560.15
1675.09,4544.05
1678.41,4532.35
1681.73,4528.85
1685.04,4538.4
1688.35,4559.65
1691.66,4573.35
1694.97,4550.6
1698.27,4574.15
1701.57,4607.45
1704.88,4666.3
1708.17,4725.15
1711.47,4757.9
1714.77,4795.05
1718.06,4807.45
1721.35,4816.75
1724.64,4827.6
1727.92,4822.65
1731.21,4795.25
1734.49,4744.15
1737.77,4666.7
1741.05,4602.75
1744.32,4566.05
1747.6,4555.45
1750.87,4519.5
1754.14,4507.9
1757.41,4482.0
1760.67,4464.25
1763.94,4462.5
1767.2,4456.45
1770.46,4440.35
1773.72,4431.8
1776.97,4426.7
1780.23,4404.65
1783.48,4381.05
1786.73,4394.2
1789.97,4381.35
1793.22,4385.95
1796.46,4375.35
1799.7,4393.55
1802.94,4382.0
1806.18,4375.9
1809.42,4371.1
1812.65,4367.05
1815.88,4370.55
1819.11,4370.95
1822.34,4368.4
1825.56,4347.65
1828.78,4355.75
1832.01,4357.6
1835.23,4359.7
1838.44,4346.2
1841.66,4328.1
1844.87,4324.5
1848.08,4323.75
1851.29,4322.75
1854.5,4330.3
1857.7,4322.8
1860.91,4330.25
1864.11,4330.0
1867.31,4326.7
1870.5,4315.05
1873.7,4306.5
1876.89,4297.3
1880.08,4296.75
1883.27,4297.45
1886.46,4289.7
1889.65,4288.3
1892.83,4290.75
1896.01,4284.5
1899.19,4288.75
1902.37,4287.35
1905.54,4275.85
1908.72,4266.5
1911.89,4257.95
1915.06,4249.8
1918.23,4242.15
1921.39,4244.95
1924.56,4245.9
1927.72,4257.85
1930.88,4251.9
1934.04,4239.6
1937.19,4247.9
1940.35,4236.75
1943.5,4219.0
1946.65,4217.5
1949.8,4218.05
1952.94,4210.45
1956.09,4202.85
1959.23,4200.3
1962.37,4189.55
1965.51,4183.75
1968.64,4183.1
1971.78,4183.65
1974.91,4175.0
1978.04,4162.95
1981.17,4164.05
1984.3,4166.35
1987.42,4162.1
1990.55,4158.9
1993.67,4156.85
1996.79,4162.3
1999.9,4162.75
2003.02,4160.8
2006.13,4151.6
2009.25,4133.15
2012.36,4137.1
2015.46,4137.05
2018.57,4114.85
2021.67,4125.85
2024.78,4119.95
2027.88,4111.4
2030.97,4115.8
2034.07,4104.75
2037.16,4098.55
2040.26,4099.0
2043.35,4094.85
2046.44,4102.9
2049.52,4101.45
2052.61,4093.85
2055.69,4091.4
2058.77,4082.7
2061.85,4086.35
2064.93,4086.4
2068.01,4078.55
2071.08,4079.75
2074.15,4073.0
2077.22,4066.25
2080.29,4066.15
2083.36,4066.2
2086.42,4068.45
2089.48,4071.35
2092.54,4068.5
2095.6,4063.7
2098.66,4061.2
2101.72,4051.5
2104.77,4050.15
2107.82,4051.1
2110.87,4052.9
2113.92,4048.3
2116.96,4050.65
2120.01,4039.05
2123.05,4033.65
2126.09,4034.7
2129.13,4034.0
2132.16,4033.0
2135.2,4021.75
2138.23,4025.75
2141.26,4025.55
2144.29,4026.05
2147.32,4020.15
2150.35,4023.85
2153.37,4017.7
2156.39,4007.1
2159.41,4000.85
2162.43,4004.2
