nm,Intensity
782.722,3748.02
782.997,3748.86
783.272,3748.8
783.547,3750.26
783.822,3758.84
784.097,3792.14
784.372,3915.4
784.647,5222.24
784.922,6750.98
785.197,6856.4
785.472,6556.06
785.747,4512.08
786.022,4025.56
786.297,3882.14
786.572,3799.08
786.847,3772.48
787.122,3768.1
787.397,3769.88
787.672,3800.72
787.947,3974.8
788.222,4389.7
788.496,4960.38
788.771,5406.28
789.046,5718.86
789.321,5866.94
789.596,5881.68
789.871,5796.54
790.146,5803.62
790.421,5777.36
790.695,5695.74
790.97,5658.56
791.245,5683.44
791.52,5626.3
791.795,5624.56
792.069,5580.1
792.344,5495.1
792.619,5509.06
792.894,5478.66
793.169,5479.78
793.443,5473.14
793.718,5473.38
793.993,5422.26
794.268,5403.88
794.542,5399.24
794.817,5423.82
795.092,5387.42
795.367,5354.74
795.641,5385.94
795.916,5392.48
796.191,5362.66
796.465,5336.78
796.74,5368.06
797.015,5380.16
797.29,5366.92
797.564,5338.72
797.839,5362.96
798.114,5371.76
798.388,5365.04
798.663,5358.12
798.937,5346.1
799.212,5336.18
799.487,5321.42
799.761,5344.86
800.036,5344.94
800.311,5338.72
800.585,5340.0
800.86,5356.08
801.134,5300.6
801.409,5301.9
801.683,5310.7
801.958,5320.28
802.233,5332.14
802.507,5304.42
802.782,5257.16
803.056,5270.64
803.331,5269.92
803.605,5258.9
803.88,5269.48
804.154,5234.06
804.429,5253.46
804.703,5241.52
804.978,5234.54
805.252,5219.02
805.527,5229.28
805.801,5214.42
806.076,5211.1
806.35,5211.78
806.624,5225.86
806.899,5190.22
807.173,5189.44
807.448,5176.78
807.722,5192.02
807.997,5179.4
808.271,5157.3
808.545,5158.84
808.82,5160.66
809.094,5149.92
809.368,5147.02
809.643,5095.64
809.917,5077.58
810.191,5104.2
810.466,5125.96
810.74,5126.66
811.014,5129.92
811.289,5089.14
811.563,5106.78
811.837,5084.72
812.112,5103.18
812.386,5074.2
812.66,5077.62
812.935,5110.3
813.209,5055.5
813.483,5043.36
813.757,5020.3
814.032,5007.2
814.306,5031.5
814.58,5030.42
814.854,5006.78
815.128,5000.86
815.403,4993.64
815.677,4989.84
815.951,4990.5
816.225,4979.04
816.499,4959.36
816.774,4963.64
817.048,4989.82
817.322,4985.54
817.596,4978.5
817.87,4928.46
818.144,4961.74
818.418,4954.34
818.693,4943.16
818.967,4950.82
819.241,4954.92
819.515,4922.6
819.789,4937.92
820.063,4907.6
820.337,4921.56
820.611,4961.4
820.885,4946.16
821.159,4926.18
821.433,4948.62
821.707,4906.72
821.981,4898.66
822.255,4875.42
822.529,4875.14
822.803,4867.56
823.077,4856.5
823.351,4875.74
823.625,4882.3
823.899,4853.76
824.173,4868.86
824.447,4864.04
824.721,4868.42
824.995,4871.54
825.269,4871.76
825.543,4857.92
825.817,4872.8
826.091,4904.0
826.365,4873.92
826.639,4842.9
826.913,4825.32
827.187,4846.54
827.46,4858.82
827.734,4840.52
828.008,4805.84
828.282,4775.44
828.556,4789.8
828.83,4780.38
829.104,4813.36
829.377,4813.4
829.651,4795.62
829.925,4786.26
830.199,4777.86
830.473,4780.82
830.746,4787.34
831.02,4807.1
831.294,4759.86
831.568,4765.1
831.841,4774.3
832.115,4744.46
832.389,4773.32
832.663,4783.28
832.936,4755.64
833.21,4725.12
833.484,4726.1
833.758,4734.86
834.031,4726.6
834.305,4711.72
834.579,4734.86
834.852,4743.08
835.126,4735.04
835.4,4726.94
835.673,4692.64
835.947,4688.3
836.22,4703.38
836.494,4717.2
836.768,4719.04
837.041,4729.94
