cm-1,A
4000.0,-0.006637159068586307
3999.0,-0.006637159068586307
3998.0,-0.00659438618413688
3997.0,-0.006508827775289827
3996.0,-0.006423252507643085
3995.0,-0.006423252507643085
3994.0,-0.006423252507643085
3993.0,-0.0064660422492317515
3992.0,-0.006508827775289827
3991.0,-0.00659438618413688
3990.0,-0.00659438618413688
3989.0,-0.006637159068586307
3988.0,-0.00659438618413688
3987.0,-0.006551609086648202
3986.0,-0.006508827775289827
3985.0,-0.0064660422492317515
3984.0,-0.0064660422492317515
3983.0,-0.0064660422492317515
3982.0,-0.0064660422492317515
3981.0,-0.006423252507643085
3980.0,-0.006380458549692936
3979.0,-0.0063376603745508575
3978.0,-0.0063376603745508575
3977.0,-0.0062948579813855154
3976.0,-0.0063376603745508575
3975.0,-0.0063376603745508575
3974.0,-0.0063376603745508575
3973.0,-0.0062948579813855154
3972.0,-0.006209240537657479
3971.0,-0.006166425485431226
3970.0,-0.006166425485431226
3969.0,-0.006209240537657479
3968.0,-0.0062948579813855154
3967.0,-0.006423252507643085
3966.0,-0.006551609086648202
3965.0,-0.006637159068586307
3964.0,-0.006637159068586307
3963.0,-0.00659438618413688
3962.0,-0.006551609086648202
3961.0,-0.006508827775289827
3960.0,-0.006508827775289827
3959.0,-0.006551609086648202
3958.0,-0.006551609086648202
3957.0,-0.006551609086648202
3956.0,-0.0064660422492317515
3955.0,-0.0064660422492317515
3954.0,-0.0064660422492317515
3953.0,-0.006551609086648202
3952.0,-0.006637159068586307
3951.0,-0.0066799277408255975
3950.0,-0.0066799277408255975
3949.0,-0.00659438618413688
3948.0,-0.006508827775289827
3947.0,-0.0064660422492317515
3946.0,-0.006423252507643085
3945.0,-0.006423252507643085
3944.0,-0.006423252507643085
3943.0,-0.006423252507643085
3942.0,-0.006423252507643085
3941.0,-0.0064660422492317515
3940.0,-0.006508827775289827
3939.0,-0.006551609086648202
3938.0,-0.006637159068586307
3937.0,-0.006637159068586307
3936.0,-0.006637159068586307
3935.0,-0.00659438618413688
3934.0,-0.0064660422492317515
3933.0,-0.006380458549692936
3932.0,-0.0063376603745508575
3931.0,-0.006380458549692936
3930.0,-0.0064660422492317515
3929.0,-0.00659438618413688
3928.0,-0.006637159068586307
3927.0,-0.0066799277408255975
3926.0,-0.0066799277408255975
3925.0,-0.006637159068586307
3924.0,-0.00659438618413688
3923.0,-0.00659438618413688
3922.0,-0.006637159068586307
3921.0,-0.0067226922016847546
3920.0,-0.0067226922016847546
3919.0,-0.0066799277408255975
3918.0,-0.00659438618413688
3917.0,-0.006508827775289827
3916.0,-0.006508827775289827
3915.0,-0.006508827775289827
3914.0,-0.0064660422492317515
3913.0,-0.006423252507643085
3912.0,-0.006380458549692936
3911.0,-0.006423252507643085
3910.0,-0.0064660422492317515
3909.0,-0.006551609086648202
3908.0,-0.0066799277408255975
3907.0,-0.006765452451992449
3906.0,-0.006808208492578682
3905.0,-0.006850960324272126
3904.0,-0.0067226922016847546
3903.0,-0.006551609086648202
3902.0,-0.006380458549692936
3901.0,-0.0063376603745508575
3900.0,-0.006423252507643085
