cm-1,A
4000.0,-0.0014
3999.0,-0.0013
3998.0,-0.0012
3997.0,-0.0011
3996.0,-0.0011
3995.0,-0.0011
3994.0,-0.001
3993.0,-0.001
3992.0,-0.0011
3991.0,-0.0011
3990.0,-0.0012
3989.0,-0.0013
3988.0,-0.0013
3987.0,-0.0013
3986.0,-0.0012
3985.0,-0.0012
3984.0,-0.0012
3983.0,-0.0012
3982.0,-0.0013
3981.0,-0.0013
3980.0,-0.0013
3979.0,-0.0013
3978.0,-0.0013
3977.0,-0.0014
3976.0,-0.0015
3975.0,-0.0015
3974.0,-0.0016
3973.0,-0.0016
3972.0,-0.0016
3971.0,-0.0015
3970.0,-0.0015
3969.0,-0.0014
3968.0,-0.0014
3967.0,-0.0015
3966.0,-0.0015
3965.0,-0.0015
3964.0,-0.0014
3963.0,-0.0014
3962.0,-0.0014
3961.0,-0.0014
3960.0,-0.0015
3959.0,-0.0015
3958.0,-0.0015
3957.0,-0.0016
3956.0,-0.0016
3955.0,-0.0015
3954.0,-0.0016
3953.0,-0.0016
3952.0,-0.0017
3951.0,-0.0017
3950.0,-0.0017
3949.0,-0.0017
3948.0,-0.0017
3947.0,-0.0017
3946.0,-0.0017
3945.0,-0.0017
3944.0,-0.0016
3943.0,-0.0016
3942.0,-0.0016
3941.0,-0.0016
3940.0,-0.0015
3939.0,-0.0015
3938.0,-0.0014
3937.0,-0.0014
3936.0,-0.0014
3935.0,-0.0015
3934.0,-0.0015
3933.0,-0.0015
3932.0,-0.0015
3931.0,-0.0016
3930.0,-0.0017
3929.0,-0.0017
3928.0,-0.0017
3927.0,-0.0017
3926.0,-0.0017
3925.0,-0.0016
3924.0,-0.0015
3923.0,-0.0015
3922.0,-0.0014
3921.0,-0.0013
3920.0,-0.0013
3919.0,-0.0013
3918.0,-0.0013
3917.0,-0.0014
3916.0,-0.0015
3915.0,-0.0015
3914.0,-0.0015
3913.0,-0.0015
3912.0,-0.0014
3911.0,-0.0014
3910.0,-0.0013
3909.0,-0.0012
3908.0,-0.0012
3907.0,-0.0013
3906.0,-0.0015
3905.0,-0.0017
3904.0,-0.0018
3903.0,-0.0018
3902.0,-0.0017
3901.0,-0.0016
3900.0,-0.0016
3899.0,-0.0016
3898.0,-0.0016
3897.0,-0.0016
3896.0,-0.0016
3895.0,-0.0016
3894.0,-0.0015
3893.0,-0.0014
3892.0,-0.0014
3891.0,-0.0014
3890.0,-0.0015
3889.0,-0.0015
3888.0,-0.0015
3887.0,-0.0015
3886.0,-0.0015
3885.0,-0.0015
3884.0,-0.0015
3883.0,-0.0014
3882.0,-0.0013
3881.0,-0.0013
3880.0,-0.0013
3879.0,-0.0014
3878.0,-0.0015
3877.0,-0.0015
3876.0,-0.0016
3875.0,-0.0017
3874.0,-0.0019
3873.0,-0.002
3872.0,-0.002
3871.0,-0.002
3870.0,-0.0019
3869.0,-0.0019
3868.0,-0.0018
3867.0,-0.0017
3866.0,-0.0016
3865.0,-0.0016
3864.0,-0.0015
3863.0,-0.0015
3862.0,-0.0015
3861.0,-0.0015
3860.0,-0.0015
3859.0,-0.0015
3858.0,-0.0015
3857.0,-0.0015
3856.0,-0.0014
3855.0,-0.0013
3854.0,-0.0011
3853.0,-0.0012
3852.0,-0.0013
3851.0,-0.0012
3850.0,-0.0012
3849.0,-0.0012
3848.0,-0.0013
3847.0,-0.0014
3846.0,-0.0015
3845.0,-0.0015
3844.0,-0.0016
3843.0,-0.0015
3842.0,-0.0015
3841.0,-0.0014
3840.0,-0.0014
3839.0,-0.0014
3838.0,-0.0015
3837.0,-0.0016
3836.0,-0.0016
3835.0,-0.0016
3834.0,-0.0016
3833.0,-0.0016
3832.0,-0.0016
3831.0,-0.0016
3830.0,-0.0017
3829.0,-0.0017
3828.0,-0.0017
3827.0,-0.0016
3826.0,-0.0016
3825.0,-0.0015
3824.0,-0.0015
3823.0,-0.0015
3822.0,-0.0015
3821.0,-0.0016
3820.0,-0.0017
3819.0,-0.0017
3818.0,-0.0016
3817.0,-0.0014
3816.0,-0.0014
3815.0,-0.0013
3814.0,-0.0013
3813.0,-0.0013
3812.0,-0.0014
3811.0,-0.0015
3810.0,-0.0015
3809.0,-0.0015
3808.0,-0.0014
3807.0,-0.0014
3806.0,-0.0016
3805.0,-0.0017
3804.0,-0.0017
3803.0,-0.0017
3802.0,-0.0015
3801.0,-0.0015
3800.0,-0.0014
3799.0,-0.0014
3798.0,-0.0014
3797.0,-0.0015
3796.0,-0.0016
3795.0,-0.0016
3794.0,-0.0015
3793.0,-0.0013
3792.0,-0.0012
3791.0,-0.0012
3790.0,-0.0012
3789.0,-0.0012
3788.0,-0.0012
3787.0,-0.0011
3786.0,-0.0011
3785.0,-0.0012
3784.0,-0.0013
3783.0,-0.0014
3782.0,-0.0014
3781.0,-0.0014
3780.0,-0.0014
3779.0,-0.0014
3778.0,-0.0014
3777.0,-0.0015
3776.0,-0.0015
3775.0,-0.0015
3774.0,-0.0015
3773.0,-0.0015
3772.0,-0.0014
3771.0,-0.0013
3770.0,-0.0013
3769.0,-0.0013
3768.0,-0.0013
3767.0,-0.0013
3766.0,-0.0013
3765.0,-0.0013
3764.0,-0.0014
3763.0,-0.0015
3762.0,-0.0015
3761.0,-0.0015
3760.0,-0.0015
3759.0,-0.0014
3758.0,-0.0015
3757.0,-0.0015
3756.0,-0.0015
3755.0,-0.0016
3754.0,-0.0016
3753.0,-0.0016
3752.0,-0.0016
3751.0,-0.0016
3750.0,-0.0015
3749.0,-0.0015
3748.0,-0.0013
3747.0,-0.0012
3746.0,-0.001
3745.0,-0.001
3744.0,-0.0011
3743.0,-0.0012
3742.0,-0.0011
3741.0,-0.0011
3740.0,-0.0012
3739.0,-0.0014
