cm-1,A
4000.0,-0.003029470553618019
3999.0,-0.0030725959676747294
3998.0,-0.003115717099805959
3997.0,-0.003158833950862139
3996.0,-0.0032450548131470747
3995.0,-0.0032881588260753603
3994.0,-0.0033312585613267665
3993.0,-0.0033312585613267665
3992.0,-0.0032450548131470747
3991.0,-0.003201946521692367
3990.0,-0.003158833950862139
3989.0,-0.003158833950862139
3988.0,-0.003158833950862139
3987.0,-0.003201946521692367
3986.0,-0.0032881588260753603
3985.0,-0.0033312585613267665
3984.0,-0.0033743540197499478
3983.0,-0.0033743540197499478
3982.0,-0.0033312585613267665
3981.0,-0.0032881588260753603
3980.0,-0.0032881588260753603
3979.0,-0.0033312585613267665
3978.0,-0.003503614742536687
3977.0,-0.003632837004408529
3976.0,-0.0037189638231147626
3975.0,-0.0037189638231147626
3974.0,-0.003632837004408529
3973.0,-0.003546693102131737
3972.0,-0.0034605321095062536
3971.0,-0.0034174452021935586
3970.0,-0.0033743540197499478
3969.0,-0.0033743540197499478
3968.0,-0.0033743540197499478
3967.0,-0.0033743540197499478
3966.0,-0.0033743540197499478
3965.0,-0.0034174452021935586
3964.0,-0.0034174452021935586
3963.0,-0.0034174452021935586
3962.0,-0.0034605321095062536
3961.0,-0.003503614742536687
3960.0,-0.003503614742536687
3959.0,-0.0034605321095062536
3958.0,-0.0033743540197499478
3957.0,-0.0032881588260753603
3956.0,-0.0032450548131470747
3955.0,-0.003201946521692367
3954.0,-0.0032450548131470747
3953.0,-0.0033743540197499478
3952.0,-0.003546693102131737
3951.0,-0.0037189638231147626
3950.0,-0.0038481220342978517
3949.0,-0.003934206173708432
3948.0,-0.003891166236910326
3947.0,-0.003805073565025019
3946.0,-0.0037189638231147626
3945.0,-0.003632837004408529
3944.0,-0.003546693102131737
3943.0,-0.003546693102131737
3942.0,-0.003546693102131737
3941.0,-0.003546693102131737
3940.0,-0.003503614742536687
3939.0,-0.0033743540197499478
3938.0,-0.0032881588260753603
3937.0,-0.0032881588260753603
3936.0,-0.0033312585613267665
3935.0,-0.0034174452021935586
3934.0,-0.003503614742536687
3933.0,-0.003546693102131737
3932.0,-0.003632837004408529
3931.0,-0.0037189638231147626
3930.0,-0.003762020828246282
3929.0,-0.0037189638231147626
3928.0,-0.003675902548784027
3927.0,-0.0035897671891400584
3926.0,-0.0034605321095062536
3925.0,-0.0034605321095062536
3924.0,-0.0034605321095062536
3923.0,-0.003503614742536687
3922.0,-0.003546693102131737
3921.0,-0.003546693102131737
3920.0,-0.003632837004408529
3919.0,-0.003675902548784027
3918.0,-0.0037189638231147626
3917.0,-0.003675902548784027
3916.0,-0.003632837004408529
3915.0,-0.003546693102131737
3914.0,-0.0034605321095062536
3913.0,-0.0033743540197499478
3912.0,-0.0032881588260753603
3911.0,-0.0032881588260753603
3910.0,-0.0033743540197499478
3909.0,-0.0034605321095062536
3908.0,-0.003632837004408529
3907.0,-0.003762020828246282
3906.0,-0.003891166236910326
3905.0,-0.003934206173708432
3904.0,-0.0039772418455368275
3903.0,-0.004020273253241502
3902.0,-0.0039772418455368275
3901.0,-0.003891166236910326
3900.0,-0.0038481220342978517
3899.0,-0.003805073565025019
3898.0,-0.0037189638231147626
3897.0,-0.003632837004408529
3896.0,-0.003546693102131737
3895.0,-0.003546693102131737
3894.0,-0.003632837004408529
3893.0,-0.003675902548784027
3892.0,-0.003675902548784027
3891.0,-0.003675902548784027
3890.0,-0.0037189638231147626
3889.0,-0.003762020828246282
3888.0,-0.003632837004408529
3887.0,-0.0034605321095062536
3886.0,-0.0033743540197499478
3885.0,-0.0034605321095062536
3884.0,-0.003632837004408529
3883.0,-0.0037189638231147626
3882.0,-0.0035897671891400584
3881.0,-0.0034605321095062536
3880.0,-0.003503614742536687
3879.0,-0.0037189638231147626
3878.0,-0.003934206173708432
3877.0,-0.0039772418455368275
3876.0,-0.003934206173708432
3875.0,-0.0038481220342978517
3874.0,-0.003891166236910326
3873.0,-0.003934206173708432
3872.0,-0.003891166236910326
3871.0,-0.0037189638231147626
3870.0,-0.0035897671891400584
3869.0,-0.0037189638231147626
3868.0,-0.003934206173708432
3867.0,-0.004020273253241502
3866.0,-0.003891166236910326
3865.0,-0.003762020828246282
3864.0,-0.0037189638231147626
3863.0,-0.003762020828246282
3862.0,-0.003762020828246282
3861.0,-0.003762020828246282
3860.0,-0.0037189638231147626
3859.0,-0.003805073565025019
3858.0,-0.0039772418455368275
3857.0,-0.0042353663594676405
3856.0,-0.00445035298922436
3855.0,-0.004364371107751008
3854.0,-0.0039772418455368275
