cm-1,A
4000.0,-0.00710738297405733
3999.0,-0.007064656378331868
3998.0,-0.006936451364292662
3997.0,-0.006850960324272126
3996.0,-0.0067226922016847546
3995.0,-0.006637159068586307
3994.0,-0.00659438618413688
3993.0,-0.006637159068586307
3992.0,-0.0067226922016847546
3991.0,-0.006765452451992449
3990.0,-0.006765452451992449
3989.0,-0.0067226922016847546
3988.0,-0.0066799277408255975
3987.0,-0.006637159068586307
3986.0,-0.006637159068586307
3985.0,-0.0066799277408255975
3984.0,-0.0067226922016847546
3983.0,-0.0067226922016847546
3982.0,-0.0067226922016847546
3981.0,-0.0067226922016847546
3980.0,-0.0066799277408255975
3979.0,-0.0066799277408255975
3978.0,-0.0067226922016847546
3977.0,-0.006765452451992449
3976.0,-0.006850960324272126
3975.0,-0.006936451364292662
3974.0,-0.006936451364292662
3973.0,-0.006936451364292662
3972.0,-0.0068937079479005625
3971.0,-0.006808208492578682
3970.0,-0.006765452451992449
3969.0,-0.006765452451992449
3968.0,-0.006808208492578682
3967.0,-0.0068937079479005625
3966.0,-0.007021925578680754
3965.0,-0.00710738297405733
3964.0,-0.007192823557040651
3963.0,-0.007235537545951853
3962.0,-0.007150105366684922
3961.0,-0.007064656378331868
3960.0,-0.007021925578680754
3959.0,-0.00697919057427665
3958.0,-0.007021925578680754
3957.0,-0.00710738297405733
3956.0,-0.00710738297405733
3955.0,-0.00710738297405733
3954.0,-0.007021925578680754
3953.0,-0.006936451364292662
3952.0,-0.006808208492578682
3951.0,-0.0067226922016847546
3950.0,-0.006765452451992449
3949.0,-0.006808208492578682
3948.0,-0.0068937079479005625
3947.0,-0.006936451364292662
3946.0,-0.0068937079479005625
3945.0,-0.0068937079479005625
3944.0,-0.006936451364292662
3943.0,-0.00697919057427665
3942.0,-0.00697919057427665
3941.0,-0.00697919057427665
3940.0,-0.006936451364292662
3939.0,-0.006936451364292662
3938.0,-0.00697919057427665
3937.0,-0.007021925578680754
3936.0,-0.007021925578680754
3935.0,-0.007021925578680754
3934.0,-0.007021925578680754
3933.0,-0.007064656378331868
3932.0,-0.007021925578680754
3931.0,-0.00697919057427665
3930.0,-0.0068937079479005625
3929.0,-0.006808208492578682
3928.0,-0.006808208492578682
3927.0,-0.006850960324272126
3926.0,-0.006936451364292662
3925.0,-0.00697919057427665
3924.0,-0.006936451364292662
3923.0,-0.006850960324272126
3922.0,-0.006765452451992449
3921.0,-0.0067226922016847546
3920.0,-0.0067226922016847546
3919.0,-0.0067226922016847546
3918.0,-0.006808208492578682
3917.0,-0.0068937079479005625
3916.0,-0.006936451364292662
3915.0,-0.006936451364292662
3914.0,-0.0068937079479005625
3913.0,-0.0068937079479005625
3912.0,-0.006808208492578682
3911.0,-0.006765452451992449
3910.0,-0.0067226922016847546
3909.0,-0.0066799277408255975
3908.0,-0.006637159068586307
3907.0,-0.00659438618413688
3906.0,-0.006551609086648202
3905.0,-0.006551609086648202
3904.0,-0.006551609086648202
3903.0,-0.006551609086648202
3902.0,-0.00659438618413688
3901.0,-0.0067226922016847546
3900.0,-0.006850960324272126
3899.0,-0.006936451364292662
3898.0,-0.006936451364292662
3897.0,-0.0068937079479005625
3896.0,-0.006850960324272126
3895.0,-0.006808208492578682
3894.0,-0.006808208492578682
3893.0,-0.0068937079479005625
3892.0,-0.007021925578680754
3891.0,-0.007150105366684922
3890.0,-0.007150105366684922
3889.0,-0.007021925578680754
3888.0,-0.0068937079479005625
3887.0,-0.0068937079479005625
3886.0,-0.006936451364292662
3885.0,-0.007021925578680754
3884.0,-0.00697919057427665
3883.0,-0.00697919057427665
3882.0,-0.007064656378331868
3881.0,-0.007235537545951853
3880.0,-0.007320952922744706
3879.0,-0.007235537545951853
3878.0,-0.00710738297405733
3877.0,-0.006936451364292662
3876.0,-0.006850960324272126
3875.0,-0.0068937079479005625
3874.0,-0.006936451364292662
3873.0,-0.006936451364292662
3872.0,-0.0068937079479005625
3871.0,-0.006936451364292662
3870.0,-0.006936451364292662
3869.0,-0.0068937079479005625
3868.0,-0.0067226922016847546
3867.0,-0.00659438618413688
3866.0,-0.00659438618413688
3865.0,-0.00659438618413688
3864.0,-0.006637159068586307
3863.0,-0.0067226922016847546
3862.0,-0.006850960324272126
3861.0,-0.007064656378331868
3860.0,-0.007278247334244092
3859.0,-0.007449044497748858
3858.0,-0.007534417897257839
3857.0,-0.007491733295335923
3856.0,-0.007363654312278367
3855.0,-0.007449044497748858
3854.0,-0.00766244653727588
3853.0,-0.00766244653727588
3852.0,-0.007491733295335923
3851.0,-0.007192823557040651
3850.0,-0.007021925578680754
3849.0,-0.00697919057427665
3848.0,-0.007064656378331868
3847.0,-0.00710738297405733
3846.0,-0.00710738297405733
3845.0,-0.00710738297405733
3844.0,-0.00710738297405733
3843.0,-0.007150105366684922
3842.0,-0.007235537545951853
3841.0,-0.007278247334244092
3840.0,-0.007235537545951853
3839.0,-0.007150105366684922
3838.0,-0.007064656378331868
3837.0,-0.007064656378331868
3836.0,-0.00710738297405733
3835.0,-0.007192823557040651
3834.0,-0.007278247334244092
3833.0,-0.007320952922744706
3832.0,-0.007235537545951853
3831.0,-0.00710738297405733
3830.0,-0.0068937079479005625
3829.0,-0.006765452451992449
3828.0,-0.0067226922016847546
3827.0,-0.0068937079479005625
3826.0,-0.007021925578680754
3825.0,-0.007064656378331868
3824.0,-0.006936451364292662
3823.0,-0.006850960324272126
3822.0,-0.0068937079479005625
3821.0,-0.007021925578680754
3820.0,-0.007192823557040651
3819.0,-0.007278247334244092
3818.0,-0.007278247334244092
3817.0,-0.007320952922744706
3816.0,-0.007278247334244092
3815.0,-0.007150105366684922
3814.0,-0.007021925578680754
3813.0,-0.007021925578680754
3812.0,-0.00710738297405733
3811.0,-0.007192823557040651
3810.0,-0.007192823557040651
3809.0,-0.007150105366684922
3808.0,-0.007192823557040651
3807.0,-0.007320952922744706
3806.0,-0.0074063515036710825
3805.0,-0.007363654312278367
3804.0,-0.007320952922744706
3803.0,-0.007363654312278367
3802.0,-0.0074063515036710825
3801.0,-0.007278247334244092
3800.0,-0.007064656378331868
3799.0,-0.0068937079479005625
3798.0,-0.006808208492578682
3797.0,-0.006936451364292662
3796.0,-0.007021925578680754
3795.0,-0.00710738297405733
3794.0,-0.00710738297405733
3793.0,-0.007064656378331868
3792.0,-0.007021925578680754
3791.0,-0.006936451364292662
3790.0,-0.006850960324272126
3789.0,-0.006808208492578682
3788.0,-0.006765452451992449
3787.0,-0.006765452451992449
3786.0,-0.006808208492578682
3785.0,-0.0068937079479005625
3784.0,-0.00697919057427665
3783.0,-0.007064656378331868
3782.0,-0.00710738297405733
3781.0,-0.007192823557040651
3780.0,-0.007278247334244092
3779.0,-0.007235537545951853
3778.0,-0.00710738297405733
3777.0,-0.00697919057427665
3776.0,-0.0068937079479005625
3775.0,-0.006936451364292662
3774.0,-0.00697919057427665
3773.0,-0.007021925578680754
3772.0,-0.007064656378331868
3771.0,-0.007150105366684922
3770.0,-0.007192823557040651
3769.0,-0.007192823557040651
3768.0,-0.007064656378331868
3767.0,-0.00697919057427665
3766.0,-0.006936451364292662
3765.0,-0.00697919057427665
3764.0,-0.006936451364292662
3763.0,-0.006850960324272126
3762.0,-0.0067226922016847546
3761.0,-0.006637159068586307
3760.0,-0.00659438618413688
3759.0,-0.00659438618413688
3758.0,-0.0067226922016847546
3757.0,-0.006850960324272126
3756.0,-0.007021925578680754
3755.0,-0.007150105366684922
3754.0,-0.007278247334244092
3753.0,-0.0074063515036710825
3752.0,-0.007449044497748858
3751.0,-0.007534417897257839
3750.0,-0.00766244653727588
3749.0,-0.007747778000740002
3748.0,-0.007577098304338836
3747.0,-0.007192823557040651
3746.0,-0.007021925578680754
3745.0,-0.00710738297405733
3744.0,-0.007192823557040651
3743.0,-0.007192823557040651
3742.0,-0.00710738297405733
3741.0,-0.007064656378331868
3740.0,-0.007021925578680754
3739.0,-0.006936451364292662
3738.0,-0.0068937079479005625
3737.0,-0.006850960324272126
3736.0,-0.006850960324272126
3735.0,-0.006765452451992449
3734.0,-0.006637159068586307
3733.0,-0.00659438618413688
3732.0,-0.006637159068586307
3731.0,-0.006637159068586307
3730.0,-0.006551609086648202
3729.0,-0.0064660422492317515
3728.0,-0.006508827775289827
3727.0,-0.006551609086648202
3726.0,-0.006551609086648202
3725.0,-0.006508827775289827
3724.0,-0.006508827775289827
3723.0,-0.006551609086648202
3722.0,-0.006637159068586307
3721.0,-0.0067226922016847546
3720.0,-0.0067226922016847546
3719.0,-0.0067226922016847546
3718.0,-0.0066799277408255975
3717.0,-0.00659438618413688
3716.0,-0.006551609086648202
3715.0,-0.0064660422492317515
3714.0,-0.006508827775289827
3713.0,-0.006551609086648202
3712.0,-0.006637159068586307
3711.0,-0.0067226922016847546
3710.0,-0.006765452451992449
3709.0,-0.006765452451992449
3708.0,-0.0067226922016847546
3707.0,-0.00659438618413688
3706.0,-0.0064660422492317515
3705.0,-0.0062948579813855154
3704.0,-0.006123606211854593
3703.0,-0.006080782716094024
3702.0,-0.006123606211854593
3701.0,-0.006209240537657479
3700.0,-0.0062948579813855154
3699.0,-0.0063376603745508575
3698.0,-0.006380458549692936
3697.0,-0.0064660422492317515
3696.0,-0.006508827775289827
3695.0,-0.006551609086648202
3694.0,-0.0066799277408255975
3693.0,-0.006808208492578682
3692.0,-0.006936451364292662
3691.0,-0.0068937079479005625
3690.0,-0.006808208492578682
3689.0,-0.006637159068586307
3688.0,-0.006508827775289827
