nm,Intensity
526.495,826.1
526.632,828.2
526.768,826.8
526.905,826.9
527.042,827.8
527.179,828.7
527.315,826.6
527.452,827.1
527.589,828.2
527.725,826.2
527.862,827.8
527.999,826.8
528.136,827.5
528.272,828.4
528.409,827.5
528.546,825.3
528.682,826.4
528.819,826.6
528.955,827.1
529.092,827.6
529.229,827.9
529.365,827.8
529.502,827.2
529.639,828.3
529.775,828.4
529.912,825.7
530.048,826.7
530.185,827.8
530.321,826.1
530.458,828.2
530.594,827.8
530.731,827.5
530.867,826.5
531.004,827.2
531.14,828.1
531.277,825.4
531.413,828.0
531.55,827.8
531.686,826.4
531.823,825.8
531.959,834.2
532.096,868.9
532.232,879.4
532.369,839.9
532.505,829.3
532.641,826.1
532.778,826.3
532.914,826.7
533.051,827.1
533.187,827.7
533.323,826.8
533.46,827.9
533.596,830.6
533.732,843.5
533.869,917.6
534.005,1023.2
534.141,1064.7
534.278,1057.1
534.414,1039.3
534.55,1024.5
534.687,1012.6
534.823,998.6
534.959,988.3
535.095,977.6
535.232,970.7
535.368,964.3
535.504,958.6
535.64,954.3
535.777,940.7
535.913,938.7
536.049,934.8
536.185,934.1
536.321,933.4
536.457,941.4
536.594,940.9
536.73,948.3
536.866,938.5
537.002,932.2
537.138,924.4
537.274,923.7
537.41,925.3
537.547,921.6
537.683,929.4
537.819,926.4
537.955,928.0
538.091,920.0
538.227,915.7
538.363,914.0
538.499,907.0
538.635,908.4
538.771,909.2
538.907,909.1
539.043,906.4
539.179,906.9
539.315,906.0
539.451,905.4
539.587,906.5
539.723,897.5
539.859,896.0
539.995,888.5
540.131,893.8
540.267,898.5
540.403,905.6
540.539,911.3
540.675,913.3
540.811,916.0
540.947,919.6
541.083,918.9
541.219,922.0
541.354,913.4
541.49,917.6
541.626,914.3
541.762,903.4
541.898,903.7
542.034,902.6
542.17,902.9
542.305,901.2
542.441,898.6
542.577,897.2
542.713,901.6
542.849,903.9
542.984,902.0
543.12,912.6
543.256,917.4
543.392,929.3
543.528,939.2
543.663,942.8
543.799,943.2
543.935,943.2
544.071,940.7
544.206,931.9
544.342,921.8
544.478,911.7
544.613,906.6
544.749,903.5
544.885,905.3
545.02,899.6
545.156,896.6
545.292,899.3
545.427,896.3
545.563,894.2
545.699,895.8
545.834,894.2
545.97,890.9
546.106,894.0
546.241,896.0
546.377,894.0
546.512,893.4
546.648,894.9
546.784,895.2
546.919,896.5
547.055,895.0
547.19,899.3
547.326,897.6
547.461,899.4
547.597,897.2
547.732,901.2
547.868,897.8
548.003,901.1
548.139,898.8
548.274,898.2
548.41,896.7
548.545,896.0
548.681,898.7
548.816,900.0
548.952,903.2
549.087,899.8
549.223,902.0
549.358,901.2
549.494,901.8
549.629,904.7
549.764,904.6
549.9,899.8
550.035,899.8
550.171,900.5
550.306,903.7
550.441,902.7
550.577,900.1
550.712,902.1
550.847,902.2
550.983,907.1
551.118,903.6
551.253,905.5
551.389,909.4
551.524,907.0
551.659,905.7
551.795,910.6
551.93,913.4
552.065,912.1
552.201,910.1
552.336,915.7
552.471,912.9
552.606,912.3
552.742,915.8
552.877,913.0
553.012,916.3
553.147,916.4
553.283,908.3
553.418,906.5
553.553,907.3
553.688,911.0
553.823,918.0
553.959,922.9
554.094,921.3
554.229,918.8
554.364,916.1
554.499,914.7
554.634,914.9
554.769,907.4
554.905,908.0
555.04,906.1
555.175,901.6
555.31,903.3
555.445,900.1
555.58,897.3
555.715,899.7
555.85,897.9
555.985,898.8
556.121,900.7
556.256,899.7
556.391,899.5
556.526,900.8
556.661,902.9
556.796,901.2
556.931,906.6
557.066,908.2
557.201,910.8
557.336,915.9
557.471,922.8
557.606,937.5
557.741,962.2
557.876,1007.7
558.011,1064.3
558.146,1088.6
558.281,1057.4
558.416,989.6
558.551,944.8
558.685,928.2
558.82,925.5
558.955,921.7
559.09,921.8
559.225,921.5
559.36,917.2
559.495,915.1
559.63,917.6
559.765,917.5
559.9,919.3
560.034,911.8
560.169,912.7
560.304,908.5
560.439,910.2
560.574,910.0
560.709,910.4
560.843,907.4
560.978,908.4
561.113,905.0
561.248,904.7
561.383,902.6
561.517,907.4
561.652,904.1
561.787,907.6
561.922,904.2
562.057,905.6
562.191,904.6
562.326,906.8
562.461,909.0
562.596,909.6
562.73,915.9
562.865,915.9
563.0,925.9
563.134,935.2
563.269,944.8
563.404,958.7
563.539,962.3
563.673,951.4
563.808,937.2
563.943,928.5
564.077,924.9
564.212,917.7
564.346,915.7
564.481,919.0
564.616,926.7
564.75,932.3
564.885,941.2
565.02,948.5
565.154,946.5
565.289,944.7
565.423,942.5
565.558,941.8
565.693,942.5
565.827,950.2
565.962,963.5
566.096,979.2
566.231,983.0
566.365,968.1
566.5,954.2
