nm,Intensity
526.508,829.9
526.645,829.3
526.782,828.7
526.919,830.7
527.055,830.1
527.192,830.3
527.329,829.7
527.465,830.1
527.602,830.5
527.739,829.9
527.875,829.6
528.012,830.9
528.149,829.5
528.285,829.8
528.422,830.7
528.558,831.2
528.695,831.2
528.832,829.3
528.968,830.1
529.105,832.3
529.241,829.8
529.378,831.2
529.514,830.1
529.651,830.7
529.787,831.0
529.924,830.8
530.061,830.6
530.197,828.5
530.334,829.4
530.47,830.3
530.606,829.2
530.743,830.5
530.879,830.2
531.016,830.5
531.152,831.5
531.289,828.4
531.425,831.1
531.562,829.3
531.698,830.7
531.834,830.7
531.971,839.1
532.107,891.7
532.244,907.0
532.38,847.0
532.516,832.4
532.653,830.5
532.789,831.1
532.925,831.3
533.062,829.8
533.198,829.4
533.334,829.0
533.471,830.6
533.607,829.9
533.743,834.6
533.879,853.2
534.016,876.6
534.152,893.3
534.288,892.5
534.424,887.9
534.561,887.9
534.697,885.5
534.833,885.7
534.969,881.9
535.106,883.3
535.242,883.9
535.378,880.9
535.514,882.3
535.65,883.5
535.786,879.9
535.923,880.9
536.059,877.1
536.195,878.4
536.331,881.4
536.467,880.2
536.603,880.1
536.739,883.1
536.876,882.3
537.012,879.3
537.148,878.2
537.284,878.2
537.42,879.5
537.556,880.6
537.692,880.7
537.828,880.8
537.964,879.6
538.1,880.2
538.236,881.1
538.372,880.0
538.508,877.3
538.644,878.6
538.78,879.5
538.916,878.6
539.052,880.2
539.188,879.1
539.324,879.5
539.46,879.0
539.596,880.4
539.732,881.0
539.868,878.0
540.004,879.2
540.14,878.8
540.275,879.5
540.411,884.4
540.547,882.3
540.683,882.8
540.819,885.5
540.955,881.7
541.091,884.0
541.227,882.1
541.362,883.4
541.498,886.7
541.634,884.6
541.77,882.6
541.906,882.1
542.041,884.3
542.177,883.6
542.313,883.6
542.449,885.2
542.585,887.0
542.72,881.8
542.856,882.5
542.992,888.9
543.128,884.6
543.263,886.1
543.399,884.5
543.535,891.9
543.67,893.9
543.806,891.8
543.942,890.4
544.078,891.7
544.213,888.7
544.349,887.5
544.485,886.6
544.62,887.2
544.756,888.0
544.892,888.8
545.027,887.3
545.163,884.8
545.298,889.1
545.434,886.0
545.57,886.4
545.705,887.5
545.841,886.6
545.976,890.3
546.112,886.4
546.248,889.1
546.383,891.0
546.519,889.4
546.654,891.4
546.79,890.5
546.925,890.2
547.061,891.9
547.196,888.0
547.332,888.3
547.467,888.4
547.603,887.8
547.738,888.6
547.874,889.1
548.009,886.0
548.145,888.9
548.28,890.7
548.416,893.2
548.551,890.4
548.686,890.6
548.822,891.8
548.957,893.0
549.093,892.4
549.228,890.4
549.363,890.3
549.499,893.7
549.634,895.3
549.77,892.3
549.905,893.6
550.04,891.5
550.176,894.6
550.311,893.7
550.446,898.8
550.582,894.5
550.717,892.3
550.852,894.9
550.988,894.2
551.123,896.1
551.258,894.5
551.394,894.6
551.529,895.9
551.664,898.5
551.799,896.2
551.935,900.2
552.07,898.2
552.205,897.1
552.34,898.5
552.476,897.7
552.611,900.3
552.746,895.6
552.881,899.0
553.016,896.8
553.152,897.4
553.287,897.0
553.422,896.0
553.557,899.5
553.692,900.8
553.827,896.5
553.963,902.2
554.098,901.7
554.233,901.6
554.368,899.2
554.503,898.0
554.638,900.5
554.773,896.7
554.908,897.8
555.043,899.5
555.179,902.6
555.314,900.4
555.449,897.7
555.584,900.0
555.719,900.5
555.854,899.8
555.989,900.9
556.124,898.2
556.259,898.3
556.394,897.3
556.529,897.4
556.664,898.2
556.799,901.6
556.934,900.0
557.069,900.5
557.204,901.2
557.339,902.1
557.474,899.2
557.609,906.1
557.744,906.5
557.879,911.8
558.014,919.2
558.149,927.1
558.284,917.3
558.419,910.8
558.553,905.1
558.688,900.1
558.823,904.5
558.958,905.0
559.093,904.5
559.228,903.8
559.363,903.0
559.498,905.7
559.632,905.8
559.767,902.8
559.902,903.9
560.037,899.2
560.172,904.0
560.307,904.9
560.441,905.2
560.576,902.6
560.711,904.9
560.846,901.6
560.981,899.9
561.115,904.3
561.25,901.2
561.385,904.0
561.52,905.9
561.654,904.1
561.789,903.4
561.924,901.4
562.059,903.8
562.193,906.2
562.328,904.3
562.463,904.1
562.598,901.7
562.732,903.2
562.867,904.8
563.002,905.0
563.136,908.5
563.271,909.6
563.406,911.7
563.54,912.9
563.675,913.2
563.81,915.3
563.944,907.1
564.079,906.2
564.213,906.7
564.348,907.2
564.483,903.8
564.617,905.8
564.752,913.1
564.887,910.5
565.021,916.3
565.156,911.8
565.29,913.3
565.425,911.3
565.559,911.8
565.694,909.7
565.828,910.9
565.963,914.7
566.098,914.8
566.232,912.2
566.367,913.7
566.501,909.8
566.636,909.7
566.77,912.2
566.905,909.7
567.039,905.8
567.174,906.5
567.308,912.4
567.443,909.6
567.577,907.9
567.711,908.7
567.846,908.4
567.98,909.1
568.115,911.3
568.249,909.6
568.384,906.5
568.518,908.4
568.652,910.9
568.787,912.7
568.921,911.0
569.056,909.6
569.19,911.9
569.324,915.4
569.459,906.3
569.593,910.1
569.727,909.1
569.862,910.4
569.996,911.1
570.131,911.7
570.265,914.8
570.399,911.1
570.534,913.8
570.668,908.0
570.802,913.6
570.936,912.4
571.071,910.2
571.205,908.1
571.339,907.3
571.474,913.3
571.608,915.1
571.742,919.0
571.876,914.7
572.011,915.1
572.145,917.7
572.279,915.5
572.413,915.3
572.548,913.7
572.682,920.7
572.816,914.2
572.95,915.0
573.084,918.7
573.219,918.1
573.353,913.6
573.487,915.7
573.621,918.4
573.755,917.8
573.889,922.3
574.024,919.2
574.158,913.6
574.292,916.8
574.426,918.1
574.56,920.1
574.694,918.8
574.828,920.2
574.963,915.4
575.097,918.8
575.231,917.1
575.365,915.1
575.499,918.2
575.633,915.7
575.767,913.6
575.901,913.1
576.035,916.2
576.169,915.7
576.303,912.8
576.437,924.0
576.571,921.5
576.706,928.1
576.84,928.3
576.974,928.9
577.108,924.4
577.242,924.8
577.376,921.5
577.51,917.8
577.644,914.8
577.778,918.6
577.912,919.9
578.046,914.9
578.179,917.9
578.313,917.5
578.447,917.6
578.581,919.0
578.715,918.8
578.849,919.3
578.983,917.9
579.117,916.1
579.251,919.8
579.385,917.9
579.519,916.6
579.653,918.2
579.787,916.2
579.921,920.6
580.054,917.7
580.188,919.3
580.322,915.8
580.456,918.7
580.59,917.9
580.724,918.4
580.858,913.6
580.991,916.7
581.125,917.6
581.259,917.1
581.393,914.1
581.527,917.7
581.661,919.6
581.794,917.6
581.928,915.8
582.062,920.4
582.196,916.3
582.33,922.5
582.463,913.1
582.597,921.7
582.731,921.1
582.865,918.8
582.998,917.9
583.132,919.5
583.266,918.8
583.4,920.0
583.533,917.5
583.667,919.4
583.801,919.8
583.935,918.0
584.068,921.8
584.202,919.3
584.336,919.3
584.469,919.0
584.603,918.3
584.737,919.8
584.87,922.4
585.004,917.2
585.138,920.5
585.271,923.1
585.405,918.1
585.539,917.9
585.672,919.9
585.806,923.6
585.94,923.4
586.073,919.9
586.207,919.6
586.34,918.3
586.474,923.2
586.608,925.4
586.741,926.5
586.875,923.2
587.008,931.4
587.142,927.6
587.276,931.2
587.409,928.4
587.543,932.1
587.676,925.0
587.81,929.2
587.943,924.7
588.077,919.6
588.21,921.9
588.344,921.8
588.478,921.5
588.611,922.1
588.745,918.4
588.878,924.1
589.012,917.9
589.145,921.0
589.279,920.6
589.412,918.6
589.546,922.2
589.679,922.0
589.812,918.4
589.946,919.5
590.079,918.3
590.213,916.6
590.346,917.1
590.48,916.1
590.613,920.3
590.747,920.4
590.88,919.0
591.013,918.3
591.147,919.1
591.28,918.1
591.414,919.7
591.547,920.0
591.68,918.3
591.814,921.2
591.947,923.5
592.081,921.4
592.214,917.9
592.347,920.9
592.481,920.2
592.614,917.7
592.747,920.5
592.881,919.2
593.014,920.7
593.147,919.8
593.281,917.8
593.414,917.5
593.547,915.9
593.681,923.7
593.814,917.4
593.947,921.6
594.081,921.4
594.214,918.5
594.347,915.4
594.48,918.4
594.614,921.5
594.747,915.9
594.88,915.5
595.014,920.4
595.147,920.5
595.28,917.6
595.413,920.2
595.547,918.6
595.68,915.8
595.813,917.0
595.946,919.9
596.079,915.1
596.213,919.1
596.346,922.2
596.479,921.3
596.612,917.2
596.745,918.2
596.879,921.4
597.012,920.9
597.145,920.4
597.278,920.3
597.411,920.2
597.545,916.0
597.678,917.0
597.811,918.6
597.944,919.3
598.077,918.2
598.21,917.9
598.343,924.3
598.476,919.7
598.61,919.7
598.743,917.1
598.876,919.5
599.009,919.5
599.142,918.0
599.275,923.8
599.408,916.8
599.541,921.9
599.674,921.2
599.807,917.3
599.941,918.7
600.074,921.4
600.207,918.8
600.34,919.6
600.473,918.3
600.606,918.1
600.739,915.9
600.872,918.3
601.005,917.4
601.138,916.6
601.271,918.4
601.404,918.8
601.537,920.2
601.67,918.2
601.803,915.7
601.936,914.5
602.069,918.0
602.202,916.9
602.335,914.2
602.468,915.9
602.601,918.3
602.734,916.7
602.867,918.6
603.0,917.5
603.133,918.2
603.266,916.4
603.399,916.1
603.532,919.9
603.664,917.1
603.797,919.3
603.93,914.4
604.063,915.1
604.196,914.8
604.329,914.7
604.462,914.7
604.595,915.2
604.728,914.2
604.861,912.6
604.994,914.3
605.126,912.1
605.259,913.0
605.392,916.1
605.525,914.2
605.658,911.6
605.791,913.9
605.924,911.2
606.056,915.4
606.189,910.9
606.322,914.2
606.455,911.7
606.588,912.9
606.721,916.6
606.853,912.7
606.986,913.8
607.119,915.8
607.252,911.8
607.385,913.9
607.517,913.9
607.65,914.0
607.783,914.6
607.916,913.0
608.049,915.6
608.181,913.7
608.314,914.9
608.447,911.3
608.58,912.7
608.712,911.9
608.845,914.9
608.978,916.2
609.111,912.7
609.243,913.1
609.376,914.3
609.509,911.6
609.641,912.6
609.774,913.4
609.907,915.1
610.04,909.8
610.172,911.8
610.305,911.6
610.438,910.9
610.57,912.5
610.703,912.0
610.836,909.8
610.968,910.4
611.101,910.8
611.234,909.2
611.366,913.1
611.499,911.0
611.632,911.5
611.764,915.6
611.897,910.8
612.03,911.8
612.162,914.9
612.295,914.0
612.428,914.9
612.56,915.2
612.693,915.7
612.825,910.6
612.958,913.4
613.091,910.8
613.223,918.6
613.356,913.9
613.488,913.6
613.621,913.2
613.754,913.0
613.886,912.8
614.019,917.6
614.151,913.6
614.284,917.0
614.416,917.7
614.549,913.0
614.681,917.4
614.814,912.1
614.947,911.1
615.079,915.5
615.212,911.5
615.344,914.1
615.477,913.5
615.609,912.0
615.742,913.8
615.874,914.5
616.007,911.0
616.139,911.2
616.272,909.1
616.404,910.6
616.537,912.5
616.669,914.6
616.802,910.7
616.934,912.2
617.067,910.5
617.199,910.7
617.332,910.9
617.464,912.6
617.596,912.6
617.729,913.0
617.861,908.1
617.994,910.7
618.126,910.5
