nm,Intensity
528.626,1862.4
528.711,1863.0
528.795,1861.9
528.879,1863.9
528.963,1865.5
529.048,1863.6
529.132,1864.2
529.216,1863.8
529.3,1862.8
529.385,1862.6
529.469,1861.7
529.553,1863.3
529.637,1863.8
529.721,1863.5
529.806,1864.3
529.89,1864.5
529.974,1864.1
530.058,1864.3
530.143,1864.4
530.227,1865.0
530.311,1865.5
530.395,1863.3
530.48,1866.0
530.564,1863.6
530.648,1865.9
530.732,1865.0
530.816,1863.6
530.901,1867.3
530.985,1864.1
531.069,1866.5
531.153,1868.4
531.237,1868.6
531.322,1869.9
531.406,1872.8
531.49,1877.0
531.574,1881.2
531.658,1909.9
531.743,2009.4
531.827,2418.6
531.911,3593.4
531.995,5084.7
532.079,5216.1
532.164,4639.2
532.248,3346.8
532.332,2258.0
532.416,1918.3
532.5,1872.5
532.585,1870.4
532.669,1867.5
532.753,1866.0
532.837,1864.5
532.921,1869.6
533.006,1868.4
533.09,1867.6
533.174,1866.5
533.258,1867.7
533.342,1871.2
533.426,1879.8
533.511,1905.3
533.595,1985.2
533.679,2156.8
533.763,2390.5
533.847,2620.5
533.931,2822.1
534.016,2977.6
534.1,2992.3
534.184,2986.8
534.268,2986.7
534.352,2982.5
534.436,3018.3
534.521,3010.4
534.605,3018.4
534.689,3065.2
534.773,3075.3
534.857,3096.2
534.941,3105.8
535.025,3111.0
535.11,3117.3
535.194,3112.8
535.278,3133.4
535.362,3123.7
535.446,3177.4
535.53,3215.6
535.614,3193.9
535.699,3159.9
535.783,3128.5
535.867,3109.2
535.951,3137.9
536.035,3156.9
536.119,3144.8
536.203,3144.3
536.287,3219.0
536.372,3199.5
536.456,3215.8
536.54,3194.5
536.624,3236.0
536.708,3218.8
536.792,3231.3
536.876,3187.0
536.96,3207.4
537.044,3242.5
537.129,3256.5
537.213,3287.8
537.297,3281.0
537.381,3284.4
537.465,3326.6
537.549,3346.7
537.633,3384.8
537.717,3374.8
537.801,3333.2
537.885,3360.8
537.97,3360.4
538.054,3317.9
538.138,3273.7
538.222,3309.2
538.306,3312.3
538.39,3279.6
538.474,3307.1
538.558,3300.8
538.642,3339.0
538.726,3350.2
538.81,3344.3
538.894,3337.0
538.979,3349.5
539.063,3363.7
539.147,3380.7
539.231,3377.3
539.315,3438.2
539.399,3416.5
539.483,3374.1
539.567,3374.2
539.651,3383.1
539.735,3412.8
539.819,3431.6
539.903,3403.2
539.987,3415.9
540.071,3424.0
540.155,3421.4
540.239,3435.2
540.324,3456.3
540.408,3440.9
540.492,3451.1
540.576,3449.4
540.66,3464.2
540.744,3456.2
540.828,3423.8
540.912,3433.7
540.996,3474.3
541.08,3478.4
541.164,3480.3
541.248,3517.4
541.332,3537.2
541.416,3512.7
541.5,3481.6
541.584,3539.3
541.668,3555.1
541.752,3577.1
541.836,3542.7
541.92,3507.2
542.004,3516.7
542.088,3531.7
542.172,3534.2
542.256,3605.8
542.34,3626.3
542.424,3638.2
542.508,3630.3
542.592,3628.7
542.676,3569.3
542.76,3570.8
542.844,3565.6
542.928,3611.1
543.012,3616.8
543.096,3623.2
543.18,3683.9
543.264,3632.4
543.348,3638.2
543.432,3669.0
543.516,3705.5
543.6,3651.5
543.684,3606.5
543.768,3650.8
543.852,3719.2
543.936,3728.5
544.02,3713.0
544.104,3696.9
544.188,3725.7
544.272,3716.0
544.356,3708.2
544.44,3682.1
544.524,3663.2
544.608,3709.5
544.692,3834.9
544.776,3785.7
544.86,3708.0
544.944,3742.5
545.028,3783.9
545.112,3788.8
545.196,3830.6
545.28,3784.9
545.364,3774.6
545.448,3776.7
545.532,3770.1
545.616,3807.9
545.7,3809.5
545.784,3816.3
545.867,3823.1
545.951,3830.4
546.035,3859.2
546.119,3837.4
546.203,3835.4
546.287,3809.0
546.371,3870.8
546.455,3890.9
546.539,3867.6
546.623,3903.7
546.707,3935.8
546.791,3884.2
546.875,3891.2
546.959,3888.9
547.043,3914.6
547.127,3914.1
547.21,3915.2
547.294,3940.6
547.378,3931.4
547.462,3903.6
547.546,3904.0
547.63,3907.0
547.714,3940.0
547.798,3949.6
547.882,4024.5
547.966,4010.6
548.05,3988.6
548.134,3971.0
548.217,3975.1
548.301,3990.6
548.385,4021.5
548.469,4005.2
548.553,4020.4
548.637,4095.4
548.721,4141.7
548.805,4109.2
548.889,4100.4
548.972,4072.2
549.056,4096.4
549.14,4055.9
549.224,4091.8
549.308,4078.1
549.392,4164.4
549.476,4214.9
549.56,4163.6
549.644,4078.0
549.727,4013.9
549.811,4044.0
549.895,4049.1
549.979,4145.2
550.063,4158.7
550.147,4084.5
550.231,4141.7
550.315,4250.9
550.398,4185.5
550.482,4124.0
550.566,4159.0
550.65,4159.8
550.734,4177.3
550.818,4215.3
550.902,4247.2
550.985,4172.2
551.069,4187.8
551.153,4242.3
551.237,4254.9
551.321,4234.6
551.405,4274.3
551.488,4293.2
551.572,4271.0
551.656,4301.0
551.74,4360.0
551.824,4303.6
551.908,4320.5
551.991,4321.7
552.075,4279.8
552.159,4286.4
552.243,4299.6
552.327,4302.7
552.411,4293.3
552.494,4301.5
552.578,4289.0
552.662,4303.3
552.746,4301.0
552.83,4294.9
552.914,4285.0
552.997,4320.6
553.081,4324.8
553.165,4337.5
553.249,4366.8
553.333,4296.3
553.416,4317.6
553.5,4341.1
553.584,4341.1
553.668,4327.1
553.752,4433.5
553.835,4441.6
553.919,4422.9
554.003,4355.9
554.087,4370.3
554.171,4449.5
554.254,4485.4
554.338,4456.1
554.422,4420.3
554.506,4403.3
554.589,4480.8
554.673,4453.8
554.757,4536.8
554.841,4502.5
554.925,4428.9
555.008,4443.8
555.092,4458.8
555.176,4500.9
555.26,4476.7
555.343,4508.2
555.427,4476.4
555.511,4494.8
555.595,4444.7
555.679,4503.3
555.762,4496.4
555.846,4509.6
555.93,4454.3
556.014,4495.7
556.097,4530.0
556.181,4524.3
556.265,4516.8
556.349,4528.4
556.432,4602.6
556.516,4625.2
556.6,4502.3
556.684,4507.0
556.767,4553.5
556.851,4526.7
556.935,4505.4
557.018,4472.7
557.102,4476.4
557.186,4493.9
557.27,4566.1
557.353,4577.9
557.437,4517.1
557.521,4586.0
557.605,4574.4
557.688,4622.6
557.772,4567.8
557.856,4637.6
557.939,4625.6
558.023,4672.3
558.107,4644.4
558.191,4612.8
558.274,4552.5
558.358,4575.9
558.442,4668.0
558.525,4616.8
558.609,4634.2
558.693,4584.2
558.776,4631.4
558.86,4594.0
558.944,4665.8
559.028,4656.4
559.111,4675.9
559.195,4641.1
559.279,4726.9
559.362,4664.2
559.446,4612.3
559.53,4654.9
559.613,4693.0
559.697,4608.4
559.781,4604.3
559.864,4669.5
559.948,4634.8
560.032,4659.9
560.115,4691.2
560.199,4677.4
560.283,4699.6
560.366,4752.8
560.45,4722.0
560.534,4682.8
560.617,4694.7
560.701,4740.9
560.785,4777.7
560.868,4796.0
560.952,4840.8
561.036,4817.4
561.119,4813.1
561.203,4805.4
561.287,4813.1
561.37,4841.4
561.454,4934.1
561.538,5008.3
561.621,4940.4
561.705,4856.1
561.789,4847.2
561.872,4830.8
561.956,4841.7
562.039,4879.9
562.123,4854.8
562.207,4814.7
562.29,4842.2
562.374,4854.3
562.458,4827.4
562.541,4870.2
562.625,4897.6
562.708,4773.7
562.792,4776.6
562.876,4852.2
562.959,4894.1
563.043,4887.0
563.127,4891.4
563.21,4934.8
563.294,4870.4
563.377,4896.0
563.461,4891.4
563.545,4918.9
563.628,4947.7
563.712,4865.8
563.795,4891.1
563.879,4864.2
563.963,4973.1
564.046,4952.7
564.13,4917.0
564.213,4891.5
564.297,4943.0
564.38,4901.1
564.464,4969.5
564.548,5009.4
564.631,5043.0
564.715,5042.9
564.798,5010.6
564.882,4985.9
564.966,5029.5
565.049,5009.9
565.133,5016.0
565.216,5009.8
565.3,5029.9
565.383,4976.8
565.467,4930.5
565.551,4935.5
565.634,5014.0
565.718,5000.5
565.801,5113.4
565.885,5049.4
565.968,5047.1
566.052,5012.1
566.135,5014.1
566.219,5005.0
566.302,5133.9
566.386,5118.2
566.47,5137.0
566.553,5057.9
566.637,5050.6
566.72,4966.0
566.804,5066.1
566.887,5095.8
566.971,5057.7
567.054,5099.2
567.138,5171.7
567.221,5100.2
567.305,5122.2
567.388,5138.3
567.472,5008.5
567.555,4989.7
567.639,5105.3
567.722,5112.5
567.806,5112.3
567.889,5095.2
567.973,5139.3
568.057,5150.7
568.14,5170.2
568.224,5221.0
568.307,5237.6
568.391,5250.2
568.474,5170.7
568.558,5159.6
568.641,5197.5
568.725,5169.1
568.808,5174.8
568.892,5166.0
568.975,5229.7
569.058,5282.7
569.142,5282.8
569.225,5237.4
569.309,5155.2
569.392,5203.4
569.476,5304.2
569.559,5349.9
569.643,5334.7
569.726,5218.2
569.81,5142.5
569.893,5213.7
569.977,5318.9
570.06,5260.2
570.144,5292.4
570.227,5323.7
570.311,5276.1
570.394,5243.8
570.477,5222.0
570.561,5225.2
570.644,5236.8
570.728,5231.1
570.811,5355.7
570.895,5325.5
570.978,5243.6
571.062,5296.2
571.145,5353.4
571.229,5357.5
571.312,5373.8
571.395,5387.7
571.479,5339.9
571.562,5292.9
571.646,5302.5
571.729,5368.3
571.813,5440.7
571.896,5445.6
571.979,5425.6
572.063,5323.5
572.146,5418.0
572.23,5446.3
572.313,5392.6
572.397,5416.8
572.48,5417.8
572.563,5489.4
572.647,5606.2
572.73,5476.1
572.814,5390.3
572.897,5417.7
572.98,5537.8
573.064,5529.5
573.147,5509.5
573.231,5403.5
573.314,5268.7
573.397,5381.2
573.481,5474.0
573.564,5577.0
573.648,5558.0
573.731,5471.2
573.814,5449.8
573.898,5432.4
573.981,5430.0
574.064,5450.6
574.148,5502.8
574.231,5620.9
574.315,5569.8
574.398,5458.9
574.481,5379.1
574.565,5388.5
574.648,5516.5
574.731,5534.3
574.815,5519.1
574.898,5544.1
574.982,5513.0
575.065,5443.1
575.148,5443.3
575.232,5466.2
575.315,5590.1
575.398,5548.0
575.482,5473.9
575.565,5474.5
575.648,5584.6
575.732,5597.8
575.815,5537.1
575.898,5633.6
575.982,5683.3
576.065,5583.1
576.148,5529.9
576.232,5534.8
576.315,5614.2
576.398,5617.5
576.482,5600.0
576.565,5571.1
