nm,Intensity
528.626,1864.7
528.711,1866.8
528.795,1867.7
528.879,1864.7
528.963,1864.3
529.048,1866.1
529.132,1866.6
529.216,1867.4
529.3,1867.2
529.385,1867.1
529.469,1867.6
529.553,1865.4
529.637,1867.2
529.721,1866.6
529.806,1868.1
529.89,1864.8
529.974,1866.5
530.058,1867.7
530.143,1866.3
530.227,1866.6
530.311,1867.6
530.395,1868.2
530.48,1869.2
530.564,1868.0
530.648,1866.6
530.732,1868.7
530.816,1866.6
530.901,1866.4
530.985,1866.5
531.069,1867.9
531.153,1868.6
531.237,1870.4
531.322,1873.4
531.406,1873.4
531.49,1875.8
531.574,1883.0
531.658,1898.0
531.743,1960.5
531.827,2228.1
531.911,3010.2
531.995,4409.3
532.079,5388.7
532.164,5296.7
532.248,3684.8
532.332,2440.7
532.416,1955.9
532.5,1876.6
532.585,1870.6
532.669,1869.9
532.753,1872.5
532.837,1868.6
532.921,1869.2
533.006,1869.4
533.09,1869.4
533.174,1870.1
533.258,1869.6
533.342,1870.7
533.426,1876.5
533.511,1882.3
533.595,1926.3
533.679,2016.4
533.763,2160.9
533.847,2325.5
533.931,2503.1
534.016,2610.4
534.1,2664.2
534.184,2691.2
534.268,2670.5
534.352,2645.0
534.436,2619.8
534.521,2613.8
534.605,2612.4
534.689,2611.3
534.773,2594.1
534.857,2591.6
534.941,2577.3
535.025,2591.9
535.11,2587.5
535.194,2583.0
535.278,2580.5
535.362,2550.6
535.446,2538.6
535.53,2539.7
535.614,2529.8
535.699,2529.4
535.783,2494.5
535.867,2476.7
535.951,2450.8
536.035,2448.2
536.119,2457.3
536.203,2447.1
536.287,2453.2
536.372,2453.0
536.456,2457.6
536.54,2464.1
536.624,2448.9
536.708,2466.5
536.792,2436.6
536.876,2433.7
536.96,2434.0
537.044,2426.9
537.129,2408.4
537.213,2406.3
537.297,2402.8
537.381,2417.0
537.465,2418.3
537.549,2434.8
537.633,2425.1
537.717,2438.9
537.801,2441.1
537.885,2456.2
537.97,2444.4
538.054,2434.5
538.138,2438.7
538.222,2434.5
538.306,2423.9
538.39,2424.2
538.474,2389.3
538.558,2390.7
538.642,2395.3
538.726,2397.7
538.81,2399.0
538.894,2407.3
538.979,2409.1
539.063,2406.4
539.147,2410.1
539.231,2415.5
539.315,2402.3
539.399,2397.3
539.483,2414.3
539.567,2419.3
539.651,2393.4
539.735,2403.0
539.819,2391.8
539.903,2383.4
539.987,2386.6
540.071,2398.9
540.155,2398.1
540.239,2403.6
540.324,2419.8
540.408,2435.2
540.492,2437.0
540.576,2463.0
540.66,2456.4
540.744,2469.5
540.828,2471.5
540.912,2489.1
