cm-1,A
4000.0,-0.0034605321095062536
3999.0,-0.0034605321095062536
3998.0,-0.0034174452021935586
3997.0,-0.0034174452021935586
3996.0,-0.0034174452021935586
3995.0,-0.0034605321095062536
3994.0,-0.003503614742536687
3993.0,-0.0035897671891400584
3992.0,-0.0035897671891400584
3991.0,-0.003546693102131737
3990.0,-0.003503614742536687
3989.0,-0.0034605321095062536
3988.0,-0.0034174452021935586
3987.0,-0.0033743540197499478
3986.0,-0.0033312585613267665
3985.0,-0.0032881588260753603
3984.0,-0.0032450548131470747
3983.0,-0.0032881588260753603
3982.0,-0.0033743540197499478
3981.0,-0.003503614742536687
3980.0,-0.003546693102131737
3979.0,-0.003546693102131737
3978.0,-0.003503614742536687
3977.0,-0.0034605321095062536
3976.0,-0.0033743540197499478
3975.0,-0.0032881588260753603
3974.0,-0.0032881588260753603
3973.0,-0.0032881588260753603
3972.0,-0.0032881588260753603
3971.0,-0.0033743540197499478
3970.0,-0.0034174452021935586
3969.0,-0.0034605321095062536
3968.0,-0.0034605321095062536
3967.0,-0.0034174452021935586
3966.0,-0.0033312585613267665
3965.0,-0.0033312585613267665
3964.0,-0.0033312585613267665
3963.0,-0.0033743540197499478
3962.0,-0.0034174452021935586
3961.0,-0.0033743540197499478
3960.0,-0.0033312585613267665
3959.0,-0.0032881588260753603
3958.0,-0.0032881588260753603
3957.0,-0.0033312585613267665
3956.0,-0.0034174452021935586
3955.0,-0.003503614742536687
3954.0,-0.0035897671891400584
3953.0,-0.003675902548784027
3952.0,-0.003675902548784027
3951.0,-0.003675902548784027
3950.0,-0.003632837004408529
3949.0,-0.0035897671891400584
3948.0,-0.003503614742536687
3947.0,-0.0034605321095062536
3946.0,-0.0034605321095062536
3945.0,-0.0034605321095062536
3944.0,-0.003503614742536687
3943.0,-0.003546693102131737
3942.0,-0.003503614742536687
3941.0,-0.003503614742536687
3940.0,-0.003503614742536687
3939.0,-0.003546693102131737
3938.0,-0.0035897671891400584
3937.0,-0.003546693102131737
3936.0,-0.003503614742536687
3935.0,-0.0034605321095062536
3934.0,-0.003503614742536687
3933.0,-0.003546693102131737
3932.0,-0.003632837004408529
3931.0,-0.003632837004408529
3930.0,-0.003632837004408529
3929.0,-0.0035897671891400584
3928.0,-0.003503614742536687
