cm-1,A
4000.0,-0.0045792939022115675
3999.0,-0.004622265700782613
3998.0,-0.004708196544336296
3997.0,-0.004708196544336296
3996.0,-0.004622265700782613
3995.0,-0.004493337547274212
3994.0,-0.004407364176330919
3993.0,-0.004364371107751008
3992.0,-0.004407364176330919
3991.0,-0.004493337547274212
3990.0,-0.004622265700782613
3989.0,-0.004665233247877154
3988.0,-0.004622265700782613
3987.0,-0.004536317851322913
3986.0,-0.00445035298922436
3985.0,-0.004364371107751008
3984.0,-0.004321373782642635
3983.0,-0.0042783722001624724
3982.0,-0.004321373782642635
3981.0,-0.004364371107751008
3980.0,-0.004493337547274212
3979.0,-0.0045792939022115675
3978.0,-0.004665233247877154
3977.0,-0.004665233247877154
3976.0,-0.004708196544336296
3975.0,-0.004708196544336296
3974.0,-0.004708196544336296
3973.0,-0.004665233247877154
3972.0,-0.004622265700782613
3971.0,-0.004536317851322913
3970.0,-0.004493337547274212
3969.0,-0.00445035298922436
3968.0,-0.004407364176330919
3967.0,-0.004407364176330919
3966.0,-0.004407364176330919
3965.0,-0.00445035298922436
3964.0,-0.00445035298922436
3963.0,-0.00445035298922436
3962.0,-0.00445035298922436
3961.0,-0.004407364176330919
3960.0,-0.004364371107751008
3959.0,-0.004364371107751008
3958.0,-0.004407364176330919
3957.0,-0.004493337547274212
3956.0,-0.004536317851322913
3955.0,-0.0045792939022115675
3954.0,-0.004622265700782613
3953.0,-0.004622265700782613
3952.0,-0.0045792939022115675
3951.0,-0.004493337547274212
3950.0,-0.00445035298922436
3949.0,-0.00445035298922436
3948.0,-0.00445035298922436
3947.0,-0.00445035298922436
3946.0,-0.004407364176330919
3945.0,-0.004321373782642635
3944.0,-0.004321373782642635
3943.0,-0.004321373782642635
3942.0,-0.004364371107751008
3941.0,-0.004407364176330919
3940.0,-0.004493337547274212
3939.0,-0.0045792939022115675
3938.0,-0.004622265700782613
3937.0,-0.004665233247877154
3936.0,-0.004622265700782613
3935.0,-0.004622265700782613
3934.0,-0.004536317851322913
3933.0,-0.00445035298922436
3932.0,-0.0042783722001624724
3931.0,-0.004149341900058889
3930.0,-0.004106323279658319
3929.0,-0.004149341900058889
3928.0,-0.0042353663594676405
3927.0,-0.0042783722001624724
3926.0,-0.004321373782642635
3925.0,-0.0042783722001624724
3924.0,-0.004192356259714369
3923.0,-0.004106323279658319
3922.0,-0.004106323279658319
3921.0,-0.004149341900058889
3920.0,-0.0042783722001624724
3919.0,-0.004364371107751008
3918.0,-0.00445035298922436
3917.0,-0.004493337547274212
3916.0,-0.004493337547274212
3915.0,-0.004493337547274212
3914.0,-0.00445035298922436
3913.0,-0.004407364176330919
3912.0,-0.004407364176330919
3911.0,-0.004407364176330919
3910.0,-0.004364371107751008
3909.0,-0.004321373782642635
3908.0,-0.0042783722001624724
3907.0,-0.0042783722001624724
3906.0,-0.004321373782642635
3905.0,-0.00445035298922436
3904.0,-0.0045792939022115675
3903.0,-0.0045792939022115675
3902.0,-0.004536317851322913
3901.0,-0.00445035298922436
3900.0,-0.004407364176330919
3899.0,-0.004364371107751008
3898.0,-0.004407364176330919
3897.0,-0.00445035298922436
3896.0,-0.004493337547274212
3895.0,-0.0045792939022115675
3894.0,-0.004665233247877154
3893.0,-0.004751155591001144
3892.0,-0.004837060938309712
3891.0,-0.004794110388711914
3890.0,-0.004665233247877154
3889.0,-0.00445035298922436
3888.0,-0.0042783722001624724
3887.0,-0.0042783722001624724
