cm-1,A
4000.0,-0.0010843812922201046
3999.0,-0.00121432528617893
3998.0,-0.0013009330204178937
3997.0,-0.0013009330204178937
3996.0,-0.0013009330204178937
3995.0,-0.00121432528617893
3994.0,-0.0010843812922201046
3993.0,-0.0009977303577937136
3992.0,-0.0009543984064577238
3991.0,-0.0009977303577937136
3990.0,-0.001041057986093552
3989.0,-0.0011277002770349043
3988.0,-0.00121432528617893
3987.0,-0.001257631312230778
3986.0,-0.001257631312230778
3985.0,-0.00121432528617893
3984.0,-0.0011710149414008164
3983.0,-0.0011277002770349043
3982.0,-0.0011277002770349043
3981.0,-0.0011710149414008164
3980.0,-0.00121432528617893
3979.0,-0.001344230411601366
3978.0,-0.001474096691732818
3977.0,-0.0015606526425728795
3976.0,-0.0016039241497978196
3975.0,-0.0016039241497978196
3974.0,-0.0016039241497978196
3973.0,-0.0015606526425728795
3972.0,-0.0015173768235041685
3971.0,-0.0014308122463981832
3970.0,-0.001344230411601366
3969.0,-0.001257631312230778
3968.0,-0.0011710149414008164
3967.0,-0.0011277002770349043
3966.0,-0.0011277002770349043
3965.0,-0.00121432528617893
3964.0,-0.0013009330204178937
3963.0,-0.0013875234866409514
3962.0,-0.0014308122463981832
3961.0,-0.0014308122463981832
3960.0,-0.0013875234866409514
3959.0,-0.0013009330204178937
3958.0,-0.00121432528617893
3957.0,-0.0010843812922201046
3956.0,-0.0009543984064577238
3955.0,-0.0009110621312231615
3954.0,-0.0009110621312231615
3953.0,-0.0009543984064577238
3952.0,-0.0009543984064577238
3951.0,-0.0009543984064577238
3950.0,-0.0009977303577937136
3949.0,-0.0010843812922201046
3948.0,-0.0011710149414008164
3947.0,-0.00121432528617893
3946.0,-0.001257631312230778
3945.0,-0.001257631312230778
3944.0,-0.00121432528617893
3943.0,-0.0011710149414008164
3942.0,-0.0011710149414008164
3941.0,-0.0011710149414008164
3940.0,-0.0011710149414008164
3939.0,-0.0011710149414008164
3938.0,-0.0011710149414008164
3937.0,-0.0011277002770349043
3936.0,-0.0010843812922201046
3935.0,-0.0010843812922201046
3934.0,-0.0011710149414008164
3933.0,-0.0013009330204178937
3932.0,-0.0013875234866409514
3931.0,-0.0014308122463981832
3930.0,-0.001344230411601366
3929.0,-0.001257631312230778
3928.0,-0.0011710149414008164
3927.0,-0.0011710149414008164
3926.0,-0.0011710149414008164
3925.0,-0.0011710149414008164
3924.0,-0.0011710149414008164
3923.0,-0.0010843812922201046
3922.0,-0.001041057986093552
3921.0,-0.0009543984064577238
3920.0,-0.0009543984064577238
3919.0,-0.001041057986093552
3918.0,-0.0011710149414008164
3917.0,-0.0013009330204178937
3916.0,-0.0014308122463981832
3915.0,-0.0015173768235041685
3914.0,-0.0016039241497978196
3913.0,-0.0016471913460383014
3912.0,-0.0016039241497978196
3911.0,-0.0014308122463981832
3910.0,-0.00121432528617893
3909.0,-0.001041057986093552
3908.0,-0.0009977303577937136
3907.0,-0.001041057986093552
3906.0,-0.0011710149414008164
3905.0,-0.001257631312230778
3904.0,-0.001257631312230778
3903.0,-0.00121432528617893
3902.0,-0.0011710149414008164
3901.0,-0.00121432528617893
3900.0,-0.001257631312230778
3899.0,-0.0013009330204178937
