cm-1,A
4000.0,-0.47067504479893607
3999.0,-0.47055748521727425
3998.0,-0.4704251926391372
3997.0,-0.47030756539613794
3996.0,-0.47018990628555235
3995.0,-0.4700427875572135
3994.0,-0.4695716724419987
3993.0,-0.468952557265534
3992.0,-0.46868695177090514
3991.0,-0.4689968090596017
3990.0,-0.4694832814345218
3989.0,-0.46976312459806024
3988.0,-0.4698661792731422
3987.0,-0.469998642218747
3986.0,-0.4701457758996961
3985.0,-0.4701457758996961
3984.0,-0.47001335783016396
3983.0,-0.4698661792731422
3982.0,-0.46970422523106103
3981.0,-0.4693653987664339
3980.0,-0.46889354785861537
3979.0,-0.4683916439147624
3978.0,-0.4679630905351351
3977.0,-0.4676229024178249
3976.0,-0.46734167632357293
3975.0,-0.46711952701597736
3974.0,-0.46689726401692466
3973.0,-0.4666303981813926
3972.0,-0.466422722433792
3971.0,-0.46651173848614524
3970.0,-0.46697136432284303
3969.0,-0.4676081055836332
3968.0,-0.46811091533723737
3967.0,-0.46815525296793403
3966.0,-0.4676081055836332
3965.0,-0.4667341988263023
3964.0,-0.46611102248979197
3963.0,-0.4660219242575363
3962.0,-0.46618525705604696
3961.0,-0.4660367752323493
3960.0,-0.46553155697354986
3959.0,-0.4652043375806296
3958.0,-0.4653531042322756
3957.0,-0.4656058906462861
3956.0,-0.4655166887121296
3955.0,-0.4648917616397963
3954.0,-0.46372879165109016
3953.0,-0.46191851180895505
3952.0,-0.45967890701174285
3951.0,-0.45762457291305747
3950.0,-0.45651785780526266
3949.0,-0.45659375024440774
3948.0,-0.45694268474988764
3947.0,-0.4562597242664723
3946.0,-0.454753419965662
3945.0,-0.45431118814756655
3944.0,-0.4560318318952339
3943.0,-0.45868316434648104
3942.0,-0.4598747692989691
3941.0,-0.45900023926869427
3940.0,-0.45844142797876986
3939.0,-0.4603414693677652
3938.0,-0.46305642808515834
3937.0,-0.46344503177042773
3936.0,-0.46086778673508855
3935.0,-0.45754886041100873
3934.0,-0.4554691855576598
3933.0,-0.454677205220384
3932.0,-0.45446373275113805
3931.0,-0.4543264450192863
3930.0,-0.45373102950429356
3929.0,-0.4524304936995991
3928.0,-0.4508185538296683
3927.0,-0.4500642628252307
3926.0,-0.4508646923797661
3925.0,-0.4520625774204232
3924.0,-0.4513872536625003
3923.0,-0.44865995147093063
3922.0,-0.44663035331622947
3921.0,-0.4469253112427487
3920.0,-0.44801027303947594
3919.0,-0.4488917441512199
3918.0,-0.45091082602872
3917.0,-0.45452473559309725
3916.0,-0.4574579879820311
3915.0,-0.4584716523842314
3914.0,-0.45952818358345704
3913.0,-0.4624429225906743
3912.0,-0.4655761587039251
3911.0,-0.46643755970961376
3910.0,-0.4639825250097074
3909.0,-0.4587284749394973
3908.0,-0.45154082857194844
3907.0,-0.44359151844894695
3906.0,-0.43657606399906035
3905.0,-0.43165319734657626
3904.0,-0.42841019199733443
3903.0,-0.42519173623860373
3902.0,-0.42332780856244545
3901.0,-0.42714516124298907
3900.0,-0.43671907822757605
3899.0,-0.4454017966782642
3898.0,-0.4480567108862119
3897.0,-0.44683218827436155
3896.0,-0.4461020333689789
3895.0,-0.44605538603194717
3894.0,-0.4451058018625318
3893.0,-0.4452148760562169
3892.0,-0.44892264049683117
3891.0,-0.45210858400411746
3890.0,-0.44700289846616226
3889.0,-0.43746516612236386
3888.0,-0.43603536260786857
3887.0,-0.44437273624828677
3886.0,-0.4526755981756092
3885.0,-0.45151011793431595
3884.0,-0.4403107283825056
3883.0,-0.430752104359859
3882.0,-0.4332736710914489
3881.0,-0.4432786374283153
3880.0,-0.4496326504700745
3879.0,-0.4457909564400544
3878.0,-0.4366555221623538
3877.0,-0.4339297656084642
3876.0,-0.4390641378610498
3875.0,-0.4427305526613714
3874.0,-0.4374493052498054
3873.0,-0.42471833733156705
3872.0,-0.4156743345662606
3871.0,-0.41985665859727117
3870.0,-0.4312833318072613
3869.0,-0.43402569635624655
3868.0,-0.4246039912765811
3867.0,-0.4193112596899793
3866.0,-0.4269177138808158
3865.0,-0.43617855497218416
3864.0,-0.4382416401442919
3863.0,-0.4365283821220993
3862.0,-0.43619446232093617
3861.0,-0.43790903553949834
3860.0,-0.43855816979053497
3859.0,-0.4359717063993407
3858.0,-0.4300589224706428
3857.0,-0.4214723025372873
3856.0,-0.41254454210808866
3855.0,-0.4081551338862641
3854.0,-0.41550753559278375
3853.0,-0.43109023336461094
3852.0,-0.4326326222545829
3851.0,-0.4223764152241789
3850.0,-0.42868541543918814
3849.0,-0.4461020333689789
3848.0,-0.4553017716570764
3847.0,-0.4539143212378498
3846.0,-0.44882994486518113
3845.0,-0.44362279415700456
3844.0,-0.4375761760140904
3843.0,-0.42908983921257304
3842.0,-0.4181852429395643
3841.0,-0.4086299765862802
3840.0,-0.40524387986330446
3839.0,-0.40886720338681926
3838.0,-0.4153406725324058
3837.0,-0.4189307277285006
3836.0,-0.41876517499447763
3835.0,-0.42002179585995636
3834.0,-0.4264949953490338
3833.0,-0.43581252504583645
3832.0,-0.44287155482119767
3831.0,-0.44406041774077565
3830.0,-0.44062575413395333
3829.0,-0.43803577209307987
3828.0,-0.439758882863007
3827.0,-0.4427462218289051
3826.0,-0.4400112421114537
3825.0,-0.4291868449047129
3824.0,-0.417554724363455
3823.0,-0.41408715182753264
3822.0,-0.4193608697212836
3821.0,-0.4256483219260341
3820.0,-0.4208300620261136
3819.0,-0.40703380332803807
3818.0,-0.4073059070182823
3817.0,-0.4264949953490338
3816.0,-0.4461642220254758
3815.0,-0.4512643546218773
3814.0,-0.44463803050157713
3813.0,-0.4429811915267341
3812.0,-0.45044926886266445
3811.0,-0.45423489574826537
3810.0,-0.44895353464458765
3809.0,-0.4426051789648011
3808.0,-0.44271488292848016
3807.0,-0.44544851426605003
3806.0,-0.439253724017898
3805.0,-0.42344249107526144
3804.0,-0.41385276004286675
3803.0,-0.41906312449254823
3802.0,-0.4307198878632823
3801.0,-0.43592395811916473
3800.0,-0.4265600557561666
3799.0,-0.415140352195873
3798.0,-0.4210607191918787
3797.0,-0.4376395975003704
3796.0,-0.4486754081657236
3795.0,-0.44977142979761053
3794.0,-0.44791738244695667
3793.0,-0.4504800546060599
3792.0,-0.45624453516156915
3791.0,-0.45981451338740476
3790.0,-0.45957340610465236
3789.0,-0.4570639875876017
3788.0,-0.4535935099205206
3787.0,-0.4504954466594331
3786.0,-0.44916973216520084
3785.0,-0.4491851707276848
