cm-1,A
4000.0,-0.0013875234866409514
3999.0,-0.0013875234866409514
3998.0,-0.001344230411601366
3997.0,-0.0013009330204178937
3996.0,-0.00121432528617893
3995.0,-0.0011710149414008164
3994.0,-0.0011710149414008164
3993.0,-0.00121432528617893
3992.0,-0.0013875234866409514
3991.0,-0.0015173768235041685
3990.0,-0.0016039241497978196
3989.0,-0.0016471913460383014
3988.0,-0.0016471913460383014
3987.0,-0.0016471913460383014
3986.0,-0.0015606526425728795
3985.0,-0.001474096691732818
3984.0,-0.0014308122463981832
3983.0,-0.0013875234866409514
3982.0,-0.0013875234866409514
3981.0,-0.001474096691732818
3980.0,-0.0015606526425728795
3979.0,-0.0016471913460383014
3978.0,-0.001733712809000476
3977.0,-0.001776967077439462
3976.0,-0.001776967077439462
3975.0,-0.0016904542321527494
3974.0,-0.0016471913460383014
3973.0,-0.0016471913460383014
3972.0,-0.0016904542321527494
3971.0,-0.001776967077439462
3970.0,-0.0018634626925240205
3969.0,-0.0019067040408846658
3968.0,-0.0019499410842680476
3967.0,-0.0019499410842680476
3966.0,-0.0019931738235303698
3965.0,-0.0019931738235303698
3964.0,-0.0019067040408846658
3963.0,-0.001733712809000476
3962.0,-0.0016039241497978196
3961.0,-0.0015173768235041685
3960.0,-0.0015173768235041685
3959.0,-0.0015606526425728795
3958.0,-0.0015606526425728795
3957.0,-0.0015173768235041685
3956.0,-0.0014308122463981832
3955.0,-0.0013875234866409514
3954.0,-0.0013875234866409514
3953.0,-0.0014308122463981832
3952.0,-0.001474096691732818
3951.0,-0.0015606526425728795
3950.0,-0.0016471913460383014
3949.0,-0.0016904542321527494
3948.0,-0.0016904542321527494
3947.0,-0.0016039241497978196
3946.0,-0.0015173768235041685
3945.0,-0.001474096691732818
3944.0,-0.0014308122463981832
3943.0,-0.0014308122463981832
3942.0,-0.001474096691732818
3941.0,-0.0015606526425728795
3940.0,-0.0016471913460383014
3939.0,-0.0016904542321527494
3938.0,-0.0016471913460383014
3937.0,-0.0015606526425728795
3936.0,-0.0014308122463981832
3935.0,-0.0013875234866409514
3934.0,-0.001344230411601366
3933.0,-0.0013875234866409514
3932.0,-0.001474096691732818
3931.0,-0.0015606526425728795
3930.0,-0.0016039241497978196
3929.0,-0.0016471913460383014
3928.0,-0.0016471913460383014
3927.0,-0.0015173768235041685
3926.0,-0.0013875234866409514
3925.0,-0.001257631312230778
3924.0,-0.0011710149414008164
3923.0,-0.0010843812922201046
3922.0,-0.0010843812922201046
3921.0,-0.0011710149414008164
3920.0,-0.0013009330204178937
3919.0,-0.0013875234866409514
3918.0,-0.0013875234866409514
3917.0,-0.0013875234866409514
3916.0,-0.0013875234866409514
3915.0,-0.0014308122463981832
3914.0,-0.001474096691732818
3913.0,-0.0015173768235041685
3912.0,-0.0015606526425728795
3911.0,-0.0016039241497978196
3910.0,-0.0016039241497978196
3909.0,-0.0015606526425728795
3908.0,-0.001474096691732818
3907.0,-0.0014308122463981832
3906.0,-0.001344230411601366
3905.0,-0.001257631312230778
3904.0,-0.0011277002770349043
3903.0,-0.0009543984064577238
3902.0,-0.0008677215312267172
3901.0,-0.0008243766056055257
3900.0,-0.0008677215312267172
3899.0,-0.0009543984064577238
3898.0,-0.001041057986093552
3897.0,-0.0010843812922201046
3896.0,-0.0011277002770349043
3895.0,-0.00121432528617893
3894.0,-0.001344230411601366
3893.0,-0.0014308122463981832
3892.0,-0.0015173768235041685
3891.0,-0.0015173768235041685
3890.0,-0.0014308122463981832
3889.0,-0.0013009330204178937
3888.0,-0.0011710149414008164
3887.0,-0.0011277002770349043
3886.0,-0.0010843812922201046
3885.0,-0.0010843812922201046
3884.0,-0.0011277002770349043
3883.0,-0.00121432528617893
3882.0,-0.001344230411601366
3881.0,-0.0014308122463981832
3880.0,-0.0014308122463981832
3879.0,-0.001344230411601366
3878.0,-0.001257631312230778
3877.0,-0.0011710149414008164
3876.0,-0.0011710149414008164
3875.0,-0.0011710149414008164
3874.0,-0.0010843812922201046
3873.0,-0.0009543984064577238
3872.0,-0.0008243766056055257
3871.0,-0.0007810273534953893
3870.0,-0.0007810273534953893
3869.0,-0.0008677215312267172
3868.0,-0.0009543984064577238
3867.0,-0.001041057986093552
3866.0,-0.0011710149414008164
3865.0,-0.001257631312230778
3864.0,-0.0011710149414008164
3863.0,-0.0010843812922201046
3862.0,-0.001041057986093552
3861.0,-0.001041057986093552
3860.0,-0.0010843812922201046
3859.0,-0.0011277002770349043
3858.0,-0.0011277002770349043
3857.0,-0.0010843812922201046
3856.0,-0.001041057986093552
3855.0,-0.00121432528617893
3854.0,-0.001474096691732818
3853.0,-0.0015606526425728795
3852.0,-0.0015173768235041685
3851.0,-0.0014308122463981832
3850.0,-0.0014308122463981832
3849.0,-0.0014308122463981832
3848.0,-0.0013875234866409514
3847.0,-0.001344230411601366
3846.0,-0.0011710149414008164
3845.0,-0.0009977303577937136
3844.0,-0.0008677215312267172
3843.0,-0.0007376737740329986
3842.0,-0.0006943158663546001
3841.0,-0.0008243766056055257
3840.0,-0.001041057986093552
3839.0,-0.0013009330204178937
3838.0,-0.001474096691732818
3837.0,-0.001474096691732818
3836.0,-0.001344230411601366
3835.0,-0.001257631312230778
3834.0,-0.00121432528617893
3833.0,-0.0011710149414008164
3832.0,-0.0011710149414008164
3831.0,-0.0010843812922201046
3830.0,-0.0009543984064577238
3829.0,-0.0009110621312231615
3828.0,-0.0009110621312231615
3827.0,-0.001041057986093552
3826.0,-0.0011277002770349043
3825.0,-0.0011710149414008164
3824.0,-0.0011710149414008164
3823.0,-0.001257631312230778
3822.0,-0.001344230411601366
3821.0,-0.0013009330204178937
3820.0,-0.0011710149414008164
3819.0,-0.0010843812922201046
3818.0,-0.0010843812922201046
3817.0,-0.001257631312230778
3816.0,-0.001474096691732818
3815.0,-0.0016039241497978196
3814.0,-0.0016471913460383014
3813.0,-0.0016039241497978196
3812.0,-0.0015606526425728795
3811.0,-0.001474096691732818
3810.0,-0.0014308122463981832
3809.0,-0.0014308122463981832
3808.0,-0.0015173768235041685
3807.0,-0.0015173768235041685
3806.0,-0.0014308122463981832
3805.0,-0.001257631312230778
3804.0,-0.0011710149414008164
3803.0,-0.00121432528617893
3802.0,-0.001257631312230778
3801.0,-0.00121432528617893
3800.0,-0.0011277002770349043
3799.0,-0.0009543984064577238
3798.0,-0.0008677215312267172
3797.0,-0.0008243766056055257
3796.0,-0.0009110621312231615
3795.0,-0.0009977303577937136
3794.0,-0.0011277002770349043
3793.0,-0.001257631312230778
3792.0,-0.0013875234866409514
3791.0,-0.0014308122463981832
3790.0,-0.001474096691732818
3789.0,-0.001474096691732818
3788.0,-0.001474096691732818
3787.0,-0.001474096691732818
3786.0,-0.001474096691732818
3785.0,-0.001474096691732818
3784.0,-0.0014308122463981832
3783.0,-0.001344230411601366
3782.0,-0.001257631312230778
3781.0,-0.001257631312230778
3780.0,-0.001344230411601366
3779.0,-0.001474096691732818
3778.0,-0.001474096691732818
3777.0,-0.0014308122463981832
3776.0,-0.001344230411601366
3775.0,-0.001257631312230778
3774.0,-0.0011710149414008164
3773.0,-0.0011277002770349043
3772.0,-0.0011710149414008164
3771.0,-0.00121432528617893
3770.0,-0.0011710149414008164
3769.0,-0.0011277002770349043
3768.0,-0.001041057986093552
3767.0,-0.0009977303577937136
3766.0,-0.001041057986093552
3765.0,-0.0011277002770349043
3764.0,-0.0011710149414008164
3763.0,-0.0011710149414008164
3762.0,-0.0011710149414008164
3761.0,-0.0011710149414008164
3760.0,-0.0011710149414008164
3759.0,-0.0011277002770349043
3758.0,-0.001041057986093552
3757.0,-0.0009977303577937136
3756.0,-0.0008677215312267172
3755.0,-0.0007376737740329986
3754.0,-0.0006509536295951079
3753.0,-0.0006509536295951079
3752.0,-0.0007376737740329986
3751.0,-0.0007810273534953893
3750.0,-0.0009110621312231615
3749.0,-0.0010843812922201046
3748.0,-0.00121432528617893
3747.0,-0.001257631312230778
3746.0,-0.0013009330204178937
3745.0,-0.001257631312230778
3744.0,-0.0011710149414008164
3743.0,-0.001041057986093552
3742.0,-0.0009977303577937136
3741.0,-0.0010843812922201046
3740.0,-0.00121432528617893
3739.0,-0.001344230411601366
3738.0,-0.001474096691732818
3737.0,-0.0015173768235041685
3736.0,-0.0014308122463981832
3735.0,-0.001344230411601366
3734.0,-0.0013875234866409514
3733.0,-0.0016039241497978196
3732.0,-0.0018202170383281313
3731.0,-0.0019499410842680476
3730.0,-0.0019067040408846658
3729.0,-0.0018634626925240205
3728.0,-0.0019067040408846658
3727.0,-0.0019931738235303698
3726.0,-0.0020364022595291686
3725.0,-0.0019067040408846658
3724.0,-0.001733712809000476
3723.0,-0.0016039241497978196
3722.0,-0.0015173768235041685
3721.0,-0.0015173768235041685
3720.0,-0.0015173768235041685
3719.0,-0.001474096691732818
3718.0,-0.0014308122463981832
3717.0,-0.0013875234866409514
3716.0,-0.001257631312230778
3715.0,-0.00121432528617893
3714.0,-0.0013009330204178937
3713.0,-0.001474096691732818
3712.0,-0.001733712809000476
3711.0,-0.0019067040408846658
3710.0,-0.0019499410842680476
3709.0,-0.0019067040408846658
3708.0,-0.0018634626925240205
3707.0,-0.0018202170383281313
3706.0,-0.001776967077439462
3705.0,-0.001733712809000476
3704.0,-0.001776967077439462
3703.0,-0.0018202170383281313
3702.0,-0.0019499410842680476
3701.0,-0.0019931738235303698
3700.0,-0.0019931738235303698
3699.0,-0.0019067040408846658
3698.0,-0.0018202170383281313
3697.0,-0.001733712809000476
3696.0,-0.0016904542321527494
3695.0,-0.0016904542321527494
3694.0,-0.0016904542321527494
3693.0,-0.0016039241497978196
3692.0,-0.0014308122463981832
3691.0,-0.0011710149414008164
3690.0,-0.001041057986093552
3689.0,-0.001041057986093552
3688.0,-0.0011710149414008164
3687.0,-0.0013009330204178937
3686.0,-0.001344230411601366
3685.0,-0.001344230411601366
3684.0,-0.001344230411601366
3683.0,-0.0013009330204178937
3682.0,-0.00121432528617893
3681.0,-0.0011277002770349043
3680.0,-0.001041057986093552
3679.0,-0.0008677215312267172
3678.0,-0.0007376737740329986
3677.0,-0.0006075870628903246
3676.0,-0.0005642161653756084
3675.0,-0.0005208409361854294
3674.0,-0.0005208409361854294
3673.0,-0.0004774613744551459
3672.0,-0.0003906892499099257
3671.0,-0.00030389978481260016
3670.0,-0.00021709297223004853
3669.0,-0.00021709297223004853
3668.0,-0.0003472966853634851
3667.0,-0.0005208409361854294
3666.0,-0.0006075870628903246
3665.0,-0.0006509536295951079
3664.0,-0.0006943158663546001
3663.0,-0.0007376737740329986
3662.0,-0.0007810273534953893
3661.0,-0.0007810273534953893
3660.0,-0.0007376737740329986
3659.0,-0.0006509536295951079
3658.0,-0.0006075870628903246
3657.0,-0.0005642161653756084
3656.0,-0.0004774613744551459
3655.0,-0.0003906892499099257
3654.0,-0.0003472966853634851
3653.0,-0.00030389978481260016
3652.0,-0.00043407747931878404
3651.0,-0.0005642161653756084
3650.0,-0.0005208409361854294
3649.0,-0.00021709297223004853
3648.0,0.0
3647.0,0.0
3646.0,-8.685021164911433e-05
3645.0,-0.00021709297223004853
3644.0,-0.0003906892499099257
3643.0,-0.0006075870628903246
3642.0,-0.0007376737740329986
3641.0,-0.0007810273534953893
3640.0,-0.0007376737740329986
3639.0,-0.0006943158663546001
3638.0,-0.0007376737740329986
3637.0,-0.0008677215312267172
3636.0,-0.0010843812922201046
3635.0,-0.001257631312230778
3634.0,-0.0013009330204178937
3633.0,-0.0011710149414008164
3632.0,-0.0009977303577937136
3631.0,-0.0008243766056055257
3630.0,-0.0007376737740329986
3629.0,-0.0006943158663546001
3628.0,-0.0007376737740329986
3627.0,-0.0009110621312231615
3626.0,-0.0009977303577937136
3625.0,-0.001041057986093552
3624.0,-0.0009543984064577238
3623.0,-0.0007810273534953893
3622.0,-0.0006075870628903246
3621.0,-0.0005208409361854294
3620.0,-0.0005208409361854294
3619.0,-0.0005642161653756084
3618.0,-0.0005642161653756084
3617.0,-0.0005208409361854294
3616.0,-0.0004774613744551459
3615.0,-0.00043407747931878404
3614.0,-0.00043407747931878404
3613.0,-0.0004774613744551459
3612.0,-0.0006509536295951079
3611.0,-0.0008677215312267172
3610.0,-0.001041057986093552
3609.0,-0.0011277002770349043
3608.0,-0.0010843812922201046
3607.0,-0.0009977303577937136
3606.0,-0.0009543984064577238
3605.0,-0.0009543984064577238
3604.0,-0.0009110621312231615
3603.0,-0.0008243766056055257
3602.0,-0.0006943158663546001
3601.0,-0.0005642161653756084
3600.0,-0.0005208409361854294
3599.0,-0.0005642161653756084
3598.0,-0.0006943158663546001
3597.0,-0.0007810273534953893
3596.0,-0.0007810273534953893
3595.0,-0.0007376737740329986
3594.0,-0.0006509536295951079
3593.0,-0.0005642161653756084
3592.0,-0.0005208409361854294
3591.0,-0.0004774613744551459
3590.0,-0.00043407747931878404
3589.0,-0.0004774613744551459
3588.0,-0.0004774613744551459
3587.0,-0.0003906892499099257
3586.0,-0.0003472966853634851
3585.0,-0.00030389978481260016
3584.0,-0.0002604985473904087
3583.0,-0.00017368305846510168
3582.0,-4.3427276862573194e-05
3581.0,0.00017375254558760211
3580.0,0.0003475746339209884
3579.0,0.00043451177401765406
3578.0,0.0004779868710962365
3577.0,0.00043451177401765406
3576.0,0.0003475746339209884
3575.0,0.00026065489343207737
3574.0,0.00021720154586435392
3573.0,0.00021720154586435392
3572.0,0.00021720154586435392
3571.0,0.00026065489343207737
3570.0,0.0003475746339209884
3569.0,0.00043451177401765406
3568.0,0.0005649501236701937
3567.0,0.0006519307932786322
3566.0,0.0006084382809090627
3565.0,0.0004779868710962365
3564.0,0.0003475746339209884
3563.0,0.00026065489343207737
3562.0,0.00026065489343207737
3561.0,0.00021720154586435392
3560.0,0.00017375254558760211
3559.0,8.686758342868472e-05
3558.0,4.343161980746579e-05
3557.0,0.0
3556.0,4.343161980746579e-05
3555.0,0.00017375254558760211
3554.0,0.0003910410285830057
3553.0,0.0005649501236701937
3552.0,0.0006519307932786322
3551.0,0.0006519307932786322
3550.0,0.0005649501236701937
3549.0,0.000521466320689834
3548.0,0.000521466320689834
3547.0,0.0005649501236701937
3546.0,0.0005649501236701937
3545.0,0.000521466320689834
3544.0,0.000521466320689834
3543.0,0.000521466320689834
3542.0,0.0005649501236701937
3541.0,0.0006519307932786322
3540.0,0.0006519307932786322
3539.0,0.0006954276616513155
3538.0,0.0006519307932786322
3537.0,0.0006519307932786322
3536.0,0.0006084382809090627
3535.0,0.0006084382809090627
3534.0,0.0006519307932786322
3533.0,0.0006954276616513155
3532.0,0.0006954276616513155
3531.0,0.0007389288868995258
3530.0,0.0008259444115150671
3529.0,0.0009565003968372565
3528.0,0.0011306361176557367
3527.0,0.0011741809597138886
3526.0,0.0010870956412141197
3525.0,0.0010000277816797354
3524.0,0.0009565003968372565
3523.0,0.0010000277816797354
3522.0,0.0010435595295137379
3521.0,0.0011306361176557367
3520.0,0.0012177301682640973
3519.0,0.0012612837441823288
3518.0,0.0012612837441823288
3517.0,0.001304841688344327
3516.0,0.0013919706849057079
3515.0,0.0014791171649619628
3514.0,0.0015662811355310335
3513.0,0.0016534626036355249
3512.0,0.0016970599014589638
3511.0,0.0017406615763013722
3510.0,0.0016970599014589638
3509.0,0.0016970599014589638
3508.0,0.0016534626036355249
3507.0,0.0016970599014589638
3506.0,0.0017406615763013722
3505.0,0.0018278780605593958
3504.0,0.001915112063444413
3503.0,0.0019587356365717845
3502.0,0.0019587356365717845
3501.0,0.001915112063444413
3500.0,0.001915112063444413
3499.0,0.0018714928717336043
3498.0,0.0018278780605593958
3497.0,0.0017406615763013722
3496.0,0.0016534626036355249
3495.0,0.0015662811355310335
3494.0,0.0015226969634936083
3493.0,0.0015226969634936083
3492.0,0.0015662811355310335
3491.0,0.0015662811355310335
3490.0,0.0015662811355310335
3489.0,0.0015662811355310335
3488.0,0.0015662811355310335
3487.0,0.0014791171649619628
3486.0,0.0013919706849057079
3485.0,0.001304841688344327
3484.0,0.0012612837441823288
3483.0,0.0012177301682640973
3482.0,0.0011306361176557367
3481.0,0.0010435595295137379
3480.0,0.0009565003968372565
3479.0,0.000869458712629001
3478.0,0.0008259444115150671
3477.0,0.0007824344698965646
3476.0,0.0007389288868995258
3475.0,0.0007824344698965646
3474.0,0.0008259444115150671
3473.0,0.0007824344698965646
3472.0,0.0006954276616513155
3471.0,0.000521466320689834
3470.0,0.0003910410285830057
3469.0,0.0003475746339209884
3468.0,0.0003910410285830057
3467.0,0.00043451177401765406
3466.0,0.0004779868710962365
3465.0,0.0004779868710962365
3464.0,0.00043451177401765406
3463.0,0.0003910410285830057
3462.0,0.00043451177401765406
3461.0,0.0004779868710962365
3460.0,0.00043451177401765406
3459.0,0.0003475746339209884
3458.0,0.00026065489343207737
3457.0,0.00021720154586435392
3456.0,0.00021720154586435392
3455.0,0.00026065489343207737
3454.0,0.00030411258916074324
3453.0,0.00030411258916074324
3452.0,0.00026065489343207737
3451.0,0.00021720154586435392
3450.0,0.0001303078917322953
3449.0,4.343161980746579e-05
3448.0,0.0
3447.0,0.0
3446.0,4.343161980746579e-05
3445.0,0.0001303078917322953
3444.0,0.00021720154586435392
3443.0,0.00030411258916074324
3442.0,0.00030411258916074324
3441.0,0.00030411258916074324
3440.0,0.00026065489343207737
3439.0,0.00017375254558760211
3438.0,8.686758342868472e-05
3437.0,-4.3427276862573194e-05
3436.0,-0.00013026880522692963
3435.0,-0.00021709297223004853
3434.0,-0.00021709297223004853
3433.0,-0.00017368305846510168
3432.0,-0.00017368305846510168
3431.0,-0.00017368305846510168
3430.0,-0.0002604985473904087
3429.0,-0.0002604985473904087
3428.0,-0.00017368305846510168
3427.0,-4.3427276862573194e-05
3426.0,8.686758342868472e-05
3425.0,0.0001303078917322953
3424.0,4.343161980746579e-05
3423.0,-8.685021164911433e-05
3422.0,-0.00017368305846510168
3421.0,-0.00013026880522692963
3420.0,4.343161980746579e-05
3419.0,0.00021720154586435392
3418.0,0.00030411258916074324
3417.0,0.00030411258916074324
3416.0,0.00021720154586435392
3415.0,0.00021720154586435392
3414.0,0.00021720154586435392
3413.0,0.00026065489343207737
3412.0,0.00030411258916074324
3411.0,0.0003910410285830057
3410.0,0.0003910410285830057
3409.0,0.0003475746339209884
3408.0,0.00021720154586435392
3407.0,8.686758342868472e-05
3406.0,4.343161980746579e-05
3405.0,8.686758342868472e-05
3404.0,0.0001303078917322953
3403.0,0.0001303078917322953
3402.0,4.343161980746579e-05
3401.0,-0.00013026880522692963
3400.0,-0.0002604985473904087
3399.0,-0.00030389978481260016
3398.0,-0.0002604985473904087
3397.0,-0.00021709297223004853
3396.0,-0.00017368305846510168
3395.0,-0.00013026880522692963
3394.0,-0.00013026880522692963
3393.0,-8.685021164911433e-05
3392.0,-4.3427276862573194e-05
3391.0,0.0
3390.0,4.343161980746579e-05
3389.0,0.0
3388.0,4.343161980746579e-05
3387.0,0.0001303078917322953
3386.0,0.00026065489343207737
3385.0,0.0003475746339209884
3384.0,0.0003475746339209884
3383.0,0.00026065489343207737
3382.0,0.0001303078917322953
3381.0,-4.3427276862573194e-05
3380.0,-0.00017368305846510168
3379.0,-0.00030389978481260016
3378.0,-0.0003472966853634851
3377.0,-0.00021709297223004853
3376.0,0.0
3375.0,0.0001303078917322953
3374.0,0.00021720154586435392
3373.0,0.00017375254558760211
3372.0,8.686758342868472e-05
3371.0,0.0
3370.0,-4.3427276862573194e-05
3369.0,4.343161980746579e-05
3368.0,0.00017375254558760211
3367.0,0.00030411258916074324
3366.0,0.0003910410285830057
3365.0,0.0003910410285830057
3364.0,0.00026065489343207737
3363.0,0.00017375254558760211
3362.0,8.686758342868472e-05
3361.0,0.0001303078917322953
3360.0,0.00017375254558760211
3359.0,0.00017375254558760211
3358.0,0.0001303078917322953
3357.0,8.686758342868472e-05
3356.0,4.343161980746579e-05
3355.0,0.0
3354.0,0.0
3353.0,0.0
3352.0,4.343161980746579e-05
3351.0,4.343161980746579e-05
3350.0,8.686758342868472e-05
3349.0,0.0001303078917322953
3348.0,0.00017375254558760211
3347.0,0.00026065489343207737
3346.0,0.00030411258916074324
3345.0,0.00021720154586435392
3344.0,8.686758342868472e-05
3343.0,-4.3427276862573194e-05
3342.0,-4.3427276862573194e-05
3341.0,4.343161980746579e-05
3340.0,0.00017375254558760211
3339.0,0.00026065489343207737
3338.0,0.00026065489343207737
3337.0,0.00026065489343207737
3336.0,0.00026065489343207737
3335.0,0.00026065489343207737
3334.0,0.00017375254558760211
3333.0,8.686758342868472e-05
3332.0,-4.3427276862573194e-05
3331.0,-0.00017368305846510168
3330.0,-0.0002604985473904087
3329.0,-0.00030389978481260016
3328.0,-0.0002604985473904087
3327.0,-0.00021709297223004853
3326.0,-0.00013026880522692963
3325.0,-4.3427276862573194e-05
3324.0,0.0001303078917322953
3323.0,0.00030411258916074324
3322.0,0.0004779868710962365
3321.0,0.000521466320689834
3320.0,0.00043451177401765406
3319.0,0.00017375254558760211
3318.0,-8.685021164911433e-05
3317.0,-0.0002604985473904087
3316.0,-0.00030389978481260016
3315.0,-0.0002604985473904087
3314.0,-0.00013026880522692963
3313.0,0.0
3312.0,0.0001303078917322953
3311.0,0.00021720154586435392
3310.0,0.00030411258916074324
3309.0,0.00026065489343207737
3308.0,0.00021720154586435392
3307.0,0.00017375254558760211
3306.0,0.00017375254558760211
3305.0,0.00017375254558760211
3304.0,0.00017375254558760211
3303.0,0.0001303078917322953
3302.0,4.343161980746579e-05
3301.0,-4.3427276862573194e-05
3300.0,-8.685021164911433e-05
3299.0,-8.685021164911433e-05
3298.0,0.0
3297.0,0.0001303078917322953
3296.0,0.00026065489343207737
3295.0,0.00030411258916074324
3294.0,0.00030411258916074324
3293.0,0.00026065489343207737
3292.0,0.00017375254558760211
3291.0,8.686758342868472e-05
3290.0,4.343161980746579e-05
3289.0,4.343161980746579e-05
3288.0,4.343161980746579e-05
3287.0,4.343161980746579e-05
3286.0,4.343161980746579e-05
3285.0,8.686758342868472e-05
3284.0,8.686758342868472e-05
3283.0,4.343161980746579e-05
3282.0,0.0
3281.0,0.0
3280.0,4.343161980746579e-05
3279.0,8.686758342868472e-05
3278.0,8.686758342868472e-05
3277.0,8.686758342868472e-05
3276.0,4.343161980746579e-05
3275.0,8.686758342868472e-05
3274.0,0.0001303078917322953
3273.0,0.00017375254558760211
3272.0,0.00021720154586435392
3271.0,0.00017375254558760211
3270.0,8.686758342868472e-05
3269.0,0.0
3268.0,0.0
3267.0,4.343161980746579e-05
3266.0,0.0001303078917322953
3265.0,0.00017375254558760211
3264.0,0.00021720154586435392
3263.0,0.00017375254558760211
3262.0,8.686758342868472e-05
3261.0,0.0
3260.0,-4.3427276862573194e-05
3259.0,-4.3427276862573194e-05
3258.0,0.0
3257.0,4.343161980746579e-05
3256.0,8.686758342868472e-05
3255.0,0.0001303078917322953
3254.0,0.00017375254558760211
3253.0,0.00021720154586435392
3252.0,0.00021720154586435392
3251.0,8.686758342868472e-05
3250.0,-4.3427276862573194e-05
3249.0,-8.685021164911433e-05
3248.0,-4.3427276862573194e-05
3247.0,8.686758342868472e-05
3246.0,0.0001303078917322953
3245.0,0.0001303078917322953
3244.0,4.343161980746579e-05
3243.0,4.343161980746579e-05
3242.0,8.686758342868472e-05
3241.0,0.00017375254558760211
3240.0,0.00030411258916074324
3239.0,0.0003910410285830057
3238.0,0.0003910410285830057
3237.0,0.00030411258916074324
3236.0,0.00026065489343207737
3235.0,0.00021720154586435392
3234.0,0.00021720154586435392
3233.0,0.00026065489343207737
3232.0,0.00030411258916074324
3231.0,0.0003475746339209884
3230.0,0.0003475746339209884
3229.0,0.00030411258916074324
3228.0,0.00017375254558760211
3227.0,-4.3427276862573194e-05
3226.0,-0.00017368305846510168
