nm,Intensity
526.486,830.9
526.622,830.5
526.759,831.7
526.896,831.3
527.033,829.9
527.169,830.3
527.306,830.0
527.443,830.3
527.579,829.1
527.716,830.9
527.853,830.8
527.989,830.8
528.126,829.2
528.263,829.3
528.399,829.2
528.536,829.8
528.672,831.2
528.809,829.6
528.946,829.6
529.082,829.4
529.219,829.4
529.355,831.4
529.492,830.2
529.628,830.8
529.765,829.4
529.901,830.7
530.038,830.3
530.174,830.8
530.311,829.6
530.447,829.1
530.584,829.9
530.72,830.8
530.857,831.7
530.993,829.5
531.13,828.9
531.266,831.1
531.403,829.4
531.539,830.3
531.676,828.6
531.812,829.7
531.948,832.3
532.085,865.0
532.221,893.1
532.358,848.8
532.494,830.9
532.63,829.8
532.767,829.0
532.903,829.9
533.039,830.8
533.176,830.2
533.312,829.7
533.448,830.5
533.585,831.3
533.721,839.9
533.857,886.9
533.993,977.6
534.13,1022.9
534.266,1020.2
534.402,999.6
534.539,990.7
534.675,981.3
534.811,968.8
534.947,965.7
535.083,954.3
535.22,947.2
535.356,942.9
535.492,931.9
535.628,930.8
535.764,929.2
535.901,922.6
536.037,919.6
536.173,915.6
536.309,916.4
536.445,919.0
536.581,922.3
536.717,921.4
536.854,918.2
536.99,916.5
537.126,911.6
537.262,911.2
537.398,910.2
537.534,911.1
537.67,910.7
537.806,907.4
537.942,910.8
538.078,911.8
538.214,906.9
538.35,902.8
538.486,898.9
538.622,895.9
538.758,897.8
538.894,896.0
539.03,896.9
539.166,896.4
539.302,896.1
539.438,894.7
539.574,893.7
539.71,890.3
539.846,886.8
539.982,887.0
540.118,884.7
540.254,892.0
540.39,895.5
540.526,898.2
540.662,903.7
540.798,905.4
540.933,905.0
541.069,904.2
541.205,905.7
541.341,902.3
541.477,902.7
541.613,898.5
541.749,895.2
541.884,892.9
542.02,891.7
542.156,889.8
542.292,888.9
542.428,891.6
542.563,892.0
542.699,887.4
542.835,893.3
542.971,894.7
543.106,899.8
543.242,906.6
543.378,913.6
543.514,923.4
543.649,925.9
543.785,924.1
543.921,922.8
544.057,919.5
544.192,911.7
544.328,908.9
544.464,903.9
544.599,899.5
544.735,896.0
544.871,893.8
545.006,889.5
545.142,891.0
545.278,890.1
545.413,890.3
545.549,890.3
545.684,889.4
545.82,888.5
545.956,885.4
546.091,888.1
546.227,884.2
546.362,886.6
546.498,888.8
546.634,886.9
546.769,888.7
546.905,889.5
547.04,891.7
547.176,889.7
547.311,885.8
547.447,887.7
547.582,890.0
547.718,891.0
547.853,887.9
547.989,889.3
548.124,889.4
548.26,886.4
548.395,889.4
548.531,892.3
548.666,890.4
548.802,893.4
548.937,894.1
549.072,891.6
549.208,896.3
549.343,891.1
549.479,892.0
549.614,892.9
549.75,893.8
549.885,894.9
550.02,894.2
550.156,891.0
550.291,892.7
550.426,894.4
550.562,896.8
550.697,894.4
550.832,898.2
550.968,897.7
551.103,896.8
551.238,897.1
551.374,896.7
551.509,900.0
551.644,900.0
551.78,897.2
551.915,900.1
552.05,901.1
552.185,902.1
552.321,901.5
552.456,904.9
552.591,899.8
552.726,903.3
552.862,901.6
552.997,900.1
553.132,902.2
553.267,899.2
553.403,898.9
553.538,900.1
553.673,901.1
553.808,906.6
553.943,911.4
554.078,909.2
554.214,907.5
554.349,908.7
554.484,902.6
554.619,902.4
554.754,899.2
554.889,897.1
555.024,900.5
555.16,897.9
555.295,897.8
555.43,897.6
555.565,893.9
555.7,893.3
555.835,893.4
555.97,894.4
556.105,895.5
556.24,894.4
556.375,895.2
556.51,896.2
556.645,895.5
556.78,898.5
556.915,897.3
557.05,899.8
557.185,907.0
557.32,905.8
557.455,912.7
557.59,920.7
557.725,943.2
557.86,977.3
557.995,1012.8
558.13,1049.5
558.265,1022.5
558.4,969.4
558.535,930.7
558.67,923.5
558.805,918.0
558.94,917.7
559.075,913.1
559.21,912.8
559.345,909.8
559.479,912.0
559.614,909.6
559.749,910.6
559.884,908.4
560.019,907.2
560.154,903.7
560.289,906.6
560.424,902.1
560.558,904.1
560.693,903.9
560.828,905.2
560.963,901.9
561.098,901.9
561.232,896.8
561.367,899.1
561.502,900.7
561.637,901.2
561.772,902.6
561.906,900.5
562.041,900.5
562.176,900.7
562.311,905.4
562.445,906.6
562.58,904.5
562.715,909.7
562.85,913.0
562.984,916.9
563.119,921.5
563.254,929.0
563.388,944.7
563.523,945.9
563.658,944.3
563.792,931.4
563.927,925.7
564.062,915.2
564.196,917.4
564.331,913.8
564.466,916.5
564.6,917.8
564.735,920.0
564.87,929.3
565.004,935.4
565.139,936.8
565.273,934.4
565.408,932.2
565.543,931.8
565.677,931.3
565.812,935.7
565.946,947.6
566.081,956.6
566.215,956.5
566.35,951.3
566.485,941.7
566.619,927.7
566.754,922.0
