cm-1,Intensity
-123.878,1853.15
-120.866,1853.55
-117.855,1851.95
-114.845,1852.55
-111.836,1852.85
-108.828,1852.7
-105.821,1852.2
-102.815,1853.1
-99.8104,1853.25
-96.8065,1852.45
-93.8036,1852.75
-90.8016,1854.15
-87.8007,1852.65
-84.8008,1853.65
-81.8019,1853.55
-78.8039,1851.45
-75.807,1853.75
-72.8111,1853.6
-69.8161,1853.6
-66.8222,1852.8
-63.8293,1853.6
-60.8373,1854.1
-57.8464,1852.85
-54.8564,1853.15
-51.8675,1853.3
-48.8795,1855.5
-45.8926,1854.2
-42.9066,1854.1
-39.9216,1855.3
-36.9377,1855.7
-33.9547,1854.05
-30.9727,1857.05
-27.9917,1856.1
-25.0117,1857.0
-22.0326,1860.2
-19.0546,1867.7
-16.0776,1887.4
-13.1015,1971.75
-10.1265,2304.65
-7.1524,2955.6
-4.17932,3578.4
-1.20723,3837.5
1.76388,3428.65
4.734,2488.2
7.70313,1986.65
10.6713,1867.3
13.6384,1857.3
16.6046,1855.95
19.5698,1854.05
22.534,1854.25
25.4972,1854.1
28.4595,1854.05
31.4207,1854.2
34.381,1854.75
37.3403,1854.25
40.2986,1856.7
43.256,1858.4
46.2123,1863.4
49.1677,1880.4
52.1221,1927.1
55.0755,2024.15
58.0279,2158.1
60.9794,2296.55
63.9299,2403.45
66.8794,2465.9
69.8279,2487.4
72.7754,2494.2
75.722,2495.35
78.6676,2486.2
81.6122,2488.1
84.5559,2494.3
87.4985,2485.25
90.4402,2483.65
93.381,2476.15
96.3207,2468.35
99.2595,2462.3
102.197,2467.65
105.134,2474.95
108.07,2482.55
111.005,2480.95
113.939,2485.5
116.872,2482.6
119.804,2504.4
122.735,2478.65
125.665,2459.5
128.594,2449.3
131.522,2448.3
134.449,2440.05
137.375,2416.3
140.301,2441.6
143.225,2451.75
146.148,2441.6
149.07,2452.5
151.992,2459.35
154.912,2454.0
157.832,2464.3
160.75,2479.75
163.668,2453.3
166.584,2443.6
169.5,2424.3
172.414,2449.05
175.328,2452.05
178.241,2460.55
181.153,2459.15
184.063,2465.35
186.973,2488.7
189.882,2469.6
192.79,2479.35
195.697,2486.3
198.603,2475.0
201.508,2470.2
204.412,2469.25
207.315,2461.85
210.217,2455.3
213.119,2459.4
216.019,2468.65
218.918,2463.25
221.816,2464.95
224.714,2465.75
227.61,2452.15
230.506,2466.25
233.4,2456.35
236.294,2474.1
239.187,2479.7
242.078,2494.55
244.969,2490.8
247.859,2482.5
250.748,2478.15
253.636,2484.15
256.523,2469.45
259.409,2469.0
262.294,2477.15
265.178,2485.85
268.061,2481.7
270.943,2478.6
273.824,2475.45
276.705,2476.6
279.584,2483.3
282.463,2503.85
285.34,2504.8
288.217,2503.8
291.092,2524.5
293.967,2527.35
296.841,2528.65
299.713,2528.2
302.585,2519.0
305.456,2519.85
308.326,2525.75
311.195,2535.0
314.063,2557.05
316.93,2539.4
319.797,2535.95
322.662,2539.15
325.526,2524.5
328.389,2527.55
331.252,2524.3
334.113,2533.9
336.974,2522.9
339.834,2534.1
342.692,2527.9
345.55,2531.15
348.407,2531.45
351.263,2541.4
354.118,2550.25
356.972,2557.05
359.825,2552.8
362.677,2563.1
365.529,2557.75
368.379,2562.3
371.228,2578.2
374.077,2579.9
376.924,2593.1
379.771,2589.3
382.616,2582.15
385.461,2592.35
388.305,2603.4
391.148,2611.5
393.99,2629.8
396.831,2649.6
399.671,2637.15
402.51,2634.9
405.348,2633.45
408.186,2627.6
411.022,2628.1
413.858,2631.9
416.692,2632.5
419.526,2603.0
422.359,2619.15
425.19,2602.05
428.021,2604.65
430.851,2599.35
433.68,2610.0
436.508,2613.75
439.335,2611.45
442.162,2625.75
444.987,2640.25
447.811,2618.55
450.635,2608.4
453.458,2621.55
456.279,2612.1
459.1,2597.85
461.92,2603.05
464.739,2629.7
467.557,2635.8
470.374,2634.5
473.19,2650.0
476.005,2637.8
478.82,2637.6
481.633,2632.7
484.445,2644.75
487.257,2648.85
490.068,2635.5
492.878,2637.8
495.686,2641.75
498.494,2642.85
501.301,2645.8
504.107,2656.45
506.913,2664.8
509.717,2676.55
512.52,2680.85
515.323,2660.55
518.124,2664.3
520.925,2658.15
523.725,2670.5
526.524,2686.1
529.322,2677.95
532.119,2678.45
534.915,2673.7
537.71,2687.0
540.504,2689.5
543.298,2685.1
546.09,2691.15
548.882,2707.65
551.673,2718.1
554.462,2722.35
557.251,2723.4
560.039,2724.3
562.826,2720.6
565.613,2729.7
568.398,2727.0
571.182,2748.65
573.966,2728.75
576.748,2728.85
579.53,2730.0
582.311,2744.75
585.091,2732.35
587.87,2732.45
590.648,2746.7
593.425,2755.4
596.201,2754.95
598.977,2742.5
601.751,2742.4
604.525,2754.65
607.298,2747.75
610.069,2723.85
612.84,2739.8
615.61,2746.45
618.38,2761.05
621.148,2756.6
623.915,2753.85
626.682,2749.45
629.447,2756.6
632.212,2777.7
634.976,2770.3
637.739,2799.0
640.501,2807.65
643.262,2780.7
646.022,2799.1
648.781,2782.75
651.54,2788.95
654.297,2801.5
657.054,2823.75
659.81,2819.3
662.565,2810.45
665.319,2808.1
668.072,2819.3
670.824,2812.35
673.575,2853.5
676.326,2849.45
679.075,2820.55
681.824,2821.75
684.572,2822.15
687.319,2822.05
690.065,2816.4
692.81,2822.9
695.554,2826.2
698.298,2829.65
701.04,2842.1
703.782,2819.4
706.522,2811.8
709.262,2830.6
712.001,2834.1
714.739,2818.3
717.477,2818.2
720.213,2810.5
722.948,2829.5
725.683,2840.1
728.417,2852.25
731.15,2846.65
733.882,2849.85
736.613,2859.7
739.343,2870.0
742.072,2866.6
744.801,2865.5
747.528,2878.55
750.255,2859.2
752.981,2847.2
755.706,2863.95
758.43,2876.3
761.153,2864.15
763.875,2852.2
766.597,2856.75
769.317,2878.05
772.037,2864.85
774.756,2874.3
777.474,2880.15
780.191,2864.85
782.907,2866.3
785.623,2854.25
788.337,2863.4
791.051,2886.25
793.764,2877.15
796.475,2869.15
799.186,2882.2
801.897,2858.5
804.606,2876.25
807.314,2877.7
810.022,2881.45
812.729,2855.45
815.434,2867.8
818.139,2877.3
820.844,2858.85
823.547,2871.85
826.249,2887.6
828.951,2867.4
831.651,2885.5
834.351,2885.45
837.05,2856.6
839.748,2890.2
842.445,2898.5
845.142,2921.15
847.837,2912.5
850.532,2919.35
853.225,2934.8
855.918,2928.5
858.61,2963.9
861.302,3027.1
863.992,3075.05
866.681,3098.65
869.37,3142.45
872.058,3169.45
874.745,3153.65
877.431,3120.5
880.116,3076.7
882.8,3037.15
885.484,3024.8
888.166,2989.6
890.848,2978.1
893.529,2953.35
896.209,2939.25
898.888,2959.95
901.566,2957.15
904.244,2964.8
906.921,2958.8
909.596,2952.2
912.271,2967.9
914.945,2981.2
917.619,2964.9
920.291,2961.95
922.963,2965.55
925.633,2972.25
928.303,2970.55
930.972,2952.55
933.64,2928.6
936.308,2959.75
938.974,2967.85
941.64,2971.2
944.304,2972.65
946.968,2971.1
949.631,2959.85
952.294,2952.6
954.955,2990.75
957.615,2980.35
960.275,2982.8
962.934,2978.75
965.592,2985.9
968.249,2997.15
970.905,2961.05
973.561,2961.8
976.215,2975.75
978.869,2968.2
981.522,2976.9
984.174,2993.85
986.826,3005.25
989.476,3002.35
992.126,2994.95
994.774,3000.4
997.422,3000.25
1000.07,3000.1
1002.72,3001.2
1005.36,3027.95
1008.01,3037.2
1010.65,3013.8
1013.29,3004.45
1015.93,3005.65
1018.58,3023.45
1021.22,3028.6
1023.86,3033.4
1026.49,3059.1
1029.13,3045.5
1031.77,3054.95
1034.4,3076.9
1037.04,3070.0
1039.67,3097.85
1042.31,3105.7
1044.94,3114.55
1047.57,3117.3
1050.2,3107.75
1052.83,3083.65
1055.46,3061.95
1058.09,3069.1
1060.72,3061.1
1063.35,3082.15
1065.97,3071.2
