nm,Intensity
526.486,830.0
526.622,831.0
526.759,829.6
526.896,829.8
527.033,830.7
527.169,829.0
527.306,830.0
527.443,830.8
527.579,830.1
527.716,830.7
527.853,830.5
527.989,830.0
528.126,830.6
528.263,829.9
528.399,830.9
528.536,830.5
528.672,830.4
528.809,830.7
528.946,831.4
529.082,830.0
529.219,829.7
529.355,829.7
529.492,830.5
529.628,829.7
529.765,831.0
529.901,830.0
530.038,830.7
530.174,829.1
530.311,829.5
530.447,828.7
530.584,830.7
530.72,830.7
530.857,828.9
530.993,830.2
531.13,830.3
531.266,830.3
531.403,831.4
531.539,830.6
531.676,829.9
531.812,830.2
531.948,834.5
532.085,863.4
532.221,881.1
532.358,844.5
532.494,832.6
532.63,829.1
532.767,830.6
532.903,831.0
533.039,829.5
533.176,829.5
533.312,831.1
533.448,831.3
533.585,831.4
533.721,841.3
533.857,896.5
533.993,1003.1
534.13,1054.3
534.266,1047.0
534.402,1035.7
534.539,1021.0
534.675,1015.7
534.811,1001.9
534.947,994.6
535.083,990.3
535.22,983.2
535.356,977.7
535.492,967.7
535.628,969.0
535.764,963.9
535.901,961.4
536.037,955.1
536.173,953.4
536.309,956.4
536.445,962.2
536.581,962.1
536.717,963.9
536.854,959.3
536.99,960.0
537.126,954.1
537.262,955.0
537.398,952.4
537.534,952.1
537.67,953.6
537.806,958.3
537.942,954.3
538.078,951.8
538.214,946.8
538.35,945.7
538.486,940.9
538.622,942.1
538.758,941.3
538.894,941.7
539.03,939.2
539.166,945.5
539.302,943.5
539.438,942.4
539.574,939.0
539.71,937.7
539.846,934.8
539.982,935.0
540.118,933.9
540.254,933.2
540.39,941.6
540.526,949.8
540.662,950.9
540.798,952.2
540.933,948.9
541.069,952.3
541.205,954.6
541.341,949.7
541.477,948.9
541.613,950.3
541.749,947.3
541.884,944.2
542.02,943.6
542.156,938.1
542.292,942.1
542.428,942.9
542.563,937.0
542.699,939.5
542.835,942.5
542.971,950.7
543.106,949.0
543.242,954.8
543.378,963.1
543.514,970.8
543.649,975.2
543.785,976.1
543.921,972.1
544.057,978.6
544.192,968.1
544.328,964.0
544.464,958.9
544.599,952.3
544.735,950.6
544.871,941.9
545.006,949.5
545.142,944.7
545.278,948.3
545.413,947.2
545.549,946.1
545.684,944.0
545.82,944.5
545.956,944.3
546.091,948.3
546.227,946.7
546.362,944.0
546.498,948.0
546.634,944.3
546.769,946.1
546.905,947.9
547.04,948.4
547.176,952.0
547.311,952.8
547.447,950.4
547.582,946.0
547.718,945.3
547.853,949.4
547.989,948.3
548.124,950.2
548.26,950.1
548.395,952.3
548.531,946.8
548.666,948.9
548.802,953.9
548.937,956.4
549.072,960.7
549.208,957.6
549.343,953.4
549.479,957.8
549.614,953.7
549.75,952.5
549.885,951.6
550.02,953.0
550.156,956.7
550.291,954.8
550.426,955.9
550.562,957.4
550.697,954.9
550.832,956.5
550.968,961.1
551.103,963.0
551.238,963.5
551.374,965.5
551.509,961.4
551.644,966.8
551.78,966.8
551.915,964.3
552.05,964.3
552.185,964.6
552.321,965.4
552.456,963.1
552.591,968.7
552.726,971.0
552.862,967.2
552.997,967.2
553.132,971.1
553.267,966.1
553.403,964.3
553.538,960.7
553.673,968.3
553.808,974.8
553.943,975.0
554.078,981.3
554.214,981.4
554.349,971.7
554.484,978.7
554.619,969.7
554.754,967.7
554.889,968.2
555.024,967.9
555.16,963.0
555.295,965.1
555.43,964.4
555.565,962.8
555.7,964.3
555.835,965.9
555.97,961.8
556.105,961.4
556.24,960.6
556.375,963.9
556.51,963.6
556.645,967.5
556.78,964.7
556.915,963.6
557.05,967.8
557.185,974.6
557.32,976.7
557.455,977.4
557.59,996.1
557.725,1017.6
557.86,1046.1
557.995,1084.0
558.13,1119.5
558.265,1089.5
558.4,1036.0
558.535,1001.1
558.67,989.9
558.805,985.7
558.94,980.7
559.075,980.0
559.21,984.8
559.345,985.3
559.479,980.3
559.614,977.9
559.749,983.5
559.884,975.1
560.019,976.3
560.154,978.7
560.289,975.6
560.424,980.2
560.558,976.0
560.693,978.3
560.828,975.4
560.963,978.4
561.098,971.6
561.232,970.1
561.367,972.4
561.502,973.0
561.637,972.6
561.772,968.7
561.906,971.5
562.041,978.4
562.176,971.4
562.311,977.5
562.445,976.9
562.58,980.5
562.715,980.6
562.85,984.6
562.984,989.3
563.119,998.2
563.254,1001.2
563.388,1016.2
563.523,1024.0
563.658,1014.5
563.792,1007.6
563.927,1000.0
564.062,996.6
564.196,990.6
564.331,989.3
564.466,989.0
564.6,995.5
564.735,997.3
564.87,1004.4
565.004,1006.7
565.139,1014.5
565.273,1010.9
565.408,1011.4
565.543,1007.5
565.677,1004.6
565.812,1016.2
565.946,1024.5
566.081,1034.1
566.215,1042.1
566.35,1026.7
566.485,1022.6
566.619,1006.1
566.754,993.9
566.888,988.3
567.023,989.5
567.157,984.2
567.292,989.0
567.426,987.9
567.561,991.7
567.695,990.4
567.83,993.9
567.964,1000.8
568.099,1002.1
568.233,997.5
568.368,992.8
568.502,987.9
568.636,999.1
568.771,1000.5
568.905,1001.4
569.04,1000.2
569.174,999.9
569.309,1000.4
569.443,999.6
569.577,994.8
569.712,1001.3
569.846,994.9
569.98,996.4
570.115,997.0
570.249,997.9
570.384,1002.0
570.518,998.8
570.652,998.0
570.787,998.0
570.921,996.5
571.055,1000.8
571.19,999.7
571.324,1009.8
571.458,1014.8
571.592,1026.2
571.727,1025.4
571.861,1018.0
571.995,1021.9
572.13,1014.0
572.264,1012.9
572.398,1013.9
572.532,1018.0
572.667,1011.6
572.801,1011.4
572.935,1010.7
573.069,1014.3
573.204,1015.8
573.338,1021.0
573.472,1017.1
573.606,1022.9
573.74,1016.3
573.875,1021.4
574.009,1020.0
574.143,1014.1
574.277,1018.1
574.411,1026.1
574.545,1029.5
574.68,1030.2
574.814,1019.6
574.948,1008.9
575.082,1005.5
575.216,1001.7
575.35,1013.6
575.484,1004.2
575.619,1008.2
575.753,1011.0
575.887,1004.7
576.021,1014.0
576.155,1018.0
576.289,1020.2
576.423,1036.4
576.557,1056.4
576.691,1074.1
576.825,1085.9
576.959,1081.6
577.093,1065.3
577.227,1053.9
577.361,1036.5
577.495,1017.7
577.629,1014.0
577.763,1015.0
577.897,1005.5
578.031,1013.9
578.165,1012.4
578.299,1012.1
578.433,1009.6
578.567,1010.0
578.701,1008.7
578.835,1008.2
578.969,1013.0
579.103,1007.9
579.237,1013.5
579.371,1003.6
579.505,1013.5
579.639,1009.3
579.773,1011.1
579.907,1013.0
580.041,1012.6
580.175,1007.6
580.309,1011.3
580.442,1010.1
580.576,1008.9
580.71,1015.5
580.844,1012.4
580.978,1006.6
581.112,1009.9
581.246,1006.3
581.38,1009.1
581.513,1008.5
581.647,1012.8
581.781,1012.2
581.915,1013.3
582.049,1011.8
582.183,1010.9
582.316,1013.0
582.45,1015.1
582.584,1010.6
582.718,1012.3
582.852,1014.6
582.985,1020.2
583.119,1010.6
583.253,1016.1
583.387,1015.2
583.52,1015.9
583.654,1018.1
583.788,1016.3
583.922,1020.0
584.055,1015.5
584.189,1014.7
584.323,1017.8
584.456,1016.2
584.59,1015.4
584.724,1021.8
584.858,1018.2
584.991,1018.8
585.125,1019.5
585.259,1019.1
585.392,1015.1
585.526,1022.8
585.66,1019.0
585.793,1013.3
585.927,1023.2
586.061,1025.4
586.194,1023.7
586.328,1022.8
586.462,1030.2
586.595,1043.9
586.729,1048.9
586.862,1060.0
586.996,1065.2
587.13,1076.6
587.263,1076.7
587.397,1087.8
587.53,1087.2
587.664,1084.2
587.797,1075.0
587.931,1058.9
588.065,1043.7
588.198,1038.0
588.332,1035.4
588.465,1028.2
588.599,1021.4
588.732,1023.5
588.866,1021.6
588.999,1022.6
589.133,1019.1
589.266,1021.1
589.4,1028.9
589.533,1017.7
589.667,1021.1
589.8,1017.3
589.934,1015.5
590.067,1022.5
590.201,1024.7
590.334,1025.8
590.468,1025.4
590.601,1024.9
590.735,1021.2
590.868,1022.0
591.001,1021.8
591.135,1019.5
591.268,1022.9
591.402,1020.3
591.535,1024.7
591.669,1028.5
591.802,1018.3
591.935,1024.3
592.069,1025.9
592.202,1021.6
592.335,1026.5
592.469,1022.7
592.602,1017.2
592.736,1017.0
592.869,1018.8
593.002,1021.1
593.136,1022.4
593.269,1020.6
593.402,1023.5
593.536,1023.9
593.669,1026.9
593.802,1019.7
593.936,1021.8
594.069,1023.3
594.202,1016.7
594.336,1024.7
594.469,1021.3
594.602,1026.1
594.735,1026.7
594.869,1021.9
595.002,1025.2
595.135,1028.3
595.268,1020.1
595.402,1025.3
595.535,1028.0
595.668,1022.7
595.801,1023.4
595.935,1023.5
596.068,1026.8
596.201,1026.0
596.334,1023.9
596.468,1025.4
596.601,1026.9
596.734,1022.8
596.867,1031.1
597.0,1025.2
597.133,1026.3
597.267,1023.0
597.4,1026.8
597.533,1023.0
597.666,1027.4
597.799,1030.5
597.932,1032.1
598.066,1026.1
598.199,1023.9
598.332,1027.9
598.465,1031.7
598.598,1029.6
598.731,1023.8
598.864,1030.6
598.998,1030.6
599.131,1031.5
599.264,1031.9
599.397,1027.3
599.53,1033.4
599.663,1028.3
599.796,1032.1
599.929,1020.2
600.062,1030.3
600.195,1029.1
600.328,1030.4
600.461,1029.3
600.594,1025.7
600.727,1028.5
600.86,1036.7
600.994,1035.8
601.127,1030.4
601.26,1026.8
601.393,1031.7
601.526,1036.0
601.659,1031.8
601.792,1028.2
601.925,1027.6
602.058,1030.3
602.191,1037.6
602.324,1031.3
602.457,1036.1
602.589,1036.2
602.722,1030.1
602.855,1036.0
602.988,1034.0
603.121,1035.3
603.254,1035.0
603.387,1036.6
603.52,1032.8
603.653,1038.2
603.786,1032.6
603.919,1035.9
604.052,1034.2
604.185,1031.8
604.318,1030.7
604.451,1033.4
604.583,1039.9
604.716,1038.0
604.849,1030.6
604.982,1037.3
605.115,1037.7
605.248,1031.0
605.381,1031.5
605.514,1028.6
605.646,1032.7
605.779,1032.3
605.912,1024.4
606.045,1029.2
606.178,1029.5
606.311,1031.3
606.443,1030.9
606.576,1031.7
606.709,1028.1
606.842,1029.4
606.975,1031.4
607.107,1035.2
607.24,1030.4
607.373,1031.3
607.506,1041.7
607.639,1036.5
607.771,1036.3
607.904,1035.6
608.037,1040.1
608.17,1034.0
608.302,1038.1
608.435,1036.7
608.568,1035.5
608.701,1038.8
608.833,1038.0
608.966,1037.2
609.099,1040.3
609.232,1033.6
609.364,1035.2
609.497,1036.2
609.63,1035.9
609.762,1041.2
609.895,1037.6
610.028,1036.8
610.161,1045.8
610.293,1037.2
610.426,1042.1
610.559,1037.8
610.691,1043.2
610.824,1032.8
610.957,1042.5
611.089,1044.4
611.222,1040.2
611.355,1042.3
611.487,1041.9
611.62,1036.0
611.752,1043.3
611.885,1039.1
612.018,1046.2
612.15,1045.8
612.283,1044.3
612.416,1044.9
612.548,1046.6
612.681,1048.2
612.813,1045.1
612.946,1050.3
613.078,1050.0
613.211,1056.7
613.344,1055.7
613.476,1052.4
613.609,1051.7
613.741,1047.8
613.874,1050.2
614.006,1056.1
614.139,1055.1
614.272,1048.4
614.404,1052.9
614.537,1055.6
614.669,1053.0
614.802,1051.8
614.934,1048.0
615.067,1051.9
615.199,1053.5
615.332,1050.5
