cm-1,A
4000.0,0.008
3999.0,0.008
3998.0,0.0081
3997.0,0.0081
3996.0,0.0082
3995.0,0.0082
3994.0,0.0082
3993.0,0.0083
3992.0,0.0082
3991.0,0.0081
3990.0,0.008
3989.0,0.0079
3988.0,0.0079
3987.0,0.008
3986.0,0.0081
3985.0,0.0082
3984.0,0.0082
3983.0,0.0082
3982.0,0.0082
3981.0,0.0082
3980.0,0.0082
3979.0,0.0082
3978.0,0.0083
3977.0,0.0084
3976.0,0.0085
3975.0,0.0085
3974.0,0.0085
3973.0,0.0084
3972.0,0.0083
3971.0,0.0082
3970.0,0.0081
3969.0,0.0082
3968.0,0.0082
3967.0,0.0084
3966.0,0.0085
3965.0,0.0085
3964.0,0.0085
3963.0,0.0085
3962.0,0.0084
3961.0,0.0084
3960.0,0.0083
3959.0,0.0084
3958.0,0.0084
3957.0,0.0084
3956.0,0.0085
3955.0,0.0086
3954.0,0.0087
3953.0,0.0087
3952.0,0.0086
3951.0,0.0085
3950.0,0.0084
3949.0,0.0083
3948.0,0.0083
3947.0,0.0084
3946.0,0.0085
3945.0,0.0086
3944.0,0.0086
3943.0,0.0086
3942.0,0.0087
3941.0,0.0086
3940.0,0.0086
3939.0,0.0086
3938.0,0.0086
3937.0,0.0085
3936.0,0.0085
3935.0,0.0085
3934.0,0.0085
3933.0,0.0085
3932.0,0.0086
3931.0,0.0087
3930.0,0.0088
3929.0,0.0089
3928.0,0.0089
3927.0,0.0089
3926.0,0.0088
3925.0,0.0087
3924.0,0.0087
3923.0,0.0086
3922.0,0.0085
3921.0,0.0083
3920.0,0.0082
3919.0,0.0082
3918.0,0.0083
3917.0,0.0085
3916.0,0.0086
3915.0,0.0086
3914.0,0.0086
3913.0,0.0086
3912.0,0.0086
3911.0,0.0087
3910.0,0.0088
3909.0,0.0088
3908.0,0.0088
3907.0,0.0088
3906.0,0.0086
3905.0,0.0085
3904.0,0.0084
3903.0,0.0085
3902.0,0.0086
3901.0,0.0086
3900.0,0.0087
3899.0,0.0088
3898.0,0.0089
3897.0,0.0089
3896.0,0.009
3895.0,0.009
3894.0,0.009
3893.0,0.009
3892.0,0.009
3891.0,0.0089
3890.0,0.0089
3889.0,0.0089
3888.0,0.0089
3887.0,0.0088
3886.0,0.0088
3885.0,0.0089
3884.0,0.009
3883.0,0.0091
3882.0,0.0091
3881.0,0.009
3880.0,0.009
3879.0,0.0089
3878.0,0.0089
3877.0,0.0089
3876.0,0.0089
3875.0,0.0089
3874.0,0.009
3873.0,0.0091
3872.0,0.0092
3871.0,0.0091
3870.0,0.009
3869.0,0.009
3868.0,0.0089
3867.0,0.0089
3866.0,0.0087
3865.0,0.0086
3864.0,0.0086
3863.0,0.0088
3862.0,0.009
3861.0,0.0091
3860.0,0.0091
3859.0,0.0091
3858.0,0.0091
3857.0,0.0091
3856.0,0.009
3855.0,0.0089
3854.0,0.0091
3853.0,0.0093
3852.0,0.0094
3851.0,0.0092
3850.0,0.009
3849.0,0.0088
3848.0,0.0087
3847.0,0.0087
3846.0,0.0088
3845.0,0.0089
3844.0,0.0091
3843.0,0.0092
3842.0,0.0093
3841.0,0.0094
3840.0,0.0094
3839.0,0.0095
3838.0,0.0095
3837.0,0.0095
3836.0,0.0095
3835.0,0.0094
3834.0,0.0094
3833.0,0.0093
3832.0,0.0093
3831.0,0.0092
3830.0,0.0092
3829.0,0.0092
3828.0,0.0091
3827.0,0.0091
3826.0,0.0091
3825.0,0.0091
3824.0,0.0091
3823.0,0.009
3822.0,0.009
3821.0,0.0091
3820.0,0.0093
3819.0,0.0094
3818.0,0.0096
3817.0,0.0096
3816.0,0.0096
3815.0,0.0096
3814.0,0.0095
3813.0,0.0094
3812.0,0.0093
3811.0,0.0092
3810.0,0.0093
3809.0,0.0093
3808.0,0.0093
3807.0,0.0093
3806.0,0.0095
3805.0,0.0096
3804.0,0.0097
3803.0,0.0096
3802.0,0.0096
3801.0,0.0095
3800.0,0.0094
3799.0,0.0094
3798.0,0.0093
3797.0,0.0093
3796.0,0.0093
3795.0,0.0093
3794.0,0.0093
3793.0,0.0093
3792.0,0.0092
3791.0,0.0092
3790.0,0.0092
3789.0,0.0092
3788.0,0.0092
3787.0,0.0093
3786.0,0.0093
3785.0,0.0094
3784.0,0.0094
3783.0,0.0094
3782.0,0.0094
3781.0,0.0093
3780.0,0.0093
3779.0,0.0094
3778.0,0.0094
3777.0,0.0093
3776.0,0.0092
3775.0,0.0092
3774.0,0.0092
3773.0,0.0093
3772.0,0.0093
3771.0,0.0093
3770.0,0.0093
3769.0,0.0093
3768.0,0.0093
3767.0,0.0093
3766.0,0.0092
3765.0,0.0092
3764.0,0.0092
3763.0,0.0093
3762.0,0.0094
3761.0,0.0094
3760.0,0.0094
3759.0,0.0095
3758.0,0.0097
3757.0,0.0098
3756.0,0.0099
3755.0,0.0101
3754.0,0.0102
3753.0,0.0101
3752.0,0.01
3751.0,0.01
3750.0,0.0099
3749.0,0.0097
3748.0,0.0097
3747.0,0.0097
3746.0,0.0097
3745.0,0.0096
3744.0,0.0095
3743.0,0.0094
3742.0,0.0093
3741.0,0.0093
3740.0,0.0094
3739.0,0.0094
3738.0,0.0095
3737.0,0.0095
3736.0,0.0095
3735.0,0.0094
3734.0,0.0093
3733.0,0.0092
3732.0,0.0092
3731.0,0.0092
3730.0,0.0093
3729.0,0.0093
3728.0,0.0092
3727.0,0.0092
3726.0,0.0092
3725.0,0.0093
3724.0,0.0094
3723.0,0.0094
3722.0,0.0095
3721.0,0.0096
3720.0,0.0096
3719.0,0.0096
3718.0,0.0096
3717.0,0.0096
3716.0,0.0097
3715.0,0.0098
3714.0,0.0098
3713.0,0.0097
3712.0,0.0096
3711.0,0.0096
3710.0,0.0096
3709.0,0.0095
3708.0,0.0094
3707.0,0.0094
3706.0,0.0093
3705.0,0.0093
3704.0,0.0093
3703.0,0.0093
3702.0,0.0094
3701.0,0.0094
3700.0,0.0094
3699.0,0.0095
3698.0,0.0095
3697.0,0.0096
3696.0,0.0097
3695.0,0.0098
3694.0,0.0099
3693.0,0.01
3692.0,0.0101
3691.0,0.0101
3690.0,0.0103
3689.0,0.0104
3688.0,0.0103
3687.0,0.0102
3686.0,0.0101
3685.0,0.0099
3684.0,0.0099
3683.0,0.0098
3682.0,0.0099
3681.0,0.01
3680.0,0.0102
3679.0,0.0103
3678.0,0.0104
3677.0,0.0104
3676.0,0.0104
3675.0,0.0105
3674.0,0.0106
3673.0,0.0106
3672.0,0.0104
3671.0,0.0102
3670.0,0.01
3669.0,0.0099
3668.0,0.0099
3667.0,0.0099
3666.0,0.0099
3665.0,0.0099
3664.0,0.0099
3663.0,0.0101
